Phycoerythrin (µg/L) DS,"Phycoerythrin, filtered, recoverable, micrograms per liter",LRL 0.01 mg/L,,,
DOC (mg/L) DS,"Organic carbon, filtered, milligrams per liter",LRL 0.3 mg/L,,,
A254 (AU/cm) DS,"Absorbance, 254 nm, filtered, absorbance units per centimeter",MDL 0.010 AU/cm,,,no discrete data collection
A280 (AU/cm) DS,"Absorbance at 280 nm, filtered, absorbance units per centimeter",MDL 0.009 AU/cm,,,
A370 (AU/cm) DS,"Absorbance at 370 nm, filtered, absorbance units per centimeter",MDL 0.006 AU/cm,,,
A412 (AU/cm) DS,"Absorbance at 412 nm, filtered, absorbance units per centimeter",MDL 0.005 AU/cm,,,
A440 (AU/cm) DS,"Absorbance at 440 nm, filtered, absorbance units per centimeter",MDL 0.005 AU/cm,,,
Sag 275-295 nm DS,"Absorption spectral slope calculated for wavelengths 275-295 nm, unitless",MDL varies by wavelength,,,
Sag 290-350 nm DS,"Absorption spectral slope calculated for wavelengths 290-350 nm, unitless",MDL varies by wavelength,,,
Sag 350-400 nm DS,"Absorption spectral slope calculated for wavelengths 350-400 nm, unitless",MDL varies by wavelength,,,
Sag 412-600 nm DS,"Absorption spectral slope calculated for wavelengths 412-600 nm, unitless",MDL varies by wavelength,,,
Peak A (RU) DS,"Fluorescence at excitation 260 nm / emission at 450 nm, filtered, Raman units",MDL 0.030 RU,,,
Peak B (RU) DS,"Fluorescence at excitation 275 nm / emission at 304 nm, filtered, Raman units ",MDL 0.048 RU,,,
Peak T (RU) DS,"Fluorescence at excitation 275 nm / emission at 340 nm, filtered, Raman units ",MDL 0.079 RU,,,
Peak N (RU) DS,"Fluorescence at excitation 280 nm / emission at 370 nm, filtered, Raman units ",MDL 0.107 RU,,,
Peak M (RU) DS,"Fluorescence at excitation 300 nm / emission at 390 nm, filtered, Raman units ",MDL 0.032 RU,,,
Peak C (RU) DS,"Fluorescence at excitation 340 nm / emission at 440 nm, filtered, Raman units ",MDL 0.006 RU,,,
Peak D (RU) DS,"Fluorescence at excitation 390 nm / emission at 510 nm, filtered, Raman units ",MDL 0.007 RU,,,
fDOM (RU) DS,"Fluorescence at excitation 370 nm / emission at 460 nm, filtered, Raman units ",MDL 0.007 RU,,,
HIX DS,"Humification Index, calculated by dividing the fluorescence intensity in the 435-480 nm region by the total intensities in the 300-345 and 435-480 nm regions, unitless",MDL varies by wavelength,,,
FI DS,"Fluorescence Index, ratio of emission intensities at 470 nm to 520 nm at an excitation wavelength of 370 nm",MDL varies by wavelength,,,
Picocyanobacteria PC-Rich Tally DS,"Picocyanobacteria counts, phycocyanin rich tally, number of cells counted",--,,,
Picocyanobacteria PC-Rich Density (cells/L) DS,"Picocyanobacteria counts, phycocyanin rich, cells per liter",--,,,
Picocyanobacteria PE-Rich Tally DS,"Picocyanobacteria counts, phycoerythrin rich tally, number of cells counted",minimum of 5 random microscopic fields of view examined,,,
Picocyanobacteria PE-Rich Density (cells/L) DS,"Picocyanobacteria counts, phycoerythrin rich, cells per liter",--,,,
Picocyanobacteria Total Tally DS,"Picocyanobacteria counts, sum of PE-Rich and PE-Rich tally, number of cells counted",minimum of 5 random microscopic fields of view examined,,,
Picocyanobacteria Total Density (cells/L)  DS,"Picocyanobacteria counts, sum of PE-Rich and PE-Rich, cells per liter",--,,,
,,,,,
"Entity Type Definition: Spatially Aligned (Centerline Extracted) and interpolated, water chemistry data from the Sacramento-San Joaquin Delta Study Area. ",,,,,
CL ID,"Centerline point identifier, see metadata for details",--,,,
