Table Names,CL_ID,Latitude,Longitude,Location,Time Period,NO3_μM_SUNA_SA,Cond_μScm_TSG_SA,DOsat_EXO_SA,DO_mg_L_EXO_SA,fDOM_QSU_EXO_SA,Salinity_PSU_TSG_SA,Sp_Cond_μS_cm_EXO_SA,Temp_˚C_TSG_SA,Temp_˚C_EXO_SA,Turb_FNU_EXO_SA,fCHL_μg_L_EXO_SA,fCHL_μg_L_WS_SA,estDOC_mg_L_SA,estDON_μM_SA,pH_SA,fDOM_QSU_WS_SA
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2318,38.250636,-121.672971,Prospect Slough,09/13/2018,1.838043,243.142,100.2126,9.073574,39.96227,0.1295,266.3555,20.16068,20.1752,5.774906,0.400422,2.594664,3.258156,14.88255,8.616996,42.28344
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2203,38.29837,-121.659977,Toe Drain Canal,09/13/2018,2.081418,536.3357,90.36936,7.886671,79.5948,0.276941,567.793,21.96006,21.99496,15.40771,2.272222,7.201054,5.826345,25.8568,8.048386,89.46176
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2201,38.301193,-121.659305,Toe Drain Canal,09/13/2018,2.151312,532.4263,91.74891,8.004437,78.98923,0.274721,563.0123,21.98473,22.02042,15.56974,2.310581,7.306249,5.787102,25.68913,8.067366,88.88277
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2199,38.304064,-121.65861,Toe Drain Canal,09/13/2018,2.405859,544.2208,91.78585,7.991981,80.24078,0.280365,574.2478,22.08689,22.12312,16.54594,2.537536,7.875473,5.868205,26.03567,8.050833,90.73518
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2189,38.318316,-121.655234,Toe Drain Canal,09/13/2018,3.122458,537.9499,91.24958,7.949759,79.33871,0.277096,567.5539,22.07421,22.10485,18.6773,3.108674,9.033549,5.809748,25.78589,8.059516,90.54199
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2187,38.321158,-121.654586,Toe Drain Canal,09/13/2018,3.471216,544.4401,89.01476,7.756301,80.19634,0.280645,574.5051,22.05502,22.09199,19.93954,3.345495,9.405396,5.865323,26.02337,8.050419,91.91074
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2173,38.341098,-121.6492,Toe Drain Canal,09/13/2018,5.918405,547.1913,70.42901,6.176011,81.12591,0.28416,581.332,21.71853,21.76357,23.66507,4.206708,10.97184,5.925559,26.28077,7.857943,94.21693
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2171,38.343822,-121.647959,Toe Drain Canal,09/13/2018,6.444275,547.4885,69.52515,6.09847,81.13883,0.284383,581.8486,21.70921,21.75106,23.55309,4.246463,11.05183,5.926396,26.28434,7.844018,94.19419
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2319,38.24941,-121.673636,Prospect Slough,09/13/2018,1.838043,243.142,100.2126,9.073574,39.96227,0.1295,266.3555,20.16068,20.1752,5.774906,0.400422,2.594664,3.258156,14.88255,8.616996,42.28344
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2317,38.25199,-121.672449,Prospect Slough,09/13/2018,1.543775,250.3367,100.3072,9.080706,41.13583,0.133279,274.2057,20.16798,20.18371,5.934564,0.409744,2.587071,3.334202,15.20751,8.633972,43.61295
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2202,38.29978,-121.659634,Toe Drain Canal,09/13/2018,2.151312,532.4263,91.74891,8.004437,78.98923,0.274721,563.0123,21.98473,22.02042,15.56974,2.310581,7.306249,5.787102,25.68913,8.067366,88.88277
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2200,38.302631,-121.658964,Toe Drain Canal,09/13/2018,2.208467,528.9472,92.91264,8.103987,78.44489,0.272731,558.9449,22.01062,22.04519,15.63078,2.337579,7.398288,5.751827,25.5384,8.080757,88.32355
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2198,38.305491,-121.658284,Toe Drain Canal,09/13/2018,2.467172,540.9557,92.5545,8.058307,79.73494,0.278565,570.579,22.09856,22.13568,16.67402,2.597071,7.976485,5.835425,25.89561,8.063107,90.25307
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2190,38.31689,-121.655566,Toe Drain Canal,09/13/2018,3.020886,539.1867,92.19838,8.029125,79.41748,0.277622,568.6642,22.09632,22.12782,18.40108,3.02239,8.863869,5.814852,25.8077,8.069043,90.56613
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2188,38.319735,-121.654905,Toe Drain Canal,09/13/2018,3.239108,536.9277,89.71627,7.819244,79.31366,0.276699,566.6659,22.05084,22.08425,18.91799,3.228634,9.2081,5.808125,25.77895,8.047058,90.55393
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2174,38.339709,-121.649785,Toe Drain Canal,09/13/2018,5.918405,547.1913,70.42901,6.176011,81.12591,0.28416,581.332,21.71853,21.76357,23.66507,4.206708,10.97184,5.925559,26.28077,7.857943,94.21693
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2172,38.342478,-121.64862,Toe Drain Canal,09/13/2018,6.254924,547.66,69.69882,6.113946,81.16664,0.284477,582.0152,21.70802,21.75093,23.75703,4.236852,11.00696,5.928198,26.29205,7.846956,94.28262
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2170,38.345183,-121.647351,Toe Drain Canal,09/13/2018,6.444275,547.4885,69.52515,6.09847,81.13883,0.284383,581.8486,21.70921,21.75106,23.55309,4.246463,11.05183,5.926396,26.28434,7.844018,94.19419
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A5901,38.349156,-121.651414,Little Holland Tract,09/13/2018,6.685115,547.4766,70.00992,6.133928,81.05765,0.284094,581.375,21.75691,21.79889,23.05693,4.264146,11.23785,5.921136,26.26187,7.845488,93.8428
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A734,38.08941,-121.738916,Sacramento River,09/13/2018,13.63866,171.662,90.30652,8.054605,23.15257,0.090835,185.1964,20.90821,20.95526,6.011068,0.332356,2.537864,2.168887,10.22795,7.725463,24.69613
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A732,38.090968,-121.735857,Sacramento River,09/13/2018,13.63914,172.4936,90.27136,8.051256,23.19285,0.091247,186.0547,20.91005,20.95664,5.864017,0.336736,2.538155,2.171496,10.2391,7.727496,24.65204
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A730,38.092843,-121.732989,Sacramento River,09/13/2018,13.68043,174.9542,90.46507,8.066862,23.10022,0.092465,188.6782,20.92171,20.96773,5.540881,0.335481,2.539993,2.165494,10.21345,7.730747,24.54346
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A728,38.094915,-121.730428,Sacramento River,09/13/2018,13.72961,180.2715,90.65696,8.081394,23.03864,0.095117,194.3045,20.93889,20.98382,4.82336,0.340979,2.544648,2.161504,10.1964,7.739536,24.30937
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A726,38.096837,-121.727697,Sacramento River,09/13/2018,13.7242,181.5065,90.57873,8.074029,23.10603,0.09574,195.6068,20.94242,20.98546,4.519391,0.338148,2.535643,2.165871,10.21506,7.745051,24.2214
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A724,38.098673,-121.724866,Sacramento River,09/13/2018,13.7028,179.9507,90.50431,8.067492,23.12858,0.094949,193.9623,20.94464,20.98483,4.359951,0.316292,2.51335,2.167332,10.2213,7.74896,24.1939
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A722,38.100917,-121.722502,Sacramento River,09/13/2018,13.58225,172.6734,90.15136,8.038795,23.3179,0.091252,186.2079,20.93014,20.9657,4.330537,0.273804,2.450987,2.1796,10.27373,7.750175,24.26513
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A720,38.10264,-121.719538,Sacramento River,09/13/2018,13.47513,168.6032,89.87158,8.017427,23.39212,0.089208,181.8823,20.90745,20.94209,4.410099,0.254979,2.397888,2.18441,10.29428,7.747093,24.34012
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A718,38.104516,-121.716768,Sacramento River,09/13/2018,13.38614,166.8322,89.65756,8.002678,23.36786,0.088369,180.1466,20.87928,20.91473,4.477826,0.248553,2.334366,2.182837,10.28756,7.742253,24.39847
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A716,38.10667,-121.714317,Sacramento River,09/13/2018,13.2508,166.1803,89.44431,7.990306,23.46187,0.088108,179.5344,20.84371,20.87947,4.512728,0.230581,2.245162,2.188929,10.31359,7.734447,24.46088
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A3931,38.107749,-121.703633,Threemile Slough,09/13/2018,12.87612,165.0812,89.21767,7.972789,23.70992,0.087583,178.4067,20.81495,20.85043,4.458489,0.213537,2.174483,2.205003,10.38224,7.725225,24.61596
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A714,38.107494,-121.710506,Sacramento River,09/13/2018,13.06417,165.5521,89.3011,7.979895,23.60711,0.087806,178.8812,20.82735,20.86272,4.516535,0.209973,2.193293,2.198341,10.3538,7.728771,24.53843
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A712,38.110984,-121.709286,Sacramento River,09/13/2018,13.00577,165.4331,89.28037,7.9779,23.60448,0.087747,178.7707,20.82633,20.86179,4.461276,0.209142,2.177128,2.19817,10.35308,7.72848,24.5624
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A710,38.11295,-121.707198,Sacramento River,09/13/2018,12.87776,165.1891,89.23647,7.973644,23.64458,0.087628,178.5345,20.82073,20.85629,4.39769,0.216796,2.160818,2.200769,10.36418,7.726739,24.61473
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A708,38.114549,-121.703733,Sacramento River,09/13/2018,12.68464,164.9706,89.19385,7.970617,23.70465,0.087544,178.3309,20.80804,20.84402,4.31091,0.223356,2.158649,2.204661,10.3808,7.724797,24.67915
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A706,38.117002,-121.701837,Sacramento River,09/13/2018,12.59634,164.8984,89.18371,7.971448,23.7329,0.087523,178.2701,20.80056,20.83693,4.236385,0.213936,2.162875,2.206492,10.38862,7.724596,24.70435
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A704,38.119192,-121.699411,Sacramento River,09/13/2018,12.54583,164.8547,89.17445,7.972692,23.78094,0.087506,178.2383,20.79453,20.8306,4.158931,0.199245,2.165223,2.209605,10.40191,7.724456,24.71799
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A702,38.121737,-121.697703,Sacramento River,09/13/2018,12.45615,164.776,89.15771,7.973838,23.83312,0.087471,178.2171,20.78625,20.82089,3.98971,0.186069,2.14136,2.212986,10.41635,7.722979,24.73236
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A700,38.124178,-121.69573,Sacramento River,09/13/2018,12.33337,164.7578,89.09962,7.970411,23.92003,0.087481,178.2681,20.77828,20.81209,3.913724,0.17884,2.118791,2.218618,10.44037,7.721509,24.78928
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A698,38.126895,-121.694445,Sacramento River,09/13/2018,12.17281,164.75,89.03901,7.967338,24.03854,0.087498,178.3234,20.76761,20.80136,3.879917,0.179865,2.102073,2.226297,10.47307,7.720465,24.87086
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A696,38.129471,-121.692688,Sacramento River,09/13/2018,11.90308,164.6913,89.03822,7.969371,24.05917,0.08749,178.2961,20.75264,20.78813,3.813774,0.193331,2.092735,2.227634,10.47859,7.720019,24.95784
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A694,38.132252,-121.691732,Sacramento River,09/13/2018,11.79948,164.6295,89.06504,7.972039,23.95907,0.087464,178.228,20.74736,20.78367,3.772835,0.195612,2.091967,2.221148,10.45117,7.72003,24.96382
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A692,38.135137,-121.691311,Sacramento River,09/13/2018,11.70064,164.566,89.10172,7.975329,23.89988,0.087437,178.1537,20.74328,20.7803,3.728581,0.193114,2.08953,2.217312,10.43748,7.719969,24.96007
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A690,38.137978,-121.690673,Sacramento River,09/13/2018,11.52149,164.4953,89.44717,8.006118,23.84778,0.087409,178.0817,20.73999,20.77433,3.689883,0.191202,2.079607,2.213936,10.42226,7.720339,24.95682
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A688,38.140817,-121.689861,Sacramento River,09/13/2018,11.46813,164.5669,89.58791,8.0186,23.83851,0.087433,178.1232,20.74776,20.77176,3.71321,0.182204,2.070534,2.213336,10.41991,7.720683,24.97988
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A686,38.143708,-121.689199,Sacramento River,09/13/2018,11.5608,164.9481,89.72559,8.029332,23.76624,0.087551,178.342,20.79385,20.77435,3.862727,0.167555,2.09322,2.208652,10.398,7.725565,25.06621
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A684,38.146499,-121.688278,Sacramento River,09/13/2018,11.64763,164.9685,90.92609,8.133906,23.7113,0.087522,178.3074,20.82002,20.78774,3.921778,0.197549,2.160239,2.205092,10.38212,7.728071,25.00489
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A682,38.149323,-121.687423,Sacramento River,09/13/2018,11.60328,164.8933,91.74438,8.206577,23.70967,0.087481,178.2325,20.82502,20.79303,3.928427,0.213511,2.193664,2.204987,10.382,7.729434,24.93907
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A680,38.152093,-121.686369,Sacramento River,09/13/2018,11.2086,164.4355,93.48596,8.365006,23.77097,0.087307,177.9395,20.79236,20.78836,3.856883,0.243879,2.209275,2.208959,10.39914,7.727322,24.81056
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A678,38.154962,-121.685628,Sacramento River,09/13/2018,11.05968,164.3855,93.43111,8.361696,23.85871,0.087299,177.9286,20.7804,20.77915,3.846618,0.232937,2.1894,2.214644,10.42346,7.726971,24.85336
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A676,38.157555,-121.683731,Sacramento River,09/13/2018,10.70461,164.0585,92.55055,8.287416,23.98909,0.087187,177.6858,20.74098,20.75101,3.768656,0.221928,2.125625,2.223093,10.45956,7.722951,25.00766
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A674,38.159559,-121.680992,Sacramento River,09/13/2018,10.57759,163.8221,92.36917,8.273081,23.90365,0.087087,177.3814,20.72688,20.74018,3.757536,0.223867,2.117703,2.217556,10.4359,7.721424,25.07287
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A672,38.161903,-121.678815,Sacramento River,09/13/2018,10.54091,163.7548,92.64616,8.298025,23.74769,0.087051,177.1112,20.72744,20.73861,3.779528,0.225724,2.137416,2.20745,10.39272,7.722425,25.11133
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A670,38.164247,-121.676545,Sacramento River,09/13/2018,10.57156,163.9956,93.2243,8.348066,23.64527,0.087155,176.7854,20.74157,20.74701,3.760211,0.22601,2.172277,2.200813,10.36435,7.726296,25.11397
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A668,38.16706,-121.675362,Sacramento River,09/13/2018,10.54873,164.0773,93.203,8.345818,23.65159,0.087195,176.6121,20.74449,20.74837,3.718288,0.218264,2.159617,2.201223,10.36612,7.727684,25.09684
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A666,38.169569,-121.673563,Sacramento River,09/13/2018,10.44792,163.8777,93.32286,8.354456,23.66617,0.087077,176.5371,20.75708,20.75687,3.653463,0.209207,2.130586,2.202168,10.37016,7.730412,24.91992
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A664,38.171934,-121.671539,Sacramento River,09/13/2018,10.35029,164.1436,93.46456,8.367789,23.78823,0.087217,177.1527,20.75318,20.75174,3.659068,0.21128,2.142205,2.210077,10.40396,7.734456,24.96961
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A662,38.173881,-121.668833,Sacramento River,09/13/2018,10.2786,165.0448,93.56058,8.379562,24.0709,0.087707,178.3813,20.73451,20.73356,3.710993,0.221706,2.174044,2.228394,10.48223,7.741709,25.26059
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A653,38.17535,-121.657546,Sacramento River,09/13/2018,10.10068,167.3863,92.70188,8.31002,24.90589,0.088999,181.0169,20.67856,20.68635,3.722838,0.236532,2.178336,2.282502,10.71342,7.763063,26.1541
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A655,38.175936,-121.661218,Sacramento River,09/13/2018,10.13492,167.1177,93.25131,8.358449,24.83692,0.08885,180.7625,20.68688,20.69422,3.795069,0.243554,2.223381,2.278033,10.69433,7.759008,26.07833
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A659,38.178146,-121.667403,Sacramento River,09/13/2018,10.21168,166.6225,93.65383,8.394049,24.67653,0.08857,180.2059,20.70176,20.70031,3.852934,0.24999,2.273174,2.267639,10.64993,7.75669,25.90945
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2931,38.182921,-121.654934,Steamboat Slough,09/13/2018,9.925541,168.8013,94.02787,8.433596,25.29478,0.089791,182.8427,20.64064,20.66059,3.741139,0.218486,2.173724,2.307701,10.82112,7.780432,26.58729
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2522,38.18426,-121.662277,Cache Slough,09/13/2018,9.954116,168.4413,94.78542,8.499949,25.17572,0.089586,182.4697,20.65329,20.67197,3.883215,0.224595,2.201482,2.299987,10.78816,7.77701,26.48548
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2520,38.186798,-121.660554,Cache Slough,09/13/2018,9.876899,169.0947,95.58979,8.575394,25.2718,0.089962,183.3336,20.62932,20.65349,3.831709,0.212281,2.182422,2.306213,10.81476,7.790052,26.62107
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2518,38.189525,-121.659164,Cache Slough,09/13/2018,9.72302,170.3251,95.29175,8.554413,25.59537,0.090654,184.8623,20.59112,20.61905,3.665984,0.216404,2.160563,2.32718,10.90436,7.816573,26.94582
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2516,38.192144,-121.657581,Cache Slough,09/13/2018,9.563588,171.4439,94.00956,8.444625,25.91607,0.091276,186.2303,20.5625,20.59393,3.502964,0.218124,2.145334,2.347961,10.99316,7.83779,27.26506
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2514,38.194945,-121.6568,Cache Slough,09/13/2018,9.491982,171.7921,93.00462,8.357813,25.99877,0.091477,186.6772,20.54947,20.58278,3.428005,0.22375,2.149281,2.353321,11.01606,7.847694,27.3651
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2512,38.197816,-121.657129,Cache Slough,09/13/2018,9.402956,171.6727,92.58556,8.320689,25.878,0.091421,186.592,20.54352,20.58276,3.432126,0.227132,2.191983,2.345495,10.98262,7.850837,27.33208
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2510,38.200742,-121.657218,Cache Slough,09/13/2018,9.383999,171.5244,93.17213,8.372046,25.85232,0.091344,186.4408,20.54512,20.58696,3.474435,0.233225,2.208897,2.34383,10.97551,7.846974,27.28124
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2508,38.203528,-121.657584,Cache Slough,09/13/2018,9.187565,172.3095,94.5702,8.49606,26.06084,0.091754,187.3651,20.5415,20.58199,3.55957,0.228876,2.194947,2.357342,11.03325,7.853407,27.36853
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2506,38.206251,-121.658567,Cache Slough,09/13/2018,9.06464,172.8039,94.83239,8.520153,26.20465,0.092016,187.9597,20.53826,20.57572,3.595978,0.223695,2.179071,2.366662,11.07307,7.858759,27.42036
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2504,38.208268,-121.660959,Cache Slough,09/13/2018,8.954149,172.5217,95.25302,8.555032,26.00892,0.091841,187.6118,20.55492,20.58988,3.697437,0.214984,2.157749,2.353978,11.01887,7.852826,27.16499
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2502,38.210161,-121.663743,Cache Slough,09/13/2018,8.844823,172.458,95.34129,8.562353,25.93712,0.091802,187.5186,20.55955,20.59367,3.716253,0.215194,2.148723,2.349325,10.99899,7.852961,27.06279
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2500,38.212207,-121.66637,Cache Slough,09/13/2018,8.741009,172.4356,95.52469,8.578919,25.85238,0.091791,187.468,20.56011,20.59477,3.728412,0.223383,2.154672,2.343834,10.97552,7.853795,27.00628
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2498,38.214506,-121.668684,Cache Slough,09/13/2018,8.648491,172.4726,95.56977,8.583572,25.76838,0.091817,187.5022,20.55698,20.59195,3.733002,0.232735,2.162569,2.338391,10.95226,7.855515,26.98168
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2496,38.216962,-121.670663,Cache Slough,09/13/2018,8.567432,172.3353,95.63148,8.588852,25.6489,0.091744,187.3528,20.55831,20.59235,3.742138,0.236177,2.167428,2.330649,10.91918,7.856546,26.90669
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2494,38.219574,-121.672372,Cache Slough,09/13/2018,8.40565,172.6252,95.34939,8.565783,25.62882,0.091914,187.7317,20.54699,20.57898,3.769001,0.235931,2.171978,2.329348,10.91362,7.869066,26.99107
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2492,38.222361,-121.673463,Cache Slough,09/13/2018,8.314035,173.1361,95.23466,8.557604,25.73484,0.092196,188.3213,20.53611,20.56845,3.812297,0.235071,2.196836,2.336218,10.94298,7.880906,27.16505
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2490,38.22521,-121.674359,Cache Slough,09/13/2018,8.21305,173.9019,94.96085,8.53482,25.92829,0.092607,189.1778,20.52428,20.55795,3.807502,0.230933,2.199102,2.348753,10.99654,7.893064,27.35862
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2488,38.228135,-121.674614,Cache Slough,09/13/2018,8.198817,175.1333,94.47792,8.496215,26.22152,0.093295,190.619,20.49322,20.53085,3.759131,0.215328,2.182909,2.367754,11.07774,7.911351,27.65853
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2072,38.230677,-121.673394,Sacramento Deep Water Shipping Channel,09/13/2018,8.31951,175.9419,94.09104,8.467378,26.45267,0.093785,191.6548,20.45209,20.49607,3.712337,0.206192,2.14634,2.382733,11.14175,7.921495,27.93963
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2485,38.232118,-121.675732,Cache Slough,09/13/2018,8.313506,177.4611,94.32152,8.494216,26.92845,0.094633,193.4405,20.41365,20.45997,3.757466,0.222781,2.195173,2.413564,11.27349,7.944732,28.49284
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2818,38.23427,-121.669956,Miner Slough,09/13/2018,7.567264,187.1276,94.16736,8.495915,28.78705,0.09988,204.2856,20.32272,20.3737,3.953231,0.218501,2.105138,2.534001,11.78813,8.042625,30.49531
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2482,38.234828,-121.679782,Cache Slough,09/13/2018,7.811218,181.5274,95.23697,8.585609,28.1591,0.096828,198.0825,20.36539,20.40606,3.952652,0.2713,2.313538,2.49331,11.61426,8.009763,29.7174
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2480,38.23681,-121.681742,Cache Slough,09/13/2018,7.193551,186.1192,95.43558,8.613177,29.37509,0.099296,203.3073,20.31995,20.35313,4.172792,0.295944,2.354496,2.572106,11.95096,8.082136,30.81226
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2478,38.239062,-121.684637,Cache Slough,09/13/2018,6.764916,187.3941,95.95625,8.658822,29.64396,0.099919,204.6136,20.33812,20.36575,4.089551,0.306565,2.379015,2.589529,12.02541,8.130004,31.0694
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2324,38.242741,-121.676563,Prospect Slough,09/13/2018,3.75577,219.3124,97.70202,8.846371,35.673,0.117002,240.3938,20.1666,20.18613,5.472864,0.419708,2.730284,2.980211,13.69486,8.4472,37.71642
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2474,38.242598,-121.6849,Cache Slough,09/13/2018,5.400203,190.0995,102.5278,9.239355,30.50097,0.101168,207.2899,20.40537,20.42595,3.686985,0.320287,2.40698,2.645063,12.26272,8.342752,31.7713
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2583,38.244009,-121.694058,Lindsey Slough,09/13/2018,8.575715,179.8586,85.63078,7.72743,27.23211,0.096062,196.6315,20.31366,20.33839,4.035189,0.296413,2.404585,2.433202,11.35741,7.793395,28.76823
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2472,38.244255,-121.688731,Cache Slough,09/13/2018,6.271397,184.8585,100.1073,9.011574,29.02055,0.098357,201.4496,20.4538,20.46402,3.472532,0.316555,2.395586,2.549129,11.85278,8.220015,30.46022
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2322,38.245732,-121.675616,Prospect Slough,09/13/2018,2.326404,232.4358,100.1416,9.07033,38.21085,0.123903,254.7958,20.14664,20.15935,5.663699,0.415104,2.711251,3.144664,14.39759,8.595892,40.41053
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2470,38.246695,-121.687069,Cache Slough,09/13/2018,6.247266,185.091,100.9732,9.083927,28.94529,0.09842,201.5813,20.48783,20.49224,3.435968,0.325679,2.414762,2.544252,11.83194,8.231639,30.41554
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2320,38.248112,-121.674218,Prospect Slough,09/13/2018,2.018629,238.934,99.96272,9.05444,39.31591,0.127319,261.8518,20.14429,20.15794,5.717267,0.394217,2.629021,3.216271,14.70358,8.609125,41.59349
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2468,38.24954,-121.68753,Cache Slough,09/13/2018,6.65809,185.9991,98.22911,8.833817,28.70335,0.098958,202.5694,20.48783,20.49114,3.753356,0.340502,2.485879,2.528569,11.76492,8.147359,30.38529
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2466,38.252413,-121.687613,Cache Slough,09/13/2018,6.413057,188.3041,97.07771,8.739607,29.27069,0.100282,205.3175,20.42734,20.44688,3.822542,0.325095,2.467824,2.565329,11.922,8.151139,30.95528
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2316,38.25335,-121.671988,Prospect Slough,09/13/2018,1.543775,250.3367,100.3072,9.080706,41.13583,0.133279,274.2057,20.16798,20.18371,5.934564,0.409744,2.587071,3.334202,15.20751,8.633972,43.61295
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2464,38.255343,-121.687939,Cache Slough,09/13/2018,5.965361,191.3047,96.80857,8.724437,30.0725,0.101948,208.8227,20.37197,20.40018,3.839039,0.31526,2.440797,2.617308,12.14412,8.185357,31.76278
Toe Pulse 20180913 Spatially Aligned.xlsx/Sheet1,A2314,38.256153,-121.671668,Prospect Slough,09/13/2018,1.242355,257.9561,101.062,9.143052,42.27261,0.137219,282.4478,20.2041,20.21613,6.106408,0.425957,2.642961,3.407865,15.52228,8.656127,44.90428
