NO3 (μM) (ISUS) SA ,NO3 (μM) (SUNA) SA,fCHL (μgL) (EXO) SA,fCHL (μgL) (WS) SA,CL ID,Location,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Station Name,Station Abbrev.,Site Number,Subregion
,17.53080956,1.472378926,2.931505396,A2079,Toe Drain Canal,38.467746,-121.590649, , ,,Cache Slough Complex
17.09623818,17.61662623,1.680425468,3.336498681,A2080,Toe Drain Canal,38.466392,-121.591283, , ,,Cache Slough Complex
18.29878571,17.59797857,1.883618209,3.659011583,A2081,Toe Drain Canal,38.465031,-121.591909, , ,,Cache Slough Complex
17.51965116,17.54261198,1.804250565,3.649653706,A2082,Toe Drain Canal,38.46367,-121.592539, , ,,Cache Slough Complex
17.00568788,17.60551914,1.79121937,3.666045022,A2083,Toe Drain Canal,38.462309,-121.593172, , ,,Cache Slough Complex
17.12923953,17.51495552,1.825598667,3.706160223,A2084,Toe Drain Canal,38.460948,-121.593803, , ,,Cache Slough Complex
14.90431429,17.56468,1.770946638,3.71553869,A2085,Toe Drain Canal,38.459585,-121.594432, , ,,Cache Slough Complex
16.99484109,17.60681063,1.893379442,3.746545642,A2086,Toe Drain Canal,38.458223,-121.595063, , ,,Cache Slough Complex
16.40245918,17.68074924,1.958690504,3.786333647,A2087,Toe Drain Canal,38.456859,-121.595693, , ,,Cache Slough Complex
17.73117857,17.55517784,1.888607198,3.77561467,A2088,Toe Drain Canal,38.455497,-121.596324, , ,,Cache Slough Complex
17.51224545,17.56355938,1.864320763,3.767466305,A2089,Toe Drain Canal,38.454129,-121.59696, , ,,Cache Slough Complex
17.40593077,17.53233077,1.90058131,3.787292084,A2090,Toe Drain Canal,38.452768,-121.597597, , ,,Cache Slough Complex
17.31779091,17.50822273,1.896943074,3.780036325,A2091,Toe Drain Canal,38.45141,-121.598233, , ,,Cache Slough Complex
16.97346,17.44623333,1.888774652,3.773431311,A2092,Toe Drain Canal,38.450053,-121.598879, , ,,Cache Slough Complex
17.08611818,17.50377727,1.867025869,3.774473476,A2093,Toe Drain Canal,38.448694,-121.599524, , ,,Cache Slough Complex
16.60520909,17.39708636,1.945128386,3.770055268,A2094,Toe Drain Canal,38.447335,-121.60017, , ,,Cache Slough Complex
16.34300909,17.23260455,1.929010923,3.818108426,A2095,Toe Drain Canal,38.445974,-121.600809, , ,,Cache Slough Complex
16.55753636,17.28706136,1.908721994,3.843624365,A2096,Toe Drain Canal,38.444616,-121.601446, , ,,Cache Slough Complex
17.63393636,17.31529,1.924215341,3.870593732,A2097,Toe Drain Canal,38.443253,-121.602073, , ,,Cache Slough Complex
17.55364545,17.39658625,2.061346461,3.968438672,A2098,Toe Drain Canal,38.44189,-121.602702, , ,,Cache Slough Complex
18.08574,17.44654205,2.072184144,3.99515963,A2099,Toe Drain Canal,38.440536,-121.603334, , ,,Cache Slough Complex
16.78837273,17.33873977,2.070243449,3.975305298,A2100,Toe Drain Canal,38.439204,-121.603955, , ,,Cache Slough Complex
16.07922,17.3458525,2.070961019,3.972201633,A2101,Toe Drain Canal,38.437788,-121.604537, , ,,Cache Slough Complex
16.32628182,17.36318977,2.023354372,4.006517193,A2102,Toe Drain Canal,38.436431,-121.605179, , ,,Cache Slough Complex
16.36851818,17.3042875,2.07257052,3.947933984,A2103,Toe Drain Canal,38.435087,-121.60585, , ,,Cache Slough Complex
16.77673333,17.29359063,2.040937521,3.927801202,A2104,Toe Drain Canal,38.433732,-121.606528, , ,,Cache Slough Complex
16.16978889,17.215045,1.999305186,3.953289402,A2105,Toe Drain Canal,38.432329,-121.607158, , ,,Cache Slough Complex
15.57598,17.28167125,2.039798253,3.980243778,A2106,Toe Drain Canal,38.431047,-121.607742, , ,,Cache Slough Complex
16.007575,17.31151136,2.026517931,3.991139496,A2107,Toe Drain Canal,38.429684,-121.608329, , ,,Cache Slough Complex
16.67425556,17.20098625,2.034768446,4.011928089,A2108,Toe Drain Canal,38.428374,-121.608905, , ,,Cache Slough Complex
16.40573636,17.24371818,2.033111006,4.017330813,A2109,Toe Drain Canal,38.427248,-121.60993, , ,,Cache Slough Complex
16.71519091,17.39986477,1.963546711,4.01096102,A2110,Toe Drain Canal,38.426309,-121.611354, , ,,Cache Slough Complex
17.10318,17.39152955,2.03518855,4.044880321,A2111,Toe Drain Canal,38.425287,-121.612443, , ,,Cache Slough Complex
17.01624,17.35991125,2.115940803,4.14641299,A2112,Toe Drain Canal,38.424019,-121.613163, , ,,Cache Slough Complex
16.29157273,17.28761705,2.137280679,4.23638523,A2113,Toe Drain Canal,38.422691,-121.613732, , ,,Cache Slough Complex
15.38416,17.1380275,2.194424869,4.261464025,A2114,Toe Drain Canal,38.421343,-121.614276, , ,,Cache Slough Complex
15.60115455,17.23760568,2.171519381,4.2412172,A2115,Toe Drain Canal,38.420022,-121.61467, , ,,Cache Slough Complex
15.7494,17.01883375,2.176296687,3.955153909,A2116,Toe Drain Canal,38.418652,-121.61454, , ,,Cache Slough Complex
16.99746364,16.52466591,2.081067734,3.776139353,A2117,Toe Drain Canal,38.417276,-121.614259, , ,,Cache Slough Complex
17.362275,16.59646,2.02655046,3.870444479,A2118,Toe Drain Canal,38.41591,-121.614293, , ,,Cache Slough Complex
16.90964545,16.75355125,2.030890046,3.942093947,A2119,Toe Drain Canal,38.414572,-121.61487, , ,,Cache Slough Complex
16.20802,16.76761,2.024727538,3.901561379,A2120,Toe Drain Canal,38.413219,-121.615528, , ,,Cache Slough Complex
14.80042,16.85585227,2.014589761,3.878643789,A2121,Toe Drain Canal,38.411868,-121.616183, , ,,Cache Slough Complex
15.70319091,16.75082841,1.996122323,3.895433068,A2122,Toe Drain Canal,38.410512,-121.616827, , ,,Cache Slough Complex
16.47114,16.62024318,1.968402856,3.91229821,A2123,Toe Drain Canal,38.409153,-121.61747, , ,,Cache Slough Complex
15.22479091,16.64469318,2.000263968,3.887737466,A2124,Toe Drain Canal,38.407793,-121.618112, , ,,Cache Slough Complex
15.7885,16.613575,1.974623315,3.889207351,A2125,Toe Drain Canal,38.406432,-121.618752, , ,,Cache Slough Complex
16.25184545,16.67803409,2.007786028,3.930173214,A2126,Toe Drain Canal,38.405072,-121.61939, , ,,Cache Slough Complex
16.00135455,16.78750341,2.049079214,3.978954172,A2127,Toe Drain Canal,38.403711,-121.620027, , ,,Cache Slough Complex
15.76872,16.78583636,1.995257892,4.001178917,A2128,Toe Drain Canal,38.402353,-121.620641, , ,,Cache Slough Complex
16.41297447,23.30757259,1.412443809,2.814905134,A2129,Toe Drain Canal,38.400983,-121.621247, , ,,Cache Slough Complex
16.53282381,20.18216364,1.621472704,3.296021455,A2130,Toe Drain Canal,38.399627,-121.62189, , ,,Cache Slough Complex
15.72793333,19.86567969,1.673517927,3.364948146,A2131,Toe Drain Canal,38.398245,-121.622527, , ,,Cache Slough Complex
15.6183,19.86010978,1.669810788,3.361201536,A2132,Toe Drain Canal,38.396917,-121.623181, , ,,Cache Slough Complex
16.4901,19.9985712,1.684734725,3.372949293,A2133,Toe Drain Canal,38.395535,-121.623837, , ,,Cache Slough Complex
16.3543,20.1629,1.655117023,3.340137624,A2134,Toe Drain Canal,38.394169,-121.624452, , ,,Cache Slough Complex
16.14541818,19.94887391,1.700118115,3.38272841,A2135,Toe Drain Canal,38.392803,-121.625067, , ,,Cache Slough Complex
16.66434,19.96880598,1.725069675,3.401361637,A2136,Toe Drain Canal,38.391452,-121.625692, , ,,Cache Slough Complex
16.73826471,19.97943641,1.717487551,3.374702681,A2137,Toe Drain Canal,38.39009,-121.626363, , ,,Cache Slough Complex
16.60458182,19.94648207,1.703805883,3.349437541,A2138,Toe Drain Canal,38.388718,-121.626978, , ,,Cache Slough Complex
16.70280476,19.92336087,1.690845609,3.36761063,A2139,Toe Drain Canal,38.387372,-121.627552, , ,,Cache Slough Complex
15.12303333,20.00473906,1.7027236,3.352423764,A2140,Toe Drain Canal,38.385977,-121.628167, , ,,Cache Slough Complex
15.5563,19.85904674,1.719328413,3.358548243,A2141,Toe Drain Canal,38.384612,-121.628796, , ,,Cache Slough Complex
15.01272353,19.88588859,1.719973454,3.374032245,A2142,Toe Drain Canal,38.383249,-121.629422, , ,,Cache Slough Complex
16.20584545,20.12020511,1.725089798,3.359578232,A2143,Toe Drain Canal,38.381884,-121.630048, , ,,Cache Slough Complex
17.02628333,20.08776719,1.723013238,3.355512445,A2144,Toe Drain Canal,38.380521,-121.630674, , ,,Cache Slough Complex
16.79521,19.767625,1.730818548,3.377482341,A2145,Toe Drain Canal,38.379158,-121.631299, , ,,Cache Slough Complex
17.0374,20.04065,1.705494296,3.321900993,A2146,Toe Drain Canal,38.377796,-121.631927, , ,,Cache Slough Complex
16.18525,20.14201563,1.709525063,3.335170333,A2147,Toe Drain Canal,38.376432,-121.632557, , ,,Cache Slough Complex
15.7371,20.06447989,1.717157788,3.371271284,A2148,Toe Drain Canal,38.37507,-121.633186, , ,,Cache Slough Complex
16.3183,20.06075924,1.69814775,3.366186155,A2149,Toe Drain Canal,38.373707,-121.633816, , ,,Cache Slough Complex
