,fCHL μgL WS HR mean,fCHL μgL EXO HR mean,fCHL μgL EXO HR median,NO3 uM SUNA HR mean,CL_ID,Location,Latitude,Longitude,USGS_Stati,Station_ID,USGS_Sta_1,DigitalLat,DigitalLon,Subregions
45,16.01848029,9.809061486,9.813130808,3.99652575,A3429,San Joaquin River,38.089052,-121.647401, , ,,,,Central Delta Tidal Zone
46,15.29826275,9.166381379,9.078644949,3.9324315,A3430,San Joaquin River,38.090099,-121.648685, , ,,,,Central Delta Tidal Zone
47,14.59167585,9.000358694,8.967819339,3.86925125,A3431,San Joaquin River,38.091434,-121.64954, , ,,,,Central Delta Tidal Zone
48,14.5751362,8.900483752,8.974693397,3.691030038,A3432,San Joaquin River,38.092399,-121.650948, , ,,,,Central Delta Tidal Zone
49,14.74465767,8.866237038,8.871697036,3.399798,A3433,San Joaquin River,38.093063,-121.652631, , ,,,,Central Delta Tidal Zone
50,15.61853696,9.273342635,9.243220396,3.065010346,A3434,San Joaquin River,38.093874,-121.654193, , ,,,,Central Delta Tidal Zone
51,16.24759658,9.494790802,9.507453905,2.8328895,A3435,San Joaquin River,38.094392,-121.655943, , ,,,,Central Delta Tidal Zone
52,16.63795451,9.2142845,9.206459569,2.700416625,A3436,San Joaquin River,38.09517,-121.657505, , ,,,,Central Delta Tidal Zone
53,16.18627719,9.889099783,9.980580228,2.50167875,A3437,San Joaquin River,38.095641,-121.659234, , ,,,,Central Delta Tidal Zone
54,16.47534564,9.911098189,9.980580228,2.456674636,A3438,San Joaquin River,38.09591,-121.661067, , ,,,,Central Delta Tidal Zone
55,17.1539579,9.847376254,9.937972726,2.670026125,A3439,San Joaquin River,38.096069,-121.662919, , ,,,,Central Delta Tidal Zone
56,17.56180448,10.09906404,10.21577668,2.766396,A3440,San Joaquin River,38.096151,-121.664825, , ,,,,Central Delta Tidal Zone
57,17.80935677,10.41938833,10.33039842,2.794448769,A3441,San Joaquin River,38.095675,-121.66662, , ,,,,Central Delta Tidal Zone
58,17.7923989,11.09982836,11.08896463,2.793341423,A3442,San Joaquin River,38.095122,-121.668326, , ,,,,Central Delta Tidal Zone
59,16.96299377,11.57543822,11.76353305,2.804414885,A3443,San Joaquin River,38.094832,-121.670152, , ,,,,Central Delta Tidal Zone
60,16.92687671,10.64014495,10.82697675,2.882931,A3444,San Joaquin River,38.094175,-121.671838, , ,,,,Central Delta Tidal Zone
61,16.99413066,9.995014955,9.995014955,3.1307621,A3445,San Joaquin River,38.093567,-121.673568, , ,,,,Central Delta Tidal Zone
62,17.51321733,11.2571006,10.87238285,3.209334462,A3446,San Joaquin River,38.092724,-121.675094, , ,,,,Central Delta Tidal Zone
63,17.00316537,9.795372334,9.970610156,3.00872025,A3447,San Joaquin River,38.091682,-121.676347, , ,,,,Central Delta Tidal Zone
64,16.71626843,11.24869404,11.28775042,2.799385688,A3448,San Joaquin River,38.090908,-121.678012, , ,,,,Central Delta Tidal Zone
65,16.76574825,10.36195938,10.28605602,2.4352995,A3449,San Joaquin River,38.089621,-121.678977, , ,,,,Central Delta Tidal Zone
66,16.33373387,9.539576598,9.611842406,2.13813525,A3450,San Joaquin River,38.088275,-121.679829, , ,,,,Central Delta Tidal Zone
67,16.02326027,9.799721005,9.859505779,2.020011136,A3451,San Joaquin River,38.086827,-121.679979, , ,,,,Central Delta Tidal Zone
68,15.58312372,9.438798792,9.426534332,2.07712575,A3452,San Joaquin River,38.085171,-121.679383, , ,,,,Central Delta Tidal Zone
69,15.76343184,10.20677629,10.22172397,2.097348,A3453,San Joaquin River,38.083897,-121.679906, , ,,,,Central Delta Tidal Zone
70,16.34186988,10.27404086,10.27404086,2.094606,A3454,San Joaquin River,38.082684,-121.68143, , ,,,,Central Delta Tidal Zone
71,17.91287548,10.31105417,10.29895366,2.111000875,A3455,San Joaquin River,38.08158,-121.68109, , ,,,,Central Delta Tidal Zone
72,18.10601262,10.67633475,10.42102641,2.1825785,A3456,San Joaquin River,38.080105,-121.681103, , ,,,,Central Delta Tidal Zone
73,18.38076526,11.20620145,11.31041355,2.22519375,A3457,San Joaquin River,38.078718,-121.6806, , ,,,,Central Delta Tidal Zone
74,18.30631046,10.94839128,10.85040402,2.150443091,A3458,San Joaquin River,38.077325,-121.680408, , ,,,,Central Delta Tidal Zone
75,18.15348801,10.75767163,10.69773501,2.02914075,A3459,San Joaquin River,38.075996,-121.68006, , ,,,,Central Delta Tidal Zone
76,17.80131961,10.7372727,10.710576,2.013431375,A3460,San Joaquin River,38.074572,-121.680018, , ,,,,Central Delta Tidal Zone
77,17.47851774,10.89377531,10.83302399,2.10523125,A3461,San Joaquin River,38.073118,-121.679828, , ,,,,Central Delta Tidal Zone
78,17.12481102,11.06255561,11.0370399,2.208293538,A3462,San Joaquin River,38.071688,-121.679491, , ,,,,Central Delta Tidal Zone
79,16.17291829,11.46237795,11.3846613,2.209031769,A3463,San Joaquin River,38.070245,-121.679514, , ,,,,Central Delta Tidal Zone
80,15.54192841,11.0750809,10.62757984,2.1307547,A3464,San Joaquin River,38.068811,-121.678891, , ,,,,Central Delta Tidal Zone
81,15.56476433,9.761104998,9.704072791,1.973044,A3465,San Joaquin River,38.067363,-121.679323, , ,,,,Central Delta Tidal Zone
82,15.93193546,9.682615012,9.572591317,1.7753458,A3466,San Joaquin River,38.065887,-121.678863, , ,,,,Central Delta Tidal Zone
83,16.12118913,10.45451964,10.43963376,1.77870475,A3467,San Joaquin River,38.064515,-121.679752, , ,,,,Central Delta Tidal Zone
84,16.79727702,11.02760236,11.09231427,1.777905,A3468,San Joaquin River,38.063163,-121.680312, , ,,,,Central Delta Tidal Zone
85,14.98942126,9.48804026,9.805786414,1.499135,A3469,San Joaquin River,38.061739,-121.680678, , ,,,,Central Delta Tidal Zone
