"DWR_Site","EMP_Site","Lat","Lon","RepCont","Collection_Date","Collection_Month","Collection_ID","Survey_Year","field.PST","field.Water.temp","field.DO.mgL","field.DO.perc","field.Secchi","field.SC.uScm","field.Salinity","field.NTU","field.pH","field.Chla","field.Fluor","bryte.NH4.mgL","bryte.NO3.mgL","bryte.Chloride.mgL","bryte.Calcium.mgL","bryte.DOC.mgL","bryte.TOC.mgL","bryte.DON.mgL","bryte.total.kjeldahl.n.mgL","bryte.SRP.mgL","bryte.TP.mgL","bryte.SiO2.mgL","bryte.VSS.mgL","bryte.TDS.mgL","bryte.TSS.mgL","bryte.amb.Chla.ugL","bryte.amb.Pheo.ugL","bryte.towNet.Chla.ave.ugL","bryte.towNet.Chla.corrected","bryte.towNet.Pheo.uncorrected","bryte.towNet.Pheo.corrected","dwr.MIC_totbvL","ucd.qpcr.total.MIC","ucd.qpcr.toxin.MIC","ucd.qpcr.DOLICO","ucd.qpcr.APHA","ucd.qpcr.total.CYA","ucd.ppia.MC.total.ugL","ucd.elisa.STX.dissolved.ugL","ucd.elisa.ANA.a.dissolved.ugL"
"FieldCont","",NA,NA,1,"",7,2,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,22,12,113,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-07-28",7,2,2014,1331,23.75,9.19,108.9,NA,679,0.31,4.7,8.31,1.2,NA,0.03,0.14,142,NA,2.7,2.8,0.2,NA,0.07,0.11,11.9,1,375,3,NA,NA,2264.16,1.063109071,105.73,0.04771,3.94e+10,90700,32215,2537,4800,284930,1.02,0,0
"JP","",38.0517,-121.6953,0,"2014-07-28",7,2,2014,1000,23.29,8.09,95.7,NA,1321,0.64,11.7,7.85,1.8,NA,0.03,0.28,322,NA,2.4,2.7,0.4,NA,0.08,0.11,14.4,4,741,17,NA,NA,2851.56,2.924261424,243.5,0.23461,1.64e+10,13900,10822,7,1170,135375,0.57,0,0
"MI","",37.9952,-121.5222,0,"2014-07-28",7,2,2014,1325,25.8,8.48,103.9,NA,475,0.21,0.5,8.22,2.6,NA,0.01,0.06,89,NA,3.6,3.7,0.3,NA,0.09,0.12,11.5,1,270,2,NA,NA,3225.36,1.249812572,93.98,0.05555,3.15e+09,85200,23227,3862,125181,1417001,1.01,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-07-28",7,2,2014,1300,25.2,7.42,90.4,NA,688,0.32,4.6,7.78,2.3,NA,0.02,0.04,141,NA,3.4,3.5,0.3,NA,0.09,0.11,8,2,381,4,NA,NA,3236.04,1.621000181,277.68,0.1461,7.34e+09,112000,22956,2948,28900,468286,1.27,0,0
"RR","P8",37.9633,-121.3663,0,"2014-07-28",7,2,2014,1231,26.47,6.53,87.6,NA,1200,0.58,3,7.83,4.1,NA,0.07,1.24,253,NA,4.8,5.2,0.6,NA,0.4,0.5,12.1,2,675,6,NA,NA,7315.8,2.237035368,365.79,0.15197,3.51e+09,251000,13941,238,207684,858311,0.55,0,0
"SJ","",38.0347,-121.4834,0,"2014-07-28",7,2,2014,1152,25.26,6.58,80,NA,380,0.17,1.4,7.98,1.8,NA,0.03,0.16,61,NA,3.4,3.4,0.3,NA,0.08,0.11,13.2,2,211,4,NA,NA,2306.88,2.301079607,122.82,0.13756,1.02e+10,63500,16389,38127,125000,345078,0.47,0,0
"VC","",37.872,-121.5277,0,"2014-07-28",7,2,2014,1210,26.06,6.99,86.6,NA,525,0.24,6,7.65,4.4,NA,0.025,0.15,97,NA,4.3,4.6,0.4,NA,0.08,0.16,10.1,2,292,6,NA,NA,3374.88,1.91415053,183.7,0.13751,4.72e+09,287000,58455,982,202000,1096970,0.83,0,0
"AT","D12",38.0232,-121.8071,0,"2014-08-11",8,3,2014,836,22.08,8.08,93.8,NA,4448,2.35,16.8,7.75,6.5,NA,0.04,0.3,1233,NA,2.5,2.6,0.4,NA,0.09,0.13,13.4,4,2452,23,NA,NA,2776.8,0.606546246,318.26,0.06182,9.49e+09,36500,16333,0,3850,201637,0.42,0,0
"BI","",38.1159,-121.6845,0,"2014-08-11",8,3,2014,851,23.06,7.53,88.7,NA,1337,0.65,11.6,7.89,2.2,NA,0.02,0.39,326,NA,2.3,2.4,0.3,NA,0.08,0.11,13.9,2,739,11,NA,NA,2627.28,3.306457371,116.41,1.17809,5.63e+10,50600,24014,20407,18200,251964,0.41,0,0
"CV","D4",38.0602,-121.824,0,"2014-08-11",8,3,2014,917,21.48,8.12,93.9,NA,5983,3.23,14.3,7.79,2.1,NA,0.02,0.26,1668,NA,2.3,2.5,0.4,NA,0.07,0.12,12.9,4,3416,20,NA,NA,4085.1,0.507658105,232.29,0.03055,2.35e+09,95200,12896,0,1900,383814,2.87,0,0
"FieldCont","",NA,NA,1,"",8,3,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,9,116,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-08-11",8,3,2014,1257,23.3,8.78,103,NA,719,0.33,3.6,8.81,0.8,NA,0.02,0.13,150,NA,2.6,2.7,0.4,NA,0.08,0.11,12.2,1,401,2,NA,NA,1783.56,0.792809898,70.49,0.02601,1.2e+09,155049,5627,0,5510,234583,0,0,0
"FTrep","D19",38.0468,-121.6192,1,"2014-08-11",8,3,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.15,150,NA,2.6,2.6,0.3,NA,0.08,0.1,12.3,0,402,2,NA,NA,1869,NA,48.59,NA,8.38e+09,102000,14670,30918,291000,500408,0.45,0,0
"JP","",38.0517,-121.6953,0,"2014-08-11",8,3,2014,935,23.14,7.61,84.3,NA,1266,0.61,13.8,8,2.2,NA,0.02,0.28,329,NA,2.3,2.4,0.2,NA,0.08,0.11,14.3,2,710,19,NA,NA,3668.58,1.844606535,155.39,0.11787,3.77e+10,40000,30843,0,9030,196475,0,0,0
"MI","",37.9952,-121.5222,0,"2014-08-11",8,3,2014,1331,25.22,8.89,107.9,NA,426,0.19,-0.8,8.15,2.5,NA,0,0.08,76,NA,3.2,3.3,0.5,NA,0.09,0.12,12.2,1,238,2,NA,NA,3321.48,2.751660637,0,0.09946,1.93e+09,87400,11625,0,47700,904199,0.63,0,0
