"DWR_Site","EMP_Site","Lat","Lon","RepCont","Collection_Date","Collection_Month","Collection_ID","Survey_Year","field.PST","field.Water.temp","field.DO.mgL","field.DO.perc","field.Secchi","field.SC.uScm","field.Salinity","field.NTU","field.pH","field.Chla","field.Fluor","bryte.NH4.mgL","bryte.NO3.mgL","bryte.Chloride.mgL","bryte.Calcium.mgL","bryte.DOC.mgL","bryte.TOC.mgL","bryte.DON.mgL","bryte.total.kjeldahl.n.mgL","bryte.SRP.mgL","bryte.TP.mgL","bryte.SiO2.mgL","bryte.VSS.mgL","bryte.TDS.mgL","bryte.TSS.mgL","bryte.amb.Chla.ugL","bryte.amb.Pheo.ugL","bryte.towNet.Chla.ave.ugL","bryte.towNet.Chla.corrected","bryte.towNet.Pheo.uncorrected","bryte.towNet.Pheo.corrected","dwr.MIC_totbvL","ucd.qpcr.total.MIC","ucd.qpcr.toxin.MIC","ucd.qpcr.DOLICO","ucd.qpcr.APHA","ucd.qpcr.total.CYA","ucd.ppia.MC.total.ugL","ucd.elisa.STX.dissolved.ugL","ucd.elisa.ANA.a.dissolved.ugL"
"SJ","",38.0347,-121.4834,0,"2014-09-29",9,6,2014,1200,21.92,7.64,87.5,NA,393,0.17,12.8,8.17,3.3,NA,0.02,0.18,60,NA,3.1,3.2,0.3,NA,0.09,0.12,16.1,4,218,17,NA,NA,7476,3.569950362,373.8,0.21469,1.34e+09,56200,1141,0,28400,364664,0.29,0,0
"VC","",37.872,-121.5277,0,"2014-09-29",9,6,2014,1203,22.37,7.17,88.9,NA,482,0.22,5.2,8.06,2.5,NA,0.03,0.08,83,NA,3.5,3.6,0.2,NA,0.1,0.11,15,1,268,2,NA,NA,3717.46,1.69889506,106.8,0.03089,1.14e+09,80600,7223,0,30800,388956,0.62,0,0
"AT","D12",38.0232,-121.8071,0,"2014-10-13",10,7,2014,853,20.34,8.04,91.6,NA,7682,4.23,7.3,7.86,1.4,NA,0.04,0.36,1850,NA,2.1,2.1,0.3,NA,0.11,0.11,14.6,4,4232,14,NA,NA,1270.92,0.313113899,37.38,0.01881,5.97e+08,20600,2008,0,10900,186415,0.31,0,0
"BI","",38.1159,-121.6845,0,"2014-10-13",10,7,2014,918,20.32,8.22,91.8,NA,2869,1.47,17,7.69,1.9,NA,0.04,0.4,624,NA,2.3,2.4,0.2,NA,0.09,0.11,17.1,2,1613,14,NA,NA,1602,1.229908779,80.1,0.0556,9.95e+08,50100,22289,547,18200,163581,0,0,0
"CV","D4",38.0602,-121.824,0,"2014-10-13",10,7,2014,934,20.16,8.56,97.7,NA,10834,6.12,6.4,7.84,2.1,NA,0.03,0.43,3205,NA,1.8,2.1,0.3,NA,0.11,0.11,14,4,6224,13,NA,NA,833.04,0.246099879,52.87,0.02025,6.2e+08,14300,194,0,2710,138998,0.3,0,0
"CVrep","",38.0602,-121.824,1,"2014-10-13",10,7,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.44,3263,NA,2.1,2.1,0.3,NA,0.11,0.12,NA,4,6116,14,NA,NA,704.88,0.235638143,72.62,NA,1.71e+09,7780,950,0,1370,114082,0,0,0
"FieldCont","",NA,NA,1,"",10,7,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,0,35,98,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-10-13",10,7,2014,1400,21.52,9.91,112.8,NA,1165,0.56,3,8.21,1.2,NA,0.02,0.26,271,NA,2.3,2.4,0.2,NA,0.09,0.1,16.2,1,651,2,NA,NA,875.76,1.15472498,32.57,0.05773,3.37e+08,55700,10080,0,27700,224385,0,0,0
"JP","",38.0517,-121.6953,0,"2014-10-13",10,7,2014,953,20.78,8.59,96.6,NA,2686,1.37,8.1,7.89,0.9,NA,0.02,0.34,717,NA,2.2,2.3,0.2,NA,0.09,0.1,16.4,2,1501,10,NA,NA,2552.52,4.282759986,71.56,0.25716,1.4e+10,69600,24141,2978,38600,350409,0.29,0,0
"MI","",37.9952,-121.5222,0,"2014-10-13",10,7,2014,1229,22.18,8.19,93.5,NA,505,0.23,-0.1,8.33,2.2,NA,0.02,0.18,85,NA,2.7,2.8,0.2,NA,0.08,0.1,16.2,1,289,2,NA,NA,4218.6,0.620572922,304.38,0.0495,1.17e+09,25000,1632,0,9290,176460,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-10-13",10,7,2014,1330,21.63,7.71,87.8,NA,726,0.34,3.6,7.76,2.4,NA,0.02,0.06,153,NA,2.8,3,0.2,NA,0.08,0.09,13.2,1,408,4,NA,NA,820.22,1.036354717,55.96,0.06051,4.33e+08,46000,5506,0,23800,364707,0.3,0,0
"RR","P8",37.9633,-121.3663,0,"2014-10-13",10,7,2014,1333,22.8,7.86,91.6,NA,1596,0.78,4.4,7.92,3.9,NA,0.11,2.39,360,NA,4.5,4.5,0.5,NA,0.47,0.47,15.2,2,904,7,NA,NA,1687.44,0.239169162,114.28,0.01119,8.33e+08,15200,12096,0,11000,418360,0,0,0
"SJ","",38.0347,-121.4834,0,"2014-10-13",10,7,2014,1415,22.17,8.08,92.8,NA,530,0.24,0.9,8.16,3.5,NA,0.02,0.29,89,NA,3,3.2,0.2,NA,0.11,0.12,16.65,1,294,3,NA,NA,3595.96,1.125699453,223.53,0.05611,9.5e+08,73400,5818,843,22100,553400,0,0,0
"VC","",37.872,-121.5277,0,"2014-10-13",10,7,2014,1235,21.44,7.73,87.5,NA,547,0.25,4.7,7.83,2.6,NA,0.02,0.06,96,NA,3.3,3.4,0.2,NA,0.09,0.1,15,1,306,4,NA,NA,419.19,2.171936961,38.71,0.15926,6.07e+09,14300,4416,0,10400,319069,0.3,0,0
"AT","D12",38.0232,-121.8071,0,"2014-10-27",10,8,2014,847,18.62,8.41,92.5,NA,8249,4.56,5.9,7.54,1.6,NA,0.05,0.41,2287,NA,2.2,2.3,0.2,NA,0.1,0.11,14.5,2,4660,9,NA,NA,918.48,0.350172354,59.38,0.02076,9.88e+08,12500,6836,0,5890,175330,0,0,0
"BI","",38.1159,-121.6845,0,"2014-10-27",10,8,2014,854,18.78,8.35,90.2,NA,2303,1.16,9.7,7,1.8,NA,0.1,0.49,563,NA,2.2,2.4,0.1,NA,0.09,0.11,17.1,2,1301,12,NA,NA,3022.44,0.829993893,102.53,0.02825,2.07e+08,30700,5232,1798,12300,130039,0,0,0
"CV","D4",38.0602,-121.824,0,"2014-10-27",10,8,2014,921,18.44,8.4,92.5,NA,9896,5.55,6.8,7.62,2.4,NA,0.05,0.45,2934,NA,2.1,2.3,0.3,NA,0.1,0.12,14,3,5832,14,NA,NA,717.7,0.212440927,92.7,0.02596,1.16e+09,5740,1440,0,2460,101879,0,0,0
"FieldCont","",NA,NA,1,"",10,8,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,5,20,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-10-27",10,8,2014,1335,18.94,8.99,97,NA,1050,0.5,0.4,7.77,2,NA,0.04,0.34,226,NA,2.5,2.5,0.2,NA,0.09,0.1,16.3,1,582,2,NA,NA,3374.88,0.674644096,93.98,0.02405,5.11e+08,65300,11073,60,28500,320659,0,0,0
"JP","",38.0517,-121.6953,0,"2014-10-27",10,8,2014,926,18.92,8.54,92.6,NA,2258,1.13,4.8,7.49,1.9,NA,0.04,0.38,544,NA,2.5,2.4,0.2,NA,0.09,0.1,16.5,2,1270,8,NA,NA,2232.12,0.745714923,100.39,0.03605,5.98e+08,31400,11712,0,14100,157027,0.29,0,0
"MI","",37.9952,-121.5222,0,"2014-10-27",10,8,2014,1217,18.85,8.47,91.1,NA,578,0.26,-0.5,7.74,3.2,NA,0.02,0.21,105,NA,3.3,3.4,0.3,NA,0.09,0.1,16.2,0,318,1,NA,NA,1014.6,0.452527364,32.04,0.01241,4.88e+08,22000,9264,0,44400,347741,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-10-27",10,8,2014,1306,18.91,8.33,90,NA,813,0.38,1.3,7.64,2.3,NA,0,0.08,165,NA,3.2,3.4,0.2,NA,0.08,0.09,13.6,0,452,1,NA,NA,950.52,0.235420595,40.05,0.01271,1.5e+08,17600,1920,632,30200,163594,0.3,0,0
"RR","P8",37.9633,-121.3663,0,"2014-10-27",10,8,2014,1332,19.97,7.3,80.5,NA,1366,0.66,6.1,7.45,2.9,NA,0.14,2.93,280,NA,4.1,4.2,0.6,NA,0.42,1.9,16.4,2,760,10,NA,NA,123.76,0.059591297,15.64,0.00685,8170000,6100,95,0,2320,181037,0,0,0
"RRrep","",37.9633,-121.3663,1,"2014-10-27",10,8,2014,1347,19.97,7.3,80.5,NA,1366,0.66,6.1,7.45,2.9,NA,0.14,2.92,280,NA,4,4,0.5,NA,0.48,1.9,16.5,2,759,10,NA,NA,121.75,0.077765825,13.56,NA,1.02e+08,4620,192,0,3670,123701,0.29,0,0
"SJ","",38.0347,-121.4834,0,"2014-10-27",10,8,2014,1246,19.02,7.33,79.2,NA,624,0.29,1.3,7.49,2.7,NA,0.03,0.46,112,NA,4.1,4.1,0.3,NA,0.11,0.12,15.6,1,346,2,NA,NA,982.56,0.371959245,93.98,0.03567,6.28e+08,27600,373,3,13800,159515,0,0,0
"VC","",37.872,-121.5277,0,"2014-10-27",10,8,2014,1223,18.63,8.94,96.2,NA,602,0.28,-0.1,7.66,3.5,NA,0.02,0.09,107,NA,3.6,3.6,0.2,NA,0.09,0.1,15,1,332,2,NA,NA,267,0.075487627,12.6,0.00367,1.8e+07,2270,485,0,3190,81214,0,0,0
"AT","D12",38.0232,-121.8071,0,"2014-11-10",11,9,2014,907,17.39,8.26,88.2,NA,6882,3.75,8.7,7.53,1.8,NA,0.05,0.45,1864,NA,1.9,2,0.3,NA,0.09,0.1,18,3,3796,14,NA,NA,519.05,0.143587109,38.66,0.01035,1.57e+08,19200,4024,0,13300,102926,0,0,0
"BI","",38.1159,-121.6845,0,"2014-11-10",11,9,2014,934,17.01,8.26,85.9,NA,1503,0.73,20,7.49,3.3,NA,0.09,0.5,369,NA,2,2.2,0.1,NA,0.08,0.1,18.6,3,833,13,NA,NA,1094.7,0.282989759,49.13,0.01605,7e+08,7420,2139,973,10700,71675,0,0,0
"CV","D4",38.0602,-121.824,0,"2014-11-10",11,9,2014,941,17.25,8.18,87.3,NA,7788,4.29,15.2,7.59,2,NA,0.05,0.46,2259,NA,1.9,2,0.2,NA,0.1,0.11,16.7,4,4348,17,NA,NA,531.01,0.175618078,59.44,0.01943,1.52e+08,3720,2448,0,6120,83041,0,0,0
"FieldCont","",NA,NA,1,"",11,9,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,9,152,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-11-10",11,9,2014,1347,17.75,8.55,90.1,NA,954,0.45,1.3,7.58,1.3,NA,0.04,0.41,215,NA,2.5,2.6,0.2,NA,0.08,0.09,17.5,0,527,2,NA,NA,1153.44,0.328895812,46.46,0.0097,33200000,10700,518,11,28600,76347,0,0,0
"JP","",38.0517,-121.6953,0,"2014-11-10",11,9,2014,953,17.44,8.45,88.7,NA,1839,0.91,5,7.53,2.3,NA,0.05,0.48,463,NA,2.2,2.3,0.2,NA,0.08,0.09,17.2,2,1021,8,NA,NA,1340.34,0.489942413,80.1,0.02416,7.65e+08,19600,4656,365,26700,134536,0,0,0
"MI","",37.9952,-121.5222,0,"2014-11-10",11,9,2014,1213,18.12,8.14,86.2,NA,631,0.29,-0.7,8.33,3.1,NA,0.02,0.42,121,NA,3.4,3.5,0.4,NA,0.09,0.1,17,0,353,1,NA,NA,766.29,0.167803442,54.2,0.01314,2.31e+08,76,0,0,2270,2798,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-11-10",11,9,2014,1312,17.42,8.53,89.2,NA,795,0.37,0.7,7.54,3.2,NA,0,0.19,170,NA,3.1,3.2,0.2,NA,0.08,0.08,15.7,0,447,2,NA,NA,2408.34,1.009821411,92.38,0.05455,1.75e+08,22700,855,6011,32100,112391,0.65,0,0
"RR","P8",37.9633,-121.3663,0,"2014-11-10",11,9,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SJ","",38.0347,-121.4834,0,"2014-11-10",11,9,2014,1243,17.39,7.51,78.3,NA,642,0.29,2.8,7.69,2.6,NA,0.01,0.66,122,NA,3.4,3.4,0.4,NA,0.11,0.12,16.8,1,356,7,NA,NA,768.96,0.192662137,85.17,0.01468,2.08e+08,3080,0,0,5410,41174,0.63,0,0
"SJrep","",38.0347,-121.4834,1,"2014-11-10",11,9,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.67,121,NA,3.4,3.3,0.3,NA,0.11,0.13,16.35,1,356.5,8,NA,NA,795.66,0.177201595,41.65,NA,26300000,1170,47,0,13100,37118,0.31,0,0
"VC","",37.872,-121.5277,0,"2014-11-10",11,9,2014,1230,17.36,8.35,87.2,NA,665,0.31,0,7.49,2.1,NA,0,0.23,132,NA,3.6,3.6,0.4,NA,0.08,0.1,16,0,366,1,NA,NA,179.42,0.061228829,9.72,0.00678,4050000,764,0,0,5350,49605,0.28,0,0
"AT","D12",38.0232,-121.8071,0,"2014-11-24",11,10,2014,855,14.64,8.89,89.2,NA,6275,3.4,11.5,7.66,1.6,NA,0.1,0.55,1811,NA,1.9,2,0,NA,0.09,0.1,16.3,3,3548,16,NA,NA,279.21,0.069465359,36.92,0.01017,49300000,6390,624,0,4160,26682,0,0,0
"BI","",38.1159,-121.6845,0,"2014-11-24",11,10,2014,905,14.26,9.16,89.8,NA,1500,0.73,9,7.7,2.3,NA,0.13,0.58,352,NA,2.1,2.2,0,NA,0.08,0.09,19.2,2,830,10,NA,NA,477.55,0.145896021,40.43,0.01559,38800000,2740,576,0,17433,51413,0,0,0
"CV","D4",38.0602,-121.824,0,"2014-11-24",11,10,2014,924,14.65,8.92,90,NA,7825,4.31,9.8,7.66,3.8,NA,0.11,0.55,2231,NA,1.8,1.8,0,NA,0.09,0.1,16.3,2,4372,13,NA,NA,156.39,0.032843212,33.72,0.00628,1.4e+07,190,0,0,3930,16152,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-11-24",11,10,2014,1354,14.42,8.87,87,NA,945,0.45,5.1,7.7,2.7,NA,0.1,0.55,214,NA,2.5,2.6,0,NA,0.08,0.08,18.4,1,521,6,NA,NA,376.85,0.187985954,55.69,0.02422,33500000,872,0,25,25100,33270,0,0,0
"JP","",38.0517,-121.6953,0,"2014-11-24",11,10,2014,10,14.32,8.94,87.7,NA,1394,0.68,8,7.71,2.4,NA,0.1,0.56,363,NA,2.4,2.4,0,NA,0.08,0.08,18.3,2,773,11,NA,NA,393.63,0.193376243,62.4,0.0398,28400000,11000,559,0,51100,124689,0.9,0,0
"JPrep","",38.0517,-121.6953,1,"2014-11-24",11,10,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,0.56,358,NA,2.4,2.4,0.2,NA,0.08,0.1,17.9,2,771,12,NA,NA,520.27,0.223236761,118.4,NA,1.44e+08,1430,1536,0,13700,49046,0,0,0
"MI","",37.9952,-121.5222,0,"2014-11-24",11,10,2014,1218,14.52,9.49,93.2,NA,573,0.26,-0.6,7.76,3,NA,0.05,0.55,109,NA,3.2,3.1,0.1,NA,0.08,0.08,16.4,0,318.5,1,NA,NA,436.35,0.083727622,53.86,0.00923,595000,244,693,0,9250,35722,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-11-24",11,10,2014,1323,14.29,8.79,86.1,NA,709,0.33,0.5,7.66,2.2,NA,0.06,0.4,148,NA,3,3.1,0.1,NA,0.07,0.08,16.4,0,397,1,NA,NA,315.82,0.226742152,32.35,0.02166,779000,2170,0,0,8410,18449,0,0,0
"RR","P8",37.9633,-121.3663,0,"2014-11-24",11,10,2014,1327,15.61,8.59,84.8,NA,851,0.4,7.3,7.4,2.7,NA,0.12,1.78,174,NA,2.9,3,0.1,NA,0.2,0.21,13.7,1,251,6,NA,NA,31.73,0.007786482,16.54,0.00441,0,303,0,0,171,47343,0.61,0,0
"SJ","",38.0347,-121.4834,0,"2014-11-24",11,10,2014,1408,14.46,8.97,87.5,NA,440,0.2,0.5,7.6,2,NA,0.08,0.58,75,NA,3,3,0.1,NA,0.08,0.08,17.4,0,244,2,NA,NA,355.19,0.078297253,65.18,0.01515,3400000,480,0,0,2970,11747,0,0,0
"VC","",37.872,-121.5277,0,"2014-11-24",11,10,2014,1238,14.43,8.83,86.7,NA,665,0.31,0.6,7.63,2.7,NA,0.03,0.47,131,NA,3.3,3.4,0.3,NA,0.08,0.08,15.7,1,369,2,NA,NA,115.19,0.060093663,10.3,0.00618,0,520,0,0,5190,37976,0,0,0
"AT","D12",38.0232,-121.8071,0,"2014-12-10",12,11,2014,915,14.11,8.09,79.5,NA,2854,1.46,15,7.43,2.2,NA,0.17,0.61,770,NA,2.8,3,0.4,NA,0.07,0.09,20.1,2,1579,16,NA,NA,52.33,0.019448976,11.21,0.00604,479000,1710,480,0,2680,18328,0,0,0
"BI","",38.1159,-121.6845,0,"2014-12-10",12,11,2014,944,13.86,7.64,74,NA,337,0.15,47,7.36,5,NA,0.21,0.53,64,NA,4.7,5.1,0.5,NA,0.06,0.1,20.8,3,224,33,NA,NA,53.4,0.036712215,27.53,0.76187,22400000,7,0,0,382,16019,0,0,0
"BIrep","",38.1159,-121.6845,1,"2014-12-10",12,11,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.53,55,NA,4.7,5.2,0.5,NA,0.06,0.1,20.8,5,248,31.5,NA,NA,18.16,0.014095858,28.57,NA,9210000,46,0,0,4490,16305,0,0,0
"CV","D4",38.0602,-121.824,0,"2014-12-10",12,11,2014,946,14.11,8.11,79.5,NA,3076,1.58,25.8,7.47,2.4,NA,0.23,0.59,843,NA,2.7,2.8,0.3,NA,0.08,0.09,20.5,5,1778,30,NA,NA,65.15,0.02097562,32.41,0.01725,2300000,34,0,0,307,4435,0,0,0
"FieldCont","",NA,NA,1,"",12,11,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,150,0,0,0
"FT","D19",38.0468,-121.6192,0,"2014-12-10",12,11,2014,1421,14.06,8.32,81.1,NA,1178,0.57,4.8,7.53,2.4,NA,0.17,0.69,289,NA,3.1,3.1,0.3,NA,0.07,0.09,20.5,2,662,11,NA,NA,181.6,0.479755003,53.4,0.1777,22900000,948,96,0,23100,31007,0,0,0
"JP","",38.0517,-121.6953,0,"2014-12-10",12,11,2014,1016,14.12,8.1,79.2,NA,1722,0.85,13.1,7.46,2.7,NA,0.14,0.65,448,NA,2.9,3,0.3,NA,0.07,0.09,20.5,2,954,11,NA,NA,96,0.033472481,56.07,0.03713,48200000,5280,518,0,19300,41252,0,0,0
"MI","",37.9952,-121.5222,0,"2014-12-10",12,11,2014,1242,13.94,8.18,79.4,NA,457,0.21,0.1,7.54,2.8,NA,0.09,0.77,81,NA,3.2,3.3,0.6,NA,0.07,0.08,19.6,0,253,2,NA,NA,160.2,0.068488586,212.85,0.03849,3170000,240,288,0,2550,51091,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2014-12-10",12,11,2014,1346,14.27,7.67,75.1,NA,858,0.4,0.6,7.46,2,NA,0.12,0.65,188,NA,3.1,3.2,0.3,NA,0.07,0.08,18.9,0,473,2,NA,NA,0.28,1.425095635,7.48,0.93155,401000,32,0,0,290,30747,0,0,0
"RR","P8",37.9633,-121.3663,0,"2014-12-10",12,11,2014,1308,13.94,7.51,72.9,NA,412,0.18,1.4,7.41,2.9,NA,0.08,2.28,191,NA,3.4,3.4,0.1,NA,0.27,0.29,13.7,1,245,3,NA,NA,39.52,0.014053761,24.4,0.00814,5600000,283,0,254,594,60865,0,0,0
"SJ","",38.0347,-121.4834,0,"2014-12-10",12,11,2014,1339,14.45,7.72,75.7,NA,912,0.43,2,7.44,2.4,NA,0.08,0.83,66,NA,3.6,3.6,0.3,NA,0.07,0.08,18.9,1,503,4,NA,NA,136.7,0.044086941,27.02,0.0107,1420000,1780,0,0,5840,33185,0,0,0
"VC","",37.872,-121.5277,0,"2014-12-10",12,11,2014,1303,14.08,8.25,80.3,NA,486,0.22,1,7.49,2.4,NA,0.07,0.79,86,NA,3.3,3.4,0.3,NA,0.07,0.08,18.5,1,270,3,NA,NA,89.71,0.146327522,33.27,0.04692,7900000,49,0,0,4720,26182,0,0,0
"AT","D12",38.0232,-121.8071,0,"2015-08-14",8,1,2015,840,22,8.99,105.3,NA,5254,2.81,22.8,7.96,2.9,NA,0.04,0.27,1440,NA,2.3,2.4,0.25,NA,0.09,0.12,11.9,5,2944,26,2.54,1.71,1432.19,0.365591829,170.29,NA,8.4e+08,3127,3123,8,174,5604,0.269349413,0,0
"ATrep","D12",38.0232,-121.8071,1,"2015-08-14",8,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,0.28,1408,NA,2.4,2.6,0.27,NA,0.08,0.12,11.7,4,2942,17,1.84,1.52,1954.97,0.377656511,223.91,NA,NA,5679,563,9,40,12729,0,0,0
"BI","",38.1159,-121.6845,0,"2015-08-14",8,1,2015,903,23.6,9.46,98.4,NA,1840,0.91,7.6,7.9,2.6,NA,0.02,0.24,466.4,NA,2.4,2.6,0.21,NA,0.06,0.1,12.6,1,1024,7,2.72,0.66,2096.48,0.785833085,41.65,NA,2.11e+09,11874,100,9,1507,40392,0.312532526,0,0
"CV","D4",38.0602,-121.824,0,"2015-08-14",8,1,2015,940,21.77,9.05,104.9,NA,5937,3.2,21.9,7.83,3,NA,0.04,0.33,1492,NA,2.1,2.3,0.21,NA,0.08,0.12,10.1,5,3322,22,2.32,1.42,791.39,0.246873982,67.6,NA,3.76e+08,2108,0,9,320,25692,0.268641481,0,0
"FieldCont","",NA,NA,1,"",8,1,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,9,7,0,0,0,0
"FT","D19",38.0468,-121.6192,0,"2015-08-14",8,1,2015,1432,23.28,8.54,100.3,NA,819,0.38,2.4,8.26,1.3,NA,0.02,0.13,182.2,NA,2.9,2.9,0.19,NA,0.08,0.1,10.9,1,459,2,1.71,0,282.49,0.131195638,0,NA,2.37e+08,4765,0,9,139,37848,0.281516803,0,0
"JP","",38.0517,-121.6953,0,"2015-08-14",8,1,2015,943,22.7,8.53,99.4,NA,1741,0.86,11.7,7.94,2.4,NA,0.03,0.32,434.1,NA,2.5,2.6,0.22,NA,0.07,0.11,8.87,2,971,9.5,2.75,0.71,1338.74,0.819364146,59.27,NA,2.02e+09,498,593,8,47,153,1.065906638,0,0
"MI","",37.9952,-121.5222,0,"2015-08-14",8,1,2015,1411,24.56,9.02,108.8,NA,615,0.28,0.9,8.07,3.5,NA,0.01,0.11,122.07,NA,3.3,3.4,0.28,NA,0.06,0.1,10.2,1,341,0,4.17,0.69,469.87,0.28944341,8.71,NA,2.28e+08,15150,311,9,1665,207768,0,0,0
"OR","D28A",37.9706,-121.5725,0,"2015-08-14",8,1,2015,1345,24.94,7.45,90.2,NA,712,0.33,2,7.55,3.5,NA,0.02,0.1,148.1,NA,3.5,3.5,0.23,NA,0.07,0.1,9.53,1,395,2,3.66,0.77,489.68,0.513433003,14.95,NA,3.4e+08,4221,0,9,533,36333,0,0,0
"RR","P8",37.9633,-121.3663,0,"2015-08-14",8,1,2015,1248,26.29,8.72,108.6,NA,1617,0.79,4.5,7.96,5.1,NA,0.1,1.62,357.4,NA,5.3,5.5,0.45,NA,0.5,0.8,9.54,2,910,5,5.55,2.73,536.78,0.208308265,35.87,NA,2.47e+08,4437,0,9,303,8741,0,0,0
"SJ","",38.0347,-121.4834,0,"2015-08-14",8,1,2015,1330,24.81,8.96,108.2,NA,676,0.31,9,7.9,3.3,NA,0.02,0.21,135,NA,3.7,3.7,0.24,NA,0.09,0.13,9.53,2,373,5,4.02,1.11,820.58,0.429922452,58.35,NA,5.51e+08,4035,0,9,632,45348,0,0,0
"VC","",37.872,-121.5277,0,"2015-08-14",8,1,2015,1246,24.76,8.02,96.9,NA,714,0.33,3.6,7.7,5.6,NA,0.02,0.2,140.37,NA,4.6,4.7,0.35,NA,0.07,0.12,9.87,1,393.5,4,8.12,1.41,1141.69,0.918634993,29.55,NA,3.8e+08,1739,677,9,697,156,0,0,0
"AT","D12",38.0232,-121.8071,0,"2015-08-27",8,2,2015,812,21.57,9.18,105.3,NA,3904,2.04,11.4,7.92,2.3,NA,0.019,0.274,993,NA,2.3,2.5,0.33,NA,0.075,0.09,11.8,2,2224,14,2.5,0.89,2002.5,0.507041117,0,NA,1.94e+09,7387,2031,9,726,47515,0,0,0
"ATrep","",38.0232,-121.8071,1,"2015-08-27",8,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.273,1032.4,NA,2.3,2.4,0.35,NA,0.078,0.09,11.9,2,2218,14,2.06,1.03,1349.69,0.404109975,18.42,NA,NA,12922,0,9,477,68780,0,0,0
"BI","",38.1159,-121.6845,0,"2015-08-27",8,2,2015,920,22.38,8.86,102.4,NA,1262,0.61,11.1,7.96,2.3,NA,0.014,0.242,305,NA,2.4,2.4,0.15,NA,0.059,0.09,12.3,2,714,13,3.71,0.96,3129.24,0.856161949,56.47,NA,1.82e+09,3479,0,10,18,933,0,0,0
"CV","D4",38.0602,-121.824,0,"2015-08-27",8,2,2015,902,21.33,9.38,107,NA,4309,2.27,15.9,7.98,2.8,NA,0.024,0.373,1099.4,NA,2.05,2.1,0.16,NA,0.079,0.09,12.5,2,2396,20,2.13,0.76,1058.66,0.256952681,44.24,NA,9.55e+08,4052,2767,9,159,9238,0,0,0
"FieldCont","",NA,NA,1,"",8,2,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,9,6,0,0,0,0
"FT","D19",38.0468,-121.6192,0,"2015-08-27",8,2,2015,1435,22.67,8.66,100.5,NA,754,0.35,3,8.24,1.5,NA,0.011,0.128,172.4,NA,2.7,3.1,0.17,NA,0.064,0.09,10.8,1,426,3,1.66,0,782.31,0.298291478,6.78,NA,79400000,17627,222,11,953,183800,0,0,0
"JP","",38.0517,-121.6953,0,"2015-08-27",8,2,2015,1025,22.39,8.85,102.3,NA,1326,0.64,11.9,8.01,2.1,NA,0.017,0.299,272,NA,2.4,2.5,0.14,NA,0.075,0.09,12.2,2,757,11,4.01,0.91,3234.71,0.982570191,0,NA,8.29e+08,12882,288,13,6289,55699,0,0,0
"MI","",37.9952,-121.5222,0,"2015-08-27",8,2,2015,1306,24.16,9.48,112.8,NA,620,0.28,0.5,8.2,2.7,NA,0,0.0995,120.5,NA,3.3,3.3,0.21,NA,0.057,0.08,9.84,1,343,2,4.45,0,1747.52,0.686252552,0,NA,2.85e+08,5674,2035,9,2441,5565,0,0,0
