Station ID,Station Name,State ,Date,Time,Sample Type,Data qualifiers for Total  microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Chlorophyll-a (ug/L),Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL),Data qualifiers for Anatoxin-a (method LCM78),Anatoxin-a (method LCM78) (ug/L),Data qualifiers for Cylindrospermopsin,Cylindrospermopsin (ug/L),Data qualifiers for Domoic acid,Domoic acid (ug/L),Data qualifiers for Microcystin-HiLR,Microcystin-HiLR (ug/L),Data qualifiers for Microcystin-HtYR,Microcystin- HtYR (ug/L),Data qualifiers for Microcystin-LA,Microcystin-LA (ug/L),Data qualifiers for Microcystin-LF,Microcystin-LF (ug/L),Data qualifiers for Microcystin-LR,Microcystin-LR (ug/L),Data qualifiers for Microcystin-LW,Microcystin-LW (ug/L),Data qualifiers for Microcystin-LY,Microcystin-LY (ug/L),Data qualifiers for Microcystin-RR,Microcystin-RR (ug/L),Data qualifiers for Microcystin-WR,Microcystin-WR (ug/L),Data qualifiers for Microcystin-YR,Microcystin-YR (ug/L),Data qualifiers for Nodularin,Nodularin (ug/L)
02338000,"Chattahoochee River near Whitesburg, GA",GA,8/9/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,2.50,5.70,<,"1,900",<,840,<,"1,900",<,780,<,"2,800",<,"3,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
02338000,"Chattahoochee River near Whitesburg, GA",GA,9/6/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,6.70,4.90,<,"1,600",<,700,<,"1,600",<,650,<,"2,300",<,"2,600",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",OH,6/29/2017,8:10,Regular,<,0.10,<,0.05,<,0.02,<,0.15,2.20,4.40,<,"1,300",E,"2,200",<,"1,200",<,"2,600",<,"1,800",,"7,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",OH,8/15/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,4.60,2.60,<,"1,300",,"2,900",E,"2,600",E,"1,000",<,"1,800",,"21,000",<,0.08,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.08,<,0.30,<,0.10,<,0.05
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",OH,8/15/2017,11:10,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,4.46,2.46,<,"1,300",E,710,<,"1,200",<,520,<,"1,800",,"8,300",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",OH,8/15/2017,NA,Laboratory Replicate,,NM,,NM,,NM,,NM,NM,NM,,NM,,NM,,NM,,NM,,NM,,NM,<,0.08,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.08,<,0.30,<,0.10,<,0.05
05331580,"Mississippi River at Hastings, MN",MN,6/20/2017,11:00,Regular,<,0.10,<,0.05,<,0.02,<,0.15,25.9,12.3,<,960,<,420,<,930,,"8,700",<,"1,400",,"13,000",.,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
05331580,"Mississippi River at Hastings, MN",MN,7/18/2017,10:30,Regular,<,0.10,<,0.05,<,0.02,<,0.15,52.3,19.7,,"2,600",E,"2,000",<,930,,"11,000",<,"1,400",,"4,100",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
05331580,"Mississippi River at Hastings, MN",MN,7/25/2017,11:00,Regular,,0.18,<,0.05,<,0.02,<,0.15,35.7,17.2,<,"1,300",E,610,<,"1,200",,"7,900",<,"1,800",,"100,000",,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
05331580,"Mississippi River at Hastings, MN",MN,8/8/2017,10:00,Regular,,0.38,<,0.05,<,0.02,<,0.15,35.7,21.5,,"11,000",,"7,200",<,"1,900",,"71,000",<,"2,800",,"2,100,000",,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.10,<,0.08,<,0.30,<,0.10,<,0.05
