Station Abbrev. DS,Station ID DS,Timestamp (PST) DS,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",NH4 (µM) DS,NO2 + NO3 (µM) DS,NO2 (µM) DS,PO4 (µM) DS,TDN (µM) DS,Chla (µg/L) DS,Pheophytin (µg/L) DS,5 micron Chla (µg/L) DS,5 micron Pheophytin (µg/L) DS,Phycocyanin (µg/L) DS,Allophycocyanin (µg/L) DS,Phycoerythrin (µg/L) DS,DOC (mg/L) DS,A254 (AU/cm) DS,A280 (AU/cm) DS,A370 (AU/cm) DS,A412 (AU/cm) DS,A440 (AU/cm) DS,Sag 275-295 nm DS,Sag 290-350 nm DS,Sag 350-400 nm DS,Sag 412-600 nm DS,Peak A (RU) DS,Peak B (RU) DS,Peak T (RU) DS,Peak N (RU) DS,Peak M (RU) DS,Peak C (RU) DS,Peak D (RU) DS,fDOM (RU) DS,HIX DS,FI DS,Picocyanobacteria aliquot (mL) DS,Picocyanobacteria PC-Rich Tally DS,Picocyanobacteria PC-Rich Density (cells/L) DS,Picocyanobacteria PE-Rich Tally DS,Picocyanobacteria PE-Rich Density (cells/L) DS,Picocyanobacteria Total Tally DS,Picocyanobacteria Total Density (cells/L) DS
SJRTIDE,375950121250600,7/25/2018 10:32,37.99252,-121.40816,,,,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,7/25/2018 10:44,38.01064,-121.38977,,,,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,7/25/2018 10:50,38.03008,-121.40503,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,7/25/2018 10:59,38.04133,-121.42595,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,7/25/2018 11:04,38.04792,-121.45489,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14MILE,380232121241801,7/25/2018 11:09,38.03952,-121.48173,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCS,380336121300201,7/25/2018 11:16,38.05532,-121.50135,,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPS,11336790,7/25/2018 11:40,38.09618,-121.49534,0.36,10.18,0.95,1.51,21.42,11.89,4.66,,,18.21,12.49,0.00,1.95,0.051,0.036,0.007,0.003,0.002,0.019,0.017,0.019,0.014,0.472,0.087,0.102,0.162,0.227,0.251,0.098,0.176,0.868,1.593,,,,,,,
LPSTERM,11336800,7/25/2018 12:18,38.11972,-121.49595,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD6,380831121301301,7/25/2018 12:30,38.14129,-121.50345,2.38,12.09,1.50,1.49,25.70,8.04,3.94,5.45,2.26,12.21,8.19,0.00,2.07,0.050,0.036,0.007,0.003,0.002,0.019,0.018,0.019,0.013,0.480,0.080,0.105,0.167,0.226,0.256,0.096,0.179,0.873,1.633,5,283,113801092,27,10857348,310,124658440
SYC,380831121281201,7/25/2018 12:44,38.14202,-121.47464,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYC,380831121281201,7/25/2018 12:50,38.14204,-121.47061,0.36,1.43,0.04,0.35,11.42,9.56,5.51,,,14.57,12.49,0.00,2.40,0.069,0.051,0.012,0.006,0.004,0.017,0.016,0.016,0.013,0.512,0.125,0.137,0.198,0.258,0.256,0.110,0.194,0.840,1.531,,,,,,,
HOG,381009121273601,7/25/2018 13:13,38.16223,-121.49746,,,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOG,381009121273601,7/25/2018 13:18,38.16820,-121.46779,,,,1.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWHOPE,11336680,7/25/2018 13:40,38.19025,-121.48238,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFM,11336685,7/25/2018 14:25,38.22240,-121.50739,17.31,5.55,0.77,1.75,31.41,2.40,1.61,1.85,1.48,0.19,1.76,0.00,1.66,0.035,0.025,0.004,0.002,0.001,0.021,0.019,0.020,0.013,0.280,0.137,0.086,0.111,0.150,0.152,0.052,0.104,0.804,1.620,5,236,33893309,64,9191406,300,43084714
NFM,11336685,7/25/2018 15:13,38.20239,-121.51271,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFM,11336685,7/25/2018 15:18,38.18285,-121.52696,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,380837121333401,7/25/2018 15:23,38.15499,-121.53598,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,380837121333401,7/25/2018 15:30,38.14404,-121.55921,21.89,7.77,1.04,2.28,38.55,1.74,0.97,,,3.75,0.00,0.00,1.65,0.036,0.026,0.005,0.002,0.001,0.020,0.019,0.020,0.012,0.285,0.081,0.077,0.110,0.151,0.160,0.055,0.106,0.833,1.631,,,,,,,
NMR,380837121333401,7/25/2018 15:42,38.13087,-121.57394,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOK,11336930,7/25/2018 16:00,38.10860,-121.57629,15.50,9.09,1.44,1.97,34.98,1.54,1.06,0.79,0.42,0.00,0.00,0.00,1.71,0.041,0.029,0.006,0.003,0.002,0.020,0.018,0.019,0.013,0.307,0.106,0.085,0.109,0.160,0.169,0.064,0.115,0.831,1.625,5,175,50265500,133,38201780,308,88467280
LIB,11455315,7/26/2018 7:54,38.23257,-121.67560,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIB,11455315,7/26/2018 8:00,38.24290,-121.68354,7.18,10.43,1.53,2.47,27.13,2.02,1.43,1.28,0.55,0.00,0.98,2.45,2.03,0.048,0.033,0.006,0.003,0.002,0.020,0.019,0.020,0.013,0.419,0.112,0.118,0.142,0.208,0.215,0.073,0.144,0.794,1.598,5,306,82033296,13,3485075,319,85518371
SCC,381533121413201,7/26/2018 8:12,38.26545,-121.69192,,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,381829121413401,7/26/2018 8:15,38.28878,-121.69290,,,,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,381829121413401,7/26/2018 8:20,38.30791,-121.69302,0.88,1.43,0.04,7.54,19.28,1.65,1.54,,,0.00,16.94,169.11,4.18,0.111,0.079,0.016,0.007,0.004,0.019,0.018,0.019,0.015,0.966,0.109,0.194,0.309,0.454,0.500,0.185,0.349,0.864,1.597,,,,,,,
SHG,11455276,7/26/2018 8:31,38.32518,-121.68485,,,,7.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,382010121402301,7/26/2018 8:40,38.33610,-121.67324,0.74,1.43,0.04,6.28,17.13,1.65,1.45,0.54,0.35,11.24,0.00,0.00,3.92,0.109,0.080,0.017,0.008,0.006,0.018,0.017,0.018,0.013,0.872,0.290,0.206,0.280,0.402,0.450,0.175,0.315,0.835,1.567,5,324,186125966,3,1723389,327,187849354
LCT,11455146,7/26/2018 8:50,38.31632,-121.66736,,,,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHTSE,11455167,7/26/2018 8:53,38.29400,-121.66724,,,,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHTSE,11455167,7/26/2018 8:57,38.26492,-121.67042,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIB,11455315,7/26/2018 9:01,38.23856,-121.68357,,,,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCH,11455350,7/26/2018 9:05,38.19291,-121.65824,5.95,9.08,1.23,2.53,25.70,2.13,1.91,1.37,0.80,4.68,0.00,0.00,1.91,0.050,0.035,0.007,0.004,0.003,0.019,0.017,0.018,0.010,0.390,0.080,0.110,0.139,0.195,0.205,0.073,0.139,0.831,1.554,5,308,103211827,23,7707377,331,110919203
CCH FD,11455350,7/26/2018 9:10,38.19291,-121.65824,7.14,9.85,1.36,2.49,27.84,2.00,2.00,1.22,0.83,0.00,0.00,0.00,1.90,0.050,0.035,0.007,0.004,0.003,0.019,0.017,0.018,0.011,0.395,0.084,0.107,0.135,0.195,0.205,0.076,0.140,0.832,1.603,5,282,113398968,18,7238232,300,120637200
CCH,11455350,7/26/2018 9:23,38.18618,-121.66189,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCH,11455350,7/26/2018 9:27,38.16033,-121.68352,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOV,11455420,7/26/2018 9:30,38.13820,-121.69222,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,11455478,7/26/2018 9:33,38.11756,-121.70444,,,,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,11455478,7/26/2018 9:40,38.09417,-121.73630,8.23,11.15,1.34,1.96,28.56,20.42,5.38,,,28.36,17.93,0.00,1.73,0.047,0.033,0.007,0.004,0.003,0.019,0.017,0.017,0.010,0.347,0.065,0.093,0.121,0.177,0.182,0.068,0.125,0.835,1.536,,,,,,,
DEC,11455478,7/26/2018 9:58,38.07716,-121.76748,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSAC,380345121491401,7/26/2018 10:02,38.06140,-121.79810,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSAC,380345121491401,7/26/2018 10:06,38.06526,-121.83371,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFL,11455508,7/26/2018 10:26,38.04487,-121.90847,,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLD,11185185,7/26/2018 10:30,38.04418,-121.91999,2.08,17.21,0.63,2.32,29.27,3.94,2.66,4.31,1.71,2157.33,77.52,0.00,2.17,0.063,0.045,0.010,0.005,0.004,0.018,0.016,0.017,0.011,0.478,0.114,0.113,0.167,0.226,0.239,0.092,0.169,0.844,1.523,5,326,187274891,3,1723389,329,188998280
CFL,11455508,7/26/2018 10:54,38.05813,-121.95479,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFDUT,380336121584801,7/26/2018 11:01,38.05972,-122.00192,,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,380354122020601,7/26/2018 11:05,38.06437,-122.02452,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFAVON,380254122054801,7/26/2018 11:10,38.06351,-122.06278,,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENBR,11455780,7/26/2018 11:20,38.04670,-122.10912,23.92,25.77,0.54,3.21,39.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZ,380631122032201,7/26/2018 11:47,38.09556,-122.06762,,,,3.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZ,380631122032201,7/26/2018 11:50,38.10787,-122.05627,22.09,25.69,0.48,3.40,40.69,2.85,3.51,,,25.62,1.35,0.00,2.33,0.070,0.050,0.011,0.006,0.004,0.018,0.017,0.017,0.012,0.565,0.042,0.108,0.182,0.267,0.270,0.105,0.192,0.870,1.543,,,,,,,
GRZ,380631122032201,7/26/2018 12:19,38.12079,-122.05388,,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZ,380631122032201,7/26/2018 12:24,38.13165,-122.02682,,,,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZSIM,380724121593001,7/26/2018 12:26,38.12894,-122.01797,,,,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZSIM,380724121593001,7/26/2018 12:29,38.11568,-122.01224,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZBUCK,380605122012101,7/26/2018 12:35,38.09895,-122.02895,,,,3.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAG,380414121580401,7/26/2018 12:42,38.08092,-121.98344,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAG,380414121580401,7/26/2018 12:46,38.07069,-121.95718,,,,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONK,380408121560801,7/26/2018 12:50,38.06862,-121.93332,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIM,11455530,7/26/2018 13:14,38.05845,-121.96368,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLD,11185185,7/26/2018 13:18,38.04883,-121.93195,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFL,11455508,7/26/2018 13:25,38.04931,-121.88747,1.65,19.22,0.47,2.44,30.70,3.89,3.15,,,10.37,1.56,0.00,2.02,0.057,0.040,0.009,0.004,0.003,0.019,0.017,0.017,0.011,0.462,0.046,0.105,0.158,0.227,0.231,0.087,0.166,0.863,1.579,,,,,,,
BROWN,380232121521601,7/26/2018 13:40,38.03162,-121.86501,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRANT,380118121482301,7/26/2018 13:44,38.02767,-121.83219,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRANT,380118121482301,7/26/2018 13:48,38.02314,-121.80054,,,,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRANT,380118121482301,7/26/2018 13:53,38.02805,-121.75918,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT6,380205121424501,7/26/2018 13:57,38.03138,-121.72639,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPT,11337190,7/26/2018 14:05,38.05307,-121.68944,0.36,8.62,0.46,1.88,17.13,11.85,3.12,11.40,2.10,230.56,32.44,1760.16,1.92,0.050,0.036,0.007,0.004,0.003,0.020,0.017,0.018,0.011,0.407,0.132,0.108,0.147,0.200,0.199,0.072,0.140,0.830,1.620,5,305,122647820,8,3216992,313,125864812
JPT,11337190,7/26/2018 14:38,38.04239,-121.79118,,,,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,11455478,10/17/2018 9:07,38.09417,-121.73630,7.96,25.05,1.54,2.52,39.26,2.09,2.55,,,6.57,1.56,0.00,2.21,0.049,0.034,0.007,0.003,0.002,0.022,0.018,0.019,0.009,0.369,0.238,0.175,0.170,0.188,0.190,0.069,0.128,0.706,1.617,5,228,18336854,44,3538691,272,21875546
DEC,11455478,10/17/2018 9:26,38.07722,-121.76674,,,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSAC,380345121491401,10/17/2018 9:31,38.06196,-121.79619,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTSAC,380345121491401,10/17/2018 9:36,38.06504,-121.82985,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFL,11455508,10/17/2018 9:42,38.05828,-121.87000,,,,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFL,11455508,10/17/2018 9:45,38.04931,-121.88747,11.55,22.20,0.74,2.67,34.98,1.55,1.15,0.81,0.68,5.35,0.00,0.00,2.01,0.054,0.039,0.008,0.004,0.003,0.019,0.017,0.017,0.009,0.434,0.067,0.109,0.157,0.220,0.217,0.082,0.152,0.838,1.555,5,228,18336854,0,0,228,18336854
MAL,381142122015801,10/17/2018 10:37,38.04468,-121.91855,20.95,20.75,0.65,2.72,37.84,1.48,0.93,,,0.00,0.98,0.00,1.98,0.053,0.038,0.008,0.004,0.003,0.019,0.017,0.018,0.010,0.431,0.081,0.116,0.162,0.221,0.216,0.081,0.150,0.833,1.585,5,311,138956182,2,893609,313,139849791
SFDUT,380336121584801,10/17/2018 10:54,38.05649,-121.95745,,,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,380354122020601,10/17/2018 11:00,38.05990,-122.00251,,,,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,380354122020601,10/17/2018 11:04,38.06353,-122.03245,,,,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAV,11455760,10/17/2018 11:11,38.06292,-122.06223,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFAVON,380254122054801,10/17/2018 11:16,38.05106,-122.09394,45.35,23.45,1.03,3.23,58.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENBR,11455780,10/17/2018 11:20,38.04722,-122.11201,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOD,380447122045401,10/17/2018 11:46,38.07112,-122.09077,,,,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOD,380447122045401,10/17/2018 11:50,38.09123,-122.07374,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZ,380631122032201,10/17/2018 11:55,38.10787,-122.05627,25.37,21.95,0.63,2.91,38.55,1.48,0.67,,,0.00,0.00,5.20,2.06,0.053,0.037,0.008,0.004,0.003,0.019,0.017,0.018,0.010,0.428,0.074,0.110,0.159,0.219,0.211,0.081,0.143,0.837,1.559,5,314,210444893,0,0,314,210444893
UGZ,380756122004201,10/17/2018 12:18,38.12654,-122.03293,,,,2.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRZBUCK,380605122012101,10/17/2018 12:26,38.10806,-122.01980,,,,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIMCUT,380525122003001,10/17/2018 12:30,38.09026,-122.01043,,,,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAG,380414121580401,10/17/2018 12:35,38.06913,-121.98176,,,,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONK,380408121560801,10/17/2018 12:44,38.07399,-121.94837,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HONK,380408121560801,10/17/2018 12:52,38.06973,-121.92238,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIM,11455530,10/17/2018 12:57,38.05089,-121.93398,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIP,380259121550302,10/17/2018 13:02,38.04486,-121.89890,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROWN,380216121521801,10/17/2018 13:07,38.03178,-121.86518,,,,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRANT,380118121482301,10/17/2018 13:14,38.02816,-121.83248,,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRANT,380118121482301,10/17/2018 13:19,38.02419,-121.79398,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRANT,380118121482301,10/17/2018 13:25,38.02802,-121.76235,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJRT6,380205121424501,10/17/2018 13:30,38.03237,-121.72570,,,,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPT,11337190,10/17/2018 13:36,38.05307,-121.68944,2.33,19.11,0.52,2.33,29.98,2.02,0.98,0.72,0.53,1.64,0.78,0.00,1.97,0.053,0.038,0.008,0.004,0.003,0.019,0.017,0.018,0.009,0.425,0.049,0.113,0.145,0.219,0.214,0.081,0.148,0.846,1.551,5,220,17693456,21,1688921,241,19382377
SJRT7,380353121403701,10/17/2018 13:50,38.06599,-121.67859,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMS,11337080,10/17/2018 13:55,38.09622,-121.68595,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMS,11337080,10/17/2018 14:04,38.10858,-121.69292,,,,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOV,11455420,10/17/2018 14:10,38.12119,-121.69973,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIOV,11455420,10/17/2018 14:16,38.15397,-121.68702,,,,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCH41,11455385,10/17/2018 14:20,38.17350,-121.67078,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCH,11455350,10/17/2018 14:25,38.19291,-121.65824,14.69,23.85,2.18,2.80,47.12,0.87,0.77,0.53,0.41,0.00,0.00,5.20,1.75,0.045,0.032,0.007,0.003,0.002,0.019,0.017,0.018,0.008,0.358,0.113,0.098,0.129,0.180,0.183,0.065,0.124,0.811,1.614,5,30,2412744,36,2895293,66,5308037
CCH FD,11455350,10/17/2018 14:41,38.19291,-121.65824,14.99,23.92,2.14,2.74,47.12,0.90,1.00,0.50,0.48,0.00,0.00,5.20,1.70,0.045,0.032,0.007,0.004,0.003,0.019,0.017,0.018,0.008,0.336,0.094,0.094,0.133,0.180,0.190,0.064,0.127,0.809,1.589,5,132,10616074,46,3699541,178,14315614
CCH41,11455385,10/17/2018 15:00,38.21998,-121.67266,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIB,11455315,10/17/2018 15:05,38.24290,-121.68354,15.55,20.77,2.21,2.87,48.55,0.72,0.59,0.35,0.22,25.10,0.00,0.00,1.80,0.045,0.032,0.007,0.004,0.003,0.019,0.017,0.018,0.008,0.346,0.239,0.119,0.130,0.181,0.179,0.066,0.121,0.769,1.595,5,72,5790586,6,482549,78,6273134
SCC,381533121413201,10/17/2018 15:34,38.26436,-121.69199,,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCC,381533121413201,10/17/2018 15:39,38.28606,-121.69261,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSB,381829121413401,10/17/2018 15:44,38.30791,-121.69302,2.54,14.19,1.49,2.91,26.41,1.55,1.06,0.41,0.27,0.13,1.76,0.00,3.74,0.103,0.076,0.017,0.008,0.005,0.018,0.016,0.018,0.012,0.810,0.122,0.173,0.268,0.417,0.438,0.158,0.299,0.858,1.585,5,318,142083813,0,0,318,142083813
SHG,11455276,10/17/2018 16:18,38.31453,-121.69290,,,,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,382010121402301,10/17/2018 16:28,38.32852,-121.68474,,,,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,382010121402301,10/17/2018 16:36,38.33610,-121.67324,1.03,1.43,0.10,7.14,24.99,1.57,1.12,0.81,0.37,12.65,0.94,0.00,4.02,0.111,0.082,0.018,0.009,0.006,0.017,0.016,0.017,0.012,0.852,0.103,0.195,0.286,0.434,0.463,0.172,0.321,0.869,1.599,5,302,50600603,14,2345723,316,52946327
WLD,382006121401601,10/17/2018 16:51,38.33604,-121.67041,,,,5.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCT,11455146,10/17/2018 16:59,38.30199,-121.66729,,,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCTFIVE,381749121400201,10/17/2018 17:04,38.27110,-121.66756,,,,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROFIVE,381424121405601,10/17/2018 17:10,38.25047,-121.67386,,,,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCH,11455350,10/17/2018 17:15,38.22439,-121.67404,,,,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCH41,11455385,10/17/2018 17:19,38.20019,-121.65769,,,,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOK,11336930,10/18/2018 8:15,38.10860,-121.57629,21.18,20.29,1.77,2.55,49.26,0.95,0.71,0.45,0.29,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,5,66,5308037,0,0,66,5308037
NMR,380837121333401,10/18/2018 8:42,38.12893,-121.57648,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,380837121333401,10/18/2018 8:50,38.14404,-121.55921,22.28,20.49,1.77,2.51,49.26,0.98,0.67,,,0.00,0.00,0.00,1.68,0.037,0.026,0.005,0.002,0.002,0.020,0.018,0.019,0.014,0.279,0.185,0.107,0.100,0.148,0.156,0.057,0.106,0.759,1.645,,,,,,,
NMR,380837121333401,10/18/2018 9:00,38.15710,-121.53463,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,380837121333401,10/18/2018 9:05,38.18372,-121.52502,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFM,11336685,10/18/2018 9:08,38.19959,-121.52391,,,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFM,11336685,10/18/2018 9:15,38.22240,-121.50739,31.02,16.07,1.53,2.63,52.83,1.33,0.95,0.90,0.56,0.00,0.00,0.00,1.59,0.037,0.027,0.005,0.003,0.002,0.019,0.017,0.019,0.015,0.282,0.181,0.099,0.110,0.148,0.155,0.056,0.107,0.777,1.613,5,44,3538691,35,2814868,79,6353559
NEWHOPE,11336680,10/18/2018 9:34,38.22030,-121.49643,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAV,381215121264901,10/18/2018 9:39,38.20242,-121.47775,,,,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAV,381215121264901,10/18/2018 9:57,38.19572,-121.46420,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOG,381009121273601,10/18/2018 10:08,38.16752,-121.49431,,,,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOG,381009121273601,10/18/2018 10:24,38.17019,-121.45479,,,,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD6,380831121301301,10/18/2018 10:40,38.14177,-121.50413,1.15,1.43,0.22,1.50,15.71,1.72,0.88,0.88,0.40,2.50,0.00,0.00,2.05,0.053,0.038,0.008,0.004,0.002,0.018,0.017,0.018,0.014,0.447,0.149,0.113,0.142,0.217,0.246,0.094,0.171,0.848,1.548,5,246,19784501,14,1125947,260,20910448
SYC,380831121281201,10/18/2018 11:05,38.14139,-121.46890,3.50,10.15,0.84,1.19,22.13,13.71,1.96,,,13.60,3.69,0.00,2.27,0.058,0.042,0.009,0.005,0.003,0.018,0.016,0.018,0.012,0.469,0.267,0.133,0.146,0.220,0.239,0.091,0.170,0.804,1.571,,,,,,,
MD6,380831121301301,10/18/2018 11:31,38.12317,-121.49975,,,,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPS,11336790,10/18/2018 11:50,38.09618,-121.49534,6.46,21.18,1.99,1.89,36.41,1.44,0.97,,,0.00,0.00,0.00,2.16,0.059,0.043,0.010,0.005,0.003,0.018,0.016,0.018,0.012,0.488,0.083,0.113,0.159,0.235,0.257,0.100,0.180,0.865,1.564,,,,,,,
