Dataset_Label,Dataset_Description,Definition_Source,Column_Label,Column_Definition,range_min,range_max,attribute_unit,attribute_resolution,enumerated_value,enumerated_definition
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Cpg650_WLM,"Attenuation at 650 nm, nonfiltered water sample; field measurement using Wetlabs sensor while mapping underway (Wetstar, c-star, or eco)",,,,,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Cpg650_WLM,"Attenuation at 650 nm, nonfiltered water sample; field measurement using Wetlabs sensor while mapping underway (Wetstar, c-star, or eco)",1.60,13.89,(1/m) per meter,0.01,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,WTemp_00010_TSG,"Temperature, water; NWIS parameter code (pCode) = 00010; field measurement using Seabird Model SB45 Thermosalinograph",,,,,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,WTemp_00010_TSG,"Temperature, water; NWIS parameter code (pCode) = 00010; field measurement using Seabird Model SB45 Thermosalinograph",2.0,27.1,(DEG C) degrees Celsius,0.1,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,SC_00095_TSG,"Specific conductance, water, nonfiltered; NWIS parameter code (pCode) = 00095; field measurement using Seabird Model SB45 Thermosalinograph",,,,,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,SC_00095_TSG,"Specific conductance, water, nonfiltered; NWIS parameter code (pCode) = 00095; field measurement using Seabird Model SB45 Thermosalinograph",34,1055,(uS/cm) microsiemens per centimeter at 25 degrees Celsius,1,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Salinity_00480_TSG,"Salinity, water, nonfiltered; NWIS parameter code (pCode) = 00480; field measurement using Seabird Model SB45 Thermosalinograph",,,,,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Salinity_00480_TSG,"Salinity, water, nonfiltered; NWIS parameter code (pCode) = 00480; field measurement using Seabird Model SB45 Thermosalinograph",0.012,0.597,(PSU) practical salinity unit (PSU),0.001,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,WTemp_00010_XOM,"Temperature, water; NWIS parameter code (pCode) = 00010; field measurement using YSI EXO2 while mapping underway",9.0,27.0,(DEG C) degrees Celsius,0.1,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,SC_00095_XOM,"Specific conductance, water, nonfiltered; NWIS parameter code (pCode) = 00095; field measurement using YSI EXO2 while mapping underway",41,1402,(uS/cm) microsiemens per centimeter at 25 degrees Celsius,1,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Salinity_XOM,"Salinity, water, nonfiltered; field measurement using YSI EXO2 while mapping underway",0.02,0.71,(PSU) practical salinity unit,0.01,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,pH_00400_XOM,"pH, water, nonfiltered, field; NWIS parameter code (pCode) = 00400; field measurement using YSI EXO2 while mapping underway",7.08,9.33,(unitless) no units,0.01,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,DO_00300_XOM,"Dissolved oxygen, water, nonfiltered; NWIS parameter code (pCode) = 00300; field measurement using YSI EXO2 (XOM) while mapping underway",6.3,12.5,(mg/L) milligrams per liter,0.1,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,DOsat_00301_XOM,"Dissolved oxygen, water, nonfiltered, percent saturated; NWIS parameter code (pCode) = 00301; field measurement using YSI EXO2 while mapping underway",73.5,117.5,(%sat) percent of saturation,0.1,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,Turb_63680_XOM,"Turbidity, water, nonfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees; NWIS parameter code (pCode) = 63680; field measurement using YSI EXO2 while mapping underway",1.4,77.9,(FNU) formazin nephelometric units,0.1,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,FDOM_32295_XOM,"Dissolved organic matter fluorescence (fDOM), water, in situ, concentration estimated from reference material; NWIS parameter code (pCode) = 32295; field measurement using YSI EXO2 while mapping underway",9.5,103.5,(QSE) micrograms per liter as quinine sulfate equivalents,0.1,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,fCHL_32316_XOM,"Chlorophyll fluorescence (fChl), water, in situ, concentration estimated from reference material; NWIS parameter code (pCode) = 32316; field measurement using YSI EXO2 while mapping underway",0.00,14.45,(ug/L) micrograms per liter as chlorophyll,0.01,<<BLANK CELL>>,"null, no value"
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,fBGA_XOM,Bluegreen algae fluorescence; field measurement using YSI EXO2 while mapping underway,-1.18,0.69,(RFU) relative fluorescence unit,0.01,,
FTS_water_quality_20s_median.csv,Comma Separated Value (CSV) file containing data collected during the four sampling events from a boat mounted flow through system (FTS).,Producer Defined,GAlgae_FPM,"Green algae, field measurement using Fluoroprobe BBE Instrument (FPM); measures algal pigments",0.00,20.34,(ug/L) micrograms of chlorophyll-a per liter,0.01,<<BLANK CELL>>,"null, no value"
