Timestamp (PST),Field ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Total Chla (µg/L) DS,Chla >5.0 micron (µg/L) DS,% Chla> 5.0 micron,Pheophytin (ug/L) DS,Pheophytin >5.0 microns (µg/L ) DS,HPLC Chla (µg/L) DS,HPLC Chlb (µg/L) DS,HPLC Fucoxanthin (µg/L) DS,HPLC Alloxanthin (µg/L) DS,HPLC Zeaxanthin (µg/L) DS,DOC (mg/L) DS,Phycocyanin (µg/L) DS,Allophycocyanin (µg/L) DS,Phycoerythrin (µg/L) DS,NH4 (µM) DS,NO2 (µM) DS,NO2 + NO3 (µM) DS,PO4 (µM) DS,TDN (µM) DS,DON Calc (µM) DS,DIN Calc (µM) DS,H2O Delta 18O (‰) DS,H2O Delta 2H (‰) DS,NO3 Delta 15N (‰) DS,NO3 Delta 18O (‰) DS,NH4 Delta 15N (‰) DS,DOM Delta 13C (‰) DS,DOM Delta 15N (‰) DS,DOM Delta 34S (‰) DS,DOM C:N Ratio (AT),DOM C:S Ratio (AT),POM Delta 13C (‰) DS,POM Delta 15N (‰) DS,POM C:N Ratio (AT),POM %C (Wt.),POM %N (Wt.),DOM %C (Wt.),DOM %N (Wt.),DOM %S (Wt.),DOM N:S Ratio (AT),UV Slope Ratio,A254 (AU/cm) DS,A280 (AU/cm) DS,A350 (AU/cm) DS,A370 (AU/cm) DS,A412 (AU/cm) DS,A440 (AU/cm) DS,A488 (AU/cm) DS,A510 (AU/cm) DS,A532 (AU/cm) DS,A555 (AU/cm) DS,Sag 275-295 nm DS,Sag 290-350 nm DS,Sag 350-400 nm DS,Sag 412-600 nm DS,Peak A (RU) DS,Peak B (RU) DS,Peak T (RU) DS,Peak N (RU) DS,Peak M (RU) DS,Peak C (RU) DS,Peak D (RU) DS,Peak fDOM (RU) DS,FI DS,HIX DS,OMRL HI Ohno 2008,Picocyanobacteria aliquot (mL) DS,Picocyanobacteria PC-Rich Tally DS,Picocyanobacteria PC-Rich Density (cells/L) DS,Picocyanobacteria PE-Rich Tally DS,Picocyanobacteria PE-Rich Density (cells/L) DS,Picocyanobacteria Total Tally DS,Picocyanobacteria Total Density (cells/L)  DS
2018-05-30 14:40:00,DWS,38.34252,-121.64474,6.9023,2.4436,0.3540,,1.1263,4.9410,0.3140,0.8540,0.2620,0.1110,2.5150,,,5.1975,0.8281,0.1035,6.2109,3.6482,19.5609,12.4183,7.0391,-8.4300,-64.2700,4.9112,-3.5571,,-28.1400,9.5300,-0.8946,23.7381,158.8603,-28.7272,6.1304,9.0904,1.4019,0.1799,39.8800,1.9600,0.6715,6.6922,1.0842,0.0666,0.0473,0.0128,0.0090,0.0044,0.0029,0.0016,0.0012,0.0010,0.0008,0.0202,0.0184,0.0186,0.0118,0.5548,0.1115,0.1506,0.2113,0.2724,0.2569,0.0996,0.1769,1.5695,0.0448,0.8405,5.0000,306.0000,68361080.0000,7.0000,1563815.5556,313.0000,69924895.5556
2018-05-30 15:15:00,DWS1,38.258225,-121.66637,1.7466,0.6703,0.3838,1.7005,0.5435,1.4960,0.0920,0.1760,0.0910,0.0910,2.0163,15.3708,2.7033,,16.0628,1.7562,15.5630,2.4246,41.0493,7.6673,31.6258,-10.2400,-74.0500,4.0337,-6.2313,11.5722,-28.1908,9.3478,0.8121,22.7861,172.4149,-28.2331,2.3769,9.6728,1.4365,0.1733,40.7240,2.0851,0.6318,7.5667,1.0140,0.0535,0.0384,0.0113,0.0080,0.0040,0.0026,0.0014,0.0011,0.0009,0.0008,0.0188,0.0172,0.0185,0.0120,0.4235,0.0837,0.1182,0.1662,0.2178,0.2189,0.0812,0.1484,1.6312,0.0329,0.8393,4.0000,254.0000,53197654.1667,65.0000,13613572.9167,319.0000,66811227.0833
2018-05-30 15:50:00,CHS,38.292375,-121.724755,1.6758,0.3833,0.2287,1.4072,0.4654,1.3980,0.1090,0.1590,0.0890,0.2840,2.8430,11.8258,0.3694,,1.8419,1.2279,10.4229,5.0365,25.4862,11.9935,12.2648,-9.4500,-69.5800,6.0833,-4.3311,,-27.5400,5.3500,-0.6582,17.1029,151.9931,-28.0884,5.2897,8.8625,1.1458,0.1508,48.6700,3.3200,0.8566,8.8870,1.0307,0.0759,0.0547,0.0163,0.0115,0.0057,0.0038,0.0020,0.0016,0.0013,0.0011,0.0187,0.0170,0.0182,0.0119,0.5981,0.1569,0.1724,0.2349,0.3046,0.2933,0.1097,0.1970,1.5947,0.0444,0.8277,5.0000,576.0000,231623424.0000,9.0000,3619116.0000,585.0000,235242540.0000
2018-05-30 16:20:00,CCH,38.214065,-121.66847,1.1329,0.5759,0.5083,1.3917,0.5019,1.1320,0.1060,0.1960,0.0710,0.0740,1.9832,,,5.1975,1.6134,1.3064,10.0660,4.8105,25.1293,12.1434,11.6794,-10.5400,-75.8300,4.1390,-5.9491,,-28.1646,11.4547,1.2460,24.3536,176.2756,-27.7219,1.9045,10.6824,0.9945,0.1086,40.9723,1.9628,0.6218,7.2382,0.9978,0.0515,0.0372,0.0111,0.0078,0.0039,0.0027,0.0013,0.0011,0.0010,0.0008,0.0186,0.0169,0.0186,0.0115,0.4152,0.0948,0.1266,0.1598,0.2072,0.2101,0.0769,0.1437,1.5671,0.0316,0.8234,5.0000,280.0000,31276311.1111,65.0000,7260572.2222,345.0000,38536883.3333
2018-05-30 16:50:00,RIOV,38.15887,-121.68533,2.0062,0.7775,0.3875,0.4456,0.5434,1.3200,0.0820,0.2660,0.0810,0.0610,2.1549,,,5.1975,17.5619,2.2416,19.0611,2.2277,45.4040,6.5393,36.6231,-10.6800,-76.2600,4.9168,-5.4494,12.5720,-28.1781,13.0043,1.6763,21.9298,158.6536,-28.1440,2.1886,9.8791,1.1363,0.1342,35.5420,1.8908,0.5993,7.2346,0.9979,0.0481,0.0347,0.0103,0.0072,0.0036,0.0025,0.0014,0.0011,0.0009,0.0008,0.0188,0.0172,0.0188,0.0106,0.3910,0.1126,0.1168,0.1465,0.1972,0.1976,0.0682,0.1336,1.5190,0.0302,0.8164,5.0000,328.0000,23552977.1429,60.0000,4308471.4286,388.0000,27861448.5714
2018-10-16 09:40:00,MIN,38.25487,-121.65487,1.3375,0.4749,0.3551,0.1255,0.3476,0.6200,0.0390,0.1010,0.0370,0.0060,1.7128,,,,38.7648,1.5420,18.2045,3.2608,65.5360,7.0248,56.9692,-11.0100,-80.1000,4.6989,-4.9982,9.4200,,,,,,-27.7269,0.9032,9.7566,1.2595,0.1506,,,,,1.1513,0.0379,0.0269,0.0074,0.0052,0.0024,0.0016,0.0008,0.0007,0.0005,0.0004,0.0214,0.0176,0.0186,0.0121,0.2890,0.2285,0.1381,0.1249,0.1594,0.1596,0.0587,0.1120,1.6513,0.0228,0.7031,5.0000,26.0000,2091044.8000,28.0000,2251894.4000,54.0000,4342939.2000
2018-10-16 10:15:00,DWS,38.339765,-121.6452,2.2423,1.3665,0.6094,1.0835,1.7255,1.4130,0.0980,0.1510,0.0750,0.0550,2.1245,5.3505,,2.5306,,,,,,,,-9.4000,-70.4400,,,,,,,,,-26.6385,6.0372,8.8400,0.9626,0.1270,,,,,1.1307,0.0545,0.0383,0.0107,0.0076,0.0037,0.0025,0.0014,0.0011,0.0009,0.0007,0.0202,0.0179,0.0178,0.0112,0.4311,0.0632,0.1286,0.1628,0.2207,0.2142,0.0794,0.1449,1.5550,0.0369,0.8201,5.0000,306.0000,64763128.4211,3.0000,634932.6316,309.0000,65398061.0526
2018-10-16 10:50:00,DWS1,38.2574,-121.66678,0.8922,0.3370,0.3778,0.8265,0.4815,0.5790,0.0290,0.0530,0.0650,0.0090,1.9659,,,,1.6919,1.5706,16.7767,2.8701,33.1250,14.6564,18.4686,-10.6500,-77.0100,5.7529,-7.0197,,,,,,,-26.1718,2.8455,9.3379,0.9057,0.1132,,,,,1.0495,0.0481,0.0343,0.0102,0.0072,0.0036,0.0024,0.0014,0.0013,0.0009,0.0007,0.0188,0.0171,0.0179,0.0105,0.3877,0.0619,0.1099,0.1412,0.1971,0.1995,0.0734,0.1364,1.6063,0.0308,0.8222,5.0000,68.0000,54688864.0000,22.0000,17693456.0000,90.0000,72382320.0000
2018-10-16 11:25:00,PCT,38.237545,-121.68328,0.9205,0.5004,0.5436,0.9827,1.0144,0.4890,0.0440,0.0610,0.0590,0.0060,1.7699,,,10.3950,15.2061,1.9061,19.7036,3.4222,43.5479,6.7321,34.9097,-10.7400,-78.3300,6.1148,-6.0152,13.7300,,,,,,-26.2512,4.1412,9.7295,1.1019,0.1321,,,,,1.0331,0.0446,0.0319,0.0094,0.0067,0.0035,0.0021,0.0013,0.0010,0.0008,0.0007,0.0188,0.0172,0.0182,0.0106,0.3503,0.0516,0.1015,0.1348,0.1834,0.1839,0.0670,0.1262,1.6369,0.0262,0.8359,5.0000,12.0000,965097.6000,16.0000,1286796.8000,28.0000,2251894.4000
2018-10-16 12:10:00,TOE,38.344065,-121.64715,2.3839,1.0857,0.4554,1.4759,1.1670,1.6010,0.3500,0.0630,0.0750,0.0200,2.6672,,,5.1975,1.3635,0.4076,5.1401,2.9864,17.6333,10.7221,6.5036,-9.9000,-73.4300,7.1860,-3.1866,,,,,,,-22.8999,5.6849,8.5329,1.0249,0.1401,,,,,1.0856,0.0705,0.0517,0.0162,0.0116,0.0060,0.0040,0.0022,0.0018,0.0015,0.0013,0.0181,0.0161,0.0167,0.0109,0.5135,0.1213,0.1566,0.1952,0.2596,0.2598,0.1013,0.1831,1.5602,0.0428,0.8215,5.0000,92.0000,7399081.6000,8.0000,643398.4000,100.0000,8042480.0000
2018-10-16 13:15:00,LHTSE,38.29013,-121.66217,1.6201,2.9079,,1.1026,-0.6939,0.9120,0.0400,0.2230,0.0590,0.0120,2.1871,2.1889,0.7780,,5.4399,1.5349,15.8486,2.8475,30.4835,7.6601,21.2885,-10.3700,-76.7600,6.4379,-5.3976,13.3100,,,,,,-20.9321,6.7258,10.5934,1.9111,0.2105,,,,,1.0506,0.0551,0.0398,0.0120,0.0085,0.0043,0.0029,0.0016,0.0013,0.0011,0.0009,0.0185,0.0168,0.0176,0.0107,0.4315,0.0828,0.1201,0.1461,0.2152,0.2168,0.0823,0.1531,1.5627,0.0355,0.8357,5.0000,48.0000,3860390.4000,16.0000,1286796.8000,64.0000,5147187.2000
2018-10-16 13:35:00,LCT,38.32999,-121.66741,1.8174,0.2974,0.1636,0.4693,0.3775,0.7080,0.0400,0.0440,0.0880,0.0380,2.7507,,0.9823,,7.0391,1.4421,15.2775,2.8895,30.8405,7.0819,22.3165,-9.5100,-70.6500,,,,,,,,,-28.0275,10.2079,7.6769,0.7380,0.1122,,,,,1.0354,0.0781,0.0567,0.0171,0.0121,0.0059,0.0039,0.0021,0.0017,0.0014,0.0011,0.0183,0.0168,0.0177,0.0117,0.6191,0.0577,0.1460,0.2118,0.3100,0.3221,0.1236,0.2262,1.5888,0.0544,0.8656,5.0000,254.0000,20427899.2000,20.0000,1608496.0000,274.0000,22036395.2000
2018-10-16 14:00:00,SSB,38.3069,-121.69273,3.1769,0.6326,0.1991,0.1585,0.4841,2.2260,0.1620,0.0550,0.2520,0.1550,3.8423,0.1391,1.7603,,1.7348,0.1485,1.4278,3.7773,16.9908,13.6798,3.1626,-9.0800,-67.6300,,,,,,,,,-33.1752,6.3106,7.1540,1.1702,0.1908,,,,,0.9951,0.1071,0.0781,0.0242,0.0172,0.0083,0.0055,0.0029,0.0022,0.0019,0.0015,0.0177,0.0165,0.0178,0.0123,0.8413,0.0512,0.1869,0.2904,0.4308,0.4444,0.1603,0.3018,1.5956,0.0683,0.8760,5.0000,342.0000,196466297.1429,3.0000,1723388.5714,345.0000,198189685.7143
2018-10-16 14:15:00,FRI,38.26949,-121.69417,0.9063,0.4249,0.4688,0.8124,0.8569,0.8640,0.0380,0.0950,0.1130,0.0150,2.2806,4.9938,,,0.3570,0.3113,1.4278,6.0373,22.3451,20.2491,1.7848,-10.3900,-75.7200,,,,,,,,,-26.4019,4.5286,9.0183,0.7603,0.0984,,,,,1.0661,0.0600,0.0434,0.0132,0.0095,0.0048,0.0032,0.0018,0.0016,0.0013,0.0011,0.0183,0.0167,0.0172,0.0100,0.4588,0.0424,0.1215,0.1712,0.2312,0.2329,0.0856,0.1611,1.6369,0.0377,0.8438,5.0000,62.0000,4986337.6000,10.0000,804248.0000,72.0000,5790585.6000
2018-10-16 14:40:00,CHS,38.292505,-121.725,1.1943,0.3805,0.3186,0.6118,0.4031,1.2300,0.0450,0.0710,0.1700,0.0200,2.7344,,,,1.3564,0.5933,6.4965,4.0679,23.3445,15.4916,7.8529,-9.9600,-73.8700,7.2086,-3.2458,,,,,,,-27.5309,6.2332,8.9751,0.8390,0.1091,,,,,1.0307,0.0754,0.0552,0.0172,0.0124,0.0061,0.0040,0.0023,0.0018,0.0015,0.0012,0.0176,0.0164,0.0171,0.0114,0.5499,0.0589,0.1527,0.2067,0.2865,0.2821,0.1078,0.1984,1.6092,0.0422,0.8488,5.0000,74.0000,5951435.2000,14.0000,1125947.2000,88.0000,7077382.4000
2018-10-16 15:10:00,LIB,38.243055,-121.68381,0.7553,0.5476,0.7250,0.4604,0.4137,0.5300,0.0370,0.0770,0.0510,0.0110,1.8285,,,,8.4954,1.9704,17.1336,2.8540,38.1223,10.5229,25.6290,-10.6500,-77.3800,6.1793,-5.7930,13.8400,,,,,,-26.9842,3.2532,9.4761,0.6889,0.0848,,,,,1.0255,0.0482,0.0348,0.0105,0.0075,0.0038,0.0026,0.0016,0.0013,0.0011,0.0010,0.0181,0.0169,0.0176,0.0092,0.3748,0.0363,0.1073,0.1342,0.1925,0.1919,0.0732,0.1364,1.5867,0.0299,0.8469,5.0000,200.0000,16084960.0000,136.0000,10937772.8000,336.0000,27022732.8000
2018-10-16 15:15:00,LIB REP,38.24304,-121.68343,0.6703,0.3871,0.5775,0.3816,0.6034,0.5340,0.0370,0.0870,0.0460,0.0100,1.8732,13.7978,,,11.0655,2.2845,17.2050,2.7733,41.4776,10.9227,28.2704,-10.6500,-78.5300,6.0628,-5.4964,14.2500,,,,,,-27.3207,2.7856,8.6127,0.7696,0.1043,,,,,1.0414,0.0476,0.0342,0.0103,0.0073,0.0038,0.0026,0.0015,0.0013,0.0012,0.0009,0.0184,0.0170,0.0177,0.0095,0.3679,0.0252,0.1042,0.1327,0.1910,0.1905,0.0717,0.1322,1.5821,0.0295,0.8420,5.0000,78.0000,6273134.4000,28.0000,2251894.4000,106.0000,8525028.8000
2018-10-16 15:40:00,CCH41,38.19404,-121.658143,1.0102,0.4437,0.4393,1.2086,0.8477,0.6470,0.0380,0.0900,0.0680,0.0110,1.7529,,0.9823,,10.3516,2.1703,17.4906,2.7313,40.5495,10.5372,27.8421,-10.7600,-77.7800,6.1167,-5.7841,14.2600,,,,,,-26.7292,3.6139,9.2960,0.9272,0.1164,,,,,1.0245,0.0455,0.0326,0.0098,0.0069,0.0035,0.0025,0.0015,0.0012,0.0012,0.0010,0.0181,0.0170,0.0177,0.0085,0.3587,0.0265,0.1025,0.1338,0.1889,0.1896,0.0680,0.1304,1.6203,0.0280,0.8500,5.0000,20.0000,1608496.0000,2.0000,160849.6000,22.0000,1769345.6000
2018-10-16 16:00:00,RIOV,38.15822,-121.68593,0.9488,0.5759,0.6070,1.3379,0.5408,0.7870,0.0330,0.1120,0.0800,0.0080,1.7809,,,,13.9211,2.0203,22.3451,2.7055,44.3332,8.0671,36.2661,-10.7700,-78.4900,6.3808,-5.2739,14.8700,,,,,,-27.0236,1.8836,9.3760,0.8074,0.1005,,,,,1.0304,0.0447,0.0320,0.0095,0.0067,0.0034,0.0023,0.0014,0.0012,0.0010,0.0009,0.0185,0.0171,0.0180,0.0089,0.3511,0.0605,0.1048,0.1270,0.1863,0.1861,0.0673,0.1266,1.5782,0.0278,0.8374,5.0000,12.0000,965097.6000,14.0000,1125947.2000,26.0000,2091044.8000
2018-05-30 11:20:00,LHTSE,38.28972,-121.66155,2.0343,0.2030,0.0998,2.5780,0.6078,3.1330,0.2640,0.8570,0.0950,0.2480,2.9723,57.8027,3.4813,,1.7419,0.6575,5.4970,3.9388,21.2028,13.9639,7.2389,-9.0300,-67.8000,5.8088,-4.5457,,-27.3200,9.0100,-1.5704,20.2468,151.5164,-25.9247,5.3819,9.6555,1.6515,0.1995,41.1300,2.3700,0.7261,7.4835,1.0453,0.0829,0.0599,0.0177,0.0125,0.0061,0.0040,0.0020,0.0016,0.0013,0.0010,0.0188,0.0171,0.0180,0.0132,0.6712,0.1818,0.1942,0.2463,0.3294,0.3235,0.1240,0.2226,1.5725,0.0544,0.8250,5.0000,560.0000,225189440.0000,6.0000,2412744.0000,566.0000,227602184.0000
