CL ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Location,Subregions,"Time Period (Month, Year)",NH4 (?M) (Tline) SA,NO3 (?M) (SUNA) SA,DIN (µM) SA,estDON (?M) SA,TDN (µM) SA,estDOC (mg/L) SA,fDOM (QSU) (WS) SA,fCHL (?g/L) (WS) SA, Temp (?C) (TSG) SA, Cond (?S/cm) (TSG) SA, Salinity (PSU) (TSG) SA, Temp (?C) (EXO) SA,Sp Cond (?S/cm) (EXO) SA,pH (EXO) SA,DO (mg/L) (EXO) SA,DO (%) (EXO) SA,Turb (FNU) (EXO) SA,fDOM (QSU) (EXO) SA,fCHL (?g/L) (EXO) SA,Bluegreen (?g/L) (EXO) SA,Green Algae (?g/L) (FP) SA,Bluegreen (?g/L) (FP) SA,Diatoms (?g/L) (FP) SA,Cryptophyta (?g/L) (FP) SA,Total Conc (?g/L) (FP) SA,? (days) (Picarro) SA
A2373,38.292583,-121.692778,Shag Slough,Cache Slough Complex,May 2018,0.535429,4.892822,5.436677,18.54852,23.97129,3.720624,47.52175,4.702757,20.48272,274.2848,0.145038,20.47878,284.7144,8.221688,9.098263,101.0701,6.324735,29.04419,1.038678,0.110701,1.10768,1.850098,1.235176,0,4.203233,40.58264
A2416,38.292736,-121.72511,Haas Slough,Cache Slough Complex,May 2018,1.411876,9.782604,11.2427,13.27532,24.55946,2.694542,32.8649,2.73906,20.66749,192.1858,0.101728,20.67213,209.5279,8.479389,11.06245,123.3217,5.959788,29.75011,0.420377,0.069979,0.837562,1.391844,0.430415,0,2.649099,19.08009
A2206,38.294095,-121.660976,Toe Drain Canal,Cache Slough Complex,May 2018,1.611491,5.932728,7.515578,14.85832,22.38972,2.997352,37.19073,3.679832,20.88177,207.1736,0.109003,20.8511,224.9043,8.090129,8.568742,95.89956,53.96859,28.85489,0.929081,0.171996,0,1.792764,1.029773,0,2.836661,29.19514
A2287,38.29447,-121.667152,Liberty Cut,Cache Slough Complex,May 2018,0.902493,4.042162,4.95085,16.12884,21.09077,3.250322,40.80459,3.494292,21.06946,213.3606,0.111763,21.08984,230.5829,8.499577,8.131768,91.40155,31.66987,24.43377,0.781893,0.16603,0.004639,1.868448,1.01433,0,2.908473,30.80736
A2371,38.295473,-121.692783,Shag Slough,Cache Slough Complex,May 2018,0.492126,4.698635,5.208148,18.98368,24.1804,3.805148,48.72968,4.949162,20.50838,279.9283,0.147942,20.5049,291.7186,8.186194,8.877957,98.67734,6.527495,30.2944,1.119433,0.114863,1.173068,1.880338,1.358625,0,4.423243,42.17503
A2204,38.296936,-121.660316,Toe Drain Canal,Cache Slough Complex,May 2018,1.525517,5.662266,7.176701,15.06853,22.24121,3.039951,37.79929,3.704661,20.94902,209.1275,0.109861,20.91958,226.3964,8.133044,8.44274,94.63452,52.31451,28.76499,0.939661,0.169666,0,1.791251,1.075374,0,2.87147,29.73216
A2285,38.297372,-121.667131,Liberty Cut,Cache Slough Complex,May 2018,0.994025,4.137516,5.131315,16.01859,21.17013,3.22892,40.49885,3.358171,21.16405,213.8284,0.11179,21.18229,231.3331,8.418723,8.029978,90.43106,29.63277,24.17176,0.733041,0.164615,0.003686,1.856704,0.918391,0,2.79338,31.39804
A2369,38.298374,-121.692784,Shag Slough,Cache Slough Complex,May 2018,0.451944,4.315556,4.850791,19.89969,24.83506,3.983116,51.27264,5.54007,20.56442,291.7053,0.153999,20.55718,306.2388,8.101161,8.532253,94.93707,6.984123,32.79336,1.340088,0.123988,1.28622,1.938589,1.68546,0,4.921762,44.87715
A2202,38.29978,-121.659634,Toe Drain Canal,Cache Slough Complex,May 2018,1.630545,5.829506,7.453567,15.10165,22.50022,3.041667,37.8238,3.798047,20.96888,210.03,0.110284,20.94133,226.5954,8.105687,8.370806,93.90159,55.70308,30.11267,0.99191,0.163281,0.000595,1.7548,1.13756,0,2.893666,29.87288
A2283,38.300276,-121.667144,Liberty Cut,Cache Slough Complex,May 2018,1.205531,4.362698,5.567286,15.83536,21.42301,3.194191,40.00273,2.98965,21.3329,215.7623,0.11241,21.32622,234.3489,8.206764,7.831472,88.44389,24.79837,23.76019,0.60842,0.158145,0.002567,1.743623,0.674965,0,2.447258,32.45931
A2367,38.301276,-121.692797,Shag Slough,Cache Slough Complex,May 2018,0.462311,4.141984,4.740673,20.33914,25.28814,4.06852,52.49286,5.779859,20.59605,297.2205,0.156811,20.58495,313.1738,8.056643,8.401133,93.53175,7.239823,33.89687,1.450862,0.127876,1.311054,1.948207,1.825846,0,5.091301,46.08641
A2200,38.302631,-121.658964,Toe Drain Canal,Cache Slough Complex,May 2018,1.569203,5.703601,7.267028,15.36076,22.58614,3.095346,38.59066,3.74886,21.07469,212.548,0.11135,21.0526,228.0454,8.148153,8.266218,92.90742,53.41753,30.57886,0.970947,0.151239,0.000033,1.718324,1.117009,0,2.834435,30.39675
A2281,38.303214,-121.667156,Liberty Cut,Cache Slough Complex,May 2018,1.266057,4.36325,5.626399,15.77645,21.53144,3.204344,40.14777,2.829025,21.37284,217.566,0.113263,21.33361,236.7443,8.13879,7.801595,88.11414,22.15263,23.64376,0.547765,0.15241,0.002655,1.661144,0.584421,0,2.27054,32.90804
A2365,38.304171,-121.692801,Shag Slough,Cache Slough Complex,May 2018,0.53449,3.996417,4.661546,21.32307,26.32358,4.259897,55.22701,5.813675,20.66986,307.4912,0.161985,20.65342,326.6681,7.948916,8.468336,94.423,8.227374,33.97618,1.499376,0.124686,1.298844,1.809072,1.835654,0,4.941843,47.90262
A2198,38.305491,-121.658284,Toe Drain Canal,Cache Slough Complex,May 2018,1.545425,5.666207,7.201518,15.4623,22.64198,3.117182,38.90261,3.710997,21.12401,213.7836,0.111876,21.09858,228.9173,8.159796,8.275263,93.06937,51.48194,30.79099,0.949337,0.14286,0,1.694592,1.087997,0,2.783058,30.56673
A2279,38.306073,-121.667166,Liberty Cut,Cache Slough Complex,May 2018,1.330301,4.315331,5.636383,15.97281,21.98782,3.293369,41.41949,2.790927,21.31415,222.6494,0.115992,21.26688,242.7715,8.051545,7.793896,87.92442,19.9243,23.75161,0.510312,0.138325,0.010822,1.541438,0.550686,0,2.142395,33.73957
A2363,38.30709,-121.692807,Shag Slough,Cache Slough Complex,May 2018,0.572408,3.999974,4.658035,21.80266,26.74277,4.353263,56.56086,5.655165,20.70449,311.5675,0.164016,20.68836,332.9474,7.885574,8.596746,95.92945,8.888289,32.79269,1.444705,0.116939,1.295484,1.69089,1.746536,0,4.727746,48.62087
A2196,38.308345,-121.657608,Toe Drain Canal,Cache Slough Complex,May 2018,1.539161,5.752415,7.259313,15.65461,22.91575,3.14937,39.36243,3.749764,21.22827,215.846,0.112705,21.19313,230.6708,8.197404,8.235615,92.76087,50.3815,32.12736,0.945997,0.136561,0,1.647333,1.105494,0,2.755827,30.53261
A2277,38.30898,-121.667172,Liberty Cut,Cache Slough Complex,May 2018,1.33509,4.317711,5.642674,16.07614,22.24417,3.342157,42.11613,2.811245,21.28133,225.3209,0.117442,21.24442,246.1836,8.02246,7.796805,87.9273,19.26025,23.80277,0.486982,0.132385,0.020213,1.499203,0.554317,0,2.106536,34.087
A2361,38.309968,-121.692801,Shag Slough,Cache Slough Complex,May 2018,0.598538,4.016573,4.644063,22.21257,27.01749,4.433133,57.70187,5.47916,20.7247,314.4081,0.165446,20.71267,338.2544,7.826696,8.623033,96.27058,9.514567,31.58794,1.380901,0.110733,1.276656,1.57768,1.65724,0,4.505243,49.11686
A2194,38.311178,-121.656906,Toe Drain Canal,Cache Slough Complex,May 2018,1.532513,5.692555,7.187737,15.77648,22.97891,3.175914,39.74163,3.743782,21.28036,217.0239,0.113189,21.24981,232.1417,8.211025,8.128305,91.63943,49.47622,32.34844,0.936349,0.134149,0,1.624797,1.113489,0,2.741664,30.66223
A2275,38.311883,-121.667181,Liberty Cut,Cache Slough Complex,May 2018,1.335837,4.330578,5.657096,16.2581,22.48705,3.387135,42.75861,2.831158,21.26555,228.2809,0.118997,21.23158,249.9502,7.998061,7.799152,87.93752,18.70801,23.77838,0.468351,0.127675,0.046739,1.466357,0.556081,0,2.091917,34.4007
A2359,38.312889,-121.692853,Shag Slough,Cache Slough Complex,May 2018,0.628889,4.004083,4.637115,22.60691,27.24988,4.510259,58.8037,5.245162,20.71848,315.2996,0.165937,20.70956,342.4239,7.753022,8.260747,92.22244,10.44049,30.95576,1.302131,0.10291,1.238116,1.48061,1.561177,0,4.267731,49.2197
A2192,38.314033,-121.656257,Toe Drain Canal,Cache Slough Complex,May 2018,1.55473,5.725255,7.24597,15.91948,23.19856,3.211761,40.25373,3.707659,21.37668,218.8805,0.113935,21.36393,234.1212,8.20367,7.903608,89.2898,49.03362,32.47581,0.921086,0.133072,0.001982,1.595088,1.117126,0,2.718646,31.11182
A2273,38.314782,-121.667189,Liberty Cut,Cache Slough Complex,May 2018,1.297364,4.310016,5.604538,16.82355,22.85892,3.469764,43.93908,2.902563,21.25211,234.5781,0.122265,21.21119,257.6322,7.967412,7.838251,88.34057,18.47923,23.64413,0.468098,0.119814,0.098968,1.441545,0.56922,0,2.11392,35.03282
A2357,38.315775,-121.692982,Shag Slough,Cache Slough Complex,May 2018,0.649644,3.978316,4.632843,22.66596,27.29658,4.52204,58.972,5.106496,20.69392,313.5148,0.165074,20.68638,341.698,7.734778,7.921693,88.39288,10.87541,31.94774,1.250372,0.103286,1.173209,1.456967,1.483701,0,4.105031,48.80316
A2190,38.31689,-121.655566,Toe Drain Canal,Cache Slough Complex,May 2018,1.61478,6.045207,7.641257,15.85243,23.4539,3.186772,39.89676,3.637897,21.4782,218.3192,0.113421,21.46787,232.763,8.208064,7.871866,89.10229,48.9996,33.11039,0.900287,0.127941,0,1.583175,1.065706,0,2.657775,30.99067
A2271,38.317689,-121.667196,Liberty Cut,Cache Slough Complex,May 2018,1.260818,4.269938,5.530952,17.22173,22.98378,3.508866,44.498,2.963741,21.22937,238.2092,0.124188,21.17585,261.371,7.954357,7.900505,88.97803,18.36048,23.55419,0.49027,0.115106,0.132201,1.447952,0.584206,0,2.163883,35.40203
A2355,38.318682,-121.692991,Shag Slough,Cache Slough Complex,May 2018,0.716995,3.992424,4.711419,22.59385,27.3071,4.508739,58.78197,4.702342,20.6614,306.9068,0.161681,20.64649,336.7101,7.702863,7.464202,83.2056,11.74397,35.03499,1.115434,0.098157,0.962466,1.385555,1.258011,0,3.60975,47.91184
A2188,38.319735,-121.654905,Toe Drain Canal,Cache Slough Complex,May 2018,1.64778,6.22463,7.860029,15.78982,23.6268,3.17838,39.77686,3.502334,21.56115,218.7326,0.113449,21.54369,233.2372,8.202903,7.841757,88.89704,46.06255,32.89778,0.839371,0.122578,0,1.557289,0.973208,0,2.541251,31.18003
A2269,38.320579,-121.667213,Liberty Cut,Cache Slough Complex,May 2018,1.172209,4.107215,5.283576,18.08668,23.17065,3.593392,45.70559,3.126148,21.11307,245.4706,0.128239,21.03703,269.0557,7.928452,8.125051,91.25097,18.56329,23.37242,0.547088,0.102763,0.172974,1.46478,0.635802,0,2.278252,36.38063
