CL ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Location,Subregions,"Time Period (Month, Year)",NH4 (?M) (Tline) SA,NO3 (?M) (SUNA) SA,DIN (µM) SA,estDON (?M) SA,TDN (µM) SA,estDOC (mg/L) SA,fDOM (QSU) (WS) SA,fCHL (?g/L) (WS) SA, Temp (?C) (TSG) SA, Cond (?S/cm) (TSG) SA, Salinity (PSU) (TSG) SA, Temp (?C) (EXO) SA,Sp Cond (?S/cm) (EXO) SA,pH (EXO) SA,DO (mg/L) (EXO) SA,DO (%) (EXO) SA,Turb (FNU) (EXO) SA,fDOM (QSU) (EXO) SA,fCHL (?g/L) (EXO) SA,Bluegreen (?g/L) (EXO) SA,Green Algae (?g/L) (FP) SA,Bluegreen (?g/L) (FP) SA,Diatoms (?g/L) (FP) SA,Cryptophyta (?g/L) (FP) SA,Total Conc (?g/L) (FP) SA,? (days) (Picarro) SA
A684,38.146499,-121.688278,Sacramento River,Western Delta Tidal Zone,October 2018,16.06612,22.91292,37.86457,8.760865,46.65582,1.81549,20.307,2.443714,17.73302,133.2311,0.075425,17.68325,155.4802,7.769858,8.890056,93.32683,2.953046,19.1583,0.175795,0.11432,0.444335,0.520591,0.543905,0.035152,1.584855,3.904018
A682,38.149323,-121.687423,Sacramento River,Western Delta Tidal Zone,October 2018,16.08358,22.75776,37.89062,8.754632,46.67788,1.814276,20.28966,2.415676,17.73662,133.1444,0.075396,17.68097,155.0001,7.766245,8.873555,93.11963,2.907849,19.13324,0.161258,0.114469,0.441001,0.530211,0.554702,0.020872,1.575442,3.90107
A680,38.152093,-121.686369,Sacramento River,Western Delta Tidal Zone,October 2018,16.08042,22.46591,37.93232,8.781538,46.71297,1.819515,20.3645,2.344344,17.7366,132.8778,0.075319,17.67365,154.1219,7.762075,8.925824,93.64105,2.975407,19.12145,0.132048,0.114763,0.427436,0.54019,0.538884,0.002238,1.519315,3.896992
A678,38.154962,-121.685628,Sacramento River,Western Delta Tidal Zone,October 2018,16.12251,22.20079,37.99006,8.816003,46.76577,1.826226,20.46037,2.266203,17.73469,132.6312,0.075213,17.66934,153.5182,7.759648,8.963415,94.03808,3.094413,19.14651,0.100809,0.114959,0.410058,0.543932,0.501803,0,1.468119,3.893316
A676,38.157555,-121.683731,Sacramento River,Western Delta Tidal Zone,October 2018,16.21443,21.95806,38.03307,8.826071,46.80866,1.828186,20.48838,2.208105,17.75105,132.3821,0.075076,17.68678,153.1025,7.759205,8.850321,92.90673,3.022144,19.16869,0.076262,0.115146,0.399187,0.539305,0.476948,0,1.423272,3.889367
A674,38.159559,-121.680992,Sacramento River,Western Delta Tidal Zone,October 2018,16.3584,21.80774,38.1086,8.795553,46.87449,1.822244,20.40349,2.180875,17.77686,132.1872,0.074952,17.71481,152.8038,7.759138,8.679757,91.17418,2.803866,19.13879,0.066023,0.1153,0.398296,0.530087,0.478813,0,1.406154,3.885191
A672,38.161903,-121.678815,Sacramento River,Western Delta Tidal Zone,October 2018,16.53786,21.7379,38.24386,8.738664,46.97526,1.811167,20.24524,2.171802,17.80135,132.0262,0.074827,17.74018,152.6944,7.759657,8.582491,90.20322,2.666562,19.08757,0.063644,0.115394,0.401242,0.520267,0.504664,0,1.412292,3.880923
A670,38.164247,-121.676545,Sacramento River,Western Delta Tidal Zone,October 2018,16.91024,21.75991,38.67084,8.643505,47.31049,1.792638,19.98054,2.138783,17.84547,131.7978,0.07464,17.78305,152.3278,7.7644,8.565217,90.10819,2.513588,18.89465,0.082001,0.115488,0.400228,0.515996,0.49989,0.00104,1.415242,3.874044
A668,38.16706,-121.675362,Sacramento River,Western Delta Tidal Zone,October 2018,17.1225,21.70577,38.83268,8.608922,47.43587,1.785904,19.88434,2.119502,17.8582,131.7139,0.074561,17.7942,152.1538,7.767148,8.571573,90.19694,2.458751,18.81743,0.078322,0.115474,0.402129,0.513012,0.462509,0.012032,1.410933,3.87199
A666,38.169569,-121.673563,Sacramento River,Western Delta Tidal Zone,October 2018,17.24076,21.46751,38.70633,8.629025,47.3312,1.789819,19.94027,2.112101,17.8427,131.7224,0.07457,17.77893,152.3606,7.768863,8.559509,90.04083,2.513999,18.89904,0.069039,0.115616,0.399976,0.519441,0.424643,0.020616,1.395891,3.874133
