Abbreviation,Description,Detection Range,Equation
<< Empty Cell >>,No Data,--,
,,,
"Entity Type Definition: Discrete sampling, water chemistry data from the Sacramento-San Joaquin Delta Study Area. ",,,
Timestamp (PST),"Date and time (YYYY-MM-DD hh:mm:ss), pacific standard time",,
Field ID,Sample identifier assigned in field,,
"Latitude (Decimal Degrees, NAD83)","Garmin GPS16X-HVS, NAD 1983, decimal degrees",<15 meter accuracy,
"Longitude (Decimal Degrees, NAD83)","Garmin GPS16X-HVS, NAD 1983, decimal degrees",<15 meter accuracy,
Total Chla (µg/L) DS,"Chlorophyll-a, phytoplankton, >0.7 microns, chromatographic-fluorometric method, micrograms per liter",--,
Chla >5.0 micron (µg/L) DS,"Chlorophyll-a, phytoplankton, >5.0 microns, chromatographic-fluorometric method, micrograms per liter",--,
% Chla >5 microns,Percent of the Total Chla pool comprised of larger (>5.0 micron) cells,--,
Pheophytin (µg/L) DS,"Pheophytin-a, phytoplankton, >0.7 microns, micrograms per liter",--,
Pheophytin >5.0 microns (µg/L ) DS,"Pheophytin-a, phytoplankton, >5.0 microns, micrograms per liter",--,
HPLC Chla (µg/L) DS,"Chlorophyll-a, phytoplankton, >0.7 microns, HPLC method, micrograms per liter",--,
HPLC Chlb (µg/L) DS,"Chlorophyll-b, phytoplankton, >0.7 microns, HPLC method, micrograms per liter",--,
HPLC Fucoxanthin (µg/L) DS,"Fucoxanthin, phytoplankton, >0.7 microns, HPLC method, micrograms per liter",--,
HPLC Alloxanthin (µg/L) DS,"Alloxanthin, phytoplankton, >0.7 microns, HPLC method, micrograms per liter",--,
HPLC Zeaxanthin (µg/L) DS,"Zeaxanthin, phytoplankton, >0.7 microns, HPLC method, micrograms per liter",--,
Phycocyanin (µg/L) DS,"Phycocyanins, filtered, recoverable, micrograms per liter",LRL 0.01 mg/L,
Allophycocyanin (µg/L) DS,"Allophycocyanin, filtered, recoverable, micrograms per liter",LRL 0.01 mg/L,
Phycoerythrin (µg/L) DS,"Phycoerythrin, filtered, recoverable, micrograms per liter",LRL 0.01 mg/L,
DOC (mg/L) DS,"Dissolved organic carbon, miligrams per liter",LRL 0.3 mg/L,
NH4 (µM) DS,"Ammonium, filtered, micromolar",LRL 0.01 mg/L,
NO2 (µM) DS,"Nitrite, filtered, micromolar",LRL 0.001 mg/L,
NO2 + NO3 (µM) DS,"Nitrite plus nitrate, filtered, micromolar",LRL 0.04 mg/L,
PO4 (µM) DS,"Orthophosphate, filtered, micromolar",LRL 0.004 mg/L,
TDN (µM) DS,"Total dissolved nitrogen [nitrate + nitrite + ammonium + organic-N], filtered, micromolar",LRL 0.05 mg/L,
DON Calc (µM) DS,"Dissolved organic nitrogen, estimated by subtracting Ammonium and Nitrite plus nitrate from Total dissolved nitrogen",--,
DIN Calc (µM) DS,"Dissolved inorganic nitrogen, estimated by adding Ammonium to Nitrite plus nitrate",--,
H2O Delta 18O (‰) DS,"Water oxygen-18 to oxygen-16 ratio, permil VSMOW (Vienna Standard Mean Ocean Water)",--,
H2O Delta 2H (‰) DS,"Water hydrogen-2 to hydrogen-1 ratio, permil VSMOW (Vienna Standard Mean Ocean Water)",--,
NO3 Delta 15N (‰) DS,"Nitrate nitrogen-15 to nitrogen-14 ratio, permil VAIR (Vienna Air)",--,
NO3 Delta 18O (‰) DS,"Nitrate oxygen-18 to oxygen-16 ratio, permil VSMOW (Vienna Standard Mean Ocean Water)",--,
NH4 Delta 15N (‰) DS,"Ammonium nitrogen-15 to nitrogen-14 ratio, permil VAIR (Vienna Air)",--,
DOM Delta 13C (‰) DS,"Dissolved organic matter carbon-13 to carbon-12 ratio, permil VPDB (Vienna Pee-Dee Belemnite)",--,
DOM Delta 15N (‰) DS,"Dissolved organic matter nitrogen-15 to nitrogen-14 ratio, permil VAIR (Vienna Air)",--,
DOM Delta 34S (‰) DS,"Dissolved organic matter sulfur-34 to sulfur-32 ratio, permil VCDT (Vienna Canyon Diablo Troillite)",--,
DOM C:N Ratio (AT),"Ratio of dissolved organic carbon to dissolved organic nitrogen, atomic",--,
DOM C:S Ratio (AT),"Ratio of dissolved organic carbon to dissolved organic sulfur, atomic",--,
POM Delta 13C (‰) DS,"Particulate organic matter carbon-13 to carbon-12 ratio, permil VPDB (Vienna Pee-Dee Belemnite)",--,
POM Delta 15N (‰) DS,"Particulate organic matter nitrogen-15 to nitrogen-14 ratio, permil VAIR (Vienna Air)",--,
POM C:N Ratio (AT),"Ratio of particulate organic carbon to particulate organic nitrogen, atomic",--,
POM %C (Wt.),"Percent particulate organic matter carbon, by weight",--,
POM %N (Wt.),"Percent particulate organic matter nitrogen, by weight",--,
DOM %C (Wt.),"Percent dissolved organic matter carbon, by weight",--,
DOM %N (Wt.),"Percent dissolved organic matter nitrogen, by weight",--,
DOM %S (Wt.),"Percent dissolved organic matter sulfur, by weight",--,
DOM N:S Ratio (AT),"Ratio of dissolved organic nitrogen to sulfur, atomic",--,
UV Slope Ratio,Spectral slope S275–295 divided by spectral slope S350–400,--,
A254 (AU/cm) DS,"Absorbance, 254 nm, filtered, absorbance units per centimeter",MDL 0.010 AU/cm,
A280 (AU/cm) DS,"Absorbance at 280 nm, filtered, absorbance units per centimeter",MDL 0.009 AU/cm,
A350 (AU/cm) DS,"Absorbance at 350 nm, filtered, absorbance units per centimeter",MDL 0.010 AU/cm,
A370 (AU/cm) DS,"Absorbance at 370 nm, filtered, absorbance units per centimeter",MDL 0.010 AU/cm,
A412 (AU/cm) DS,"Absorbance at 412 nm, filtered, absorbance units per centimeter",MDL 0.010 AU/cm,
A440 (AU/cm) DS,"Absorbance at 440 nm, filtered, absorbance units per centimeter",MDL 0.004 AU/cm,
