Correction Type,Correction Equation,Applied to,Reference
fDOM_raw with blank substraction and convert to QSE,fDOM (QSE ppb) = scale factor * (fDOM_raw-blank),WS fDOM,WETStar FDOM manual
fDOM Temperature correction: T_corr (deg_C),fDOM_T_corr  = fDOM_raw/(1 - 0.01 * (T_measured - 25)),WS fDOM/EXO fDOM,"Watras, C.J., Hanson, P.C., Stacy, T.L., Morrison, K.M., Mather, J., Hu, Y.H. and Milewski, P., 2011. A temperature compensation method for CDOM fluorescence sensors in freshwater. Limnology and Oceanography: Methods, 9(7), pp.296-301.; Downing, B.D., Pellerin, B.A., Bergamaschi, B.A., Saraceno, J.F. and Kraus, T.E., 2012. Seeing the light: The effects of particles, dissolved materials, and temperature on in situ measurements of DOM fluorescence in rivers and streams. Limnology and Oceanography: Methods, 10(10), pp.767-775."
fDOM Turbidity correction,fDOM_Turb_corr = fDOM_T_corr/EXP(-0.002 * FNU),WS fDOM,WETStar fDOM manual
fDOM Turbidity correction,fDOM_Turb_corr = fDOM_T_corr/EXP(-0.003 * FNU),EXO fDOM,"YSI, personal communication; Saraceno, J.F., Shanley, J.B., Downing, B.D. and Pellerin, B.A., 2017. Clearing the waters: Evaluating the need for site?specific field fluorescence corrections based on turbidity measurements. Limnology and Oceanography: Methods, 15(4), pp.408-416.; Downing, B.D., Pellerin, B.A., Bergamaschi, B.A., Saraceno, J.F. and Kraus, T.E., 2012. Seeing the light: The effects of particles, dissolved materials, and temperature on in situ measurements of DOM fluorescence in rivers and streams. Limnology and Oceanography: Methods, 10(10), pp.767-775."
Inner Filter Effects (IFE) correction,fDOM_IFE_corr = fDOM T@Turb_corr/EXP((-0.308 * (0.0000003 * fDOM_Turb_corr^2 - 0.0002 * fDOM_Turb_corr + 0.1451)),EXO/WS fDOM," Downing, B.D., Pellerin, B.A., Bergamaschi, B.A., Saraceno, J.F. and Kraus, T.E., 2012. Seeing the light: The effects of particles, dissolved materials, and temperature on in situ measurements of DOM fluorescence in rivers and streams. Limnology and Oceanography: Methods, 10(10), pp.767-775."
fCHLA Temperature correction,fCHLA_T_corr = fCHLA_raw/(1 - 0.01 * (T_measured - 25)),WS fCHLA,"Watras, C.J., Morrison, K.A., Rubsam, J.L., Hanson, P.C., Watras, A.J., LaLiberte, G.D. and Milewski, P., 2017. A temperature compensation method for chlorophyll and phycocyanin fluorescence sensors in freshwater. Limnology and Oceanography: Methods, 15(7), pp.642-652."
Beam Transmissometer (WETLabs C-Star serial #1158 with 10 cm pathlength),"Tr = (Vsig - Vdark)/(Vref - Vdark), c = -1/pathlength * ln (Tr)",C-Star Transmittance,WETLabs calibration document for serial #1158
NO3 correction,"y = 0.97x - 3.70, R2 = 0.91",NO3 (µM) (SUNA) HR,"Bergamaschi, B.A., Kraus, T.E., Downing, B.D., Stumpner, E.B., O'Donnell, K., Hansen, J.A., Soto Perez, J., Hansen, A.M., Gelber, A.D., in press. Assessing spatial variability of nutrients and related water quality constituents in the California Sacramento-San Joaquin Delta at the landscape scale: 2018 High resolution mapping surveys. U.S. Geological Survey Scientific Investigations Report."
"d2H correction (by date, listed separately (below) in next column)","y = 1.03 + 74.73, R2 = 0.99 (10/11/2017)",,"Downing, B.D., Bergamaschi, B.A., Kendall, C., Kraus, T.E.C., Dennis, K.J., Carter, J.A. and Von Dessonneck, T.S. (2016) Using Continuous Underway Isotope Measurements to Map Water Residence Time in Hydrodynamically Complex Tidal Environments. Environmental Science & Technology 50, 13387-13396."
,"y = 1.01x + 69.73, R2 = 0.98 (5/30/2018)",,
,"y = 0.83x + 44.16, R2 = 0.81 (10/16/2018)",,
"d18O correction (by date, listed separately (below) in next column)","y = 1.00x + 21.51, R2 = 0.87 (10/11/2017)",,"Downing, B.D., Bergamaschi, B.A., Kendall, C., Kraus, T.E.C., Dennis, K.J., Carter, J.A. and Von Dessonneck, T.S. (2016) Using Continuous Underway Isotope Measurements to Map Water Residence Time in Hydrodynamically Complex Tidal Environments. Environmental Science & Technology 50, 13387-13396."
,"y = 1.15x + 25.67, R2 = 0.91 (5/30/2018)",,
,"y = 0.64x + 9.76, R2 = 0.70 (10/16/2018)",,
DOC model,"y = 0.0702(fDOM (QSU) (WS) HR)  + 0.3941, R2 = 0.98",Snyder et al. (2018),"Snyder, L., Potter, J.D. and McDowell, W.H., 2018. An evaluation of nitrate, fDOM, and turbidity sensors in New Hampshire streams. Water Resources Research, 54(3), pp.2466-2479."
DON model,"y = 0.3595 (fDOM (QSU) (WS) HR) + 1.4605, R2 =0.8303",Snyder et al. (2018),"Snyder, L., Potter, J.D. and McDowell, W.H., 2018. An evaluation of nitrate, fDOM, and turbidity sensors in New Hampshire streams. Water Resources Research, 54(3), pp.2466-2479."
