CL ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Location,Subregions,"Time Period (Month, Year)",NH4 (?M) (Tline) SA,NO3 (?M) (SUNA) SA,DIN (µM) SA,estDON (?M) SA,TDN (µM) SA,estDOC (mg/L) SA,fDOM (QSU) (WS) SA,fCHL (?g/L) (WS) SA, Temp (?C) (TSG) SA, Cond (?S/cm) (TSG) SA, Salinity (PSU) (TSG) SA, Temp (?C) (EXO) SA,Sp Cond (?S/cm) (EXO) SA,pH (EXO) SA,DO (mg/L) (EXO) SA,DO (%) (EXO) SA,Turb (FNU) (EXO) SA,fDOM (QSU) (EXO) SA,fCHL (?g/L) (EXO) SA,Bluegreen (?g/L) (EXO) SA,Green Algae (?g/L) (FP) SA,Bluegreen (?g/L) (FP) SA,Diatoms (?g/L) (FP) SA,Cryptophyta (?g/L) (FP) SA,Total Conc (?g/L) (FP) SA,? (days) (Picarro) SA
A684,38.146499,-121.688278,Sacramento River,Western Delta Tidal Zone,October 2017,15.4717,10.47004,26.09907,7.932655,33.88673,1.654225,18.00321,2.345716,16.73747,99.44802,0.058383,16.7537,118.1766,7.530652,8.816977,90.79263,5.110263,22.01147,1.599563,0,1.821487,3.56175,0.887472,0,6.271032,8.063104
A682,38.149323,-121.687423,Sacramento River,Western Delta Tidal Zone,October 2017,15.45103,10.42269,26.0916,7.917127,33.87255,1.651201,17.96002,2.368063,16.74615,99.29107,0.05828,16.75985,118.0753,7.526957,8.817365,90.81236,4.94908,21.78744,1.613651,0,1.812974,3.539721,0.925613,0,6.282403,8.062484
A680,38.152093,-121.686369,Sacramento River,Western Delta Tidal Zone,October 2017,15.36882,10.3511,26.0381,7.904452,33.81486,1.648733,17.92476,2.394258,16.75443,99.06342,0.058143,16.76197,117.9962,7.522766,8.81195,90.75857,4.726855,21.67187,1.637489,0,1.804164,3.514478,0.959298,0,6.293784,8.069604
A678,38.154962,-121.685628,Sacramento River,Western Delta Tidal Zone,October 2017,15.33754,10.29494,26.0265,7.922019,33.79418,1.652154,17.97363,2.394083,16.7515,99.07627,0.058145,16.76229,118.0815,7.519718,8.808908,90.72014,4.66191,22.13375,1.638989,0,1.820216,3.505441,0.964472,0,6.305909,8.074467
A676,38.157555,-121.683731,Sacramento River,Western Delta Tidal Zone,October 2017,15.30827,10.21767,26.01946,7.949868,33.77686,1.657577,18.05109,2.388907,16.75277,99.19073,0.058205,16.76832,118.2062,7.515983,8.809334,90.72443,4.660772,22.67908,1.642925,0,1.817716,3.496315,0.952601,0,6.280706,8.083529
A674,38.159559,-121.680992,Sacramento River,Western Delta Tidal Zone,October 2017,15.28465,10.14433,26.02044,7.967925,33.76693,1.661093,18.10132,2.395503,16.7594,99.33092,0.058282,16.7777,118.2891,7.509521,8.814365,90.78753,4.626007,23.47109,1.664556,0,1.806752,3.483883,0.948448,0,6.247977,8.09786
A672,38.161903,-121.678815,Sacramento River,Western Delta Tidal Zone,October 2017,15.27161,10.1284,26.03376,7.964916,33.76968,1.660507,18.09295,2.405802,16.76722,99.41272,0.058333,16.78273,118.3076,7.501214,8.81972,90.85427,4.495863,23.75863,1.685843,0,1.795794,3.471351,0.955894,0,6.227844,8.118848
A670,38.164247,-121.676545,Sacramento River,Western Delta Tidal Zone,October 2017,15.19801,10.10715,26.01346,7.937796,33.74016,1.655226,18.01751,2.421229,16.769,99.33893,0.058302,16.77361,118.4022,7.488606,8.818102,90.82758,4.295111,22.93039,1.651982,0,1.800561,3.45855,0.967844,0,6.226897,8.176888
A668,38.16706,-121.675362,Sacramento River,Western Delta Tidal Zone,October 2017,15.20221,10.09228,26.04566,7.951946,33.76716,1.657981,18.05687,2.392408,16.75775,99.38465,0.058337,16.75638,118.6027,7.482749,8.803955,90.64499,4.269463,22.52926,1.601128,0,1.780231,3.446244,0.942976,0,6.170659,8.232882
A666,38.169569,-121.673563,Sacramento River,Western Delta Tidal Zone,October 2017,15.20389,10.06185,26.07273,7.990242,33.7914,1.665438,18.1634,2.330276,16.73942,99.53063,0.058433,16.73471,118.8414,7.478179,8.784092,90.39415,4.329528,22.33006,1.548082,0,1.719765,3.426024,0.90988,0,6.057762,8.31289
