CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A3789	37.990717	-121.404416	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	66.64	1.76	26.22	412.04	7.66	7.19	89.01	4.73	3.46	52.27	6.77	57.77	26.24	421.15	0.20	2.57	8.98	2.00	0.36	13.92	18.42	64.49	14.38	2.64	68.40	7.61
A5675	37.991426	-121.455247	South Delta tidal transition zone	Turner Cut	7/1/2020	27.04	1.13	25.49	300.41	7.93	8.14	99.49	3.54	2.94	40.84	5.64	44.43	25.56	309.71	0.15	2.31	6.72	1.76	0.19	10.98	21.05	61.12	16.09	1.66	27.85	4.69
A3787	37.991907	-121.407828	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	63.88	1.64	26.16	410.69	7.66	7.21	89.17	4.76	3.35	52.28	6.60	57.71	26.19	419.30	0.20	2.42	9.29	1.90	0.39	13.98	17.31	66.37	13.60	2.80	65.52	7.53
A5615	37.993442	-121.509666	South Delta tidal transition zone	Latham Slough	7/1/2020	3.70	0.24	24.78	221.09	8.49	9.27	111.69	2.86	2.73	26.43	5.35	28.51	24.83	219.43	0.11	1.86	7.67	2.20	0.31	11.98	15.53	63.98	18.40	2.55	5.08	2.37
A5669	37.993386	-121.449894	San Joaquin tidal transition zone	Turner Cut	7/1/2020	30.53	1.07	25.47	313.06	7.88	7.95	97.16	3.76	2.84	41.62	5.50	45.53	25.52	317.63	0.16	2.07	6.83	1.81	0.12	10.82	19.26	62.83	17.00	1.01	28.83	4.93
A3785	37.993356	-121.410592	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	60.27	1.56	26.09	407.03	7.68	7.27	89.91	4.76	3.28	51.77	6.49	57.05	26.12	415.46	0.20	2.33	9.87	1.87	0.34	14.43	16.14	68.38	12.93	2.39	61.83	7.42
A5673	37.993200	-121.452250	South Delta tidal transition zone	Turner Cut	7/1/2020	26.45	1.08	25.45	297.36	7.93	8.10	98.96	3.49	2.85	40.28	5.52	43.79	25.52	305.02	0.15	2.22	6.59	1.80	0.16	10.76	20.73	61.12	16.81	1.46	26.82	4.73
A3772	37.993331	-121.433293	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	43.22	1.21	25.69	358.63	7.80	7.66	93.99	4.35	3.07	46.23	6.04	50.75	25.71	362.92	0.18	2.13	7.62	1.79	0.17	11.66	18.30	65.26	15.52	1.40	44.45	6.01
A3769	37.994541	-121.438533	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	40.43	1.07	25.57	349.98	7.80	7.68	93.98	4.32	2.94	45.40	5.76	49.85	25.61	353.29	0.17	1.98	7.74	1.78	0.19	11.67	16.97	66.27	15.35	1.60	39.98	5.50
A3783	37.994696	-121.413788	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	58.26	1.57	26.05	403.28	7.70	7.32	90.45	4.71	3.27	51.16	6.47	56.28	26.08	411.29	0.19	2.32	9.96	1.94	0.29	14.51	15.98	68.64	13.36	2.01	59.84	7.31
A5671	37.995150	-121.447076	San Joaquin tidal transition zone	Turner Cut	7/1/2020	33.72	1.04	25.43	325.09	7.85	7.83	95.56	4.00	2.77	42.57	5.43	46.99	25.47	327.30	0.16	1.86	6.99	1.77	0.11	10.74	17.52	64.73	16.87	0.84	29.95	4.99
A3781	37.995390	-121.417332	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	56.28	1.58	26.01	397.32	7.72	7.39	91.19	4.61	3.23	50.32	6.39	55.39	26.04	405.67	0.19	2.34	9.70	1.90	0.27	14.22	16.48	68.19	13.37	1.93	57.87	7.14
A5667	37.995602	-121.452273	San Joaquin tidal transition zone	Turner Cut	7/1/2020	25.72	1.06	25.41	294.09	7.93	8.10	98.81	3.43	2.79	39.72	5.43	43.18	25.47	299.62	0.15	2.16	6.36	1.78	0.13	10.43	20.89	60.80	17.26	1.21	26.04	4.68
A3779	37.995582	-121.420931	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	53.77	1.49	25.98	390.09	7.74	7.47	92.11	4.54	3.26	49.51	6.38	54.38	26.02	398.86	0.19	2.42	9.53	1.82	0.32	14.08	17.21	67.63	12.95	2.24	55.27	6.91
A3774	37.994809	-121.430003	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	46.02	1.37	25.80	366.97	7.78	7.62	93.72	4.37	3.15	47.04	6.19	51.64	25.82	372.72	0.18	2.25	8.34	1.79	0.22	12.60	17.90	66.06	14.33	1.73	47.42	6.30
A5614	37.995782	-121.508877	South Delta tidal transition zone	Latham Slough	7/1/2020	3.22	0.23	24.61	219.21	8.48	9.19	110.42	2.79	2.83	25.62	5.51	27.78	24.65	216.78	0.11	2.00	7.48	2.21	0.23	11.91	16.81	62.72	18.60	1.97	4.77	2.14
A3767	37.996166	-121.441577	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	39.62	1.02	25.50	347.24	7.80	7.66	93.60	4.36	2.83	45.10	5.59	49.68	25.52	349.54	0.17	1.80	7.35	1.74	0.15	11.07	16.17	66.43	15.83	1.23	36.99	5.30
A5665	37.998312	-121.451462	San Joaquin tidal transition zone	Turner Cut	7/1/2020	28.05	0.94	25.31	302.45	7.90	7.99	97.30	3.58	2.70	40.01	5.36	44.32	25.35	305.11	0.16	1.88	6.88	1.75	0.12	10.62	18.17	64.10	16.78	0.99	26.60	4.65
A3765	37.997786	-121.444745	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	37.07	0.93	25.36	337.54	7.82	7.73	94.25	4.26	2.73	43.65	5.45	48.84	25.38	338.99	0.16	1.60	7.38	1.72	0.12	10.88	14.82	67.56	16.04	0.98	30.86	4.98
A3777	37.996776	-121.424743	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	50.08	1.43	25.90	378.95	7.76	7.56	93.06	4.45	3.24	48.24	6.34	52.98	25.94	386.19	0.18	2.39	9.30	1.82	0.30	13.79	17.36	67.43	13.22	2.16	51.52	6.57
A5013	38.000114	-121.517271	South Delta tidal transition zone	Middle River	7/1/2020	3.96	0.21	24.22	216.12	8.35	8.88	105.99	2.96	2.65	25.13	5.09	27.16	24.26	211.73	0.10	1.31	7.92	2.26	0.11	11.62	11.24	68.20	19.47	0.94	4.25	1.95
A5015	38.001717	-121.520352	South Delta tidal transition zone	Middle River	7/1/2020	4.42	0.18	24.20	214.80	8.30	8.85	105.52	2.98	2.65	24.88	5.06	26.79	24.26	210.95	0.10	1.31	7.77	2.45	0.09	11.63	11.24	66.83	21.03	0.80	4.23	1.98
A5587	38.002481	-121.523862	South Delta tidal transition zone	Connection Slough	7/1/2020	4.60	0.18	24.20	214.54	8.30	8.85	105.58	2.98	2.76	24.74	5.17	26.67	24.25	211.27	0.10	1.37	7.63	2.55	0.06	11.64	11.74	65.57	21.89	0.54	4.31	1.91
A3760	38.002692	-121.450848	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	27.44	0.79	25.08	298.44	7.88	7.92	95.98	3.62	2.70	40.05	5.39	44.62	25.12	302.21	0.15	1.56	7.50	1.73	0.11	10.92	14.51	68.38	15.92	0.95	26.75	4.48
A5589	38.003516	-121.527341	South Delta tidal transition zone	Connection Slough	7/1/2020	4.51	0.14	24.21	216.14	8.30	8.86	105.64	3.01	2.78	24.90	5.18	26.91	24.24	214.18	0.10	1.39	7.55	2.51	0.08	11.54	12.02	65.37	21.73	0.70	4.31	1.95
A5591	38.004468	-121.530796	South Delta tidal transition zone	Connection Slough	7/1/2020	4.35	0.32	24.20	218.63	8.30	8.83	105.29	3.00	2.74	24.91	5.12	27.06	24.24	216.32	0.10	1.32	7.55	2.48	0.08	11.44	11.58	65.94	21.73	0.72	4.56	1.93
A5593	38.004995	-121.534439	South Delta tidal transition zone	Connection Slough	7/1/2020	4.09	0.62	24.18	219.47	8.28	8.77	104.55	3.06	2.82	24.98	5.09	27.15	24.21	217.34	0.11	1.34	7.81	2.34	0.10	11.60	11.57	67.21	20.20	0.89	4.70	1.99
A3758	38.005244	-121.452632	San Joaquin tidal transition zone	San Joaquin River	7/1/2020	25.16	0.75	24.89	287.38	7.88	7.89	95.28	3.54	2.69	39.47	5.40	43.98	24.93	293.51	0.14	1.36	7.69	1.73	0.08	10.88	12.63	70.51	15.90	0.73	25.92	4.27
A5595	38.005968	-121.537880	South Delta tidal transition zone	Connection Slough	7/1/2020	3.99	0.81	24.14	221.81	8.28	8.74	104.14	3.12	2.94	25.07	5.15	27.27	24.17	221.62	0.11	1.32	7.83	2.33	0.11	11.60	11.43	67.49	20.09	0.92	4.80	1.97
A5597	38.006095	-121.541758	South Delta tidal transition zone	Connection Slough	7/1/2020	3.57	0.85	24.10	234.08	8.30	8.68	103.37	3.19	2.92	25.37	5.02	27.57	24.13	239.00	0.12	1.37	7.70	2.18	0.15	11.44	12.03	67.22	19.07	1.30	4.41	2.05
A3756	38.007741	-121.454377	Central Delta tidal zone	San Joaquin River	7/1/2020	21.31	0.71	24.70	269.98	7.90	7.93	95.42	3.38	2.63	37.78	5.39	42.08	24.73	274.12	0.14	1.14	8.04	1.77	0.04	11.01	10.33	73.04	16.15	0.37	22.04	3.94
A5599	38.006687	-121.545059	South Delta tidal transition zone	Connection Slough	7/1/2020	3.10	0.88	24.05	259.33	8.37	8.64	102.87	3.15	2.93	25.42	5.04	27.64	24.08	271.12	0.13	1.49	6.92	2.31	0.17	10.95	13.68	62.87	21.22	1.52	3.97	2.12
A5601	38.007667	-121.548313	South Delta tidal transition zone	Connection Slough	7/1/2020	2.60	0.92	24.01	292.73	8.48	8.63	102.66	3.07	3.10	25.23	5.33	27.36	24.05	301.62	0.15	1.66	5.99	2.55	0.26	10.50	15.88	54.62	24.36	2.54	3.51	2.16
