CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	Orthophosphate (uM) SA
A3095	38.130163	-121.582005	North Delta tidal transition zone	Georgiana Slough	7/1/2020	8.95	12.32	23.43	146.59	7.70	7.94	93.34	2.03	1.76	15.18	2.91	17.14	23.48	141.98	0.07	1.24	0.77	1.34	0.00	3.35	36.70	23.36	38.90	0.09	21.27	1.96
A3097	38.130255	-121.578405	Mokelumne tidal transition zone	Georgiana Slough	7/1/2020	9.10	12.34	23.43	146.22	7.70	7.94	93.38	2.01	1.77	15.18	2.97	17.19	23.47	141.62	0.07	1.28	0.79	1.36	0.00	3.43	37.16	22.80	39.66	0.08	21.43	1.96
A3386	38.130197	-121.575313	Mokelumne tidal transition zone	Mokelumne River	7/1/2020	9.24	12.36	23.43	145.72	7.70	7.95	93.58	2.00	1.78	15.24	3.04	17.25	23.46	141.08	0.07	1.33	0.84	1.40	0.00	3.55	37.36	21.41	39.85	0.05	21.60	1.96
A696	38.129471	-121.692688	Western Delta tidal zone	Sacramento River	7/1/2020	11.17	6.04	22.56	184.72	7.92	7.97	92.23	4.60	1.56	16.69	2.95	18.48	22.60	175.27	0.09	0.74	1.51	1.27	0.00	3.52	21.40	42.21	36.45	0.00	17.22	2.00
A3091	38.131035	-121.588724	North Delta tidal transition zone	Georgiana Slough	7/1/2020	8.42	12.09	23.41	147.78	7.71	7.96	93.54	2.09	1.74	14.99	2.78	16.97	23.48	143.15	0.07	1.13	0.73	1.30	0.01	3.16	35.56	24.17	33.33	0.19	20.52	1.89
A3384	38.131632	-121.572227	Mokelumne tidal transition zone	Mokelumne River	7/1/2020	9.26	12.41	23.43	145.61	7.70	7.96	93.67	1.99	1.80	15.31	3.06	17.29	23.45	140.95	0.07	1.33	0.86	1.41	0.00	3.58	37.28	20.80	39.88	0.04	21.67	1.95
A694	38.132252	-121.691732	Western Delta tidal zone	Sacramento River	7/1/2020	11.08	6.27	22.60	174.56	7.91	7.95	92.00	4.33	1.50	16.69	2.85	18.48	22.64	165.90	0.09	0.73	1.42	1.20	0.00	3.34	22.15	42.01	36.06	0.00	17.35	2.00
A3089	38.133232	-121.591099	North Delta tidal transition zone	Georgiana Slough	7/1/2020	8.17	12.05	23.41	148.10	7.71	7.97	93.69	2.12	1.72	14.66	2.73	16.81	23.47	143.45	0.07	1.09	0.72	1.30	0.01	3.12	35.03	23.46	40.49	0.17	20.21	1.86
A3087	38.135357	-121.593558	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.98	12.13	23.39	148.40	7.71	7.98	93.72	2.15	1.71	14.39	2.71	16.72	23.46	143.75	0.07	1.07	0.72	1.33	0.01	3.12	34.24	23.08	42.43	0.27	20.10	1.82
A692	38.135137	-121.691311	Western Delta tidal zone	Sacramento River	7/1/2020	11.05	6.42	22.61	164.92	7.90	7.93	91.76	4.21	1.48	16.69	2.80	18.49	22.65	156.88	0.08	0.72	1.36	1.16	0.00	3.22	22.31	41.96	36.03	0.00	17.47	2.00
A3085	38.137606	-121.595875	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.83	12.24	23.38	148.65	7.70	7.97	93.62	2.17	1.69	14.21	2.68	16.68	23.44	143.97	0.07	1.04	0.71	1.35	0.01	3.11	33.28	22.99	43.48	0.37	20.07	1.79
A690	38.137978	-121.690673	Western Delta tidal zone	Sacramento River	7/1/2020	11.01	6.74	22.63	156.40	7.88	7.89	91.39	4.10	1.45	16.78	2.73	18.63	22.67	148.95	0.08	0.68	1.29	1.10	0.00	3.06	22.32	42.12	35.85	0.00	17.75	2.01
A3083	38.140230	-121.597492	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.60	12.49	23.35	148.81	7.70	7.95	93.36	2.21	1.68	14.20	2.69	16.71	23.42	144.05	0.07	1.00	0.71	1.35	0.01	3.07	32.60	23.25	43.85	0.32	20.09	1.74
A688	38.140817	-121.689861	Western Delta tidal zone	Sacramento River	7/1/2020	10.92	6.89	22.65	162.05	7.88	7.89	91.37	4.03	1.44	16.90	2.71	18.76	22.69	154.33	0.08	0.67	1.27	1.07	0.00	3.01	22.31	42.25	35.66	0.00	17.81	2.00
A3081	38.142672	-121.599384	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.51	12.55	23.36	148.83	7.70	7.95	93.35	2.23	1.68	14.31	2.71	16.64	23.43	144.09	0.07	1.03	0.70	1.36	0.01	3.11	33.01	22.87	43.95	0.37	20.07	1.71
A686	38.143708	-121.689199	Western Delta tidal zone	Sacramento River	7/1/2020	10.90	7.03	22.66	157.71	7.87	7.88	91.26	3.99	1.43	16.93	2.69	18.80	22.71	150.28	0.08	0.66	1.24	1.04	0.00	2.93	22.43	42.13	35.68	0.00	17.92	2.00
A3079	38.145287	-121.601026	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.48	12.65	23.38	148.71	7.70	7.95	93.36	2.22	1.70	14.37	2.73	16.44	23.45	144.02	0.07	1.07	0.69	1.40	0.02	3.17	33.65	21.94	44.11	0.56	20.13	1.69
A3069	38.147144	-121.590358	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.57	14.10	23.31	147.76	7.67	7.94	93.18	2.20	1.54	14.02	2.47	16.44	23.37	143.03	0.07	0.83	0.72	1.21	0.00	2.75	29.99	26.41	43.71	0.04	21.67	1.71
A684	38.146499	-121.688278	Western Delta tidal zone	Sacramento River	7/1/2020	10.76	7.20	22.70	152.88	7.86	7.86	91.20	3.81	1.46	16.95	2.64	18.82	22.75	145.85	0.07	0.60	1.15	1.00	0.00	2.75	21.59	41.95	36.63	0.00	17.96	2.01
A3077	38.147898	-121.599759	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.44	12.96	23.43	148.34	7.69	7.97	93.86	2.20	1.66	14.29	2.66	16.16	23.50	143.83	0.07	1.04	0.68	1.40	0.01	3.13	33.14	22.13	44.72	0.36	20.40	1.67
A3066	38.148216	-121.586746	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.66	14.90	23.29	147.24	7.66	7.92	92.88	2.15	1.52	13.92	2.44	16.37	23.34	142.34	0.07	0.84	0.70	1.26	0.00	2.80	30.13	24.98	44.77	0.10	22.56	1.71
A682	38.149323	-121.687423	Western Delta tidal zone	Sacramento River	7/1/2020	10.57	7.18	22.78	154.54	7.85	7.86	91.35	3.63	1.56	16.99	2.64	18.74	22.84	147.69	0.07	0.60	1.09	1.00	0.00	2.69	21.96	40.61	37.56	0.00	17.75	2.00
A3071	38.149394	-121.589889	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.62	14.77	23.30	147.40	7.66	7.93	92.96	2.16	1.51	13.99	2.43	16.35	23.35	142.58	0.07	0.83	0.71	1.23	0.00	2.76	29.89	25.31	44.43	0.11	22.40	1.69
A3075	38.150451	-121.597886	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.43	13.36	23.44	148.27	7.68	8.00	94.36	2.19	1.58	14.31	2.59	16.11	23.50	143.86	0.07	0.98	0.68	1.35	0.00	3.01	32.58	22.20	44.74	0.13	20.79	1.66
A3064	38.150666	-121.587958	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.63	15.18	23.30	147.14	7.66	7.90	92.65	2.14	1.50	14.09	2.43	16.37	23.34	142.22	0.07	0.84	0.69	1.26	0.01	2.80	30.12	23.91	45.04	0.18	22.81	1.68
A3073	38.151517	-121.594753	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.46	13.79	23.39	148.10	7.67	7.98	94.11	2.20	1.53	14.32	2.52	16.20	23.46	143.64	0.07	0.91	0.69	1.28	0.00	2.87	31.48	22.69	44.55	0.07	21.25	1.66
A3062	38.152358	-121.590881	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.55	15.08	23.33	147.42	7.66	7.91	92.98	2.16	1.46	14.36	2.42	16.31	23.38	142.70	0.07	0.83	0.69	1.23	0.01	2.74	30.15	23.32	44.77	0.21	22.64	1.65
A680	38.152093	-121.686369	Western Delta tidal zone	Sacramento River	7/1/2020	10.36	7.22	22.89	151.45	7.84	7.85	91.40	3.46	1.73	17.02	2.64	18.58	22.97	145.13	0.07	0.67	1.02	1.04	0.00	2.73	24.32	37.69	38.08	0.00	17.59	2.00
A3060	38.155081	-121.592197	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.54	15.29	23.32	147.24	7.65	7.88	92.56	2.15	1.43	14.49	2.37	16.39	23.37	142.46	0.07	0.81	0.68	1.21	0.00	2.69	29.86	21.79	44.87	0.13	22.83	1.64
A678	38.154962	-121.685628	Western Delta tidal zone	Sacramento River	7/1/2020	10.14	7.43	22.97	151.72	7.83	7.86	91.62	3.26	1.78	16.98	2.67	18.45	23.05	145.61	0.07	0.75	1.01	1.06	0.00	2.81	26.56	35.79	37.71	0.00	17.57	1.99
A3058	38.157461	-121.590731	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.55	15.37	23.31	147.07	7.65	7.85	92.05	2.15	1.40	14.53	2.34	16.52	23.36	142.19	0.07	0.78	0.69	1.18	0.00	2.64	29.36	19.71	44.83	0.09	22.92	1.64
A3055	38.158762	-121.586174	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.52	15.28	23.30	147.09	7.65	7.86	92.12	2.11	1.47	14.44	2.44	16.78	23.33	142.09	0.07	0.80	0.69	1.23	0.00	2.70	29.62	16.38	45.44	0.06	22.80	1.71
A676	38.157555	-121.683731	Western Delta tidal zone	Sacramento River	7/1/2020	9.92	7.70	23.03	151.65	7.83	7.87	91.86	3.08	1.80	16.88	2.69	18.34	23.11	145.69	0.07	0.80	0.99	1.07	0.00	2.87	27.94	34.65	37.47	0.00	17.62	1.99
A674	38.159559	-121.680992	Western Delta tidal zone	Sacramento River	7/1/2020	9.75	7.91	23.06	151.50	7.83	7.88	92.04	3.00	1.82	16.79	2.68	18.24	23.15	145.60	0.07	0.83	0.98	1.08	0.00	2.90	28.72	33.93	37.35	0.00	17.66	1.98
A3053	38.161472	-121.584852	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.50	15.19	23.31	147.18	7.65	7.87	92.28	2.10	1.48	14.47	2.44	16.86	23.34	142.19	0.07	0.78	0.69	1.22	0.00	2.69	29.13	18.45	45.57	0.05	22.69	1.72
A627	38.163385	-121.613848	North Delta tidal transition zone	Sacramento River	7/1/2020	6.58	13.09	23.67	148.55	7.74	8.12	95.83	3.97	2.14	14.47	3.32	15.77	23.73	144.55	0.07	1.70	0.83	1.54	0.00	4.07	41.81	20.36	37.85	0.07	19.67	1.66
A624	38.163647	-121.608327	North Delta tidal transition zone	Sacramento River	7/1/2020	6.48	13.55	23.64	147.94	7.73	8.11	95.72	4.07	2.14	14.56	3.31	15.84	23.70	143.90	0.07	1.69	0.82	1.50	0.00	4.02	42.04	20.42	37.44	0.05	20.03	1.69
A672	38.161903	-121.678815	Western Delta tidal zone	Sacramento River	7/1/2020	9.78	8.24	23.10	150.49	7.83	7.90	92.24	2.96	1.80	16.68	2.63	18.13	23.19	144.68	0.07	0.85	0.96	1.07	0.00	2.88	29.44	33.36	37.12	0.00	18.02	1.97
A629	38.163868	-121.617459	North Delta tidal transition zone	Sacramento River	7/1/2020	6.56	12.73	23.67	148.69	7.74	8.08	95.44	3.78	2.13	14.38	3.31	15.71	23.73	144.74	0.07	1.65	0.83	1.57	0.00	4.05	40.76	20.40	38.67	0.01	19.29	1.64
A3051	38.164159	-121.583544	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.30	14.86	23.34	147.61	7.66	7.86	92.27	2.07	1.47	14.87	2.40	17.16	23.38	142.60	0.07	0.76	0.69	1.23	0.00	2.68	28.41	23.15	45.74	0.17	22.18	1.77
A622	38.164292	-121.604763	North Delta tidal transition zone	Sacramento River	7/1/2020	6.33	14.50	23.55	146.73	7.71	8.03	94.62	4.41	2.18	14.69	3.38	15.96	23.61	142.46	0.07	1.68	0.82	1.51	0.00	4.02	41.76	20.27	37.60	0.01	20.83	1.74
A631	38.164559	-121.621021	North Delta tidal transition zone	Sacramento River	7/1/2020	6.59	12.42	23.69	149.03	7.74	8.07	95.30	3.47	2.11	14.25	3.27	15.59	23.76	145.19	0.07	1.55	0.80	1.53	0.00	3.89	39.94	20.75	39.30	0.00	19.01	1.64
A633	38.165586	-121.624453	North Delta tidal transition zone	Sacramento River	7/1/2020	6.68	12.23	23.73	149.45	7.75	8.06	95.31	3.29	2.09	14.08	3.23	15.46	23.79	145.64	0.07	1.45	0.78	1.47	0.00	3.71	39.20	21.36	39.72	0.00	18.91	1.64
A620	38.165634	-121.601487	North Delta tidal transition zone	Sacramento River	7/1/2020	6.29	15.80	23.50	145.94	7.69	7.97	93.86	4.59	2.18	14.77	3.40	16.04	23.56	141.54	0.07	1.66	0.81	1.52	0.00	4.00	41.45	20.29	37.88	0.02	22.08	1.78
A670	38.164247	-121.676545	Western Delta tidal zone	Sacramento River	7/1/2020	9.73	8.59	23.14	150.12	7.82	7.91	92.49	2.93	1.78	16.50	2.61	17.95	23.23	144.44	0.07	0.85	0.95	1.06	0.00	2.87	29.77	33.06	36.96	0.00	18.32	1.96
A3049	38.166941	-121.582654	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.19	14.64	23.35	147.88	7.66	7.85	92.11	2.05	1.45	15.16	2.37	17.34	23.40	142.87	0.07	0.74	0.69	1.22	0.01	2.66	27.93	22.77	45.85	0.22	21.86	1.79
A635	38.166892	-121.627696	North Delta tidal transition zone	Sacramento River	7/1/2020	6.71	12.16	23.74	149.59	7.75	8.07	95.42	3.27	2.09	13.96	3.22	15.40	23.81	145.83	0.07	1.43	0.78	1.45	0.00	3.65	39.19	21.52	39.64	0.00	18.87	1.65
A618	38.167249	-121.598422	North Delta tidal transition zone	Sacramento River	7/1/2020	6.25	16.95	23.47	145.40	7.68	7.94	93.44	4.58	2.16	14.79	3.39	16.06	23.54	140.94	0.07	1.63	0.81	1.51	0.00	3.96	41.08	20.34	38.25	0.01	23.20	1.81
A668	38.167060	-121.675362	Western Delta tidal zone	Sacramento River	7/1/2020	9.51	9.06	23.22	149.41	7.82	7.93	92.87	2.89	1.78	16.20	2.63	17.62	23.31	144.03	0.07	0.90	0.93	1.06	0.00	2.90	30.89	32.26	36.67	0.00	18.57	1.94
A637	38.168930	-121.630281	North Delta tidal transition zone	Sacramento River	7/1/2020	6.73	11.93	23.75	149.55	7.75	8.07	95.38	3.39	2.12	13.80	3.23	15.36	23.82	145.92	0.07	1.47	0.80	1.43	0.00	3.70	39.73	19.55	38.77	0.00	18.66	1.67
A3047	38.169562	-121.581041	North Delta tidal transition zone	Georgiana Slough	7/1/2020	7.04	14.47	23.37	148.20	7.66	7.83	91.93	2.05	1.44	15.39	2.40	17.51	23.42	143.21	0.07	0.75	0.69	1.22	0.01	2.67	27.96	20.85	45.93	0.30	21.54	1.82
A616	38.169380	-121.596008	North Delta tidal transition zone	Sacramento River	7/1/2020	6.15	18.95	23.44	144.69	7.67	7.90	92.94	4.49	2.13	14.79	3.36	16.06	23.50	140.03	0.07	1.63	0.80	1.51	0.00	3.95	41.25	20.20	38.26	0.01	25.10	1.86
A639	38.170829	-121.633002	North Delta tidal transition zone	Sacramento River	7/1/2020	6.78	11.83	23.75	149.41	7.75	8.06	95.27	3.39	2.08	13.73	3.16	15.34	23.82	145.79	0.07	1.43	0.80	1.38	0.00	3.61	39.62	18.47	38.23	0.00	18.61	1.68
A666	38.169569	-121.673563	Western Delta tidal zone	Sacramento River	7/1/2020	9.27	9.53	23.31	148.65	7.81	7.95	93.24	2.86	1.79	15.86	2.67	17.26	23.39	143.53	0.07	0.98	0.92	1.08	0.00	2.97	32.82	30.93	36.35	0.00	18.80	1.93
A614	38.171769	-121.593926	North Delta tidal transition zone	Sacramento River	7/1/2020	6.01	20.93	23.40	143.77	7.66	7.88	92.55	4.42	2.12	14.75	3.32	16.04	23.47	139.05	0.07	1.61	0.79	1.51	0.00	3.92	41.09	20.13	38.49	0.03	26.94	1.90
A641	38.172153	-121.636235	North Delta tidal transition zone	Sacramento River	7/1/2020	6.85	11.86	23.73	149.44	7.75	8.04	95.03	3.41	2.03	13.70	3.08	15.33	23.80	145.64	0.07	1.36	0.79	1.33	0.00	3.48	38.88	19.11	38.28	0.00	18.71	1.70
A3045	38.172387	-121.580124	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.96	14.28	23.40	148.53	7.66	7.83	91.98	2.04	1.44	15.48	2.42	17.55	23.45	143.71	0.07	0.76	0.68	1.25	0.01	2.70	28.22	23.03	46.22	0.29	21.25	1.84
A645	38.172775	-121.643450	North Delta tidal transition zone	Sacramento River	7/1/2020	7.16	12.18	23.70	149.17	7.76	8.05	95.11	3.45	2.01	13.82	3.10	15.33	23.76	145.33	0.07	1.38	0.80	1.35	0.00	3.53	39.00	23.40	38.13	0.00	19.23	1.72
A643	38.172878	-121.639755	North Delta tidal transition zone	Sacramento River	7/1/2020	6.92	11.94	23.72	149.46	7.76	8.04	95.04	3.41	2.02	13.71	3.08	15.33	23.78	145.60	0.07	1.35	0.79	1.34	0.00	3.48	38.71	22.81	38.43	0.00	18.84	1.70
A647	38.172988	-121.647121	North Delta tidal transition zone	Sacramento River	7/1/2020	7.38	12.42	23.68	148.58	7.76	8.05	95.11	3.47	1.97	13.89	3.08	15.29	23.75	144.85	0.07	1.40	0.82	1.33	0.00	3.55	39.43	23.43	37.34	0.00	19.71	1.74
A664	38.171934	-121.671539	Western Delta tidal zone	Sacramento River	7/1/2020	8.97	10.05	23.43	147.48	7.79	7.96	93.61	2.87	1.79	15.36	2.69	16.74	23.50	142.63	0.07	1.07	0.89	1.10	0.00	3.05	34.87	29.33	36.07	0.00	19.02	1.91
A649	38.173458	-121.650671	North Delta tidal transition zone	Sacramento River	7/1/2020	7.52	12.54	23.69	148.10	7.77	8.05	95.07	3.43	1.93	13.94	3.00	15.26	23.76	144.40	0.07	1.39	0.84	1.28	0.00	3.50	39.66	24.04	36.44	0.00	20.05	1.76
A612	38.174321	-121.592194	North Delta tidal transition zone	Sacramento River	7/1/2020	5.91	21.81	23.39	142.97	7.66	7.86	92.36	4.39	2.10	14.68	3.29	15.96	23.45	138.31	0.07	1.59	0.78	1.50	0.00	3.88	40.99	20.13	38.63	0.07	27.73	1.93
A651	38.174403	-121.654101	North Delta tidal transition zone	Sacramento River	7/1/2020	7.57	12.67	23.69	147.25	7.76	8.04	95.01	3.35	1.92	13.90	2.95	15.19	23.76	143.56	0.07	1.37	0.84	1.24	0.00	3.45	39.68	24.47	35.97	0.00	20.23	1.78
A662	38.173881	-121.668833	Western Delta tidal zone	Sacramento River	7/1/2020	8.70	10.51	23.52	146.94	7.78	7.97	93.85	2.95	1.80	14.90	2.73	16.24	23.60	142.24	0.07	1.14	0.88	1.12	0.00	3.14	36.14	28.26	35.87	0.00	19.21	1.90
A3043	38.175211	-121.580539	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.93	14.09	23.41	148.68	7.67	7.83	92.03	2.04	1.46	15.53	2.41	17.58	23.45	143.90	0.07	0.76	0.68	1.25	0.01	2.70	28.05	25.19	46.43	0.20	21.01	1.85
A653	38.175350	-121.657546	North Delta tidal transition zone	Sacramento River	7/1/2020	7.64	12.53	23.68	146.79	7.76	8.02	94.73	3.29	1.91	13.88	2.92	15.14	23.75	143.01	0.07	1.35	0.86	1.23	0.00	3.44	39.17	25.12	35.82	0.00	20.17	1.81
A655	38.175936	-121.661218	North Delta tidal transition zone	Sacramento River	7/1/2020	7.83	12.23	23.69	146.23	7.76	8.00	94.49	3.21	1.89	13.88	2.89	15.11	23.77	142.24	0.07	1.35	0.87	1.23	0.00	3.44	39.06	25.35	35.70	0.00	20.06	1.84
A610	38.176939	-121.590579	North Delta tidal transition zone	Sacramento River	7/1/2020	5.84	22.07	23.38	142.51	7.66	7.86	92.28	4.38	2.10	14.63	3.28	15.90	23.45	137.87	0.07	1.58	0.78	1.49	0.00	3.86	40.94	20.21	38.76	0.07	27.91	1.94
A659	38.178146	-121.667403	Western Delta tidal zone	Sacramento River	7/1/2020	8.19	11.36	23.64	146.22	7.77	7.98	94.16	3.09	1.82	14.25	2.79	15.53	23.72	141.82	0.07	1.24	0.87	1.16	0.00	3.26	37.86	26.77	35.51	0.00	19.56	1.87
A3041	38.178019	-121.579516	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.91	14.28	23.41	148.72	7.67	7.84	92.17	2.02	1.40	15.25	2.34	17.28	23.45	143.99	0.07	0.74	0.69	1.22	0.01	2.65	27.89	26.00	45.94	0.29	21.19	1.85
A608	38.179434	-121.588751	North Delta tidal transition zone	Sacramento River	7/1/2020	5.73	22.28	23.38	141.81	7.66	7.85	92.19	4.34	2.09	14.54	3.24	15.80	23.45	137.16	0.07	1.57	0.77	1.48	0.00	3.82	41.08	20.28	38.69	0.09	28.01	1.97
A3039	38.180644	-121.578141	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.88	14.68	23.41	148.59	7.67	7.85	92.23	1.99	1.35	15.05	2.27	17.06	23.45	143.94	0.07	0.70	0.69	1.17	0.01	2.57	27.36	27.10	45.50	0.22	21.56	1.85
A3037	38.181763	-121.575002	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.87	15.23	23.40	148.39	7.66	7.84	92.16	1.98	1.32	14.87	2.21	16.87	23.44	143.81	0.07	0.68	0.69	1.14	0.00	2.50	26.97	27.76	45.39	0.13	22.09	1.85
A3035	38.181962	-121.571385	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.82	16.20	23.38	147.91	7.65	7.81	91.75	2.01	1.31	14.66	2.18	16.65	23.43	143.34	0.07	0.69	0.68	1.13	0.01	2.51	27.51	27.44	45.06	0.23	23.02	1.85
A606	38.181918	-121.586857	North Delta tidal transition zone	Sacramento River	7/1/2020	5.59	22.12	23.37	140.89	7.66	7.85	92.21	4.21	2.05	14.42	3.16	15.67	23.44	136.20	0.07	1.54	0.77	1.44	0.00	3.74	41.07	20.51	38.56	0.06	27.72	1.99
A3033	38.183429	-121.568212	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.66	17.07	23.35	147.14	7.64	7.78	91.36	2.04	1.29	14.57	2.14	16.54	23.40	142.60	0.07	0.70	0.68	1.12	0.01	2.50	27.77	27.30	44.69	0.35	23.73	1.85
A604	38.184324	-121.584783	North Delta tidal transition zone	Sacramento River	7/1/2020	5.54	21.82	23.37	140.28	7.66	7.86	92.28	4.14	2.05	14.35	3.13	15.59	23.43	135.58	0.07	1.51	0.76	1.43	0.00	3.69	40.82	20.65	38.62	0.02	27.37	1.99
A3031	38.185075	-121.565208	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.51	17.68	23.33	146.38	7.63	7.77	91.12	2.05	1.27	14.54	2.08	16.51	23.38	141.88	0.07	0.67	0.67	1.09	0.01	2.44	27.32	27.65	44.69	0.37	24.18	1.86
A3029	38.186208	-121.561849	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.40	18.28	23.28	145.04	7.63	7.75	90.80	2.09	1.25	14.49	2.02	16.43	23.34	140.48	0.07	0.61	0.67	1.05	0.01	2.33	26.11	28.44	45.22	0.36	24.68	1.87
A602	38.186563	-121.582418	North Delta tidal transition zone	Sacramento River	7/1/2020	5.49	21.41	23.36	139.65	7.66	7.87	92.37	4.11	2.07	14.28	3.12	15.51	23.43	134.94	0.07	1.49	0.76	1.42	0.00	3.67	40.55	20.72	38.72	0.00	26.90	1.98
A3027	38.188073	-121.559113	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.32	18.40	23.26	144.12	7.62	7.74	90.70	2.09	1.24	14.44	1.98	16.38	23.31	139.62	0.07	0.58	0.67	1.03	0.01	2.27	25.57	29.00	45.28	0.26	24.73	1.88
A600	38.188368	-121.579570	North Delta tidal transition zone	Sacramento River	7/1/2020	5.34	20.54	23.36	138.88	7.67	7.88	92.51	4.17	2.09	14.18	3.16	15.40	23.41	134.04	0.07	1.51	0.77	1.44	0.00	3.73	40.55	20.60	38.71	0.00	25.88	1.96
A3025	38.190150	-121.556606	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.24	18.41	23.22	143.09	7.62	7.74	90.57	2.11	1.22	14.39	1.96	16.33	23.27	138.60	0.07	0.57	0.67	1.00	0.00	2.23	25.57	26.90	45.00	0.10	24.65	1.89
A598	38.189802	-121.576381	North Delta tidal transition zone	Sacramento River	7/1/2020	5.25	19.87	23.34	138.49	7.67	7.89	92.60	4.18	2.10	14.13	3.18	15.34	23.40	133.59	0.07	1.50	0.77	1.46	0.00	3.74	40.25	20.63	38.99	0.00	25.12	1.95
A596	38.190971	-121.573026	North Delta tidal transition zone	Sacramento River	7/1/2020	5.32	18.80	23.33	138.82	7.67	7.90	92.68	3.97	2.02	14.10	3.09	15.38	23.38	133.92	0.07	1.41	0.76	1.43	0.00	3.59	38.91	21.30	39.87	0.01	24.11	1.93
A3023	38.191783	-121.553567	North Delta tidal transition zone	Georgiana Slough	7/1/2020	6.10	18.11	23.15	141.33	7.61	7.72	90.30	2.19	1.22	14.32	1.96	16.23	23.20	136.67	0.07	0.56	0.67	0.98	0.00	2.20	25.63	17.52	44.33	0.05	24.21	1.90
A594	38.192128	-121.569682	North Delta tidal transition zone	Sacramento River	7/1/2020	5.32	18.18	23.34	138.36	7.67	7.91	92.80	3.95	2.01	14.06	3.09	15.33	23.39	133.54	0.07	1.40	0.75	1.42	0.00	3.57	39.07	21.30	39.89	0.01	23.49	1.92
A592	38.193051	-121.566170	North Delta tidal transition zone	Sacramento River	7/1/2020	5.41	17.62	23.33	139.45	7.66	7.88	92.46	3.65	1.88	14.13	2.90	15.52	23.39	134.72	0.07	1.28	0.74	1.36	0.00	3.37	37.00	22.47	40.74	0.07	23.03	1.90
A3021	38.193763	-121.550916	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.99	17.80	23.10	140.40	7.61	7.72	90.19	2.23	1.22	14.23	1.96	16.17	23.15	135.53	0.07	0.55	0.67	0.98	0.00	2.19	24.87	13.84	44.66	0.03	23.80	1.90
A590	38.194463	-121.562967	North Delta tidal transition zone	Sacramento River	7/1/2020	5.15	17.20	23.33	137.91	7.67	7.91	92.76	4.10	2.04	14.04	3.13	15.29	23.40	133.18	0.07	1.45	0.76	1.45	0.00	3.65	39.31	21.08	39.93	0.00	22.35	1.90
A3019	38.195570	-121.547978	North Delta tidal transition zone	Georgiana Slough	7/1/2020	5.81	17.55	23.08	139.64	7.61	7.72	90.15	2.25	1.25	14.11	1.96	16.07	23.12	134.58	0.07	0.51	0.67	0.99	0.00	2.17	23.61	10.03	45.47	0.04	23.36	1.90
A588	38.196721	-121.560664	North Delta tidal transition zone	Sacramento River	7/1/2020	5.03	16.88	23.35	137.39	7.67	7.91	92.89	4.33	2.13	14.03	3.27	15.20	23.42	132.68	0.07	1.56	0.77	1.51	0.00	3.83	40.73	20.16	39.39	0.00	21.88	1.90
