CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A3036	38.181795	-121.573159	North Delta tidal transition zone	Georgiana Slough	10/1/2020	8.79	17.33	19.31	133.97	7.67	8.39	91.11	1.64	0.71	14.67	1.37	15.02	19.34	118.60	0.07	0.78	0.73	0.00	1.84	26.45	39.76	0.00	26.11	1.45	2.44
A3034	38.182638	-121.569699	North Delta tidal transition zone	Georgiana Slough	10/1/2020	8.07	15.84	19.31	132.60	7.68	8.42	91.40	1.65	0.72	14.30	1.38	14.60	19.34	117.36	0.07	0.78	0.73	0.00	1.87	31.19	39.24	0.00	23.91	1.43	2.33
A3175	38.183226	-121.526076	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.13	14.01	19.24	138.56	7.53	7.86	85.12	2.00	0.89	15.86	1.68	16.75	19.25	123.10	0.05	0.86	0.75	0.02	1.67	49.97	37.68	1.31	30.14	1.52	2.66
A605	38.183153	-121.585874	North Delta tidal transition zone	Sacramento River	10/1/2020	10.82	17.42	19.87	140.16	7.68	10.76	118.02	1.25	0.67	11.26	1.49	14.36	19.94	126.10	0.07	0.30	0.55	0.36	1.41	20.74	38.71	26.20	28.23	1.26	2.42
A3032	38.184307	-121.566739	North Delta tidal transition zone	Georgiana Slough	10/1/2020	7.33	13.80	19.30	131.00	7.70	8.45	91.64	1.65	0.74	13.86	1.42	14.13	19.32	116.09	0.07	0.77	0.76	0.00	1.90	34.45	39.79	0.01	21.13	1.40	2.25
A3030	38.185694	-121.563553	North Delta tidal transition zone	Georgiana Slough	10/1/2020	6.53	11.37	19.29	129.34	7.72	8.46	91.76	1.66	0.75	13.43	1.45	13.66	19.31	114.85	0.07	0.76	0.79	0.00	1.95	39.86	40.37	0.03	17.89	1.38	2.14
A3173	38.185501	-121.524673	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	16.21	13.81	19.25	138.56	7.53	7.84	84.91	2.00	0.91	15.92	1.70	16.81	19.25	123.08	0.05	0.87	0.76	0.01	1.69	50.36	43.50	1.03	30.02	1.52	2.64
A603	38.185448	-121.583623	North Delta tidal transition zone	Sacramento River	10/1/2020	10.77	18.22	19.82	140.70	7.67	10.89	119.32	1.32	0.69	11.30	1.52	14.55	19.88	126.67	0.07	0.29	0.53	0.37	1.40	18.60	38.03	27.33	28.99	1.26	2.48
A2560	38.185523	-121.661383	Western Delta tidal zone	Cache Slough	10/1/2020	13.82	5.45	19.89	158.74	7.78	8.45	92.72	3.42	1.50	15.37	2.40	18.55	19.92	143.48	0.08	2.15	0.53	0.93	3.64	59.04	14.61	25.65	19.27	1.49	2.60
A3028	38.186976	-121.560319	North Delta tidal transition zone	Georgiana Slough	10/1/2020	6.03	9.87	19.30	128.36	7.74	8.48	92.00	1.67	0.76	13.15	1.47	13.35	19.32	114.07	0.07	0.76	0.81	0.00	1.98	38.85	40.96	0.03	15.90	1.36	2.05
