CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	South Delta tidal transition zone	Latham Slough	10/1/2020	21.56	1.34	21.92	341.25	7.85	8.43	96.38	1.53	2.32	31.23	3.83	32.27	21.94	323.95	0.16	1.64	1.51	0.23	4.89	33.68	30.86	4.71	22.90	2.39	2.70
A4097	38.166201	-121.491400	Mokelumne tidal transition zone	Hog Slough	10/1/2020	9.53	2.48	20.06	133.58	7.61	8.23	90.60	1.40	1.85	20.96	3.15	21.89	20.08	120.59	0.07	2.49	1.06	0.02	5.54	44.56	19.21	0.35	12.01	1.81	1.73
A3284	38.170279	-121.495870	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	10.13	2.85	19.95	131.74	7.57	8.17	89.74	1.28	1.59	20.56	2.80	21.40	19.97	119.30	0.07	1.54	0.82	0.03	3.80	40.17	21.67	0.70	12.99	1.79	1.81
A3246	38.209702	-121.489602	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.30	6.65	19.43	119.73	7.60	8.59	93.42	2.25	1.11	15.74	2.05	15.88	19.45	107.11	0.06	1.04	0.83	0.02	2.47	39.30	33.55	0.74	18.97	1.51	1.66
A3129	38.228413	-121.493868	Mokelumne tidal transition zone	Dead Horse Cut	10/1/2020	3.19	3.82	18.75	66.45	7.47	8.36	89.70	2.45	1.47	13.98	2.52	13.60	18.77	54.82	0.05	1.15	1.01	0.00	3.05	38.39	33.41	0.00	5.73	1.41	1.51
A3137	38.224314	-121.506121	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	11.52	8.38	19.22	119.47	7.53	8.28	89.74	1.86	0.93	15.15	1.79	15.54	19.23	106.17	0.04	1.07	0.72	0.02	2.07	57.61	35.87	0.90	19.76	1.48	2.12
A3131	38.227523	-121.496661	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	3.93	3.88	18.82	70.75	7.48	8.37	89.99	2.39	1.43	14.01	2.51	13.75	18.84	60.04	0.04	1.15	1.05	0.00	3.15	41.02	33.78	0.24	6.92	1.41	1.60
A3229	38.227253	-121.492263	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	2.63	2.56	18.75	62.60	7.41	8.39	89.97	2.44	1.41	13.83	2.46	13.50	18.77	53.34	0.04	1.14	0.96	0.00	3.12	36.85	30.63	0.01	4.60	1.40	1.47
A3130	38.227503	-121.494888	Mokelumne tidal transition zone	North Mokelumne River	10/1/2020	3.00	3.14	18.77	64.94	7.44	8.38	89.98	2.43	1.45	13.88	2.52	13.55	18.79	54.95	0.04	1.15	1.02	0.00	3.18	38.46	32.33	0.08	5.35	1.41	1.52
A4108	38.167475	-121.473738	Mokelumne tidal transition zone	Hog Slough	10/1/2020	3.86	1.49	20.74	162.52	7.92	9.06	101.13	2.90	3.49	27.47	5.84	29.39	20.76	150.13	0.08	8.66	1.94	0.00	14.03	62.86	13.46	0.00	5.34	2.18	1.61
A4104	38.165174	-121.480395	Mokelumne tidal transition zone	Hog Slough	10/1/2020	6.16	2.54	20.43	149.81	7.81	8.85	98.13	2.37	3.22	24.15	5.22	25.93	20.47	137.17	0.07	6.10	1.96	0.00	11.16	54.06	17.68	0.00	8.70	1.99	1.63
A4105	38.165680	-121.478678	Mokelumne tidal transition zone	Hog Slough	10/1/2020	5.32	2.33	20.52	154.40	7.85	8.92	99.11	2.55	3.39	25.36	5.52	27.35	20.56	141.81	0.08	6.91	2.01	0.00	12.16	56.55	16.60	0.00	7.65	2.06	1.62
A4101	38.166106	-121.485075	Mokelumne tidal transition zone	Hog Slough	10/1/2020	8.08	2.47	20.26	140.06	7.72	8.63	95.41	1.91	2.55	21.65	4.21	22.74	20.28	126.68	0.07	4.43	1.61	0.00	8.72	50.14	18.44	0.02	10.55	1.85	1.68
A4109	38.168357	-121.472375	Mokelumne tidal transition zone	Hog Slough	10/1/2020	3.87	1.45	20.75	162.56	7.93	9.07	101.20	2.91	3.47	27.46	5.82	29.30	20.77	150.16	0.08	8.72	1.93	0.00	14.06	63.07	13.44	0.00	5.32	2.18	1.62
A4106	38.166338	-121.476948	Mokelumne tidal transition zone	Hog Slough	10/1/2020	4.63	1.93	20.62	158.23	7.89	8.98	99.98	2.70	3.42	26.40	5.64	28.28	20.65	145.64	0.08	7.77	2.00	0.00	13.08	59.40	15.30	0.00	6.56	2.12	1.62
A4107	38.166885	-121.475385	Mokelumne tidal transition zone	Hog Slough	10/1/2020	4.19	1.66	20.69	160.65	7.91	9.02	100.57	2.81	3.44	27.02	5.73	28.91	20.71	148.16	0.08	8.27	1.96	0.00	13.60	61.37	14.22	0.00	5.85	2.15	1.61
A4102	38.165507	-121.483580	Mokelumne tidal transition zone	Hog Slough	10/1/2020	7.12	2.62	20.34	144.74	7.77	8.75	96.84	2.14	2.95	22.82	4.78	24.35	20.37	131.94	0.07	5.19	1.81	0.00	9.93	51.76	18.25	0.00	9.74	1.91	1.65
A4110	38.168966	-121.470748	Mokelumne tidal transition zone	Hog Slough	10/1/2020	3.45	1.41	20.80	164.67	7.95	9.12	101.86	3.01	3.59	27.99	6.01	29.90	20.81	152.34	0.08	9.16	2.02	0.00	14.68	64.23	13.15	0.00	4.86	2.21	1.61
A4099	38.167127	-121.487988	Mokelumne tidal transition zone	Hog Slough	10/1/2020	8.81	2.40	20.17	136.44	7.68	8.49	93.72	1.68	2.23	20.94	3.72	21.83	20.19	123.00	0.07	3.67	1.40	0.01	7.53	48.44	18.50	0.10	11.21	1.81	1.70
A4098	38.166792	-121.489810	Mokelumne tidal transition zone	Hog Slough	10/1/2020	9.29	2.39	20.11	134.45	7.65	8.35	92.08	1.52	2.00	20.75	3.39	21.63	20.12	121.17	0.07	3.06	1.22	0.01	6.51	46.82	18.66	0.25	11.67	1.80	1.72
A4103	38.164754	-121.481970	Mokelumne tidal transition zone	Hog Slough	10/1/2020	6.16	2.54	20.43	149.81	7.81	8.85	98.13	2.37	3.22	24.15	5.22	25.93	20.47	137.17	0.07	6.10	1.96	0.00	11.16	54.06	17.68	0.00	8.70	1.99	1.63
A3288	38.165302	-121.492463	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	9.41	2.78	20.07	133.94	7.59	8.15	89.73	1.35	1.87	21.33	3.18	22.48	20.10	121.46	0.07	2.24	1.04	0.01	5.20	42.69	19.83	0.22	12.19	1.83	1.72
A4100	38.167126	-121.486233	Mokelumne tidal transition zone	Hog Slough	10/1/2020	8.81	2.40	20.17	136.44	7.68	8.49	93.72	1.68	2.23	20.94	3.72	21.83	20.19	123.00	0.07	3.67	1.40	0.01	7.53	48.44	18.50	0.10	11.21	1.81	1.70
A3289	38.164094	-121.492975	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	9.41	2.78	20.07	133.94	7.59	8.15	89.73	1.35	1.87	21.33	3.18	22.48	20.10	121.46	0.07	2.24	1.04	0.01	5.20	42.69	19.83	0.22	12.19	1.83	1.72
A3264	38.192781	-121.480885	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.18	6.50	19.61	125.05	7.59	8.39	91.61	1.65	1.35	15.98	2.47	16.42	19.65	112.30	0.06	1.19	0.90	0.01	3.03	39.75	30.21	0.23	19.68	1.53	1.95
A3263	38.193733	-121.479366	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.27	6.64	19.57	123.92	7.58	8.39	91.56	1.74	1.35	15.80	2.45	16.21	19.61	111.33	0.06	1.15	0.91	0.01	2.96	39.72	31.64	0.28	19.91	1.51	1.95
A3269	38.187006	-121.485777	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.27	5.35	19.75	126.40	7.61	8.38	91.71	1.47	1.44	16.79	2.60	17.32	19.78	113.58	0.06	1.44	0.91	0.02	3.47	40.94	27.02	0.72	17.62	1.57	1.95
A3265	38.191435	-121.481540	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	13.04	6.32	19.65	125.45	7.59	8.39	91.64	1.60	1.37	16.13	2.50	16.60	19.68	112.62	0.06	1.25	0.89	0.01	3.13	39.96	29.45	0.34	19.36	1.53	1.96
A3272	38.183194	-121.488291	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.59	4.40	19.83	126.94	7.61	8.35	91.54	1.42	1.52	17.29	2.73	17.98	19.85	114.34	0.07	1.58	0.93	0.02	3.77	41.45	25.66	0.55	15.99	1.60	1.94
A3271	38.184363	-121.487177	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.87	4.84	19.79	126.67	7.61	8.36	91.66	1.44	1.49	17.06	2.68	17.66	19.82	113.95	0.06	1.53	0.92	0.02	3.64	41.44	26.33	0.74	16.71	1.59	1.94
A3275	38.180766	-121.492282	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.46	3.95	19.85	127.28	7.60	8.32	91.31	1.36	1.48	17.64	2.69	18.41	19.87	114.81	0.07	1.47	0.89	0.01	3.63	36.30	24.71	0.31	15.41	1.62	1.94
A3280	38.175831	-121.497466	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.01	3.42	19.88	128.99	7.59	8.33	91.34	1.31	1.51	18.73	2.69	19.47	19.90	116.51	0.07	1.47	0.86	0.01	3.61	40.30	23.81	0.24	14.44	1.68	1.91
A3270	38.185609	-121.486265	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.87	4.84	19.79	126.67	7.61	8.36	91.66	1.44	1.49	17.06	2.68	17.66	19.82	113.95	0.06	1.53	0.92	0.02	3.64	41.44	26.33	0.74	16.71	1.59	1.94
A3273	38.181926	-121.489273	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.59	4.40	19.83	126.94	7.61	8.35	91.54	1.42	1.52	17.29	2.73	17.98	19.85	114.34	0.07	1.58	0.93	0.02	3.77	41.45	25.66	0.55	15.99	1.60	1.94
A3286	38.167596	-121.494231	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	9.58	2.83	20.02	133.61	7.57	8.09	89.09	1.34	1.81	21.46	3.15	22.58	20.05	121.29	0.07	1.77	0.93	0.02	4.38	40.18	21.26	0.49	12.40	1.84	1.76
A3279	38.177268	-121.497548	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.01	3.42	19.88	128.99	7.59	8.33	91.34	1.31	1.51	18.73	2.69	19.47	19.90	116.51	0.07	1.47	0.86	0.01	3.61	40.30	23.81	0.24	14.44	1.68	1.91
A3281	38.174441	-121.497015	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	10.77	3.26	19.90	129.74	7.58	8.28	90.88	1.28	1.51	19.21	2.68	19.99	19.92	117.27	0.07	1.46	0.85	0.02	3.61	40.64	23.56	0.32	14.03	1.71	1.88
A3274	38.181006	-121.490418	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.38	4.00	19.85	127.46	7.61	8.33	91.39	1.39	1.52	17.63	2.74	18.39	19.87	114.91	0.07	1.59	0.92	0.01	3.82	39.23	24.89	0.38	15.38	1.62	1.93
A3267	38.189265	-121.483799	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.70	5.89	19.70	126.03	7.60	8.38	91.70	1.53	1.40	16.46	2.54	16.94	19.73	113.17	0.06	1.34	0.89	0.02	3.29	40.37	27.99	0.56	18.59	1.55	1.95
A3276	38.179899	-121.493934	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.46	3.95	19.85	127.28	7.60	8.32	91.31	1.36	1.48	17.64	2.69	18.41	19.87	114.81	0.07	1.47	0.89	0.01	3.63	36.30	24.71	0.31	15.41	1.62	1.94
A3282	38.173017	-121.496927	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	10.51	3.12	19.92	130.59	7.57	8.22	90.29	1.27	1.53	19.78	2.71	20.62	19.94	118.19	0.07	1.43	0.83	0.02	3.60	40.10	23.04	0.47	13.62	1.74	1.85
A3266	38.190170	-121.482397	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.95	6.16	19.67	125.67	7.60	8.39	91.65	1.56	1.36	16.24	2.48	16.70	19.70	112.88	0.06	1.25	0.89	0.01	3.13	40.20	28.80	0.43	19.11	1.54	1.95
A3268	38.188462	-121.485242	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	12.60	5.69	19.71	125.96	7.60	8.38	91.64	1.49	1.39	16.53	2.52	17.02	19.75	113.17	0.06	1.32	0.89	0.02	3.26	40.45	27.60	0.68	18.29	1.56	1.95
A3283	38.171575	-121.496481	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	10.16	3.00	19.95	131.73	7.56	8.15	89.67	1.27	1.59	20.50	2.80	21.42	19.97	119.32	0.07	1.40	0.82	0.02	3.60	39.08	22.65	0.53	13.16	1.78	1.82
A3278	38.178163	-121.496242	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.23	3.61	19.86	128.27	7.59	8.36	91.73	1.33	1.50	18.33	2.69	19.01	19.89	115.87	0.07	1.45	0.86	0.01	3.59	37.38	23.99	0.13	14.84	1.66	1.93
A3277	38.178896	-121.495001	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	11.25	3.65	19.86	128.13	7.60	8.33	91.40	1.34	1.49	18.19	2.69	18.93	19.89	115.65	0.07	1.48	0.87	0.01	3.64	37.91	24.00	0.24	14.89	1.65	1.93
A3285	38.168906	-121.495217	Mokelumne tidal transition zone	South Mokelumne River	10/1/2020	9.86	2.80	19.98	132.71	7.57	8.12	89.35	1.31	1.69	21.08	2.96	22.06	20.00	120.33	0.07	1.63	0.86	0.02	4.04	40.11	21.38	0.61	12.66	1.81	1.78
A1191	38.072447	-121.948614	Suisun Bay	Honker Bay	10/1/2020	20.22	4.16	20.47	11096.78	7.92	8.17	94.79	12.61	3.32	25.02	5.08	26.86	20.51	18206.88	11.91	0.93	2.94	0.04	4.71	19.89	62.50	0.84	24.37	2.04	3.30
A828	38.049287	-121.881094	Western Delta tidal zone	Sacramento River	10/1/2020	18.11	2.88	20.42	10699.50	7.85	8.25	94.76	5.03	3.67	23.78	5.65	25.43	20.46	10170.09	6.35	0.71	3.60	0.39	6.29	11.28	57.27	6.24	20.99	1.97	2.93
A4522	37.957338	-121.570608	South Delta tidal transition zone	Old River	10/1/2020	9.43	0.24	21.97	561.06	7.81	7.89	90.29	1.84	2.78	27.33	4.41	27.77	22.01	543.77	0.28	1.58	1.81	0.31	5.74	29.70	31.51	5.19	8.75	2.17	2.29
A5886	37.832019	-121.553862	South Delta tidal transition zone	West Canal	10/1/2020	18.35	1.60	21.78	473.17	7.67	7.45	84.95	2.13	3.44	35.24	5.30	35.65	21.81	439.28	0.23	1.79	2.09	0.43	6.85	26.15	30.47	6.28	19.85	2.62	2.64
A5884	37.834774	-121.554998	South Delta tidal transition zone	West Canal	10/1/2020	17.67	1.67	21.81	480.16	7.67	7.48	85.30	2.16	3.38	34.82	5.26	35.48	21.84	450.90	0.23	1.82	2.11	0.42	6.88	26.40	30.66	6.15	19.30	2.59	2.66
A5882	37.837533	-121.556104	South Delta tidal transition zone	West Canal	10/1/2020	17.51	1.72	21.84	486.71	7.68	7.52	85.84	2.19	3.31	34.51	5.20	35.32	21.87	459.39	0.24	1.83	2.11	0.41	6.88	26.64	30.71	6.02	19.14	2.57	2.71
A5880	37.840313	-121.557183	South Delta tidal transition zone	West Canal	10/1/2020	16.84	1.73	21.87	500.73	7.69	7.58	86.56	2.28	3.27	34.06	5.16	35.05	21.91	478.53	0.25	1.87	2.10	0.39	6.89	27.08	30.69	5.67	18.45	2.55	2.78
A5878	37.843084	-121.558294	South Delta tidal transition zone	West Canal	10/1/2020	16.33	1.72	21.87	508.92	7.69	7.60	86.83	2.35	3.23	33.90	5.12	34.91	21.91	485.81	0.25	1.88	2.09	0.38	6.89	27.30	30.40	5.59	18.04	2.54	2.80
A5876	37.845832	-121.559400	South Delta tidal transition zone	West Canal	10/1/2020	16.35	1.74	21.87	506.72	7.70	7.65	87.37	2.39	3.23	33.93	5.14	34.97	21.92	482.07	0.25	1.89	2.06	0.39	6.92	27.26	30.21	5.60	17.78	2.54	2.83
A5874	37.848601	-121.560461	South Delta tidal transition zone	West Canal	10/1/2020	16.14	1.76	21.86	510.56	7.70	7.66	87.45	2.44	3.25	33.79	5.18	34.93	21.91	486.68	0.25	1.91	2.05	0.38	6.92	27.52	29.83	5.48	17.86	2.54	2.78
A5872	37.851391	-121.561551	South Delta tidal transition zone	West Canal	10/1/2020	16.64	1.78	21.86	505.32	7.70	7.69	87.82	2.45	3.29	33.86	5.24	35.05	21.90	482.16	0.25	1.90	2.03	0.37	6.92	27.41	29.53	5.40	18.17	2.54	2.76
A4617	37.853964	-121.561394	South Delta tidal transition zone	Old River	10/1/2020	19.82	1.83	21.88	461.88	7.73	7.87	89.92	2.37	3.46	34.79	5.46	35.91	21.92	441.50	0.23	1.85	2.06	0.40	7.08	26.07	28.12	5.60	19.43	2.58	2.71
A4614	37.855058	-121.563857	South Delta tidal transition zone	Old River	10/1/2020	18.67	1.85	21.84	481.12	7.71	7.80	88.98	2.45	3.43	34.39	5.41	35.62	21.88	460.26	0.24	1.90	2.04	0.38	7.05	26.95	28.02	5.39	19.57	2.57	2.63
A4619	37.856755	-121.562562	South Delta tidal transition zone	Old River	10/1/2020	20.64	1.86	21.88	449.13	7.74	7.95	90.77	2.36	3.52	35.10	5.54	36.18	21.91	428.28	0.22	1.87	2.11	0.41	7.22	26.01	27.52	5.59	20.16	2.61	2.61
A4623	37.858186	-121.556614	South Delta tidal transition zone	Old River	10/1/2020	24.33	1.72	21.99	394.33	7.75	8.11	92.82	2.12	3.56	36.14	5.59	37.20	22.05	374.87	0.19	1.74	2.06	0.42	7.17	24.26	26.61	5.90	19.91	2.66	2.83
A4611	37.857377	-121.567707	South Delta tidal transition zone	Old River	10/1/2020	17.39	1.82	21.81	496.21	7.71	7.75	88.45	2.53	3.44	33.91	5.44	35.27	21.87	471.42	0.24	1.97	2.03	0.38	7.06	27.91	29.01	5.35	19.14	2.58	2.48
A4621	37.858880	-121.559916	South Delta tidal transition zone	Old River	10/1/2020	24.03	1.77	21.99	396.80	7.77	8.16	93.42	2.15	3.62	36.13	5.67	37.07	22.03	377.56	0.19	1.76	2.13	0.44	7.30	24.15	26.54	6.04	20.10	2.66	2.76
A4625	37.859772	-121.553839	South Delta tidal transition zone	Old River	10/1/2020	25.31	1.57	21.98	382.97	7.75	8.08	92.38	2.12	3.47	36.35	5.40	37.36	22.04	363.69	0.18	1.73	2.05	0.41	7.20	24.21	29.15	5.74	19.98	2.68	2.95
A4609	37.859914	-121.573770	South Delta tidal transition zone	Old River	10/1/2020	16.05	1.66	21.88	503.68	7.72	7.82	89.32	2.54	3.36	33.37	5.35	34.91	21.94	479.28	0.25	1.95	1.96	0.42	6.97	27.96	28.10	6.02	17.89	2.52	2.38
A5802	37.862070	-121.552321	South Delta tidal transition zone	Victoria Canal	10/1/2020	25.63	1.53	21.98	377.89	7.75	8.09	92.60	2.16	3.49	36.44	5.41	37.35	22.02	358.95	0.18	1.75	2.11	0.43	7.33	23.89	28.29	5.80	20.05	2.68	2.96
A4607	37.863243	-121.571374	South Delta tidal transition zone	Old River	10/1/2020	17.14	1.63	21.92	488.05	7.74	7.93	90.65	2.45	3.29	33.70	5.26	35.12	21.97	464.39	0.24	1.94	2.01	0.35	6.97	27.91	28.64	5.06	18.16	2.53	2.41
A5804	37.863400	-121.549312	South Delta tidal transition zone	Victoria Canal	10/1/2020	25.50	1.42	22.00	379.97	7.74	8.06	92.29	2.19	3.51	35.98	5.38	36.90	22.05	360.97	0.18	1.75	2.16	0.42	7.38	24.58	27.59	5.73	20.32	2.66	3.03
A5806	37.864776	-121.546086	South Delta tidal transition zone	Victoria Canal	10/1/2020	25.59	1.26	21.99	378.67	7.74	7.99	91.43	2.22	3.50	35.75	5.32	36.82	22.04	359.36	0.18	1.76	2.16	0.41	7.33	21.56	25.45	5.66	20.89	2.65	3.05
A4605	37.865354	-121.573276	South Delta tidal transition zone	Old River	10/1/2020	16.12	1.56	21.97	505.74	7.75	8.01	91.68	2.46	3.11	33.30	5.04	34.70	22.01	485.96	0.25	1.92	1.95	0.31	6.72	28.64	28.81	4.56	17.92	2.51	2.39
A5808	37.866092	-121.542831	South Delta tidal transition zone	Victoria Canal	10/1/2020	25.72	1.16	21.98	377.48	7.74	7.96	91.07	2.22	3.48	35.83	5.28	36.93	22.04	358.08	0.18	1.76	2.14	0.41	7.26	19.01	25.62	5.70	21.32	2.65	3.04
A4603	37.867405	-121.575200	South Delta tidal transition zone	Old River	10/1/2020	14.76	1.50	21.99	526.19	7.76	8.07	92.33	2.49	2.92	32.87	4.78	34.27	22.02	507.22	0.26	1.88	1.88	0.24	6.39	29.55	29.42	3.74	17.61	2.48	2.37
A5810	37.867515	-121.539636	South Delta tidal transition zone	Victoria Canal	10/1/2020	25.68	1.03	21.97	379.12	7.75	7.98	91.22	2.18	3.37	36.03	5.16	37.07	22.03	359.49	0.18	1.74	2.07	0.42	7.13	24.78	29.74	5.95	21.98	2.66	3.00
A5812	37.868891	-121.536408	South Delta tidal transition zone	Victoria Canal	10/1/2020	25.81	0.92	21.97	378.27	7.75	7.99	91.39	2.15	3.35	36.12	5.15	37.12	22.03	358.90	0.18	1.75	2.05	0.43	7.10	24.71	25.19	5.99	22.57	2.66	2.96
A4601	37.869215	-121.578098	South Delta tidal transition zone	Old River	10/1/2020	13.61	1.46	21.97	540.84	7.77	8.04	92.03	2.49	2.79	32.53	4.58	33.95	22.00	519.21	0.27	1.84	1.80	0.19	6.06	30.33	29.63	3.05	17.21	2.46	2.36
A5814	37.870289	-121.533200	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.07	0.74	21.92	378.17	7.75	7.98	91.16	2.12	3.34	36.18	5.15	37.26	21.98	358.62	0.18	1.78	2.03	0.43	7.07	25.06	22.70	6.15	23.62	2.67	2.89
A4599	37.871378	-121.579592	South Delta tidal transition zone	Old River	10/1/2020	13.10	1.43	21.94	546.42	7.77	7.96	90.99	2.48	2.74	32.32	4.47	33.71	21.97	521.30	0.27	1.80	1.70	0.16	5.84	30.86	29.13	2.65	16.78	2.45	2.34
A5816	37.871639	-121.529975	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.25	0.60	21.87	378.76	7.74	7.95	90.72	2.11	3.40	36.18	5.20	37.32	21.93	358.82	0.18	1.78	2.07	0.49	7.14	19.97	28.95	6.87	24.45	2.67	2.83
A5818	37.873011	-121.526753	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.36	0.49	21.86	378.27	7.74	7.91	90.29	2.09	3.44	36.15	5.25	37.29	21.91	358.24	0.18	1.79	2.14	0.54	7.24	17.34	29.56	7.40	25.15	2.67	2.79
A4597	37.874168	-121.578828	South Delta tidal transition zone	Old River	10/1/2020	13.27	1.37	21.88	548.25	7.76	7.82	89.31	2.53	2.70	32.15	4.34	33.39	21.92	521.85	0.27	1.77	1.61	0.13	5.66	31.37	28.47	2.23	16.07	2.44	2.35
A5820	37.874396	-121.523529	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.50	0.33	21.87	378.15	7.74	7.87	89.92	2.06	3.49	36.05	5.35	37.16	21.92	358.19	0.18	1.80	2.23	0.58	7.35	17.64	30.38	7.85	26.17	2.66	2.73
A5822	37.875728	-121.520287	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.62	0.28	21.90	378.05	7.73	7.87	89.96	2.04	3.49	35.97	5.37	37.09	21.94	358.23	0.18	1.81	2.25	0.54	7.31	23.15	30.86	7.42	26.64	2.66	2.71
A4595	37.876867	-121.577513	South Delta tidal transition zone	Old River	10/1/2020	13.53	1.32	21.88	547.43	7.76	7.80	89.11	2.50	2.71	32.09	4.36	33.27	21.92	521.50	0.27	1.76	1.61	0.12	5.65	31.23	28.35	2.13	15.78	2.44	2.38
A5824	37.877081	-121.517048	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.77	0.25	21.92	378.17	7.73	7.86	89.81	2.00	3.47	35.87	5.35	37.00	21.96	358.54	0.18	1.84	2.24	0.46	7.22	25.18	31.06	6.38	26.93	2.65	2.69
A5826	37.878456	-121.513815	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.72	0.24	21.93	378.18	7.72	7.81	89.30	1.97	3.41	36.01	5.28	36.99	21.97	358.61	0.18	1.85	2.12	0.40	6.95	26.78	30.51	5.79	26.97	2.66	2.72
A4593	37.879547	-121.576137	South Delta tidal transition zone	Old River	10/1/2020	13.83	1.28	21.91	546.46	7.76	7.81	89.29	2.38	2.74	32.04	4.43	33.15	21.96	521.74	0.27	1.74	1.62	0.15	5.71	30.58	28.11	2.65	15.51	2.44	2.41
A5828	37.879879	-121.510557	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.68	0.25	21.90	378.19	7.72	7.79	89.03	1.97	3.32	36.24	5.17	37.09	21.95	358.51	0.18	1.83	2.01	0.38	6.69	27.44	29.96	5.63	26.94	2.67	2.76
A5830	37.881667	-121.508066	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.69	0.24	21.89	378.20	7.72	7.80	89.16	1.96	3.22	36.31	5.00	37.18	21.93	358.34	0.18	1.81	1.91	0.36	6.52	27.80	29.29	5.53	26.93	2.68	2.81
A4591	37.882096	-121.574404	South Delta tidal transition zone	Old River	10/1/2020	13.55	1.24	21.99	553.06	7.76	7.82	89.50	2.24	2.83	31.68	4.54	32.70	22.04	529.38	0.27	1.74	1.67	0.22	5.88	29.66	28.35	3.64	14.83	2.42	2.42
A5833	37.883025	-121.503059	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.68	0.23	21.92	378.16	7.73	7.85	89.73	1.91	3.08	36.14	4.81	37.09	21.95	358.46	0.18	1.75	1.89	0.37	6.45	27.15	29.34	5.71	26.92	2.67	2.89
A5835	37.884384	-121.499833	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.75	0.33	21.94	378.00	7.74	7.89	90.20	1.90	3.10	36.29	4.88	37.04	21.97	358.54	0.18	1.73	1.93	0.37	6.46	26.79	29.83	5.74	27.08	2.68	2.95
A4589	37.884750	-121.574794	South Delta tidal transition zone	Old River	10/1/2020	13.33	1.24	22.03	556.06	7.77	7.83	89.73	2.20	2.88	31.51	4.60	32.52	22.07	532.36	0.27	1.77	1.74	0.25	6.04	29.30	28.78	4.11	14.55	2.41	2.42
A5837	37.885754	-121.496613	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.80	0.49	21.92	377.76	7.74	7.89	90.15	1.92	3.12	36.52	4.90	37.12	21.95	358.16	0.18	1.74	1.91	0.37	6.40	27.14	29.89	5.78	27.29	2.69	2.99
A5839	37.887126	-121.493371	South Delta tidal transition zone	Victoria Canal	10/1/2020	26.77	0.57	21.85	377.60	7.73	7.89	90.03	1.97	3.17	36.75	4.99	37.35	21.89	357.54	0.18	1.75	1.86	0.38	6.34	27.55	29.29	6.06	27.35	2.70	3.01
