CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	South Delta tidal transition zone	Latham Slough	10/1/2021	8.30	0.78	20.73	554.51	7.81	7.76	86.66	1.96	1.46	35.49	3.88	38.22	20.73	514.85	0.27	2.20	2.69	0.95	0.00	5.83	37.54	35.32	16.33	0.00	7.79	2.69	2.28
A3284	38.170279	-121.495870	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.43	0.25	21.23	186.36	7.95	8.57	96.48	1.82	1.80	18.41	4.98	19.23	21.36	171.72	0.09	3.32	6.15	1.14	1.32	11.93	27.89	51.47	9.56	11.10	3.68	1.75	1.53
A3246	38.209702	-121.489602	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	6.87	0.26	21.10	173.38	7.98	8.78	98.76	1.74	0.82	13.82	2.42	14.08	21.25	163.22	0.09	1.98	2.51	0.72	0.08	5.32	37.61	46.31	13.58	1.20	7.14	1.49	1.10
A3129	38.228413	-121.493868	Mokelumne tidal transition zone	Dead Horse Cut	10/1/2021	6.92	0.47	21.03	172.51	8.14	9.22	103.56	1.60	0.80	14.37	2.58	14.70	21.15	161.02	0.09	2.04	1.91	0.87	0.01	4.82	41.69	39.48	18.71	0.19	7.39	1.52	0.97
A3137	38.224314	-121.506121	Mokelumne tidal transition zone	North Mokelumne River	10/1/2021	11.08	0.50	20.65	169.72	7.88	8.41	93.73	1.65	0.63	12.31	2.36	12.46	20.78	157.50	0.08	1.66	1.67	0.95	0.00	4.27	38.59	38.92	22.61	0.02	11.52	1.42	1.02
A3131	38.227523	-121.496661	Mokelumne tidal transition zone	North Mokelumne River	10/1/2021	7.34	0.37	20.97	172.95	8.02	8.79	98.62	1.66	0.80	14.13	2.61	14.44	21.09	161.20	0.09	2.09	1.94	0.85	0.00	4.88	42.42	39.78	17.90	0.03	7.71	1.51	0.98
A3229	38.227253	-121.492263	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	5.83	0.45	21.06	173.93	8.05	8.92	100.17	1.71	0.88	15.07	2.72	15.46	21.18	162.51	0.09	2.29	2.05	0.79	0.00	5.13	44.28	39.98	15.73	0.06	6.28	1.56	0.98
A3130	38.227503	-121.494888	Mokelumne tidal transition zone	North Mokelumne River	10/1/2021	6.53	0.40	21.02	173.52	8.03	8.86	99.41	1.68	0.85	14.62	2.67	14.98	21.14	161.91	0.09	2.20	2.00	0.82	0.00	5.02	43.45	39.85	16.74	0.03	6.93	1.54	0.98
A3288	38.165302	-121.492463	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	2.85	0.25	21.21	193.97	7.90	8.39	94.51	1.86	1.87	20.22	5.24	21.38	21.34	177.42	0.09	3.42	6.41	1.14	1.41	12.37	27.70	51.73	9.22	11.38	3.10	1.85	1.61
A3289	38.164094	-121.492975	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	2.85	0.25	21.21	193.97	7.90	8.39	94.51	1.86	1.87	20.22	5.24	21.38	21.34	177.42	0.09	3.42	6.41	1.14	1.41	12.37	27.70	51.73	9.22	11.38	3.10	1.85	1.61
A3264	38.192781	-121.480885	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	6.10	0.27	21.26	174.57	8.07	9.06	102.16	1.94	1.51	14.95	4.16	15.32	21.38	163.56	0.09	2.90	4.51	1.13	0.91	9.41	30.88	44.67	12.02	9.67	6.68	1.56	1.18
A3263	38.193733	-121.479366	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	6.38	0.28	21.25	174.42	8.07	9.06	102.14	2.00	1.51	14.82	4.14	15.19	21.36	163.30	0.09	2.90	4.37	1.14	0.85	9.17	31.60	35.12	12.42	9.29	7.11	1.55	1.18
A3269	38.187006	-121.485777	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	5.28	0.26	21.29	175.46	8.08	9.06	102.19	1.88	1.54	15.43	4.24	15.88	21.40	164.29	0.09	2.84	5.02	1.01	1.13	10.00	28.43	51.04	10.12	11.31	5.56	1.58	1.21
A3265	38.191435	-121.481540	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	5.94	0.27	21.27	174.75	8.07	9.06	102.16	1.92	1.51	15.05	4.19	15.42	21.39	163.70	0.09	2.88	4.66	1.12	0.96	9.55	30.21	47.36	11.71	10.07	6.42	1.56	1.19
A3272	38.183194	-121.488291	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.68	0.25	21.33	176.62	8.14	9.11	102.85	1.79	1.61	15.81	4.27	16.37	21.46	165.18	0.09	2.82	5.33	1.04	1.12	10.34	27.32	51.79	10.08	10.82	4.95	1.61	1.28
A3271	38.184363	-121.487177	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.93	0.25	21.32	175.96	8.11	9.10	102.72	1.85	1.58	15.62	4.26	16.13	21.43	164.71	0.09	2.84	5.12	0.99	1.16	10.13	28.10	51.03	9.83	11.44	5.20	1.59	1.24
A3275	38.180766	-121.492282	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.47	0.25	21.30	177.74	8.09	8.99	101.39	1.71	1.65	16.07	4.29	16.60	21.45	165.78	0.09	2.87	5.46	1.10	1.04	10.50	27.37	51.89	10.49	9.88	4.72	1.62	1.34
A3280	38.175831	-121.497466	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.82	0.25	21.26	181.22	7.99	8.75	98.62	1.73	1.71	17.10	4.65	17.76	21.40	168.40	0.09	3.18	5.55	0.97	1.31	11.02	28.92	50.32	8.83	11.82	4.07	1.67	1.45
A3270	38.185609	-121.486265	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.93	0.25	21.32	175.96	8.11	9.10	102.72	1.85	1.58	15.62	4.26	16.13	21.43	164.71	0.09	2.84	5.12	0.99	1.16	10.13	28.10	51.03	9.83	11.44	5.20	1.59	1.24
A3273	38.181926	-121.489273	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.68	0.25	21.33	176.62	8.14	9.11	102.85	1.79	1.61	15.81	4.27	16.37	21.46	165.18	0.09	2.82	5.33	1.04	1.12	10.34	27.32	51.79	10.08	10.82	4.95	1.61	1.28
A3286	38.167596	-121.494231	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.04	0.25	21.22	191.42	7.92	8.45	95.21	1.90	1.85	19.68	5.19	20.73	21.33	175.95	0.09	3.42	6.29	1.23	1.30	12.23	28.01	51.39	10.01	10.64	3.29	1.82	1.60
A3279	38.177268	-121.497548	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.82	0.25	21.26	181.22	7.99	8.75	98.62	1.73	1.71	17.10	4.65	17.76	21.40	168.40	0.09	3.18	5.55	0.97	1.31	11.02	28.92	50.32	8.83	11.82	4.07	1.67	1.45
A3281	38.174441	-121.497015	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.66	0.25	21.25	182.65	7.97	8.68	97.78	1.74	1.75	17.56	4.80	18.27	21.39	169.65	0.09	3.27	5.71	0.96	1.39	11.34	28.90	50.32	8.54	12.26	3.91	1.70	1.48
A3274	38.181006	-121.490418	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.48	0.25	21.32	177.70	8.12	9.04	101.99	1.73	1.65	16.09	4.31	16.66	21.46	165.83	0.09	2.84	5.51	1.09	1.07	10.56	26.96	52.33	10.38	10.16	4.75	1.62	1.32
A3267	38.189265	-121.483799	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	5.64	0.26	21.27	175.03	8.07	9.05	102.07	1.90	1.51	15.24	4.21	15.63	21.39	163.96	0.09	2.84	4.88	1.07	1.04	9.81	29.02	50.58	10.94	10.60	5.98	1.57	1.20
A3276	38.179899	-121.493934	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.47	0.25	21.30	177.74	8.09	8.99	101.39	1.71	1.65	16.07	4.29	16.60	21.45	165.78	0.09	2.87	5.46	1.10	1.04	10.50	27.37	51.89	10.49	9.88	4.72	1.62	1.34
A3282	38.173017	-121.496927	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.52	0.25	21.24	184.20	7.95	8.62	97.04	1.78	1.77	17.98	4.91	18.76	21.37	170.90	0.09	3.35	5.86	1.00	1.42	11.62	28.86	50.39	8.58	12.20	3.77	1.72	1.52
A3266	38.190170	-121.482397	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	5.84	0.26	21.26	174.76	8.07	9.05	102.05	1.90	1.50	15.11	4.17	15.48	21.39	163.77	0.09	2.87	4.73	1.07	1.00	9.65	29.80	48.98	11.09	10.37	6.23	1.57	1.19
A3268	38.188462	-121.485242	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	5.54	0.25	21.27	175.02	8.07	9.04	102.01	1.89	1.50	15.28	4.19	15.69	21.39	164.00	0.09	2.83	4.94	1.02	1.09	9.88	28.66	50.25	10.34	10.95	5.81	1.57	1.20
A3283	38.171575	-121.496481	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.41	0.25	21.23	185.92	7.94	8.56	96.45	1.84	1.79	18.42	5.00	19.26	21.35	172.22	0.09	3.40	6.02	1.11	1.35	11.87	28.66	50.71	9.35	11.41	3.66	1.75	1.55
A3278	38.178163	-121.496242	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.04	0.25	21.27	179.87	8.00	8.81	99.32	1.72	1.67	16.66	4.50	17.24	21.41	167.24	0.09	3.10	5.38	0.99	1.21	10.71	28.99	50.24	9.30	11.21	4.29	1.65	1.41
A3277	38.178896	-121.495001	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	4.16	0.25	21.27	179.46	8.04	8.86	99.82	1.71	1.69	16.54	4.46	17.11	21.42	166.91	0.09	3.01	5.47	1.06	1.12	10.70	28.21	51.12	10.00	10.40	4.42	1.64	1.39
A3285	38.168906	-121.495217	Mokelumne tidal transition zone	South Mokelumne River	10/1/2021	3.25	0.25	21.22	188.67	7.93	8.51	95.84	1.87	1.83	18.97	5.08	19.90	21.34	173.52	0.09	3.38	6.23	1.19	1.30	12.09	27.97	51.47	9.83	10.79	3.50	1.78	1.57
A1191	38.072447	-121.948614	Suisun Bay	Honker Bay	10/1/2021	13.34	0.25	20.53	19754.51	8.00	8.54	101.70	9.70	2.31	27.52	5.63	29.62	20.57	18284.00	11.94	2.70	1.79	2.97	0.35	7.86	34.45	23.16	37.78	4.18	13.59	2.25	3.03
A828	38.049287	-121.881094	Western Delta tidal zone	Sacramento River	10/1/2021	12.61	0.28	20.78	15012.94	7.97	8.69	102.21	5.81	2.42	27.69	5.64	29.23	20.85	13974.65	8.86	2.66	1.22	2.95	0.83	7.65	34.50	18.69	34.88	11.92	12.88	2.26	2.84
A4522	37.957338	-121.570608	South Delta tidal transition zone	Old River	10/1/2021	4.69	1.34	20.59	668.09	7.72	7.31	81.43	2.62	1.37	30.52	3.78	32.74	20.61	612.69	0.33	2.13	2.75	1.02	0.00	5.92	35.94	38.32	17.23	0.00	9.10	2.42	1.79
A5886	37.832019	-121.553862	South Delta tidal transition zone	West Canal	10/1/2021	6.35	0.86	20.30	585.57	7.69	7.31	81.00	3.17	1.98	43.18	5.21	47.36	20.30	536.42	0.29	2.71	2.76	1.24	0.00	6.71	40.49	41.08	18.52	0.00	8.26	3.12	2.39
A5884	37.834774	-121.554998	South Delta tidal transition zone	West Canal	10/1/2021	6.48	0.85	20.33	588.29	7.70	7.35	81.51	3.14	1.96	42.78	5.11	46.97	20.32	539.27	0.29	2.68	2.76	1.21	0.00	6.65	40.28	41.54	18.25	0.00	8.26	3.09	2.40
A5882	37.837533	-121.556104	South Delta tidal transition zone	West Canal	10/1/2021	6.60	0.85	20.34	589.76	7.70	7.38	81.87	3.12	1.97	42.52	5.05	46.66	20.33	540.88	0.29	2.65	2.77	1.19	0.00	6.61	40.17	41.84	18.06	0.00	8.25	3.08	2.40
A5880	37.840313	-121.557183	South Delta tidal transition zone	West Canal	10/1/2021	6.90	0.84	20.38	594.66	7.71	7.41	82.20	3.13	1.92	41.82	4.95	45.86	20.37	546.13	0.29	2.63	2.78	1.17	0.00	6.59	39.97	42.19	17.85	0.00	8.24	3.04	2.43
A5878	37.843084	-121.558294	South Delta tidal transition zone	West Canal	10/1/2021	7.03	0.84	20.41	598.10	7.71	7.39	82.08	3.15	1.86	41.47	4.90	45.44	20.41	549.63	0.29	2.61	2.78	1.16	0.00	6.55	39.84	42.42	17.77	0.00	8.25	3.02	2.44
A5876	37.845832	-121.559400	South Delta tidal transition zone	West Canal	10/1/2021	7.13	0.82	20.41	597.57	7.71	7.40	82.19	3.14	1.83	41.42	4.89	45.35	20.41	548.87	0.29	2.60	2.77	1.16	0.00	6.54	39.78	42.47	17.79	0.00	8.23	3.02	2.46
A5874	37.848601	-121.560461	South Delta tidal transition zone	West Canal	10/1/2021	7.20	0.82	20.47	601.54	7.71	7.39	82.20	3.14	1.80	41.08	4.85	44.93	20.46	552.96	0.30	2.57	2.77	1.16	0.00	6.51	39.54	42.72	17.86	0.00	8.24	3.00	2.45
A5872	37.851391	-121.561551	South Delta tidal transition zone	West Canal	10/1/2021	7.21	0.82	20.47	600.62	7.71	7.40	82.29	3.14	1.83	41.09	4.85	44.95	20.46	551.68	0.30	2.59	2.77	1.17	0.00	6.54	39.58	42.50	18.05	0.00	8.23	3.00	2.40
A4617	37.853964	-121.561394	South Delta tidal transition zone	Old River	10/1/2021	7.10	0.81	20.44	594.09	7.71	7.43	82.51	3.15	1.92	41.42	4.95	45.32	20.42	543.73	0.29	2.72	2.77	1.24	0.00	6.73	40.34	41.32	18.55	0.00	8.23	3.02	2.27
A4614	37.855058	-121.563857	South Delta tidal transition zone	Old River	10/1/2021	7.17	0.81	20.56	604.24	7.71	7.39	82.27	3.15	1.83	40.68	4.83	44.43	20.55	555.39	0.30	2.64	2.76	1.20	0.00	6.61	39.93	41.99	18.30	0.00	8.24	2.98	2.27
A4619	37.856755	-121.562562	South Delta tidal transition zone	Old River	10/1/2021	7.10	0.81	20.57	603.28	7.71	7.40	82.39	3.14	1.86	40.79	4.86	44.42	20.55	553.79	0.30	2.72	2.76	1.22	0.00	6.71	40.48	41.26	18.25	0.00	8.23	2.98	2.21
A4623	37.858186	-121.556614	South Delta tidal transition zone	Old River	10/1/2021	6.80	0.79	20.08	553.63	7.73	7.58	83.62	3.02	2.10	44.08	5.32	48.47	20.05	499.08	0.27	3.04	2.76	1.37	0.00	7.18	42.26	38.54	19.27	0.00	8.19	3.17	2.27
A4611	37.857377	-121.567707	South Delta tidal transition zone	Old River	10/1/2021	7.19	0.82	20.73	614.65	7.71	7.35	82.10	3.14	1.75	39.90	4.64	43.55	20.73	568.25	0.30	2.59	2.75	1.17	0.00	6.51	39.83	42.60	18.09	0.00	8.26	2.94	2.24
A4621	37.858880	-121.559916	South Delta tidal transition zone	Old River	10/1/2021	6.88	0.79	20.23	569.10	7.72	7.52	83.26	3.06	2.06	43.10	5.21	47.19	20.20	515.20	0.28	2.98	2.76	1.34	0.00	7.09	42.00	38.97	19.01	0.00	8.21	3.11	2.24
A4625	37.859772	-121.553839	South Delta tidal transition zone	Old River	10/1/2021	6.73	0.77	19.89	536.70	7.74	7.70	84.63	2.92	2.03	45.20	5.42	49.80	19.90	485.62	0.26	3.03	2.75	1.36	0.00	7.14	42.38	38.14	15.53	0.00	8.16	3.23	2.33
A4609	37.859914	-121.573770	South Delta tidal transition zone	Old River	10/1/2021	7.15	0.84	20.79	618.12	7.71	7.31	81.88	3.06	1.75	40.13	4.51	43.85	20.79	571.86	0.30	2.48	2.73	1.15	0.00	6.35	39.17	42.61	17.13	0.00	8.29	2.95	2.25
A5802	37.862070	-121.552321	South Delta tidal transition zone	Victoria Canal	10/1/2021	6.77	0.76	19.88	534.86	7.74	7.73	84.93	2.89	1.98	45.22	5.39	49.81	19.89	484.82	0.26	3.04	2.74	1.35	0.00	7.12	42.57	38.55	15.46	0.00	8.15	3.23	2.33
A4607	37.863243	-121.571374	South Delta tidal transition zone	Old River	10/1/2021	7.11	0.83	20.76	617.40	7.71	7.33	81.93	3.09	1.69	40.28	4.55	43.94	20.77	570.88	0.30	2.49	2.71	1.12	0.00	6.32	39.25	40.61	14.35	0.00	8.28	2.95	2.23
A5804	37.863400	-121.549312	South Delta tidal transition zone	Victoria Canal	10/1/2021	6.85	0.74	19.89	533.24	7.75	7.76	85.28	2.78	1.99	45.41	5.35	50.10	19.91	485.50	0.26	2.89	2.73	1.31	0.00	6.92	41.68	35.33	11.95	0.00	8.12	3.24	2.37
A5806	37.864776	-121.546086	South Delta tidal transition zone	Victoria Canal	10/1/2021	6.97	0.72	19.94	532.88	7.75	7.76	85.38	2.69	1.96	45.62	5.19	50.28	19.95	486.03	0.26	2.74	2.73	1.26	0.00	6.72	40.80	33.81	15.78	0.00	8.07	3.25	2.40
A4605	37.865354	-121.573276	South Delta tidal transition zone	Old River	10/1/2021	7.09	0.84	20.75	618.03	7.71	7.32	81.83	3.11	1.74	40.45	4.54	44.19	20.75	571.29	0.30	2.43	2.69	1.10	0.00	6.21	39.06	39.05	14.84	0.00	8.30	2.96	2.24
A5808	37.866092	-121.542831	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.03	0.70	19.96	532.90	7.75	7.76	85.39	2.66	1.90	45.68	5.07	50.24	19.97	486.16	0.25	2.66	2.72	1.23	0.00	6.60	40.28	34.90	18.08	0.00	8.04	3.25	2.41
A4603	37.867405	-121.575200	South Delta tidal transition zone	Old River	10/1/2021	7.04	0.85	20.74	618.39	7.71	7.32	81.88	3.11	1.74	40.48	4.52	44.25	20.74	571.72	0.30	2.41	2.68	1.07	0.00	6.16	39.25	39.05	16.20	0.00	8.31	2.96	2.24
A5810	37.867515	-121.539636	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.09	0.69	19.98	533.28	7.75	7.76	85.39	2.67	1.79	45.65	4.94	50.17	19.98	486.57	0.25	2.57	2.71	1.19	0.00	6.46	39.72	39.51	18.52	0.00	8.01	3.25	2.43
A5812	37.868891	-121.536408	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.14	0.67	19.99	533.33	7.75	7.76	85.40	2.67	1.73	45.63	4.89	50.13	19.99	486.71	0.25	2.54	2.71	1.18	0.00	6.42	39.56	31.76	18.50	0.00	7.97	3.25	2.44
A4601	37.869215	-121.578098	South Delta tidal transition zone	Old River	10/1/2021	6.90	0.85	20.75	618.05	7.71	7.33	81.96	3.07	1.72	40.35	4.48	44.08	20.74	571.80	0.30	2.39	2.68	1.05	0.00	6.12	39.47	38.20	17.28	0.00	8.33	2.95	2.25
A5814	37.870289	-121.533200	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.19	0.65	20.00	533.60	7.75	7.75	85.32	2.68	1.71	45.58	4.86	50.08	20.01	487.10	0.25	2.53	2.71	1.17	0.00	6.41	39.55	25.64	18.25	0.00	7.94	3.25	2.44
A4599	37.871378	-121.579592	South Delta tidal transition zone	Old River	10/1/2021	6.69	0.86	20.76	617.16	7.71	7.33	82.00	3.03	1.69	40.10	4.41	43.74	20.76	571.43	0.30	2.34	2.68	1.03	0.00	6.04	38.15	36.97	17.10	0.00	8.34	2.94	2.25
A5816	37.871639	-121.529975	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.22	0.69	20.01	533.80	7.75	7.74	85.30	2.68	1.75	45.53	4.86	50.01	20.01	487.66	0.25	2.56	2.70	1.18	0.00	6.43	39.76	36.82	14.54	0.00	7.96	3.25	2.45
A5818	37.873011	-121.526753	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.26	0.72	20.02	533.85	7.75	7.74	85.33	2.66	1.81	45.49	4.87	49.99	20.02	487.90	0.25	2.57	2.70	1.20	0.00	6.45	39.78	42.63	12.87	0.00	7.99	3.24	2.45
A4597	37.874168	-121.578828	South Delta tidal transition zone	Old River	10/1/2021	6.30	0.87	20.78	615.31	7.72	7.33	81.97	3.02	1.68	39.72	4.34	43.29	20.77	569.69	0.30	2.26	2.70	0.96	0.00	5.91	29.48	32.11	16.23	0.00	8.36	2.92	2.24
A5820	37.874396	-121.523529	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.26	0.89	20.03	534.40	7.74	7.74	85.30	2.66	1.80	45.50	4.90	50.02	20.03	488.63	0.26	2.60	2.69	1.20	0.00	6.48	40.17	42.18	13.17	0.00	8.15	3.24	2.45
A5822	37.875728	-121.520287	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.29	0.97	20.04	535.06	7.74	7.72	85.12	2.69	1.76	45.54	4.90	50.09	20.04	489.03	0.26	2.58	2.68	1.19	0.00	6.45	40.08	41.71	17.14	0.00	8.26	3.25	2.45
A4595	37.876867	-121.577513	South Delta tidal transition zone	Old River	10/1/2021	6.14	0.86	20.79	614.60	7.72	7.32	81.92	3.05	1.64	39.72	4.35	43.30	20.78	568.78	0.30	2.25	2.71	0.93	0.00	5.89	33.16	41.14	15.00	0.00	8.36	2.92	2.23
A5824	37.877081	-121.517048	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.28	1.00	20.03	535.59	7.73	7.69	84.80	2.68	1.69	45.58	4.85	50.17	20.04	488.98	0.26	2.51	2.68	1.15	0.00	6.33	39.48	42.70	17.86	0.00	8.28	3.25	2.45
A5826	37.878456	-121.513815	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.36	0.93	20.04	534.61	7.72	7.64	84.19	2.59	1.60	45.60	4.73	50.14	20.05	487.96	0.26	2.42	2.68	1.10	0.00	6.17	38.95	43.22	17.79	0.00	8.29	3.25	2.44
A4593	37.879547	-121.576137	South Delta tidal transition zone	Old River	10/1/2021	6.10	0.86	20.79	614.10	7.72	7.31	81.83	3.07	1.60	39.85	4.39	43.45	20.78	568.12	0.30	2.26	2.72	0.92	0.00	5.91	37.65	46.36	12.51	0.00	8.37	2.93	2.23
A5828	37.879879	-121.510557	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.37	0.89	20.06	534.06	7.71	7.59	83.72	2.52	1.56	45.69	4.68	50.16	20.07	488.14	0.26	2.41	2.67	1.09	0.00	6.16	39.36	42.99	17.78	0.00	8.32	3.26	2.45
A5830	37.881667	-121.508066	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.39	0.80	20.08	534.44	7.71	7.55	83.34	2.46	1.57	45.89	4.68	50.41	20.09	489.09	0.26	2.41	2.66	1.11	0.00	6.19	34.17	34.96	17.97	0.00	8.35	3.27	2.44
A4591	37.882096	-121.574404	South Delta tidal transition zone	Old River	10/1/2021	6.31	0.87	20.79	615.09	7.71	7.30	81.71	3.04	1.60	39.90	4.39	43.52	20.79	569.31	0.30	2.22	2.73	0.93	0.00	5.87	37.77	46.67	10.78	0.00	8.40	2.93	2.21
A5833	37.883025	-121.503059	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.53	0.68	20.13	535.18	7.70	7.53	83.16	2.48	1.68	45.95	4.69	50.54	20.14	489.90	0.26	2.43	2.67	1.09	0.00	6.20	34.40	21.78	18.01	0.00	8.40	3.27	2.44
A5835	37.884384	-121.499833	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.69	0.55	20.19	534.76	7.70	7.52	83.17	2.47	1.71	45.72	4.60	50.20	20.20	489.92	0.26	2.41	2.66	1.06	0.00	6.14	40.92	31.08	15.23	0.00	8.44	3.26	2.43
A4589	37.884750	-121.574794	South Delta tidal transition zone	Old River	10/1/2021	6.48	0.88	20.78	615.21	7.71	7.30	81.69	3.00	1.59	39.75	4.38	43.35	20.79	569.70	0.30	2.19	2.73	0.95	0.00	5.85	37.30	46.81	11.48	0.00	8.42	2.92	2.20
A5837	37.885754	-121.496613	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.71	0.46	20.23	534.51	7.69	7.52	83.14	2.46	1.72	45.56	4.54	50.00	20.25	490.41	0.26	2.40	2.66	1.06	0.00	6.12	39.78	42.28	13.60	0.00	8.47	3.25	2.43
A5839	37.887126	-121.493371	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.67	0.41	20.26	534.52	7.69	7.50	83.02	2.45	1.77	45.50	4.51	49.97	20.27	490.74	0.26	2.39	2.66	1.07	0.00	6.13	39.45	33.79	17.28	0.00	8.46	3.24	2.42
A4587	37.887399	-121.575849	South Delta tidal transition zone	Old River	10/1/2021	6.38	0.89	20.78	614.59	7.71	7.31	81.75	2.92	1.55	39.36	4.34	42.88	20.79	569.46	0.30	2.14	2.73	0.96	0.00	5.82	36.79	47.18	12.90	0.00	8.44	2.90	2.19
A5841	37.888586	-121.490017	South Delta tidal transition zone	Victoria Canal	10/1/2021	7.82	0.35	20.31	534.72	7.68	7.47	82.77	2.47	1.83	45.34	4.55	49.88	20.33	491.49	0.26	2.36	2.66	1.04	0.00	6.06	39.06	36.00	17.12	0.00	8.43	3.23	2.41
A4585	37.889597	-121.574285	South Delta tidal transition zone	Old River	10/1/2021	6.15	0.90	20.79	613.48	7.71	7.32	81.90	2.83	1.52	38.83	4.31	42.23	20.80	568.71	0.30	2.10	2.72	0.96	0.00	5.77	36.31	47.23	14.92	0.00	8.47	2.87	2.18
A4583	37.890599	-121.570840	South Delta tidal transition zone	Old River	10/1/2021	5.73	0.89	20.76	611.80	7.71	7.31	81.74	2.81	1.52	38.31	4.34	41.69	20.78	566.23	0.30	2.12	2.72	0.94	0.00	5.78	36.63	43.61	14.64	0.00	8.48	2.85	2.17
A5133	37.891661	-121.488681	South Delta tidal transition zone	Middle River	10/1/2021	7.96	0.31	20.36	534.85	7.68	7.44	82.51	2.55	1.86	45.23	4.67	49.78	20.38	492.20	0.26	2.41	2.66	1.05	0.00	6.11	39.43	40.45	17.05	0.00	8.44	3.23	2.42
A4581	37.892132	-121.567867	South Delta tidal transition zone	Old River	10/1/2021	5.49	0.88	20.73	610.18	7.70	7.28	81.34	2.71	1.52	38.26	4.25	41.49	20.74	564.03	0.29	2.12	2.70	0.91	0.00	5.73	36.96	39.07	13.51	0.00	8.51	2.84	2.17
A5131	37.893016	-121.491514	South Delta tidal transition zone	Middle River	10/1/2021	8.11	0.28	20.41	534.97	7.67	7.42	82.42	2.65	1.88	45.12	4.78	49.66	20.43	492.95	0.26	2.48	2.65	1.06	0.00	6.20	39.95	42.17	16.87	0.00	8.51	3.22	2.43
A4579	37.894918	-121.566818	South Delta tidal transition zone	Old River	10/1/2021	5.44	0.88	20.73	610.35	7.70	7.28	81.31	2.67	1.54	38.07	4.24	41.28	20.73	564.13	0.29	2.13	2.69	0.92	0.00	5.75	37.07	39.58	13.47	0.00	8.54	2.83	2.17
A5129	37.895650	-121.493024	South Delta tidal transition zone	Middle River	10/1/2021	8.25	0.27	20.45	535.08	7.67	7.44	82.64	2.67	1.89	45.03	4.82	49.55	20.46	493.61	0.26	2.50	2.65	1.06	0.00	6.21	40.23	37.73	16.51	0.00	8.56	3.22	2.44
