CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A2408	38.298374	-121.692784	Cache Slough complex	Shag Slough	10/1/2021	3.06	0.25	21.24	249.14	8.24	8.49	95.71	1.80	1.19	30.66	3.63	31.62	21.28	237.41	0.12	0.67	1.37	1.57	0.85	4.46	15.08	31.64	34.14	19.24	3.81	2.42	4.25
A2322	38.300276	-121.667144	Cache Slough complex	Liberty Cut	10/1/2021	2.19	0.25	20.78	231.87	8.16	8.21	91.74	4.39	0.86	26.35	2.36	27.94	20.80	213.53	0.12	0.12	1.16	0.49	0.61	2.37	5.17	49.16	20.45	25.81	2.44	2.19	2.48
A479	38.300345	-121.569591	North Delta tidal transition zone	Sacramento River	10/1/2021	23.46	0.29	19.75	165.81	7.86	8.54	93.49	1.71	0.43	12.10	1.30	11.70	19.77	150.27	0.08	1.10	2.08	0.53	0.00	3.71	29.71	49.67	12.49	0.00	23.76	1.40	1.00
A2406	38.301276	-121.692797	Cache Slough complex	Shag Slough	10/1/2021	3.21	0.25	21.20	255.70	8.16	8.29	93.43	1.93	1.39	32.25	4.14	33.54	21.25	242.98	0.13	0.76	1.41	1.93	0.95	5.03	15.00	29.15	37.00	19.11	3.98	2.51	4.44
A477	38.302769	-121.571606	North Delta tidal transition zone	Sacramento River	10/1/2021	23.09	0.25	19.75	165.08	7.87	8.55	93.61	1.66	0.37	12.05	1.29	11.65	19.77	149.62	0.08	1.09	2.09	0.53	0.00	3.71	29.34	56.83	14.33	0.01	23.35	1.39	1.00
A2320	38.303214	-121.667156	Cache Slough complex	Liberty Cut	10/1/2021	2.25	0.25	20.93	233.89	8.20	8.39	94.01	4.23	0.83	26.72	2.30	28.34	20.94	215.92	0.12	0.18	1.12	0.47	0.62	2.38	7.73	47.06	19.74	25.99	2.50	2.20	2.49
A2404	38.304171	-121.692801	Cache Slough complex	Shag Slough	10/1/2021	3.71	0.25	21.06	269.66	7.98	7.85	88.18	2.70	2.13	35.75	5.60	38.09	21.13	253.80	0.13	1.09	1.46	2.85	1.26	6.61	15.93	23.24	42.21	19.25	4.27	2.70	4.81
A475	38.305093	-121.573212	North Delta tidal transition zone	Steamboat Slough	10/1/2021	22.49	0.25	19.75	164.19	7.87	8.58	93.97	1.74	0.36	12.01	1.30	11.62	19.77	148.89	0.08	1.10	2.09	0.54	0.00	3.73	29.45	56.02	14.25	0.01	22.77	1.39	0.99
A2318	38.306073	-121.667166	Cache Slough complex	Liberty Cut	10/1/2021	2.26	0.26	21.20	238.07	8.14	8.24	92.79	3.93	0.80	27.19	2.30	28.86	21.23	220.97	0.12	0.32	1.01	0.37	0.67	2.37	13.43	42.69	15.28	27.98	2.63	2.23	2.51
A2402	38.307090	-121.692807	Cache Slough complex	Shag Slough	10/1/2021	3.92	0.25	20.96	276.08	7.90	7.62	85.47	3.38	2.48	37.44	6.45	40.44	21.03	258.34	0.13	1.49	1.48	3.15	1.36	7.43	19.01	20.92	42.20	18.61	4.36	2.80	4.96
A473	38.307395	-121.574555	North Delta tidal transition zone	Sacramento River	10/1/2021	21.84	0.25	19.75	163.31	7.87	8.61	94.31	1.79	0.41	11.98	1.30	11.59	19.77	148.14	0.08	1.12	2.08	0.54	0.00	3.75	30.01	55.47	14.34	0.01	22.18	1.39	0.98
A2316	38.308980	-121.667172	Cache Slough complex	Liberty Cut	10/1/2021	2.24	0.28	21.25	240.27	8.05	7.95	89.70	3.82	0.86	27.37	2.42	29.09	21.30	223.23	0.12	0.37	0.98	0.40	0.71	2.47	14.97	40.11	15.66	28.70	2.71	2.24	2.52
A2400	38.309968	-121.692801	Cache Slough complex	Shag Slough	10/1/2021	4.08	0.25	20.90	284.61	7.80	7.29	81.68	4.55	2.71	39.70	7.16	43.58	20.95	264.99	0.13	1.60	1.58	3.54	1.30	7.96	19.42	20.45	44.52	16.42	4.35	2.92	5.12
A471	38.309969	-121.576267	North Delta tidal transition zone	Sacramento River	10/1/2021	20.80	0.25	19.77	162.07	7.88	8.62	94.42	1.68	0.43	11.93	1.28	11.50	19.79	147.05	0.08	1.13	2.07	0.54	0.00	3.74	30.23	55.14	14.57	0.01	21.31	1.38	0.98
A2314	38.311883	-121.667181	Cache Slough complex	Liberty Cut	10/1/2021	2.27	0.32	21.30	246.12	7.86	7.36	83.13	3.78	1.02	27.91	2.75	29.70	21.35	228.25	0.12	0.47	0.97	0.60	0.85	2.91	16.19	34.02	20.20	29.10	2.89	2.27	2.57
