CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	South Delta tidal transition zone	Latham Slough	6/1/2020	20.74	1.12	24.77	301.55	8.01	8.75	105.50	5.78	2.59	40.58	5.96	42.65	23.67	288.80	0.14	2.29	2.46	3.90	0.07	8.72	24.03	31.22	43.79	0.83	21.86	3.52	2.77
A4097	38.166201	-121.491400	Mokelumne tidal transition zone	Hog Slough	6/1/2020	9.02	2.39	24.45	211.92	8.02	11.01	131.68	8.30	4.56	47.23	9.03	51.92	24.53	210.63	0.10	7.40	16.27	2.15	0.00	25.79	28.47	63.49	8.18	0.00	11.41	3.98	1.09
A3284	38.170279	-121.495870	Mokelumne tidal transition zone	South Mokelumne River	6/1/2020	10.19	3.63	24.40	186.61	7.87	9.88	118.38	9.87	3.67	38.61	7.85	41.42	24.45	181.53	0.09	6.05	12.10	1.58	0.00	19.71	30.98	61.36	7.72	0.00	13.81	3.37	0.94
A3246	38.209702	-121.489602	Mokelumne tidal transition zone	South Mokelumne River	6/1/2020	8.23	7.02	24.70	110.66	7.43	7.70	92.73	11.56	3.39	18.75	7.36	20.24	24.77	109.98	0.06	7.24	3.31	1.21	0.00	11.77	61.85	27.73	10.44	0.00	15.09	1.98	1.14
A3129	38.228413	-121.493868	Mokelumne tidal transition zone	Dead Horse Cut	6/1/2020	5.92	6.34	24.40	101.76	7.44	7.69	91.96	11.04	3.82	17.43	9.54	19.79	24.63	101.52	0.06	8.06	2.87	1.45	0.00	12.39	64.15	23.64	12.26	0.05	12.86	1.90	1.00
A3137	38.224314	-121.506121	Mokelumne tidal transition zone	North Mokelumne River	6/1/2020	13.42	7.76	24.45	134.47	7.54	8.39	100.45	10.00	2.80	19.03	6.71	20.31	24.52	133.25	0.06	5.51	2.18	1.48	0.00	9.16	58.57	27.86	17.60	0.02	21.28	2.01	1.43
A3131	38.227523	-121.496661	Mokelumne tidal transition zone	North Mokelumne River	6/1/2020	7.44	6.34	24.50	108.17	7.46	7.92	94.97	11.11	3.72	17.85	9.04	19.93	24.70	108.63	0.06	7.70	2.77	1.42	0.00	11.89	63.99	24.18	12.53	0.02	14.45	1.93	1.05
A3229	38.227253	-121.492263	Mokelumne tidal transition zone	South Mokelumne River	6/1/2020	6.47	5.86	24.52	103.48	7.45	7.77	93.19	11.42	3.83	17.80	9.14	19.80	24.70	102.96	0.06	8.09	2.83	1.47	0.00	12.40	64.98	23.05	12.02	0.02	12.74	1.92	0.98
A3130	38.227503	-121.494888	Mokelumne tidal transition zone	North Mokelumne River	6/1/2020	6.83	6.07	24.51	105.30	7.45	7.84	93.96	11.29	3.80	17.79	9.18	19.86	24.71	105.43	0.06	7.95	2.81	1.44	0.00	12.21	64.64	23.43	12.18	0.02	13.48	1.92	1.00
A4113	38.168912	-121.465441	Mokelumne tidal transition zone	Hog Slough	6/1/2020	6.08	0.63	25.39	259.79	10.04	15.76	208.04	43.13	17.16	48.68	27.30	66.82	25.47	262.91	0.12	7.22	396.12	0.00	0.00	403.38	1.35	98.80	0.00	0.00	6.72	4.08	0.17
A4115	38.169562	-121.462162	Mokelumne tidal transition zone	Hog Slough	6/1/2020	6.25	0.55	25.55	262.50	10.19	15.91	210.80	47.20	18.59	46.97	29.34	66.62	25.63	266.32	0.12	6.82	437.66	0.00	0.00	444.46	0.00	100.61	0.00	0.00	6.80	3.96	0.07
