CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A5616	37.993362	-121.512708	South Delta tidal transition zone	Latham Slough	8/1/2020	7.42	1.71	26.90	256.50	7.72	7.39	92.65	4.60	5.24	31.58	7.32	40.51	26.94	268.49	0.12	3.29	10.93	1.63	0.79	16.66	19.83	65.47	9.83	4.66	9.13	2.82	2.71
A4097	38.166201	-121.491400	Mokelumne tidal transition zone	Hog Slough	8/1/2020	13.66	9.05	26.52	207.41	7.53	7.39	91.97	5.03	5.09	27.09	7.67	34.33	26.59	213.97	0.10	5.45	2.05	1.78	0.00	9.30	58.01	21.95	19.88	0.00	22.71	2.53	2.12
A3284	38.170279	-121.495870	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.70	10.67	26.35	178.20	7.59	7.52	93.29	4.95	4.32	20.36	6.61	25.70	26.43	182.54	0.09	4.22	1.54	2.02	0.00	7.78	54.00	19.72	26.19	0.00	24.38	2.09	2.14
A3246	38.209702	-121.489602	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.17	15.44	25.86	165.66	7.68	8.12	99.84	6.22	4.51	17.51	7.39	22.30	25.96	169.86	0.08	2.55	1.57	3.81	0.00	7.93	32.36	19.79	47.94	0.00	27.61	1.90	2.11
A3129	38.228413	-121.493868	Mokelumne tidal transition zone	Dead Horse Cut	8/1/2020	8.92	15.12	25.32	167.00	7.66	8.05	97.99	7.00	3.17	17.56	4.74	22.45	25.38	169.50	0.08	2.03	2.04	2.14	0.00	6.23	32.37	32.72	34.59	0.02	24.05	1.91	1.74
A3137	38.224314	-121.506121	Mokelumne tidal transition zone	North Mokelumne River	8/1/2020	7.18	16.18	25.17	167.41	7.65	7.99	97.00	5.88	2.72	17.08	4.08	22.13	25.25	169.60	0.08	1.45	1.43	1.77	0.00	4.66	30.62	31.57	38.42	0.01	23.36	1.87	1.87
A3131	38.227523	-121.496661	Mokelumne tidal transition zone	North Mokelumne River	8/1/2020	9.55	14.13	25.44	166.79	7.68	8.19	99.98	6.65	3.30	17.53	4.99	22.53	25.50	169.65	0.08	2.22	2.03	2.22	0.00	6.50	34.00	31.20	34.56	0.06	23.69	1.90	1.76
A3229	38.227253	-121.492263	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	9.75	14.72	25.47	167.02	7.67	8.10	98.86	6.57	3.21	17.66	4.80	22.58	25.53	169.96	0.08	2.08	1.94	2.10	0.00	6.15	33.73	31.49	34.36	0.02	24.47	1.91	1.75
A3130	38.227503	-121.494888	Mokelumne tidal transition zone	North Mokelumne River	8/1/2020	9.70	14.33	25.45	166.89	7.68	8.16	99.57	6.63	3.26	17.61	4.91	22.56	25.52	169.79	0.08	2.18	2.02	2.16	0.00	6.38	34.12	31.41	34.10	0.05	24.03	1.91	1.76
A4113	38.168912	-121.465441	Mokelumne tidal transition zone	Hog Slough	8/1/2020	6.09	2.33	27.95	332.49	7.71	7.33	93.60	2.85	6.11	43.06	9.04	55.17	28.00	355.19	0.17	8.68	1.54	0.54	0.00	10.75	80.80	14.32	4.99	0.00	8.42	3.57	1.94
A4115	38.169562	-121.462162	Mokelumne tidal transition zone	Hog Slough	8/1/2020	5.31	1.98	27.98	336.99	7.74	7.34	93.79	2.72	6.15	43.13	8.92	55.27	28.02	360.09	0.17	8.75	1.43	0.52	0.00	10.67	82.12	13.33	4.76	0.00	7.28	3.58	1.92
A4116	38.169324	-121.460309	Mokelumne tidal transition zone	Hog Slough	8/1/2020	5.31	1.98	27.98	336.99	7.74	7.34	93.79	2.72	6.15	43.13	8.92	55.27	28.02	360.09	0.17	8.75	1.43	0.52	0.00	10.67	82.12	13.33	4.76	0.00	7.28	3.58	1.92
A4111	38.168608	-121.469004	Mokelumne tidal transition zone	Hog Slough	8/1/2020	7.06	2.68	27.87	330.35	7.66	7.29	92.94	3.06	6.11	44.03	9.17	56.38	27.93	352.46	0.17	8.70	1.74	0.51	0.00	10.95	79.51	15.86	4.68	0.00	9.74	3.64	1.96
A4112	38.168390	-121.467199	Mokelumne tidal transition zone	Hog Slough	8/1/2020	6.55	2.50	27.92	331.26	7.69	7.31	93.31	2.94	6.11	43.42	9.11	55.63	27.97	353.71	0.17	8.68	1.63	0.53	0.00	10.84	80.15	15.00	4.91	0.00	9.06	3.60	1.95
A4117	38.169265	-121.458631	Mokelumne tidal transition zone	Hog Slough	8/1/2020	5.07	1.79	28.01	340.38	7.75	7.34	93.78	2.68	6.17	43.54	8.94	55.83	28.05	363.82	0.18	8.82	1.41	0.49	0.00	10.69	82.72	13.10	4.41	0.00	6.86	3.60	1.92
A4108	38.167475	-121.473738	Mokelumne tidal transition zone	Hog Slough	8/1/2020	8.31	3.17	27.57	328.43	7.56	7.18	91.14	3.73	6.24	46.29	9.25	59.36	27.65	348.55	0.16	8.74	2.06	0.51	0.00	11.31	77.39	18.17	4.48	0.00	11.47	3.78	2.00
A4104	38.165174	-121.480395	Mokelumne tidal transition zone	Hog Slough	8/1/2020	10.63	4.66	26.95	305.14	7.45	7.08	88.77	4.94	6.51	45.22	9.53	58.83	27.00	321.12	0.15	8.55	2.58	0.88	0.00	11.98	71.34	21.51	7.35	0.00	15.29	3.71	2.07
A4114	38.169068	-121.463728	Mokelumne tidal transition zone	Hog Slough	8/1/2020	5.67	2.16	27.97	334.34	7.73	7.34	93.78	2.78	6.12	42.97	8.96	55.05	28.01	357.25	0.17	8.71	1.48	0.53	0.00	10.70	81.46	13.77	4.93	0.00	7.83	3.57	1.93
A4105	38.165680	-121.478678	Mokelumne tidal transition zone	Hog Slough	8/1/2020	9.96	4.10	27.07	316.85	7.46	7.06	88.73	4.94	6.45	46.94	9.46	60.91	27.12	333.82	0.16	8.63	2.47	0.75	0.00	11.83	73.01	20.86	6.29	0.00	14.06	3.83	2.05
A4101	38.166106	-121.485075	Mokelumne tidal transition zone	Hog Slough	8/1/2020	12.07	6.22	26.75	268.89	7.47	7.21	90.06	4.70	6.35	39.18	9.39	50.37	26.83	282.42	0.13	8.04	2.67	1.23	0.00	11.92	67.14	22.36	10.68	0.00	18.29	3.32	2.10
A4109	38.168357	-121.472375	Mokelumne tidal transition zone	Hog Slough	8/1/2020	8.11	3.12	27.65	327.57	7.59	7.24	91.92	3.46	6.19	45.62	9.21	58.26	27.73	348.46	0.16	8.75	1.98	0.50	0.00	11.23	77.93	17.64	4.52	0.00	11.23	3.74	2.00
A4106	38.166338	-121.476948	Mokelumne tidal transition zone	Hog Slough	8/1/2020	9.25	3.67	27.28	323.72	7.50	7.11	89.78	4.45	6.33	47.38	9.32	60.92	27.33	342.28	0.16	8.70	2.31	0.61	0.00	11.60	74.97	19.90	5.22	0.00	12.92	3.85	2.04
A4107	38.166885	-121.475385	Mokelumne tidal transition zone	Hog Slough	8/1/2020	8.79	3.39	27.44	326.58	7.53	7.16	90.58	4.04	6.28	47.04	9.27	60.28	27.51	346.04	0.16	8.73	2.19	0.53	0.00	11.45	76.33	19.10	4.63	0.00	12.18	3.83	2.02
A4102	38.165507	-121.483580	Mokelumne tidal transition zone	Hog Slough	8/1/2020	11.40	5.38	26.84	289.16	7.45	7.12	89.13	4.91	6.51	42.55	9.54	55.44	26.91	303.91	0.14	8.38	2.66	1.05	0.00	12.07	69.37	22.01	8.81	0.00	16.78	3.54	2.08
A4110	38.168966	-121.470748	Mokelumne tidal transition zone	Hog Slough	8/1/2020	7.57	2.89	27.77	329.25	7.63	7.26	92.36	3.24	6.15	44.82	9.20	57.34	27.84	350.77	0.16	8.73	1.86	0.51	0.00	11.08	78.78	16.71	4.58	0.00	10.46	3.69	1.98
A4099	38.167127	-121.487988	Mokelumne tidal transition zone	Hog Slough	8/1/2020	12.69	7.13	26.67	248.55	7.48	7.26	90.54	4.83	6.01	35.15	8.89	45.35	26.74	259.62	0.12	7.27	2.54	1.41	0.00	11.22	64.20	22.59	13.24	0.00	19.82	3.06	2.11
A4098	38.166792	-121.489810	Mokelumne tidal transition zone	Hog Slough	8/1/2020	13.22	8.10	26.59	227.11	7.50	7.32	91.19	4.97	5.53	31.06	8.27	39.70	26.65	235.44	0.11	6.33	2.31	1.60	0.00	10.24	60.93	22.45	16.52	0.00	21.32	2.79	2.12
A4103	38.164754	-121.481970	Mokelumne tidal transition zone	Hog Slough	8/1/2020	10.63	4.66	26.95	305.14	7.45	7.08	88.77	4.94	6.51	45.22	9.53	58.83	27.00	321.12	0.15	8.55	2.58	0.88	0.00	11.98	71.34	21.51	7.35	0.00	15.29	3.71	2.07
A3288	38.165302	-121.492463	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	14.22	9.87	26.57	195.02	7.54	7.42	92.43	5.12	4.94	24.39	7.52	31.04	26.64	201.41	0.10	5.07	1.94	1.96	0.00	8.98	56.16	21.46	22.23	0.00	24.08	2.35	2.12
A4100	38.167126	-121.486233	Mokelumne tidal transition zone	Hog Slough	8/1/2020	12.69	7.13	26.67	248.55	7.48	7.26	90.54	4.83	6.01	35.15	8.89	45.35	26.74	259.62	0.12	7.27	2.54	1.41	0.00	11.22	64.20	22.59	13.24	0.00	19.82	3.06	2.11
A3289	38.164094	-121.492975	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	14.22	9.87	26.57	195.02	7.54	7.42	92.43	5.12	4.94	24.39	7.52	31.04	26.64	201.41	0.10	5.07	1.94	1.96	0.00	8.98	56.16	21.46	22.23	0.00	24.08	2.35	2.12
