CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A3264	38.192781	-121.480885	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	11.89	18.00	25.66	166.11	7.56	7.33	89.82	5.65	3.17	18.09	4.92	23.04	25.73	169.51	0.08	2.32	1.20	1.79	0.00	5.30	43.52	22.83	33.88	0.00	29.89	1.94	2.38
A3263	38.193733	-121.479366	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	11.68	18.59	25.59	165.65	7.56	7.38	90.36	6.14	3.11	18.06	4.82	23.01	25.65	168.85	0.08	2.08	1.22	1.90	0.00	5.19	39.95	23.50	36.56	0.00	30.27	1.94	2.35
A3269	38.187006	-121.485777	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.73	15.58	25.86	170.92	7.56	7.25	89.18	4.92	3.45	18.51	5.27	23.84	25.95	175.21	0.08	3.00	1.26	1.66	0.00	5.91	50.10	21.37	28.68	0.00	28.30	1.97	2.34
A3265	38.191435	-121.481540	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.18	17.30	25.73	167.16	7.56	7.30	89.61	5.58	3.27	18.23	5.04	23.27	25.80	170.82	0.08	2.49	1.25	1.75	0.00	5.47	45.06	23.01	32.26	0.00	29.48	1.95	2.37
A3272	38.183194	-121.488291	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.21	13.97	25.93	174.63	7.56	7.24	89.04	4.77	3.72	18.90	5.69	24.59	26.01	179.36	0.08	3.38	1.32	1.68	0.00	6.37	51.98	20.64	27.33	0.00	27.18	2.01	2.25
A3271	38.184363	-121.487177	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.99	14.71	25.90	173.10	7.56	7.24	89.00	4.81	3.56	18.72	5.45	24.22	25.99	177.64	0.08	3.19	1.28	1.65	0.00	6.11	51.16	20.99	27.84	0.00	27.70	1.99	2.30
A3275	38.180766	-121.492282	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.47	13.26	26.01	171.08	7.58	7.32	90.27	4.78	3.74	18.21	5.74	23.50	26.08	175.79	0.08	3.39	1.32	1.77	0.00	6.48	51.85	20.26	27.74	0.00	26.74	1.96	2.20
A3280	38.175831	-121.497466	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.47	12.20	26.23	169.54	7.61	7.56	93.63	4.75	3.86	17.91	5.91	23.01	26.32	174.84	0.08	3.71	1.38	1.88	0.00	6.98	53.04	19.74	27.14	0.00	25.68	1.93	2.16
A3270	38.185609	-121.486265	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.99	14.71	25.90	173.10	7.56	7.24	89.00	4.81	3.56	18.72	5.45	24.22	25.99	177.64	0.08	3.19	1.28	1.65	0.00	6.11	51.16	20.99	27.84	0.00	27.70	1.99	2.30
A3273	38.181926	-121.489273	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.21	13.97	25.93	174.63	7.56	7.24	89.04	4.77	3.72	18.90	5.69	24.59	26.01	179.36	0.08	3.38	1.32	1.68	0.00	6.37	51.98	20.64	27.33	0.00	27.18	2.01	2.25
A3286	38.167596	-121.494231	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	14.25	10.40	26.48	183.45	7.56	7.48	92.99	5.13	4.63	21.83	7.14	27.56	26.56	188.53	0.09	4.55	1.72	2.08	0.00	8.36	54.36	20.55	25.08	0.00	24.66	2.18	2.13
A3279	38.177268	-121.497548	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.47	12.20	26.23	169.54	7.61	7.56	93.63	4.75	3.86	17.91	5.91	23.01	26.32	174.84	0.08	3.71	1.38	1.88	0.00	6.98	53.04	19.74	27.14	0.00	25.68	1.93	2.16
A3281	38.174441	-121.497015	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.49	11.85	26.28	170.15	7.62	7.60	94.12	4.77	3.99	18.03	6.07	23.24	26.37	175.43	0.08	3.86	1.40	1.94	0.00	7.21	53.41	19.45	27.10	0.00	25.34	1.93	2.15
A3274	38.181006	-121.490418	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.36	13.24	25.99	175.37	7.57	7.28	89.69	4.78	3.85	19.07	5.87	24.77	26.07	180.28	0.08	3.55	1.36	1.73	0.00	6.64	52.51	20.40	27.03	0.00	26.61	2.02	2.21
A3267	38.189265	-121.483799	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.46	16.47	25.80	168.75	7.56	7.27	89.32	5.16	3.36	18.34	5.13	23.50	25.88	172.72	0.08	2.77	1.25	1.70	0.00	5.70	48.12	22.04	30.17	0.00	28.93	1.96	2.37
A3276	38.179899	-121.493934	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.47	13.26	26.01	171.08	7.58	7.32	90.27	4.78	3.74	18.21	5.74	23.50	26.08	175.79	0.08	3.39	1.32	1.77	0.00	6.48	51.85	20.26	27.74	0.00	26.74	1.96	2.20
A3282	38.173017	-121.496927	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.59	11.50	26.32	171.11	7.61	7.59	94.10	4.83	4.11	18.32	6.26	23.59	26.41	176.14	0.08	3.97	1.43	2.01	0.00	7.42	53.43	19.31	27.27	0.00	25.09	1.95	2.15
A3266	38.190170	-121.482397	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.28	17.09	25.75	166.83	7.56	7.29	89.50	5.19	3.27	18.07	5.05	23.09	25.83	170.54	0.08	2.63	1.21	1.73	0.00	5.56	47.06	21.90	31.27	0.00	29.37	1.94	2.38
A3268	38.188462	-121.485242	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	12.62	16.23	25.82	167.73	7.56	7.27	89.33	4.94	3.36	18.03	5.15	23.14	25.90	171.69	0.08	2.84	1.23	1.70	0.00	5.76	49.13	21.32	29.69	0.00	28.85	1.93	2.36
A3283	38.171575	-121.496481	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.78	11.14	26.35	173.12	7.60	7.55	93.68	4.93	4.23	18.95	6.49	24.28	26.43	178.00	0.08	4.07	1.47	2.07	0.00	7.61	53.45	19.39	27.29	0.00	24.91	1.99	2.14
A3278	38.178163	-121.496242	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.51	12.57	26.18	168.77	7.61	7.51	92.92	4.75	3.75	17.78	5.78	22.70	26.25	173.91	0.08	3.55	1.34	1.83	0.00	6.72	52.60	19.97	27.30	0.00	26.08	1.92	2.17
A3277	38.178896	-121.495001	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.47	12.64	26.13	170.76	7.60	7.45	92.00	4.77	3.80	18.20	5.84	23.37	26.20	175.78	0.08	3.57	1.36	1.83	0.00	6.76	52.46	20.02	27.39	0.00	26.11	1.95	2.17
A3285	38.168906	-121.495217	Mokelumne tidal transition zone	South Mokelumne River	8/1/2020	13.95	10.50	26.40	180.40	7.58	7.51	93.20	5.04	4.45	21.00	6.85	26.49	26.48	184.83	0.09	4.34	1.61	2.05	0.00	8.01	54.10	20.08	25.80	0.00	24.45	2.13	2.14
A1191	38.072447	-121.948614	Suisun Bay	Honker Bay	8/1/2020	13.46	2.25	24.09	16064.46	8.03	8.35	104.84	10.05	6.98	18.40	9.24	24.15	24.20	15628.46	9.28	3.15	0.92	5.16	1.31	10.50	30.52	8.90	48.80	12.13	15.78	1.96	2.58
A828	38.049287	-121.881094	Western Delta tidal zone	Sacramento River	8/1/2020	11.37	1.32	24.10	9779.86	7.91	8.32	102.23	6.32	3.59	18.02	5.08	23.71	24.22	9692.77	5.54	2.00	1.39	2.64	0.18	6.24	31.95	22.43	42.37	2.91	12.70	1.93	2.35
A4522	37.957338	-121.570608	South Delta tidal transition zone	Old River	8/1/2020	2.03	1.11	26.89	441.43	8.04	7.14	89.63	3.46	2.80	20.57	4.15	27.31	26.91	462.75	0.21	0.35	5.30	1.47	0.01	7.18	4.99	73.76	20.47	0.10	3.14	2.11	2.55
A5886	37.832019	-121.553862	South Delta tidal transition zone	West Canal	8/1/2020	3.09	1.07	27.17	336.81	7.68	6.92	87.24	7.83	4.03	28.57	5.77	37.44	27.21	354.51	0.16	1.26	7.77	1.67	0.06	10.79	11.70	71.99	15.50	0.52	4.16	2.63	2.63
A5884	37.834774	-121.554998	South Delta tidal transition zone	West Canal	8/1/2020	3.14	1.06	27.18	338.19	7.68	6.91	87.03	7.76	4.07	28.65	5.84	37.37	27.22	355.85	0.16	1.30	7.93	1.67	0.08	11.01	11.76	72.08	15.21	0.76	4.20	2.63	2.62
A5882	37.837533	-121.556104	South Delta tidal transition zone	West Canal	8/1/2020	3.17	1.05	27.18	337.29	7.68	6.90	86.92	7.64	4.10	28.82	5.91	37.45	27.22	354.94	0.16	1.35	8.08	1.66	0.12	11.22	12.04	72.00	14.80	1.04	4.22	2.64	2.61
A5880	37.840313	-121.557183	South Delta tidal transition zone	West Canal	8/1/2020	3.14	1.02	27.19	336.35	7.69	6.91	87.06	7.39	4.10	29.08	5.94	37.54	27.23	353.87	0.16	1.40	8.04	1.60	0.16	11.21	12.54	71.72	14.28	1.40	4.16	2.66	2.58
A5878	37.843084	-121.558294	South Delta tidal transition zone	West Canal	8/1/2020	3.17	1.00	27.19	338.37	7.70	6.93	87.32	7.24	4.09	29.09	5.93	37.43	27.23	355.93	0.16	1.40	8.00	1.62	0.13	11.16	12.46	71.67	14.49	1.15	4.17	2.66	2.58
A5876	37.845832	-121.559400	South Delta tidal transition zone	West Canal	8/1/2020	3.20	0.99	27.19	334.67	7.70	6.95	87.60	6.88	4.13	29.20	5.97	37.61	27.23	352.16	0.16	1.48	7.96	1.60	0.13	11.20	13.23	71.10	14.32	1.20	4.19	2.67	2.60
A5874	37.848601	-121.560461	South Delta tidal transition zone	West Canal	8/1/2020	3.20	0.99	27.19	340.19	7.71	6.96	87.68	6.75	4.12	28.87	5.93	37.37	27.23	357.59	0.17	1.44	7.96	1.65	0.10	11.16	12.85	71.29	14.76	0.88	4.19	2.64	2.61
A5872	37.851391	-121.561551	South Delta tidal transition zone	West Canal	8/1/2020	3.18	1.00	27.19	340.24	7.70	6.96	87.65	6.59	4.13	28.82	5.94	37.40	27.23	357.70	0.17	1.46	7.96	1.65	0.10	11.18	13.01	71.22	14.77	0.91	4.18	2.64	2.63
A4617	37.853964	-121.561394	South Delta tidal transition zone	Old River	8/1/2020	3.30	1.02	27.19	323.25	7.69	6.95	87.58	6.33	4.22	29.52	6.07	38.14	27.23	341.72	0.16	1.61	8.13	1.66	0.11	11.50	13.85	70.79	14.49	0.90	4.32	2.69	2.66
A4614	37.855058	-121.563857	South Delta tidal transition zone	Old River	8/1/2020	3.24	1.02	27.20	344.31	7.72	6.97	87.82	6.37	4.11	28.72	5.91	37.05	27.24	363.28	0.17	1.42	8.02	1.69	0.07	11.21	12.45	71.63	15.13	0.59	4.26	2.63	2.65
A4619	37.856755	-121.562562	South Delta tidal transition zone	Old River	8/1/2020	3.35	1.02	27.20	327.83	7.72	6.99	88.03	6.30	4.20	29.27	6.04	37.85	27.24	346.19	0.16	1.60	8.14	1.67	0.09	11.50	13.74	70.88	14.60	0.77	4.37	2.67	2.66
A4623	37.858186	-121.556614	South Delta tidal transition zone	Old River	8/1/2020	3.69	1.00	27.14	271.63	7.65	6.96	87.65	5.86	4.49	31.85	6.49	41.03	27.18	285.34	0.13	2.14	8.44	1.47	0.28	12.33	17.30	68.48	11.95	2.28	4.69	2.84	2.68
A4611	37.857377	-121.567707	South Delta tidal transition zone	Old River	8/1/2020	3.26	1.00	27.23	369.97	7.78	7.05	88.87	6.26	3.91	27.62	5.72	35.46	27.27	389.68	0.18	1.18	7.96	1.74	0.01	10.92	10.34	72.87	15.90	0.13	4.27	2.56	2.63
A4621	37.858880	-121.559916	South Delta tidal transition zone	Old River	8/1/2020	3.65	1.01	27.15	277.20	7.66	6.97	87.70	6.01	4.48	31.38	6.47	40.80	27.19	291.18	0.14	2.10	8.45	1.53	0.23	12.32	17.02	68.68	12.49	1.82	4.66	2.81	2.68
A4625	37.859772	-121.553839	South Delta tidal transition zone	Old River	8/1/2020	3.80	0.98	27.13	263.83	7.64	6.97	87.71	5.36	4.54	32.55	6.57	41.33	27.17	276.97	0.13	2.18	8.90	1.47	0.29	12.84	17.05	69.19	11.43	2.33	4.78	2.89	2.66
A4609	37.859914	-121.573770	South Delta tidal transition zone	Old River	8/1/2020	3.47	1.01	27.25	382.20	7.82	7.11	89.72	6.01	3.90	26.85	5.72	34.97	27.28	402.55	0.19	1.12	8.24	1.79	0.02	11.23	4.98	73.35	15.98	0.14	4.48	2.52	2.57
A5802	37.862070	-121.552321	South Delta tidal transition zone	Victoria Canal	8/1/2020	3.91	0.97	27.13	261.77	7.64	6.97	87.76	5.13	4.56	32.67	6.60	41.50	27.18	275.05	0.13	2.21	9.03	1.48	0.30	13.02	17.11	69.24	11.37	2.32	4.88	2.89	2.66
A4607	37.863243	-121.571374	South Delta tidal transition zone	Old River	8/1/2020	3.46	1.02	27.24	371.32	7.82	7.15	90.12	5.84	3.89	27.19	5.71	35.09	27.28	391.50	0.18	1.25	7.90	1.72	0.05	10.97	10.28	72.03	15.73	0.46	4.48	2.54	2.57
A5804	37.863400	-121.549312	South Delta tidal transition zone	Victoria Canal	8/1/2020	4.00	1.03	27.15	264.40	7.63	6.97	87.78	4.85	4.62	32.67	6.69	41.87	27.21	277.85	0.13	2.22	9.72	1.50	0.35	13.78	16.13	70.42	10.87	2.57	5.03	2.90	2.64
A5806	37.864776	-121.546086	South Delta tidal transition zone	Victoria Canal	8/1/2020	4.13	1.07	27.17	264.10	7.63	6.97	87.80	4.56	4.67	32.68	6.76	41.93	27.23	277.51	0.13	2.35	9.50	1.34	0.56	13.77	17.09	68.90	9.75	4.12	5.20	2.90	2.62
A4605	37.865354	-121.573276	South Delta tidal transition zone	Old River	8/1/2020	3.50	1.05	27.23	375.54	7.82	7.16	90.32	5.82	3.83	26.95	5.63	34.80	27.27	395.90	0.18	1.20	7.58	1.70	0.07	10.59	9.79	71.52	16.06	0.64	4.54	2.52	2.54
A5808	37.866092	-121.542831	South Delta tidal transition zone	Victoria Canal	8/1/2020	4.09	1.08	27.18	263.00	7.63	6.96	87.68	4.43	4.66	32.69	6.77	41.84	27.23	276.37	0.14	2.40	9.19	1.31	0.60	13.53	17.73	67.92	9.68	4.45	5.17	2.90	2.61
A4603	37.867405	-121.575200	South Delta tidal transition zone	Old River	8/1/2020	3.53	1.06	27.22	377.72	7.83	7.17	90.45	5.89	3.78	26.73	5.55	34.61	27.26	397.91	0.18	1.18	7.19	1.67	0.07	10.15	10.56	70.74	16.52	0.73	4.58	2.51	2.52
A5810	37.867515	-121.539636	South Delta tidal transition zone	Victoria Canal	8/1/2020	3.96	1.08	27.16	262.97	7.62	6.95	87.53	4.44	4.58	32.66	6.67	41.73	27.21	276.24	0.14	2.30	9.24	1.49	0.35	13.40	17.15	68.91	11.16	2.64	5.04	2.89	2.59
A5812	37.868891	-121.536408	South Delta tidal transition zone	Victoria Canal	8/1/2020	3.89	1.08	27.15	262.16	7.62	6.95	87.49	4.41	4.53	32.68	6.56	41.73	27.19	275.34	0.14	2.24	9.37	1.53	0.27	13.41	16.74	69.84	11.39	2.01	4.96	2.89	2.57
A4601	37.869215	-121.578098	South Delta tidal transition zone	Old River	8/1/2020	3.56	1.05	27.21	378.72	7.83	7.18	90.51	5.88	3.75	26.53	5.50	34.40	27.25	398.67	0.18	1.19	6.98	1.67	0.07	9.95	11.36	70.07	16.93	0.74	4.60	2.49	2.50
A5814	37.870289	-121.533200	South Delta tidal transition zone	Victoria Canal	8/1/2020	3.80	1.08	27.12	261.56	7.62	6.95	87.47	4.41	4.43	32.72	6.44	41.73	27.17	274.60	0.14	2.19	9.18	1.56	0.17	13.08	16.79	70.13	11.94	1.30	4.88	2.89	2.56
A4599	37.871378	-121.579592	South Delta tidal transition zone	Old River	8/1/2020	3.55	1.03	27.21	379.95	7.84	7.19	90.60	5.66	3.75	26.29	5.47	34.04	27.24	399.79	0.18	1.20	7.01	1.72	0.07	10.04	11.60	69.80	17.04	0.69	4.57	2.47	2.50
A5816	37.871639	-121.529975	South Delta tidal transition zone	Victoria Canal	8/1/2020	3.86	1.08	27.12	261.82	7.63	6.95	87.54	4.38	4.49	32.79	6.50	41.87	27.17	274.93	0.14	2.25	9.07	1.57	0.22	13.08	17.20	69.39	12.04	1.63	4.94	2.90	2.55
