Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Chla Rmk DS	Chla (ug/L) DS	Pheophytin Rmk DS	Pheophytin (ug/L) DS	5 micron Chla Rmk DS	5 micron Chla (ug/L) DS	5 micron Pheophytin Rmk DS	5 micron Pheophytin (ug/L) DS	NH4 Rmk DS	NH4 (mg-N/L) DS lab reported	NO2 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	PO4 Rmk DS	PO4 (mg-P/L) DS lab reported	TDN Rmk DS	TDN (mg-N/L) DS lab reported	NH4 (uM) DS	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	estDIN (uM) DS	DOC Rmk DS	DOC (mg-C/L) DS	Peak fDOM Rmk DS	Peak fDOM (RU) DS	UV Slope Ratio Rmk DS	UV Slope Ratio	A254 Rmk DS	A254 (AU/cm) DS	A280 Rmk DS	A280 (AU/cm) DS	A370 Rmk DS	A370 (AU/cm) DS	A412 Rmk DS	A412 (AU/cm) DS	A440 Rmk DS	A440 (AU/cm) DS	Sag 275-295 nm Rmk DS	Sag 275-295 nm DS	Sag 290-350 nm Rmk DS	Sag 290-350 nm DS	Sag 350-400 nm Rmk DS	Sag 350-400 nm DS	Sag 412-676 nm Rmk DS	Sag 412-676 nm DS	Peak A Rmk DS	Peak A (RU) DS	Peak B Rmk DS	Peak B (RU) DS	Peak C Rmk DS	Peak C (RU) DS	Peak D Rmk DS	Peak D (RU) DS	Peak M Rmk DS	Peak M (RU) DS	Peak N Rmk DS	Peak N (RU) DS	Peak T Rmk DS	Peak T (RU) DS	FI Rmk DS	FI DS	HIX Rmk DS	HIX DS	Picophytoplankton PC-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Tally DS	Picophytoplankton PC-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PC-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PC-Rich Sphere Aliquot (mL) DS	Picophytoplankton PC-Rich Sphere Tally DS	Picophytoplankton PC-Rich Sphere Density (cells/mL) DS	Picophytoplankton PC-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Aliquot (mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Tally DS	Picophytoplankton PE-Rich Prolate Spheroid Density (cells/mL) DS	Picophytoplankton PE-Rich Prolate Spheroid Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Rod Aliquot (mL) DS	Picophytoplankton PE-Rich Rod Tally DS	Picophytoplankton PE-Rich Rod Density (cells/mL) DS	Picophytoplankton PE-Rich Rod Total Biovolume (um3/mL) DS	Picophytoplankton PE-Rich Sphere Aliquot (mL) DS	Picophytoplankton PE-Rich Sphere Tally DS	Picophytoplankton PE-Rich Sphere Density (cells/mL) DS	Picophytoplankton PE-Rich Sphere Total Biovolume (um3/mL) DS	Picophytoplankton Total Tally DS	Picophytoplankton Total Density (cells/mL)  DS	Picophytoplankton Total Biovolume (um3/mL) DS
6/8/2020 9:04	1	383350121311401									<	0.01		0.002	<	0.040		0.029			0.36	0.14	1.43	0.95		1.78																																																																	
6/8/2020 9:18	2	383213121310201									<	0.01		0.002		0.040		0.031			0.36	0.14	2.86	1.00		3.21																																																																	
6/8/2020 9:28	3	383102121315301									<	0.01		0.002	<	0.040		0.030			0.36	0.14	1.43	0.96		1.78																																																																	
6/8/2020 9:35	4	383010121333301										0.01		0.002	<	0.040		0.029			0.74	0.13	1.43	0.95		2.17																																																																	
6/8/2020 9:43	5	382836121323401									<	0.01		0.002	<	0.040		0.018			0.36	0.12	1.43	0.58		1.78																																																																	
6/8/2020 9:53	FPT	11447650		2.1		1.9		1.2		0.9		0.02		0.001		0.051		0.039		0.15	1.43	0.07	3.64	1.26	10.71	5.07		1.7		0.094		2.2		0.036		0.0262	E	0.0052	E	0.0023	E	0.0016		0.0187		0.0188		0.0179		0.0125		0.2550		0.1119		0.131		0.0534		0.1410		0.0958		0.0827		1.430		0.7718						28	562.97	1896.82										378	7600.14	2358.62	406	8163.12	4255.44
6/8/2020 10:26	7	382605121310601										0.30		0.003		0.059		0.071			21.42	0.23	4.21	2.30		25.63																																																																	
6/8/2020 10:31	8	382508121312801										0.49		0.005		0.073		0.085			34.84	0.38	5.21	2.75		40.05																																																																	
6/8/2020 10:35	9	382338121304801										0.48		0.007		0.072		0.087			34.41	0.46	5.14	2.81		39.55																																																																	
6/8/2020 10:40	HOOD	382205121311300		1.8		1.5		0.8		0.7		0.40		0.006		0.078		0.066		0.58	28.56	0.43	5.57	2.13	41.41	34.12		1.8		0.117		2.1		0.038		0.0274	E	0.0053	E	0.0023	E	0.0016		0.0189		0.0190		0.0184		0.0125		0.2850		0.1209		0.163		0.0656		0.1590		0.1107		0.0986		1.588		0.8044														2	40.21	30.32		146	2935.51	977.63	148	2975.72	1007.95
6/8/2020 11:01	11	382048121323501										0.73		0.013		0.116		0.104			52.40	0.91	8.28	3.37		60.68																																																																	
6/8/2020 11:09	12	381944121342701										0.50		0.008		0.099		0.080			35.84	0.59	7.07	2.59		42.91																																																																	
6/8/2020 11:15	13	381808121341801										0.34		0.006		0.081		0.101			24.27	0.43	5.78	3.27		30.06																																																																	
6/8/2020 11:20	14	381640121323901										0.23		0.005		0.078		0.062			16.21	0.35	5.57	2.01		21.77																																																																	
6/8/2020 11:24	WGA	11447890		1.8		1.3		1.0		0.9		0.27		0.008		0.095		0.060		0.48	19.28	0.57	6.78	1.94	34.27	26.06		1.8		0.113		2.2		0.039		0.0284	E	0.0057	E	0.0028	E	0.0019		0.0186		0.0181		0.0177		0.0117		0.2774		0.1203		0.158		0.0630		0.1616		0.1136		0.0916		1.573		0.7932																		208	2091.04	1457.27	208	2091.04	1457.27
6/8/2020 12:23	16	381404121310901										0.25		0.008		0.098		0.059			17.49	0.56	7.00	1.90		24.49																																																																	
6/8/2020 12:40	17	381310121323601										0.48		0.016		0.151		0.077			34.34	1.16	10.78	2.49		45.12																																																																	
6/8/2020 12:46	18	381148121324901										0.42		0.016		0.143		0.071			29.91	1.16	10.21	2.29		40.12																																																																	
