"file","band","value","date"
"S2B_SR_HARMONIZED_indices_20171012T185309.tif","ndvi",-0.141414135694504,2202-12-11
"S2B_SR_HARMONIZED_indices_20171012T185309.tif","savi",-0.00808003079146147,2202-12-11
"S2B_SR_HARMONIZED_indices_20171012T185309.tif","wavi",0.00349378888495266,2202-12-11
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","mcari",0.0144498245790601,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","mndwi",0.178181812167168,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","ndmi",0.207017540931702,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","vari",0.860655725002289,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","evi",0.0311431046575308,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","gndvi",0.0498533733189106,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","ndavi",0.297101438045502,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","ndvi",0.51694917678833,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","savi",0.0349503420293331,2202-12-12
"S2B_SR_HARMONIZED_indices_20171101T185519.tif","wavi",0.0155420769006014,2202-12-12
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","mcari",0.0118072731420398,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","mndwi",0.690476179122925,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","ndmi",0.400000005960464,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","vari",0.397727280855179,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","evi",0.0116027230396867,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","gndvi",-0.062344141304493,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","ndavi",0.0217391308397055,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","ndvi",0.135951668024063,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","savi",0.0126617895439267,2202-12-13
"S2B_SR_HARMONIZED_indices_20171221T185759.tif","wavi",0.00149031297769397,2202-12-13
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","mcari",0.0181890912353992,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","mndwi",0.481481492519379,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","ndmi",0.571428596973419,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","vari",0.34042552113533,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","evi",0.0223180707544088,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","gndvi",0.378238350152969,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","ndavi",0.400000005960464,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","ndvi",0.50282484292984,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","savi",0.0257871355861425,2203-03-12
"S2B_SR_HARMONIZED_indices_20180120T185709.tif","wavi",0.0146435452625155,2203-03-12
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","mcari",0.0143945831805468,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","mndwi",0.621621608734131,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","ndmi",0.326923072338104,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","vari",0.439024388790131,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","evi",0.00588385760784149,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","gndvi",-0.115241639316082,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","ndavi",-0.0165289249271154,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","ndvi",0.106976747512817,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","savi",0.00661553209647536,2203-03-13
"S2B_SR_HARMONIZED_indices_20180219T185419.tif","wavi",-0.00076306750997901,2203-03-13
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","mcari",0.00975516624748707,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","mndwi",0.431111097335815,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","ndmi",0.12627986073494,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","vari",0.305970162153244,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","evi",-0.0015841166023165,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","gndvi",-0.158273383975029,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","ndavi",-0.113636367022991,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","ndvi",-0.0126582281664014,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","savi",-0.00164413591846824,2203-03-15
"S2B_SR_HARMONIZED_indices_20180420T184919.tif","wavi",-0.0108538353815675,2203-03-15
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","mcari",0.00690016429871321,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","mndwi",0.13475176692009,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","ndmi",0.0232185740023851,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","vari",0.0937081649899483,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","evi",-0.0174415428191423,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","gndvi",-0.0914051830768585,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","ndavi",-0.0807453393936157,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","ndvi",-0.0458452738821507,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","savi",-0.015009380877018,2203-03-17
"S2B_SR_HARMONIZED_indices_20180619T184919.tif","wavi",-0.0181423481553793,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","mcari",0.0189120378345251,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","mndwi",0.0964312851428986,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","ndmi",0.0517928302288055,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","vari",0.11212120950222,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","evi",0.0358480475842953,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","gndvi",0.0398936159908772,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","ndavi",0.0482573732733727,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","ndvi",0.0937062948942184,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","savi",0.0312597192823887,2203-03-17
"S2B_SR_HARMONIZED_indices_20180629T184919.tif","wavi",0.0110905729234219,2203-03-17
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","mcari",0.00410370947793126,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","mndwi",0.194842413067818,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","ndmi",0.022608695551753,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","vari",0.119363397359848,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","evi",-0.0263040065765381,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","gndvi",-0.123989216983318,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","ndavi",-0.118046134710312,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","ndvi",-0.067431852221489,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","savi",-0.0220519229769707,2203-03-18
"S2B_SR_HARMONIZED_indices_20180709T185019.tif","wavi",-0.0268767382949591,2203-03-18
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","mcari",0.00484971748664975,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","mndwi",0.703703701496124,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","ndmi",0.191637635231018,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","vari",0.24285714328289,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","evi",-0.0719880238175392,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","gndvi",-0.407173007726669,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","ndavi",-0.388465732336044,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","ndvi",-0.307881772518158,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","savi",-0.0645216777920723,2203-03-19
"S2B_SR_HARMONIZED_indices_20180808T184909.tif","wavi",-0.0603142417967319,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","mcari",0.00598240597173572,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","mndwi",0.459459453821182,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","ndmi",0.0228013023734093,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","vari",0.474402725696564,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","evi",-0.0257414653897285,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","gndvi",-0.3989637196064,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","ndavi",-0.369565218687057,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","ndvi",-0.209090903401375,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","savi",-0.0253676474094391,2203-03-19
"S2B_SR_HARMONIZED_indices_20180818T184909.tif","wavi",-0.0367435142397881,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","mcari",0.0151048954576254,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","mndwi",0.350364953279495,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","ndmi",0.0848329067230225,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","vari",0.289655178785324,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","evi",0.00188903277739882,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","gndvi",-0.116138763725758,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","ndavi",-0.110773898661137,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","ndvi",0.012089810334146,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","savi",0.00188205775339156,2203-03-19
"S2B_SR_HARMONIZED_indices_20180828T185019.tif","wavi",-0.012899805791676,2203-03-19
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","mcari",0.0154702439904213,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","mndwi",0.646017670631409,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","ndmi",-0.0958904102444649,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","vari",0.971962630748749,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","evi",-0.00991478655487299,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","gndvi",-0.610389590263367,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","ndavi",-0.563106775283813,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","ndvi",-0.291338592767715,2203-03-20
"S2B_SR_HARMONIZED_indices_20180907T184909.tif","savi",-0.0108250435441732,2203-03-20
