CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Location	Subregions	"Time Period (Month, Day, Year)"	NO3 (uM) (ISUS) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Turb (FNU) (CStar) SA	t (days) SA	estDOC (mg-C/L) SA
A4932	38.061938	-121.586075	False River	Central Delta Tidal Zone	08-14-2015	9.766438	23.26109	657.0105	8.510126	7.808593	2.445337	20.07282	7.269045	15.97989	23.37927	646.1669	0.186128	6.282275	32.16752	2.356575
A3602	38.062744	-121.558103	San Joaquin River	Central Delta Tidal Zone	08-14-2015	14.4586	23.93666	562.8217	7.717876	7.632229	2.660855	22.39001	7.620066	19.0756	23.91757	558.0371	0.276738	8.11569	25.77629	2.505339
A3609	38.059496	-121.548009	San Joaquin River	Central Delta Tidal Zone	08-14-2015	13.96974	23.93761	564.273	7.690199	7.578077	2.715916	21.8784	7.740627	20.28505	23.93079	554.444	0.274754	7.627056	31.58653	2.472493
A4924	38.06252	-121.59942	False River	Central Delta Tidal Zone	08-14-2015	11.34024	23.26088	657.9683	8.349583	8.047466	1.923964	19.28627	7.0327	15.74532	23.35843	643.3829	0.173907	6.516114	27.10883	2.306079
A4914	38.062835	-121.616459	False River	Central Delta Tidal Zone	08-14-2015	11.02677	23.33355	644.1507	8.288845	7.931156	2.870925	17.95008	7.150566	12.56031	23.07754	693.2173	0.063159	6.107852	26.90839	2.220295
A4930	38.062998	-121.589429	False River	Central Delta Tidal Zone	08-14-2015	9.107987	23.17982	657.3348	8.584314	7.700344	2.651636	19.87159	7.191861	17.25078	23.30185	640.0095	0.141514	6.062214	31.70465	2.343656
A4393	38.062316	-121.580831	Old River	Central Delta Tidal Zone	08-14-2015	10.25781	23.81677	656.7363	8.051094	7.970651	2.021259	21.46016	7.645925	14.89246	23.85356	656.3012	0.337259	6.960145	26.6805	2.445643
A4928	38.063448	-121.593045	False River	Central Delta Tidal Zone	08-14-2015	9.233493	23.21998	653.0026	8.521246	7.733238	2.906802	19.44881	7.190417	18.98809	23.38857	633.8718	0.149887	6.32962	25.57723	2.316514
A4867	38.063874	-121.648306	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	15.45602	22.77725	903.5077	7.925084	8.380417	2.79074	11.54228	6.952018	13.47888	22.76815	875.3877	0.119282	11.18046	26.44139	1.808908
A4926	38.063989	-121.596593	False River	Central Delta Tidal Zone	08-14-2015	11.2381	23.26086	652.7997	8.393973	7.873626	2.415227	19.23029	7.057899	15.60981	23.41422	634.0605	0.196387	6.771938	31.42387	2.302485
A4391	38.064965	-121.579416	Old River	Central Delta Tidal Zone	08-14-2015	10.21841	23.907	657.4168	7.979922	7.780234	2.096957	21.70967	7.666911	15.40455	23.92867	651.5989	0.329341	7.117867	26.74626	2.461661
A4865	38.066764	-121.64835	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	15.47335	22.77133	903.1672	7.920949	8.371879	2.822321	11.32995	6.9547	13.86905	22.76332	878.1573	0.093971	11.3112	25.74111	1.795273
A3618	38.061671	-121.532198	San Joaquin River	Central Delta Tidal Zone	08-14-2015	12.25561	24.28569	568.8581	7.649098	7.550598	3.117038	28.62729	9.130615	22.83079	24.24878	563.4225	0.277458	6.18394	26.28517	2.905771
A3600	38.066198	-121.555924	San Joaquin River	Central Delta Tidal Zone	08-14-2015	14.78854	23.87519	571.299	7.739256	7.705762	2.579906	21.63402	7.517969	18.57376	23.8646	558.0616	0.27695	8.271238	20.09234	2.456804
A3611	38.063057	-121.542126	San Joaquin River	Central Delta Tidal Zone	08-14-2015	13.56222	24.02719	566.1436	7.677627	7.561958	2.786141	23.74341	7.889247	20.32687	23.98834	557.0394	0.275751	7.526785	26.21694	2.592227
A4389	38.068038	-121.579754	Old River	Central Delta Tidal Zone	08-14-2015	10.36356	23.95418	656.6865	7.939529	7.659683	2.210776	21.55022	7.641746	15.70126	23.9905	645.2856	0.31495	7.521105	20.03701	2.451424
A4863	38.069677	-121.648376	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	15.83894	22.77403	903.4665	7.907298	8.273159	2.803294	11.10133	6.96161	14.60766	22.76203	879.5425	0.094699	11.39507	20.24725	1.780583
A3598	38.068857	-121.557706	San Joaquin River	Central Delta Tidal Zone	08-14-2015	14.69954	23.8647	568.7588	7.736623	7.694347	2.526688	21.62213	7.522609	18.44063	23.87361	558.2654	0.277058	8.223691	31.10882	2.456041
A4387	38.070584	-121.578342	Old River	Central Delta Tidal Zone	08-14-2015	10.87444	23.92431	656.8977	7.958362	7.744428	2.142978	21.28518	7.540867	15.62144	23.95315	645.0782	0.325982	7.801795	20.27122	2.434409
A4385	38.071409	-121.574613	Old River	Central Delta Tidal Zone	08-14-2015	11.53186	23.86106	641.1423	7.949801	7.746519	2.198472	20.67749	7.343064	15.91415	23.81954	646.9361	0.325637	8.156326	25.91139	2.395395
A4861	38.072584	-121.647871	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	15.9173	22.77912	903.2499	7.897129	8.175323	2.755523	10.99347	6.9679	15.17119	22.76664	878.1549	0.109438	11.43259	20.26885	1.773648
A3596	38.071264	-121.559836	San Joaquin River	Central Delta Tidal Zone	08-14-2015	14.44009	23.85968	565.2679	7.726308	7.640481	2.51027	21.94403	7.515396	18.53119	23.88094	561.7535	0.278783	8.104599	26.20794	2.476707
A3594	38.072233	-121.563446	San Joaquin River	Central Delta Tidal Zone	08-14-2015	14.85994	23.83709	571.5778	7.732066	7.614998	2.485054	21.3267	7.286563	18.46824	23.80404	574.6149	0.285968	8.419547	19.84313	2.437074
A4859	38.075466	-121.64766	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	16.02823	22.79478	901.7431	7.879337	7.969019	2.594525	10.69421	6.974563	15.70662	22.78181	873.4742	0.245013	11.50516	20.67814	1.754411
A3592	38.073087	-121.567128	San Joaquin River	Central Delta Tidal Zone	08-14-2015	14.7283	23.82747	579.1414	7.750658	7.610847	2.451091	20.88782	7.205174	17.73014	23.77069	585.3441	0.291934	8.531425	21.01137	2.408898
A3590	38.076516	-121.568009	San Joaquin River	Central Delta Tidal Zone	08-14-2015	14.01592	23.73587	618.8586	7.911803	7.691483	2.307297	20.3494	7.058435	16.45854	23.67495	615.8582	0.307661	9.284767	20.55413	2.374331
A4857	38.078352	-121.647538	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	16.0948	22.79884	901.5498	7.872002	7.920599	2.507618	10.75711	6.972104	16.96692	22.78817	871.9701	0.313933	11.48725	30.43153	1.75844
A3588	38.077527	-121.57269	San Joaquin River	Central Delta Tidal Zone	08-14-2015	12.36202	23.67081	657.1953	8.108786	7.853668	2.138292	19.99488	7.091696	15.24129	23.64881	639.8357	0.320046	9.023499	21.18888	2.351571
A3586	38.080465	-121.574039	San Joaquin River	Central Delta Tidal Zone	08-14-2015	12.73469	23.6362	656.6678	8.166392	7.921319	2.107279	19.68013	7.133895	16.06416	23.68103	605.9253	0.302567	8.548788	20.87215	2.331364
A4855	38.08131	-121.648142	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	16.58807	22.80007	905.9582	7.839486	7.891847	2.363043	10.69609	6.913533	18.40573	22.80053	880.2617	0.321212	11.08373	26.14008	1.754534
A3584	38.083194	-121.574906	San Joaquin River	Central Delta Tidal Zone	08-14-2015	15.16696	23.70431	581.1924	7.99539	7.810186	2.372658	18.68641	7.04951	17.29027	23.74493	535.4551	0.266365	8.432449	26.25393	2.267567
A4853	38.08421	-121.646995	Fishermans Cut	Central Delta Tidal Zone	08-14-2015	16.73261	22.90229	860.3753	7.805842	7.876558	2.317976	11.40157	6.843204	19.07222	22.89933	843.5326	0.294555	10.80691	26.29031	1.799749
A3894	38.083319	-121.683845	Threemile Slough	Western Delta Tidal Zone	08-14-2015	20.52886	22.89023	1284.354	7.821393	8.190499	2.8287	18.57025	6.685917	18.78999	22.96159	1233.377	0.629738	10.26045	19.95044	2.26011
A3452	38.085171	-121.679383	San Joaquin River	Central Delta Tidal Zone	08-14-2015	19.52544	23.03617	1098.453	7.800023	8.066999	2.724371	18.2075	6.704217	19.51656	23.10454	1053.727	0.535134	9.880475	30.11216	2.236822
A3582	38.086095	-121.573998	San Joaquin River	Central Delta Tidal Zone	08-14-2015	15.78197	23.74668	545.9503	7.883809	7.739634	2.49364	18.42177	7.042545	19.10701	23.77435	523.0205	0.259839	8.36203	21.18705	2.250577
A3896	38.086342	-121.684897	Threemile Slough	Western Delta Tidal Zone	08-14-2015	20.53939	22.91172	1264.402	7.81701	8.178399	2.827561	18.52176	6.689296	19.32555	22.97021	1224.631	0.634301	10.39762	20.7575	2.256997
A3898	38.08919	-121.685675	Threemile Slough	Western Delta Tidal Zone	08-14-2015	20.63648	22.92662	1270.84	7.807189	8.145558	2.783095	18.52991	6.70224	19.21813	22.96707	1248.852	0.652198	10.69673	21.26805	2.25752
A3450	38.088275	-121.679829	San Joaquin River	Central Delta Tidal Zone	08-14-2015	19.86319	23.00167	1141.189	7.806747	8.100937	2.749243	18.09456	6.707903	20.12647	23.06185	1102.013	0.56824	10.11221	20.66121	2.229571
A3580	38.088965	-121.573699	San Joaquin River	Central Delta Tidal Zone	08-14-2015	15.72645	23.77289	526.7274	7.803299	7.695214	2.572906	18.75656	7.066163	19.08718	23.78248	532.9873	0.264833	8.330997	19.86749	2.272071
A3424	38.087743	-121.638417	San Joaquin River	Central Delta Tidal Zone	08-14-2015	17.81459	23.41026	646.692	7.741188	7.78545	2.674601	17.37786	6.535439	20.44553	23.40383	650.4062	0.321962	9.583338	26.44062	2.182872
A3426	38.087775	-121.642141	San Joaquin River	Central Delta Tidal Zone	08-14-2015	17.4713	23.31149	693.8531	7.742116	7.8101	2.621132	16.20684	6.577436	19.62954	23.31901	686.4888	0.312167	9.548984	20.49799	2.107807
