CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Location	Subregions	"Time Period (Month, Day, Year)"	NO3 (uM) (ISUS) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Turb (FNU) (CStar) SA	t (days) SA	estDOC (mg-C/L) SA
A3454	38.082684	-121.68143	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.75197	22.40652	2612.016	7.740155	8.443027	2.80589	20.32132	6.44823	18.07075	22.38052	2499.886	1.362216	11.40998	42.45821	2.37252
A4263	38.083256	-121.570437	Little Potato Slough	Central Delta Tidal Zone	09-14-2015	18.53008	23.16096	518.7335	7.58661	7.561731	3.546522	18.42785	6.286061	23.73976	23.15177	512.3607	0.25775	8.680156	24.27228	2.250966
A4851	38.086496	-121.644521	Fishermans Cut	Central Delta Tidal Zone	09-14-2015	19.4259	22.64377	1562.773	7.723248	8.420565	2.997935	18.65528	6.349014	19.49478	22.62471	1483.567	0.783344	11.54957	34.64462	2.269703
A3451	38.086827	-121.679979	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.18453	22.50352	2435.578	7.703035	8.598247	2.960683	20.25177	6.3813	19.41657	22.48871	2331.602	1.262809	12.03459	36.20216	2.368011
A3423	38.087711	-121.636532	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.65882	22.77315	1354.125	7.579911	8.303246	3.40681	18.04216	6.23928	23.24134	22.78983	1295.004	0.676889	11.20072	20.92855	2.227392
A3576	38.094606	-121.579508	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.53585	23.05907	590.7381	7.564004	7.972851	3.874629	17.99905	6.185936	25.18284	23.06288	589.1192	0.297575	9.3095	18.82213	2.223443
A3927	38.104972	-121.697305	Threemile Slough	Western Delta Tidal Zone	09-14-2015	25.71871	21.7671	4392.944	7.676061	8.100058	2.30587	20.94426	6.589529	13.49531	21.73008	4155.541	2.367441	15.20739	52.71498	2.414065
A3930	38.106552	-121.702675	Threemile Slough	Western Delta Tidal Zone	09-14-2015	26.30961	21.71226	3948.933	7.699211	8.158287	2.406194	19.61511	6.437504	14.46496	21.67687	3745.311	2.125056	16.68583	52.50764	2.327221
A3933	38.110609	-121.704562	Threemile Slough	Western Delta Tidal Zone	09-14-2015	26.24217	21.7721	3878.774	7.713735	8.181175	2.544822	19.40816	6.332019	15.59548	21.73746	3681.549	2.085582	20.55569	52.31289	2.31338
A3349	38.128449	-121.577559	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.36548	22.96324	185.1143	7.341567	7.351092	3.691537	12.71591	4.809587	24.75947	22.98052	178.286	0.090584	3.738626	8.438678	1.884261
A3342	38.132507	-121.566973	South Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.68109	22.94666	184.3784	7.335562	7.324011	4.217365	12.63275	4.830681	28.59916	22.96032	177.6482	0.090315	3.883111	7.839725	1.878922
A3465	38.067363	-121.679323	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.66358	22.33751	2994.957	7.735146	8.295315	2.624615	19.96405	6.483627	16.44595	22.31228	2854.22	1.569745	11.59443	43.21442	2.349591
A4864	38.068222	-121.648392	Fishermans Cut	Central Delta Tidal Zone	09-14-2015	17.99626	22.54324	1230.229	7.793458	8.474995	2.750576	19.50253	6.454979	17.36909	22.51109	1173.364	0.614437	10.71909	39.56301	2.320036
A3599	38.067755	-121.556637	San Joaquin River	Central Delta Tidal Zone	09-14-2015	16.45534	23.29193	548.7722	7.600366	7.655061	3.887104	20.04807	6.682998	25.81871	23.29628	534.0604	0.26798	9.718853	21.91885	2.354986
A3463	38.070245	-121.679514	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.69344	22.34415	2952.817	7.736331	8.311972	2.618207	19.67713	6.478247	16.42261	22.31872	2813.797	1.545761	11.36397	41.07642	2.33117
A4388	38.069722	-121.579872	Old River	Central Delta Tidal Zone	09-14-2015	16.03414	22.94331	645.1012	7.855372	7.736183	2.996561	19.9154	6.62002	19.43666	22.93333	621.0149	0.315061	10.03912	25.32009	2.346293
A4862	38.071113	-121.648213	Fishermans Cut	Central Delta Tidal Zone	09-14-2015	18.07619	22.54988	1257.126	7.798322	8.456614	2.758472	19.45943	6.435869	17.62096	22.5152	1200.202	0.629028	11.17169	39.31099	2.317344
A4386	38.071216	-121.576569	Old River	Central Delta Tidal Zone	09-14-2015	16.62817	22.97873	641.0803	7.786389	7.716407	3.078223	19.7408	6.554475	20.06748	22.96692	617.7314	0.313228	10.68159	25.23624	2.335308
A3597	38.070345	-121.558242	San Joaquin River	Central Delta Tidal Zone	09-14-2015	16.5532	23.28928	549.7571	7.600876	7.65141	3.811046	20.00838	6.671233	25.1318	23.29152	534.1573	0.268021	9.497698	23.09406	2.352437
A4384	38.071761	-121.572781	Old River	Central Delta Tidal Zone	09-14-2015	17.12964	23.02772	623.5406	7.725693	7.680019	3.19178	19.50047	6.522117	20.8118	23.01616	600.8395	0.304206	10.55898	25.16947	2.319835
A3461	38.073118	-121.679828	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.66418	22.39056	2789.999	7.721424	8.422563	2.677413	19.13328	6.437914	16.35266	22.37495	2664.854	1.457439	11.38982	38.67372	2.296249
A4860	38.074007	-121.647695	Fishermans Cut	Central Delta Tidal Zone	09-14-2015	18.15979	22.55204	1272.725	7.800485	8.448988	2.772244	19.40863	6.428379	17.7035	22.51622	1215.109	0.637167	11.35159	39.45503	2.314136
A3595	38.071645	-121.561762	San Joaquin River	Central Delta Tidal Zone	09-14-2015	16.80787	23.26303	547.3548	7.610259	7.645549	3.699862	19.76455	6.578328	24.29287	23.26843	524.1711	0.263044	8.82634	23.67845	2.336781
A3593	38.072975	-121.565027	San Joaquin River	Central Delta Tidal Zone	09-14-2015	17.06521	23.23918	543.1024	7.608837	7.630919	3.658276	19.41693	6.514555	24.00702	23.24623	518.1802	0.2601	8.529948	23.70848	2.314461
A3459	38.075996	-121.68006	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.61351	22.4062	2724.503	7.718709	8.469135	2.71531	19.06367	6.426903	16.55347	22.3922	2604.265	1.421936	11.53703	37.45396	2.291775
A3591	38.075152	-121.567452	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.16782	23.11378	581.5942	7.66049	7.583455	3.366179	19.24505	6.428286	22.1455	23.10037	560.2039	0.282743	9.726401	25.99705	2.303432
A4858	38.076892	-121.647541	Fishermans Cut	Central Delta Tidal Zone	09-14-2015	18.30608	22.55213	1292.618	7.804099	8.445819	2.798404	19.3342	6.423245	17.77638	22.51646	1233.383	0.647177	11.49193	39.8649	2.30942
A3589	38.077174	-121.570212	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.28307	23.11815	571.7161	7.646947	7.560675	3.385798	19.08134	6.412646	22.31083	23.10118	555.0963	0.280112	9.771864	25.90925	2.292922
A3457	38.078718	-121.6806	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.53416	22.4273	2660.454	7.713652	8.508373	2.7827	19.33481	6.410465	17.0912	22.41451	2545.895	1.387589	11.67342	39.0189	2.309176
A4856	38.079829	-121.647773	Fishermans Cut	Central Delta Tidal Zone	09-14-2015	18.81781	22.54903	1365.704	7.811431	8.465281	2.835691	19.09266	6.414753	17.84727	22.51403	1297.553	0.68249	11.83035	41.03179	2.294011
A3587	38.078849	-121.573961	San Joaquin River	Central Delta Tidal Zone	09-14-2015	17.75055	23.11712	561.2769	7.634374	7.585734	3.455455	18.95328	6.394989	22.64952	23.10873	545.8691	0.275321	9.370768	24.44223	2.284714
A3585	38.081878	-121.574814	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.07854	23.16737	523.7581	7.572359	7.555653	3.648174	18.45707	6.314618	24.06364	23.16283	516.2928	0.259626	8.487918	23.44383	2.252851
A4854	38.082927	-121.64831	Fishermans Cut	Central Delta Tidal Zone	09-14-2015	19.16433	22.55341	1444.239	7.81016	8.488573	2.8416	19.00748	6.410584	17.86674	22.51689	1367.555	0.721019	11.92134	40.45646	2.2885
A3453	38.083897	-121.679906	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.31416	22.4781	2498.578	7.710444	8.570792	2.914312	20.41847	6.393529	19.07072	22.46089	2393.393	1.298936	11.83161	38.69062	2.37872
A3583	38.084571	-121.575105	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.11945	23.14816	531.1711	7.572527	7.618771	3.653433	18.37377	6.287566	24.27616	23.14546	524.7784	0.264079	8.458277	23.03857	2.2475
A4262	38.083932	-121.56887	Little Potato Slough	Central Delta Tidal Zone	09-14-2015	18.74596	23.14779	520.7325	7.606339	7.562256	3.482496	18.52535	6.27396	23.36306	23.13551	511.3158	0.257415	8.860012	25.02745	2.257227
A3895	38.084881	-121.684386	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.08164	22.36216	2621.875	7.768735	8.339374	2.745185	20.62218	6.498549	17.83458	22.32818	2503.407	1.36573	10.96692	45.49997	2.391845
A3581	38.087503	-121.574122	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.01731	23.10319	559.1748	7.579	7.836814	3.684819	18.25048	6.25137	24.6144	23.10534	552.2603	0.278496	8.687145	22.49124	2.239582
A3897	38.087749	-121.685263	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.41804	22.30988	2680.381	7.798071	8.225139	2.672531	20.86174	6.535717	17.46818	22.27025	2548.223	1.39327	10.72902	48.33495	2.407213
A3425	38.087273	-121.640279	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.88628	22.74229	1437.471	7.608703	8.278893	3.29769	18.20443	6.262911	22.29243	22.75222	1372.142	0.719827	11.45667	24.05413	2.242157
A3427	38.088784	-121.643552	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.27241	22.68956	1551.758	7.668473	8.352841	3.154648	18.65694	6.309205	20.74635	22.68373	1478.083	0.77934	11.56775	32.06285	2.270298
A3899	38.090651	-121.685698	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.34065	22.31174	2708.899	7.795549	8.222513	2.681751	21.03539	6.521342	17.49597	22.27404	2573.381	1.407801	10.95025	47.66346	2.418376
A3449	38.089621	-121.678977	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.72397	22.55136	2315.509	7.684612	8.633725	3.023128	19.72522	6.354429	19.566	22.54313	2209.437	1.191486	12.49382	33.18033	2.334225
A3579	38.090382	-121.574017	San Joaquin River	Central Delta Tidal Zone	09-14-2015	17.98435	23.08737	573.8629	7.580077	7.932972	3.689815	18.20063	6.243478	24.68135	23.09239	566.0569	0.285712	8.915845	21.86363	2.236381
A3422	38.088444	-121.634844	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.56714	22.78443	1320.683	7.571515	8.309108	3.458914	17.87308	6.233081	23.53205	22.80283	1265.187	0.660381	11.0836	19.93033	2.216196
A3429	38.089052	-121.647401	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.46291	22.63791	1640.187	7.720056	8.433417	3.030867	18.78966	6.349109	19.56422	22.62007	1561.498	0.826444	11.72328	33.57702	2.274251
A3447	38.091682	-121.676347	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.61132	22.55543	2289.112	7.679399	8.621897	3.012465	19.76921	6.357295	19.39423	22.54861	2184.131	1.176897	12.56928	33.60042	2.337111
A3901	38.093561	-121.6858	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.1013	22.29424	2840.099	7.791499	8.201626	2.654001	21.27581	6.515752	17.17011	22.25736	2694.423	1.478568	11.35666	47.85823	2.434311
A3431	38.091434	-121.64954	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.20691	22.65422	1703.043	7.673073	8.348004	3.138664	18.68985	6.321434	20.57375	22.65058	1623.105	0.860286	11.66447	32.6857	2.267696
A3420	38.089685	-121.631439	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.50077	22.80174	1279.718	7.561736	8.276123	3.544919	17.54914	6.224214	23.83881	22.82155	1229.431	0.640669	10.95683	18.59234	2.19619
A3433	38.093063	-121.652631	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.29483	22.6335	1753.259	7.687214	8.379551	3.090868	18.57521	6.335191	20.18173	22.62686	1671.38	0.886892	11.64746	30.01253	2.260351
A3418	38.091535	-121.6285	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.36078	22.82688	1204.024	7.556459	8.20837	3.634308	17.81179	6.214695	24.0483	22.84555	1161.521	0.603502	10.82073	16.8456	2.211956
A3445	38.093567	-121.673568	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.63449	22.54972	2288.375	7.678229	8.59627	2.982279	19.95619	6.366125	19.1656	22.54213	2187.845	1.179271	12.54533	33.92482	2.349225
A3903	38.096452	-121.685836	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.08977	22.27678	2930.319	7.790771	8.190025	2.621723	21.50402	6.528898	16.91506	22.2391	2777.249	1.527264	11.41763	48.32943	2.450235
A3435	38.094392	-121.655943	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.308	22.61124	1856.36	7.687613	8.418732	3.082362	18.93024	6.344429	20.06406	22.60526	1769.934	0.939855	11.5093	29.97543	2.283169
A3443	38.094832	-121.670152	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.48396	22.57243	2213.851	7.675456	8.607917	2.998403	19.80324	6.35997	19.3461	22.56451	2124.54	1.142509	12.39555	37.68276	2.339186
A3437	38.095641	-121.659234	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.42173	22.59789	1976.219	7.683637	8.48432	3.046126	19.17539	6.347853	19.93685	22.59215	1890.694	1.008213	11.72354	30.51051	2.298957
A3380	38.096248	-121.569151	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	21.09303	23.08021	404.1419	7.527964	7.71986	3.827189	15.76245	5.602702	25.34986	23.08799	380.4771	0.191311	7.345098	15.10347	2.079849
A3441	38.095675	-121.66662	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.60352	22.58634	2146.646	7.676605	8.602666	2.96988	19.41243	6.355474	19.44612	22.578	2062.718	1.107081	12.38501	32.02083	2.314149
A3416	38.094591	-121.627636	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.35196	22.83515	1181.005	7.554482	8.18869	3.645585	17.87199	6.208616	24.1044	22.85346	1140.589	0.592118	10.69457	16.39297	2.215805
A3439	38.096069	-121.662919	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.48362	22.59517	2035.518	7.680799	8.533424	3.013613	19.13139	6.348572	19.79014	22.58868	1951.438	1.043343	12.00477	29.75767	2.296112
A3378	38.097444	-121.565982	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.33561	23.06238	317.8392	7.500001	7.636195	3.826724	14.5928	5.301219	25.44967	23.07109	295.9069	0.148641	6.368697	14.88292	2.004757
A3905	38.099375	-121.686048	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.02566	22.23877	3160.657	7.783441	8.183204	2.530384	21.48286	6.566283	16.29593	22.19867	2993.842	1.654942	11.62071	49.29055	2.456529
A3382	38.097316	-121.572748	San Joaquin River	Central Delta Tidal Zone	09-14-2015	21.47738	23.08919	407.0298	7.490193	7.656847	3.946621	15.67929	5.576274	26.30298	23.09888	395.6695	0.198884	7.411705	13.57423	2.07451
A3414	38.097944	-121.627571	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.28218	22.85723	1124.129	7.54884	8.151948	3.64938	18.04651	6.195095	24.27336	22.87433	1085.871	0.562394	10.5398	15.31991	2.2266
A3376	38.099957	-121.563479	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.2541	23.03959	258.9194	7.467675	7.550086	3.765571	13.75292	5.104848	25.31128	23.05043	245.3708	0.123436	5.52289	14.61739	1.950837
A3384	38.097777	-121.576471	San Joaquin River	Central Delta Tidal Zone	09-14-2015	21.43356	23.09411	430.7827	7.492711	7.68035	4.054687	15.92201	5.63942	27.01197	23.10225	424.3636	0.213456	7.856926	11.6593	2.090093
A3386	38.098653	-121.579629	San Joaquin River	Central Delta Tidal Zone	09-14-2015	21.61155	23.08112	444.6257	7.501031	7.722945	4.111387	16.09613	5.679746	27.04356	23.08288	449.7801	0.226342	8.045225	11.12573	2.101272
A3388	38.098909	-121.583361	San Joaquin River	Central Delta Tidal Zone	09-14-2015	21.28565	23.05186	473.6068	7.495776	7.72117	4.062705	16.3884	5.766739	26.30215	23.04624	505.1031	0.254633	8.340621	9.688005	2.120036
A3412	38.100259	-121.62541	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.26665	22.8737	1069.342	7.539751	8.123169	3.650007	18.12197	6.177826	24.34301	22.89012	1034.809	0.534697	10.98672	14.28719	2.230886
A3390	38.098389	-121.587342	San Joaquin River	Central Delta Tidal Zone	09-14-2015	20.25332	23.01553	556.0594	7.486571	7.730152	3.955419	16.92656	5.928349	25.35713	23.00822	605.142	0.306486	9.050082	8.647758	2.15458
A3907	38.102282	-121.685628	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.1771	22.21291	3298.318	7.775761	8.172487	2.4884	21.26231	6.581858	15.91275	22.17202	3124.801	1.732748	11.9271	50.00119	2.441769
A3392	38.098957	-121.59094	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.80892	22.99855	609.7357	7.484995	7.744834	3.907785	17.25014	6.016964	24.9589	22.99229	659.9689	0.334991	9.431878	8.235473	2.175348
A3374	38.102678	-121.564595	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.64812	23.02964	233.2872	7.440753	7.483699	3.723236	13.38131	5.014584	25.14903	23.04195	224.1183	0.112889	5.045159	15.85049	1.92698
A3410	38.101544	-121.622022	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.62216	22.89475	982.8782	7.526617	8.110722	3.704848	18.09642	6.136681	24.38711	22.91098	952.9128	0.490663	11.74334	12.60093	2.22951
A3394	38.100824	-121.594086	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.45757	22.97302	690.3395	7.487005	7.777806	3.874456	17.53987	6.079982	24.63404	22.97408	719.9391	0.366581	9.833107	7.308695	2.193944
A3408	38.101595	-121.618306	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.95911	22.91581	901.0905	7.524409	8.089231	3.770986	18.0814	6.106894	24.48068	22.93171	876.4256	0.449671	11.54153	11.20174	2.228664
A3909	38.105106	-121.684852	Threemile Slough	Western Delta Tidal Zone	09-14-2015	21.25018	22.23176	3278.862	7.763057	8.186618	2.504244	21.30569	6.566727	15.94106	22.19276	3110.914	1.723691	12.47597	48.92099	2.442629
A3372	38.104713	-121.567004	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.75504	23.02541	221.745	7.418709	7.441672	3.714357	13.29147	4.966296	25.09613	23.0377	213.8487	0.107818	4.767885	16.71765	1.921213
A3396	38.102514	-121.597162	San Joaquin River	Central Delta Tidal Zone	09-14-2015	19.32438	22.966	713.4467	7.494476	7.818974	3.891709	17.53662	6.065951	24.4538	22.97099	726.4869	0.370233	9.777531	7.18772	2.193742
A3406	38.102782	-121.614858	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.92329	22.92834	843.8038	7.525101	8.050173	3.799744	18.16806	6.097075	24.4836	22.94361	827.2997	0.423421	10.92127	10.28646	2.234275
A3928	38.105347	-121.699068	Threemile Slough	Western Delta Tidal Zone	09-14-2015	25.83175	21.75893	4384.173	7.668167	8.100821	2.315258	20.51758	6.559455	13.50668	21.72491	4154.203	2.366358	15.95937	52.08522	2.385587
A3925	38.106384	-121.69437	Threemile Slough	Western Delta Tidal Zone	09-14-2015	24.97083	21.83304	4297.578	7.685067	8.084783	2.271703	20.42576	6.58276	13.34219	21.80024	4051.223	2.300808	14.82954	52.03027	2.381168
A3398	38.103818	-121.600521	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.95958	22.95543	755.0112	7.509056	7.90522	3.868253	17.62391	6.070313	24.22461	22.96418	744.5502	0.379762	9.680174	7.35385	2.199347
A3370	38.106412	-121.569356	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.71889	23.02095	207.6068	7.395868	7.403171	3.762002	13.18245	4.913122	25.29518	23.03318	201.4152	0.101679	4.450202	11.93528	1.914214
A3404	38.104224	-121.61161	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.97992	22.93235	817.1239	7.522206	8.037287	3.817891	18.22209	6.086554	24.41709	22.94596	803.8395	0.411018	10.46307	9.550334	2.237751
A3402	38.104854	-121.608001	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.99429	22.93949	798.9171	7.520837	8.010025	3.840238	18.30582	6.089758	24.37929	22.94978	786.9259	0.401984	9.912739	8.573903	2.243115
A3911	38.107914	-121.684006	Threemile Slough	Western Delta Tidal Zone	09-14-2015	22.57279	22.13118	3469.427	7.741808	8.127635	2.448984	21.06814	6.531841	15.29349	22.0935	3289.733	1.832995	13.74836	50.31147	2.420636
A3400	38.104872	-121.6041	San Joaquin River	Central Delta Tidal Zone	09-14-2015	18.9873	22.94769	782.1001	7.518009	7.963099	3.835676	17.909	6.088789	24.26823	22.95648	767.9614	0.39195	9.709038	7.760626	2.217638
A3368	38.107897	-121.572416	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.85894	23.00947	194.6488	7.385658	7.392624	3.729345	12.92789	4.869801	24.967	23.02266	188.3044	0.095313	4.063216	9.933228	1.897871
A3366	38.108896	-121.575868	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	24.00047	23.01577	195.9172	7.387943	7.375782	3.773997	12.92341	4.86729	25.13779	23.02717	191.5639	0.096853	4.122508	8.474158	1.897583
A3923	38.109105	-121.693071	Threemile Slough	Western Delta Tidal Zone	09-14-2015	24.85917	21.86259	4223.901	7.689753	8.085415	2.253346	20.10301	6.536918	13.31505	21.83349	3987.833	2.260977	14.88749	51.64124	2.355287
A3364	38.110039	-121.579245	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.78603	23.00501	198.3077	7.397254	7.470089	3.77678	12.82674	4.873047	25.11612	23.01433	194.833	0.098697	4.075619	9.012916	1.891377
A3913	38.11074	-121.683331	Threemile Slough	Western Delta Tidal Zone	09-14-2015	23.37498	22.06589	3558.163	7.729924	8.105453	2.413418	20.84999	6.499854	14.93269	22.02989	3371.041	1.883504	14.19353	50.7027	2.406612
A3921	38.111592	-121.691198	Threemile Slough	Western Delta Tidal Zone	09-14-2015	25.36972	21.85788	4197.844	7.686703	8.074572	2.237365	20.40236	6.469449	13.15903	21.83521	3967.024	2.248012	15.18954	50.97191	2.373342
A3362	38.111603	-121.582372	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.52192	22.99738	195.6941	7.401705	7.545621	3.756176	12.81622	4.861614	25.11669	23.00661	190.8845	0.096832	3.975002	9.426311	1.890701
A3915	38.113621	-121.682966	Threemile Slough	Western Delta Tidal Zone	09-14-2015	24.46025	21.99492	3619.536	7.709167	8.10208	2.387147	20.42828	6.438704	14.6288	21.96046	3425.861	1.914979	14.60243	50.82133	2.379769
A3919	38.11376	-121.688767	Threemile Slough	Western Delta Tidal Zone	09-14-2015	25.37326	21.86972	4111.805	7.690223	8.071625	2.26385	20.4917	6.458731	13.31975	21.84816	3884.418	2.197447	15.03594	51.31628	2.382606
A3917	38.115119	-121.685488	Threemile Slough	Western Delta Tidal Zone	09-14-2015	25.45056	21.88158	4022.737	7.690979	8.07421	2.29222	20.30711	6.440875	13.5402	21.85811	3799.008	2.144138	15.03287	51.93473	2.371851
A3359	38.11548	-121.584845	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.28739	22.98984	191.4498	7.397807	7.562366	3.723225	12.78292	4.837226	24.87997	22.99986	184.439	0.093679	3.805142	9.328468	1.888564
A709	38.113534	-121.705145	Sacramento River	Western Delta Tidal Zone	09-14-2015	26.18341	21.83072	4145.006	7.711576	8.162799	2.595099	20.2592	6.306605	15.73922	21.79327	3931.304	2.234173	22.30826	52.72567	2.367859
A707	38.115674	-121.702639	Sacramento River	Western Delta Tidal Zone	09-14-2015	26.31325	21.85056	4071.191	7.703003	8.133957	2.571014	20.13397	6.299682	15.56999	21.81177	3865.714	2.192579	21.44038	51.99284	2.3591
A3357	38.118452	-121.584781	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.20995	22.98986	189.8176	7.390211	7.535789	3.70622	12.74017	4.830354	24.68161	23.0011	182.7023	0.092804	3.747863	9.232343	1.885819
A705	38.117996	-121.700464	Sacramento River	Western Delta Tidal Zone	09-14-2015	26.45267	21.86657	4034.902	7.702766	8.119401	2.537357	20.22444	6.29775	15.51874	21.8262	3834.939	2.173652	20.15401	50.95093	2.364577
A3355	38.121022	-121.583127	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	23.04228	22.9879	183.0394	7.376306	7.498314	3.664672	12.65475	4.812328	24.43248	23.00171	175.8902	0.089323	3.656164	9.104555	1.880335
A703	38.120354	-121.698267	Sacramento River	Western Delta Tidal Zone	09-14-2015	26.3927	21.88831	3917.3	7.704818	8.109187	2.536102	20.27493	6.292663	15.61954	21.84609	3728.107	2.109415	18.95503	50.59063	2.368262
A3353	38.123499	-121.581195	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.62748	22.97508	183.9368	7.35595	7.450006	3.641229	12.68921	4.807662	24.34282	22.99153	177.0359	0.089924	3.688209	8.80382	1.882547
A701	38.123	-121.696791	Sacramento River	Western Delta Tidal Zone	09-14-2015	26.23295	21.9152	3718.667	7.710043	8.097896	2.566917	20.1533	6.285099	15.97591	21.87031	3548.288	2.001936	17.83768	50.59837	2.361271
A3351	38.126042	-121.579567	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.53086	22.96841	186.1322	7.349528	7.425065	3.649388	12.67567	4.8099	24.37117	22.98509	179.2508	0.091073	3.720072	8.648212	1.881678
A699	38.125628	-121.695282	Sacramento River	Western Delta Tidal Zone	09-14-2015	25.87241	21.97095	3314.5	7.72302	8.089308	2.673147	19.97851	6.2504	17.12952	21.91793	3171.483	1.777341	16.84225	52.81326	2.350579
A697	38.128173	-121.6936	Sacramento River	Western Delta Tidal Zone	09-14-2015	25.83181	22.00525	3064.681	7.729058	8.085029	2.712753	19.76335	6.24038	17.65893	21.94914	2933.588	1.6364	16.04383	53.39304	2.336848
A3348	38.12962	-121.576661	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.22128	22.96099	185.1237	7.336545	7.283709	3.802005	12.72006	4.815089	25.60238	22.9786	178.3092	0.0906	3.771593	8.273277	1.884528
A3346	38.130931	-121.573832	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.24857	22.96018	183.9859	7.335926	7.267681	3.888782	12.71155	4.817585	26.3743	22.97745	177.1786	0.090023	3.7792	8.30723	1.883981
A695	38.130808	-121.692024	Sacramento River	Western Delta Tidal Zone	09-14-2015	25.82652	22.04008	2858.47	7.733695	8.083163	2.747478	19.43209	6.229679	18.02311	21.98155	2733.591	1.518545	15.69174	54.41668	2.315626
A3344	38.132306	-121.570574	Mokelumne River	Mokelumne Tidal Transition Zone	09-14-2015	22.67131	22.95156	184.7057	7.336825	7.274366	4.161891	12.65992	4.826751	28.30434	22.9658	177.9128	0.090432	3.831734	8.127894	1.880666
