"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2021, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at eleven large river sites throughout the United States, June through October 2018: U.S. Geological Survey data release, https://doi.org/10.5066/P98RPC1E.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Sample Type,Data qualifiers for Total microcystins plus nodularins,Total microcystins plus nodularins (ug/L),Data qualifiers for Total cylindrospermopsins,Total cylindrospermopsins (ug/L),Data qualifiers for Total saxitoxins,Total saxitoxins (ug/L),Data qualifiers for Anatoxin-a (method IMM24),Anatoxin-a (method IMM24) (ug/L),Data qualifiers for Chlorophyll-a,Chlorophyll-a (ug/L),Data qualifiers for Pheophytin-a,Pheophytin-a (ug/L),Data qualifiers for Anatoxin-a gene anaC,Anatoxin-a gene anaC (cp/100 mL),Data qualifiers for Saxitoxin gene sxtA,Saxitoxin gene sxtA (cp/100 mL),Data qualifiers for Cylindrospermopsin gene cyrA,Cylindrospermopsin gene cyrA (cp/100 mL),Data qualifiers for Microcystis mcyE toxin gene,Microcystis mcyE toxin gene (cp/100 mL),Data qualifiers for  Dolichospermum mcyE toxin gene, Dolichospermum mcyE toxin gene (cp/100 mL) ,Data qualifiers for Planktothrix mcyE toxin gene,Planktothrix mcyE toxin gene (cp/100 mL)
01578310,"Susquehanna River at Conowingo, MD",10/10/2018,920,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
02338000,"Chattahoochee River near Whitesburg, GA",6/18/2018,930,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,1.0,,3.2,<,"1,600",E,820,<,"1,600",,"7,100",<,"2,300",<,"2,600"
02338000,"Chattahoochee River near Whitesburg, GA",7/5/2018,900,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,NM,,NM,<,960,E,"2,800",<,"1,100",E,"1,600",<,"1,400",<,"1,500"
02338000,"Chattahoochee River near Whitesburg, GA",7/23/2018,1200,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,15.3,,11.8,<,"3,800",,"33,000",<,"4,200",E,"4,800",<,"5,500",<,"6,100"
02338000,"Chattahoochee River near Whitesburg, GA",8/15/2018,1100,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,0.9,,2.9,<,"1,900",E,"5,500",<,"2,100",,"5,900",<,"2,800",<,"3,100"
02338000,"Chattahoochee River near Whitesburg, GA",8/15/2018,1101,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,E,0.7,,1.9,<,"1,900",<,840,<,"1,900",E,"1,900",<,"2,800",<,"3,100"
02338000,"Chattahoochee River near Whitesburg, GA",9/12/2018,1130,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,2,,1.9,<,960,<,420,E,"1,100",<,390,<,"1,400",<,"1,500"
02338000,"Chattahoochee River near Whitesburg, GA",9/12/2018,1130,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
02338000,"Chattahoochee River near Whitesburg, GA",9/25/2018,1000,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,0.9,,1.7,<,"1,300",<,560,<,"1,200",<,520,<,"1,800",<,"2,000"
02338000,"Chattahoochee River near Whitesburg, GA",9/25/2018,1000,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
02338000,"Chattahoochee River near Whitesburg, GA",10/11/2018,1200,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,6.4,,10.8,<,"1,900",,"35,000",E,"3,300",,"6,300",<,"2,800",<,"3,100"
02338000,"Chattahoochee River near Whitesburg, GA",10/11/2018,1200,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",6/12/2018,830,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,4.4,,2.9,<,960,,"12,000",E,"1,100",<,390,<,"1,400",,"7,600"
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",8/7/2018,840,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,6.3,,2.9,<,"1,600",,"110,000",E,"2,200",,"89,000",<,"2,300",<,"2,600"
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",10/25/2018,1000,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,1.7,,0.7,<,"1,100",<,490,<,"1,100",,"6,900",<,"1,600",,"87,000"
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",10/25/2018,1000,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",10/25/2018,1001,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,E,2.2,,0.8,<,"1,300",<,560,<,"1,200",,"8,700",<,"1,800",,"200,000"
03303280,"Ohio River at Cannelton Dam at Cannelton, OH",10/25/2018,1001,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
05331580,"Mississippi River at Hastings, MN",6/5/2018,1020,Regular,<,0.10,<,0.05,<,0.02,<,0.15,E,18,E,8.8,<,"1,200",<,530,E,"3,000",,"150,000",<,"1,700",,"32,000"
05331580,"Mississippi River at Hastings, MN",6/19/2018,1040,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,10.9,,8.6,<,"1,900",,"11,000",<,"1,900",,"140,000",<,"2,800",,"230,000"
05331580,"Mississippi River at Hastings, MN",7/23/2018,1230,Regular,,0.19,<,0.05,<,0.02,<,0.15,,15,,5.7,E,"2,200",,"100,000",E,"1,800",,"1,400,000",<,"2,300",,"170,000"
05331580,"Mississippi River at Hastings, MN",7/30/2018,1100,Regular,,0.25,<,0.05,<,0.02,<,0.15,,19.3,,8.5,E,"2,000",,"210,000",<,"2,100",,"1,800,000",<,"2,800",,"140,000"
05331580,"Mississippi River at Hastings, MN",8/29/2018,1030,Regular,,0.54,<,0.05,<,0.02,<,0.15,,33,,20.3,,"8,800",,"240,000",<,"2,100",,"10,000,000",<,"2,800",,"370,000"
05331580,"Mississippi River at Hastings, MN",8/29/2018,1030,Laboratory Replicate,,0.55,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
05331580,"Mississippi River at Hastings, MN",10/31/2018,1030,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,18.5,,5.6,<,960,<,420,E,"1,700",,"110,000",<,"1,400",,"480,000"
05331580,"Mississippi River at Hastings, MN",10/31/2018,1030,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06892350,"Kansas River at De Soto, KS",6/11/2018,1000,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,55,,12.9,<,"2,700",E,"1,500",<,"2,700",,"32,000",<,"3,900",,"380,000"
06892350,"Kansas River at De Soto, KS",6/25/2018,720,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,53.5,,20.3,<,"1,900",E,"3,400",E,"2,800",,"7,300",<,"2,800",<,"3,100"
06892350,"Kansas River at De Soto, KS",6/25/2018,721,Field Replicate,<,0.10,<,0.05,<,0.02,<,0.15,,54.5,,20.8,<,"1,900",E,"1,400",<,"1,900",,"3,800",<,"2,800",<,"3,100"
06892350,"Kansas River at De Soto, KS",7/16/2018,1100,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,84.8,,26.3,,"11,000",,"3,700",<,"2,100",,"34,000",<,"2,800",<,"6,100"
06892350,"Kansas River at De Soto, KS",8/21/2018,1040,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,49.5,,21.7,<,"1,900",E,"3,600",<,"2,100",,"59,000",<,"2,800",<,"3,100"
06892350,"Kansas River at De Soto, KS",8/21/2018,1040,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06892350,"Kansas River at De Soto, KS",10/11/2018,1350,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,11,,20,<,"3,800",,"230,000",<,"4,200",,"340,000",<,"5,500",<,"6,100"
06892350,"Kansas River at De Soto, KS",10/11/2018,1350,Laboratory Replicate,<,0.10,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM
06934500,"Missouri River at Hermann, MO",6/5/2018,1140,Regular,<,0.10,<,0.05,<,0.02,<,0.15,,14.7,,12.5,<,"1,500",<,650,E,"2,100",,"250,000",<,"2,100",,"61,000"
