"chemical_name"
"fenthion"
"merphos"
"disulfoton"
"neburon"
"ethion"
"ethoprop"
"fensulfothion"
"methyl trithion"
"mevinphos"
"naled"
"demeton"
"ddvp"
"dimethoate"
"diphenamid"
"carbofuran"
"oxamyl"
"methidathion"
"ethyl parathion"
"chlorpropham"
"chloroxuron"
"fenuron"
"propachlor"
"s,s,s-tributyl phosphorotrithioate"
"diazinon"
"diazoxon"
"malathion"
"methyl parathion"
"phorate"
"trifluralin"
"aldicarb"
"aminocarb"
"barban"
"methomyl"
"mexacarbate"
"monuron"
"sulprofos"
"coumaphos"
"linuron"
"molinate"
"pendimethalin"
"ronnel"
"simazine"
"phosalone"
"phosmet"
"trichloronate"
"diuron"
"benomyl"
"carbaryl"
"methiocarb"
"propoxur"
"siduron"
"tebuthiuron"
"chlorpyrifos"
"azinphos-methyl"
"fluometuron"
"propham"
"ddt"
"dinoseb"
"dde"
"dicamba"
"lindane (gamma-bhc)"
"heptachlor epoxide"
"bromacil"
"dichlorprop"
"oxydemeton-methyl"
"endosulfan ii"
"endosulfan"
"demeton-s-methyl"
"dieldrin"
"endrin aldehyde"
"endrin"
"heptachlor"
"aldrin"
"ddd"
"bifenthrin"
"chlorantraniliprole"
"cyprodinil"
"atrazine"
"diflubenzuron"
"propiconazole"
"propanil"
"oryzalin"
"hexazinone"
"s-metolachlor"
"azoxystrobin"
"trifloxystrobin"
"thiobencarb"
"abamectin"
"imidacloprid"
"cyfluthrin"
"esfenvalerate"
"cypermethrin"
"pyraclostrobin"
"propargite"
"desulfinyl fipronil amide"
"pyriproxyfen"
"fipronil"
"fipronil sulfide"
"desulfinyl fipronil"
"fipronil sulfone"
"fipronil amide"
"benefin"
"prodiamine"
"oxyfluorfen"
"ethalfluralin"
"methoxyfenozide"
"endosulfan sulfate"
"isoxaben"
"kresoxim-methyl"
"bensulide"
"quinoxyfen"
"metribuzin"
"permethrin"
"etofenprox"
"tebufenozide"
"indoxacarb"
"lambda cyhalothrin"
"acetamiprid"
"oxadiazon"
"norflurazon"
"thiamethoxam"
"prometon"
"prometryn"
"4(2,4-db), dimethylamine salt"
"dalapon"
"mefenoxam"
"tebuconazole"
"thiabendazole"
"thiacloprid"
"boscalid"
"fenhexamid"
"fludioxonil"
"toxaphene"
"2,4-d"
"2,4,5-t"
"fenamidone"
"aroclor"
"chlordane"
"silvex"
"fenpropathrin"
"clothianidin"
"dinotefuran"
"sulfoxaflor"
"mcpa, dimethylamine salt"
"mcpp"
"methoxychlor"
"mirex"
"chlorthal-dimethyl"
"nonachlor"
"chlordane, other"
"chlorothalonil"
"simetryn"
"ametryne"
"epn"
"eptc"
"tetrachlorvinphos"
"propazine"
"cyanazine"
"terbuthylazine"
"atraton"
"prothiofos"
"terbutryn"
"glyphosate"
"aminomethylphosphonic acid"
"deltamethrin"
"glufosinate"
"fonofos"
"profenofos"
"fenamiphos"
"sulfotep"
"triclopyr"
"naphthalene"
"biphenyl"
"diquat dibromide"
"methamidophos"
"captan"
"piperonyl butoxide"
"paraquat dichloride"
"dicofol"
"fluopyram"
"imidacloprid desnitro"
"fluindapyr"
"1-(3,4-dichlorophenyl)-3-methyl urea"
"allethrin"
"cycloate"
"phenothrin"
"ipconazole"
"tolfenpyrad"
"sedaxane"
"cymoxanil"
