Timestamp (PST),Field ID,"Latitude (Decimal Degrees, NAD83)","Longitude (Decimal Degrees, NAD83)",Total Chla (µg/L) DS,Chla >5.0 micron (µg/L) DS,% Chla> 5.0 micron,Pheophytin (ug/L) DS,Pheophytin >5.0 microns (µg/L ) DS,HPLC Chla (µg/L) DS,HPLC Chlb (µg/L) DS,HPLC Fucoxanthin (µg/L) DS,HPLC Alloxanthin (µg/L) DS,HPLC Zeaxanthin (µg/L) DS,DOC (mg/L) DS,Phycocyanin (µg/L) DS,Allophycocyanin (µg/L) DS,Phycoerythrin (µg/L) DS,NH4 (µM) DS,NO2 (µM) DS,NO2 + NO3 (µM) DS,PO4 (µM) DS,TDN (µM) DS,DON Calc (µM) DS,DIN Calc (µM) DS,H2O Delta 18O (‰) DS,H2O Delta 2H (‰) DS,NO3 Delta 15N (‰) DS,NO3 Delta 18O (‰) DS,NH4 Delta 15N (‰) DS,DOM Delta 13C (‰) DS,DOM Delta 15N (‰) DS,DOM Delta 34S (‰) DS,DOM C:N Ratio (AT),DOM C:S Ratio (AT),POM Delta 13C (‰) DS,POM Delta 15N (‰) DS,POM C:N Ratio (AT),POM %C (Wt.),POM %N (Wt.),DOM %C (Wt.),DOM %N (Wt.),DOM %S (Wt.),DOM N:S Ratio (AT),UV Slope Ratio,A254 (AU/cm) DS,A280 (AU/cm) DS,A350 (AU/cm) DS,A370 (AU/cm) DS,A412 (AU/cm) DS,A440 (AU/cm) DS,A488 (AU/cm) DS,A510 (AU/cm) DS,A532 (AU/cm) DS,A555 (AU/cm) DS,Sag 275-295 nm DS,Sag 290-350 nm DS,Sag 350-400 nm DS,Sag 412-600 nm DS,Peak A (RU) DS,Peak B (RU) DS,Peak T (RU) DS,Peak N (RU) DS,Peak M (RU) DS,Peak C (RU) DS,Peak D (RU) DS,Peak fDOM (RU) DS,FI DS,HIX DS,OMRL HI Ohno 2008,Picocyanobacteria aliquot (mL) DS,Picocyanobacteria PC-Rich Tally DS,Picocyanobacteria PC-Rich Density (cells/L) DS,Picocyanobacteria PE-Rich Tally DS,Picocyanobacteria PE-Rich Density (cells/L) DS,Picocyanobacteria Total Tally DS,Picocyanobacteria Total Density (cells/L)  DS,doi
10/11/2017 17:45,CCH,38.21338,-121.66862,1.0786,0.8108,0.7517,0.6522,1.057,1.38,0.168,0.204,0.06,0.02,1.6278,1.2484,,1.7903,15.0633,1.078,11.9935,1.7466,32.6966,5.6398,27.0568,-10.99,-77.26,4.5973,-4.7108,10.0482,-27.9766,7.2329,2.8092,23.8147,162.1724,-26.5176,3.422,9.1232,0.5484,0.0701,37.2188,1.8233,0.6139,6.8097,1.0291,0.0451,0.033,0.01,0.007,0.0035,0.0024,0.0014,0.0012,0.0011,0.001,0.0189,0.0166,0.0183,0.0089,0.2978,0.4322,0.1275,0.1201,0.1694,0.1697,0.0633,0.1215,1.6177,0.0289,0.698,,,,,,,,
5/30/2018 8:25,CCH,38.2123,-121.66624,1.7726,0.4107,0.2317,0.0942,0.4195,0.89,0.095,0.128,0.066,0.052,1.929,,,5.1975,16.3483,2.2345,17.2764,2.3342,41.6918,8.0671,33.6247,-10.63,-76.32,4.7605,-5.5426,12.1799,-28.2779,2.2263,1.9291,19.0582,153.5231,-26.8795,2.9778,9.982,0.8005,0.0936,35.9853,2.2029,0.627,8.0555,0.9904,0.0505,0.0362,0.0106,0.0074,0.0035,0.0022,0.0011,0.0008,0.0006,0.0005,0.0187,0.0173,0.0189,0.0143,0.4286,0.1965,0.1327,0.1636,0.2173,0.2093,0.0761,0.1394,1.542,0.0318,0.784,6,277,28128370.71,35,3554126.263,312,31682496.97,
5/30/2018 9:00,MIN,38.25469,-121.65537,1.2982,0.8886,0.6845,1.2508,0.8964,1.462,0.098,0.337,0.06,0.042,1.7127,,,,32.9108,0.8638,9.6377,2.3503,51.9005,9.3521,42.5484,-10.92,-78.26,4.3136,-4.1024,8.7181,-27.8828,8.7615,1.9415,24.0505,167.1819,-27.1374,2.1752,10.9429,0.8922,0.0951,41.3068,2.0038,0.6609,6.9513,1.6364,0.0709,0.056,0.0273,0.0233,0.0182,0.0158,0.0134,0.0117,0.0119,0.0111,0.0116,0.0099,0.0071,0.0028,0.3759,0.1925,0.1651,0.1575,0.1957,0.2318,0.0724,0.152,1.6865,0.0425,0.7655,5.1,215,21190357.84,132,13009894.12,347,34200251.96,
5/30/2018 9:50,LIB,38.24308,-121.68375,1.4492,0.3682,0.2541,0.7744,0.3067,1.184,0.068,0.162,0.059,0.081,1.9142,,,,15.7058,2.1131,16.4911,2.36,41.8345,7.5245,32.1969,-10.49,-75.33,4.2839,-5.7964,12.878,-27.9097,5.5163,1.4785,18.9106,180.1135,-26.994,2.291,8.5202,0.9874,0.1352,39.9186,2.4627,0.5929,9.5245,0.9959,0.0522,0.0375,0.0111,0.0078,0.0038,0.0024,0.0012,0.001,0.0008,0.0006,0.0186,0.0171,0.0187,0.0132,0.4271,0.1449,0.1285,0.1582,0.2162,0.2162,0.0776,0.1444,1.5575,0.0348,0.8186,5,259,23670480.91,62,5666292.727,321,29336773.64,
5/30/2018 10:10,FRI,38.27001,-121.69325,2.077,0.3163,0.1523,0.8846,0.31,1.645,0.166,0.116,0.154,0.204,2.652,,,,2.57,1.6063,10.9941,3.0897,29.4127,14.2423,13.5641,-9.67,-70.68,5.3488,-4.7217,6.21,-28.15,0.15,-1.0526,19.4363,166.7421,-26.6351,5.3317,7.9916,1.021,0.149,31.82,1.91,0.5105,8.5789,1.0262,0.072,0.052,0.0154,0.0108,0.0053,0.0034,0.0018,0.0014,0.0011,0.0009,0.0187,0.0171,0.0183,0.0128,0.5924,0.3331,0.1909,0.2298,0.301,0.2879,0.1038,0.1965,1.5394,0.0442,0.7896,5,467,187791908,2,804248,469,188596156,
5/30/2018 10:30,SSB,38.303075,-121.69281,4.1305,0.4012,0.0971,,0.3173,2.618,0.136,0.07,0.359,0.293,4.5987,16.0924,2.1297,,0.357,0.1421,1.4278,6.5861,25.4862,23.5594,1.7848,-7.69,-58.77,,,,-29.02,7.09,-3.6427,18.7514,144.6035,-31.033,5.321,7.6923,0.8456,0.1282,28.77,1.79,0.5322,7.7116,1.0163,0.13,0.0945,0.0285,0.0202,0.0098,0.0063,0.0032,0.0024,0.0019,0.0015,0.0182,0.0168,0.0179,0.0135,1.0393,0.1737,0.2415,0.3616,0.5085,0.533,0.1975,0.3599,1.5704,0.0869,0.8519,5,367,147579508,10,4021240,377,151600748,
5/30/2018 11:00,LCT,38.33035,-121.66728,2.2753,0.354,0.1556,0.9679,0.9447,1.324,0.124,0.147,0.116,0.145,4.028,18.7266,,,0.9352,0.1342,1.4278,6.2633,23.059,20.5617,2.363,-8.15,-62.96,,,,-28.45,7.38,-1.7808,19.382,153.926,-25.9769,5.1943,8.5232,0.8377,0.1147,40.37,2.43,0.7016,7.9417,1.0277,0.1117,0.0812,0.0242,0.0171,0.0084,0.0054,0.0028,0.0022,0.0017,0.0014,0.0184,0.017,0.0179,0.013,0.9277,0.1473,0.2394,0.3309,0.4479,0.4581,0.1713,0.3133,1.5532,0.0798,0.8515,5.3,284,97944439.11,34,11725742.71,318,109670181.8,
5/30/2018 11:45,TOE,38.34384,-121.64726,0.6892,0.1209,0.1754,2.3404,0.6832,1.073,0.073,0.116,0.089,0.131,3.5115,,,,1.8704,0.6068,5.2829,4.2616,23.7729,16.6196,7.1533,-8.54,-64.18,6.4712,-4.5028,,-28.45,6.54,-3.2516,19.0386,129.3737,-26.241,5.1166,9.0833,1.5078,0.1937,37.37,2.29,0.7727,6.7953,1.0489,0.0976,0.0708,0.0211,0.0149,0.0074,0.0048,0.0025,0.0019,0.0016,0.0013,0.0186,0.017,0.0178,0.0129,0.7695,0.1777,0.2044,0.2806,0.3899,0.3838,0.1429,0.2621,1.5871,0.0684,0.836,5.1,315,103487794.1,1,328532.6797,316,103816326.8,
5/30/2018 12:15,PCT,38.239695,-121.68237,3.7765,0.5944,0.1574,2.6323,1.3116,6.233,1.176,0.822,0.146,0.464,2.7628,,,,2.5915,0.3355,5.2115,5.4562,26.1287,17.9903,7.8029,-9.52,-70.12,5.9554,-4.6913,9.7,-27.49,9.58,-0.3299,22.8364,135.396,-26.3743,5.876,9.231,1.207,0.1525,42.28,2.16,0.8353,5.929,1.0586,0.0749,0.0542,0.0162,0.0115,0.0057,0.0038,0.002,0.0016,0.0013,0.0011,0.0188,0.0169,0.0178,0.0117,0.6073,0.242,0.1978,0.2424,0.3018,0.2937,0.1131,0.2064,1.6108,0.0495,0.8038,3,354,237253160,25,16755166.67,379,254008326.7,
5/30/2018 13:40,DWSC72,38.47352,-121.58476,7.1281,1.8221,0.2556,,0.6443,4.693,0.636,0.549,0.253,0.131,2.6633,9.8502,1.556,,1.0423,0.1057,5.7112,3.7451,18.9184,12.0592,6.7535,-7.19,-56.88,5.5654,0.2464,,-27.73,11.01,-1.8025,25.178,160.8172,-30.107,5.5885,7.5621,1.2243,0.1889,41.22,1.91,0.6856,6.3872,1.1352,0.0656,0.0454,0.0116,0.0081,0.0039,0.0026,0.0013,0.0011,0.0009,0.0007,0.0214,0.0192,0.0188,0.0125,0.5419,0.044,0.1434,0.2238,0.279,0.2469,0.092,0.1689,1.6014,0.0445,0.8395,5,294,98520380,18,6031860,312,104552240,
5/30/2018 13:45,DWSC72 REP,38.47336,-121.58488,7.213,2.6356,0.3654,0.1667,0.8708,4.421,0.599,0.531,0.213,0.13,2.6421,,,,0.9995,0.0935,5.854,3.6159,20.132,13.185,6.8534,-7.23,-57.02,5.6144,0.1592,,-28.31,2.11,-1.9333,21.6053,136.0121,-30.7963,5.974,7.387,1.3254,0.2093,39.26,2.12,0.7721,6.2953,1.1271,0.0653,0.0452,0.0115,0.008,0.0041,0.0026,0.0014,0.0011,0.0009,0.0008,0.0215,0.0192,0.0191,0.0122,0.5515,0.1219,0.1498,0.2086,0.2812,0.2508,0.0964,0.1691,1.5389,0.0427,0.83,5,300,80424800,14,3753157.333,314,84177957.33,
5/30/2018 14:40,DWS,38.34252,-121.64474,6.9023,2.4436,0.354,,1.1263,4.941,0.314,0.854,0.262,0.111,2.515,,,5.1975,0.8281,0.1035,6.2109,3.6482,19.5609,12.4183,7.0391,-8.43,-64.27,4.9112,-3.5571,,-28.14,9.53,-0.8946,23.7381,158.8603,-28.7272,6.1304,9.0904,1.4019,0.1799,39.88,1.96,0.6715,6.6922,1.0842,0.0666,0.0473,0.0128,0.009,0.0044,0.0029,0.0016,0.0012,0.001,0.0008,0.0202,0.0184,0.0186,0.0118,0.5548,0.1115,0.1506,0.2113,0.2724,0.2569,0.0996,0.1769,1.5695,0.0448,0.8405,5,306,68361080,7,1563815.556,313,69924895.56,
5/30/2018 15:15,DWS1,38.258225,-121.66637,1.7466,0.6703,0.3838,1.7005,0.5435,1.496,0.092,0.176,0.091,0.091,2.0163,15.3708,2.7033,,16.0628,1.7562,15.563,2.4246,41.0493,7.6673,31.6258,-10.24,-74.05,4.0337,-6.2313,11.5722,-28.1908,9.3478,0.8121,22.7861,172.4149,-28.2331,2.3769,9.6728,1.4365,0.1733,40.724,2.0851,0.6318,7.5667,1.014,0.0535,0.0384,0.0113,0.008,0.004,0.0026,0.0014,0.0011,0.0009,0.0008,0.0188,0.0172,0.0185,0.012,0.4235,0.0837,0.1182,0.1662,0.2178,0.2189,0.0812,0.1484,1.6312,0.0329,0.8393,4,254,53197654.17,65,13613572.92,319,66811227.08,
5/30/2018 15:50,CHS,38.292375,-121.724755,1.6758,0.3833,0.2287,1.4072,0.4654,1.398,0.109,0.159,0.089,0.284,2.843,11.8258,0.3694,,1.8419,1.2279,10.4229,5.0365,25.4862,11.9935,12.2648,-9.45,-69.58,6.0833,-4.3311,,-27.54,5.35,-0.6582,17.1029,151.9931,-28.0884,5.2897,8.8625,1.1458,0.1508,48.67,3.32,0.8566,8.887,1.0307,0.0759,0.0547,0.0163,0.0115,0.0057,0.0038,0.002,0.0016,0.0013,0.0011,0.0187,0.017,0.0182,0.0119,0.5981,0.1569,0.1724,0.2349,0.3046,0.2933,0.1097,0.197,1.5947,0.0444,0.8277,5,576,231623424,9,3619116,585,235242540,
5/30/2018 16:20,CCH,38.214065,-121.66847,1.1329,0.5759,0.5083,1.3917,0.5019,1.132,0.106,0.196,0.071,0.074,1.9832,,,5.1975,1.6134,1.3064,10.066,4.8105,25.1293,12.1434,11.6794,-10.54,-75.83,4.139,-5.9491,,-28.1646,11.4547,1.246,24.3536,176.2756,-27.7219,1.9045,10.6824,0.9945,0.1086,40.9723,1.9628,0.6218,7.2382,0.9978,0.0515,0.0372,0.0111,0.0078,0.0039,0.0027,0.0013,0.0011,0.001,0.0008,0.0186,0.0169,0.0186,0.0115,0.4152,0.0948,0.1266,0.1598,0.2072,0.2101,0.0769,0.1437,1.5671,0.0316,0.8234,5,280,31276311.11,65,7260572.222,345,38536883.33,
5/30/2018 16:50,RIOV,38.15887,-121.68533,2.0062,0.7775,0.3875,0.4456,0.5434,1.32,0.082,0.266,0.081,0.061,2.1549,,,5.1975,17.5619,2.2416,19.0611,2.2277,45.404,6.5393,36.6231,-10.68,-76.26,4.9168,-5.4494,12.572,-28.1781,13.0043,1.6763,21.9298,158.6536,-28.144,2.1886,9.8791,1.1363,0.1342,35.542,1.8908,0.5993,7.2346,0.9979,0.0481,0.0347,0.0103,0.0072,0.0036,0.0025,0.0014,0.0011,0.0009,0.0008,0.0188,0.0172,0.0188,0.0106,0.391,0.1126,0.1168,0.1465,0.1972,0.1976,0.0682,0.1336,1.519,0.0302,0.8164,5,328,23552977.14,60,4308471.429,388,27861448.57,
10/16/2018 9:40,MIN,38.25487,-121.65487,1.3375,0.4749,0.3551,0.1255,0.3476,0.62,0.039,0.101,0.037,0.006,1.7128,,,,38.7648,1.542,18.2045,3.2608,65.536,7.0248,56.9692,-11.01,-80.1,4.6989,-4.9982,9.42,,,,,,-27.7269,0.9032,9.7566,1.2595,0.1506,,,,,1.1513,0.0379,0.0269,0.0074,0.0052,0.0024,0.0016,0.0008,0.0007,0.0005,0.0004,0.0214,0.0176,0.0186,0.0121,0.289,0.2285,0.1381,0.1249,0.1594,0.1596,0.0587,0.112,1.6513,0.0228,0.7031,5,26,2091044.8,28,2251894.4,54,4342939.2,
10/16/2018 10:15,DWS,38.339765,-121.6452,2.2423,1.3665,0.6094,1.0835,1.7255,1.413,0.098,0.151,0.075,0.055,2.1245,5.3505,,2.5306,,,,,,,,-9.4,-70.44,,,,,,,,,-26.6385,6.0372,8.84,0.9626,0.127,,,,,1.1307,0.0545,0.0383,0.0107,0.0076,0.0037,0.0025,0.0014,0.0011,0.0009,0.0007,0.0202,0.0179,0.0178,0.0112,0.4311,0.0632,0.1286,0.1628,0.2207,0.2142,0.0794,0.1449,1.555,0.0369,0.8201,5,306,64763128.42,3,634932.6316,309,65398061.05,
10/16/2018 10:50,DWS1,38.2574,-121.66678,0.8922,0.337,0.3778,0.8265,0.4815,0.579,0.029,0.053,0.065,0.009,1.9659,,,,1.6919,1.5706,16.7767,2.8701,33.125,14.6564,18.4686,-10.65,-77.01,5.7529,-7.0197,,,,,,,-26.1718,2.8455,9.3379,0.9057,0.1132,,,,,1.0495,0.0481,0.0343,0.0102,0.0072,0.0036,0.0024,0.0014,0.0013,0.0009,0.0007,0.0188,0.0171,0.0179,0.0105,0.3877,0.0619,0.1099,0.1412,0.1971,0.1995,0.0734,0.1364,1.6063,0.0308,0.8222,5,68,54688864,22,17693456,90,72382320,
10/16/2018 11:25,PCT,38.237545,-121.68328,0.9205,0.5004,0.5436,0.9827,1.0144,0.489,0.044,0.061,0.059,0.006,1.7699,,,10.395,15.2061,1.9061,19.7036,3.4222,43.5479,6.7321,34.9097,-10.74,-78.33,6.1148,-6.0152,13.73,,,,,,-26.2512,4.1412,9.7295,1.1019,0.1321,,,,,1.0331,0.0446,0.0319,0.0094,0.0067,0.0035,0.0021,0.0013,0.001,0.0008,0.0007,0.0188,0.0172,0.0182,0.0106,0.3503,0.0516,0.1015,0.1348,0.1834,0.1839,0.067,0.1262,1.6369,0.0262,0.8359,5,12,965097.6,16,1286796.8,28,2251894.4,
10/16/2018 12:10,TOE,38.344065,-121.64715,2.3839,1.0857,0.4554,1.4759,1.167,1.601,0.35,0.063,0.075,0.02,2.6672,,,5.1975,1.3635,0.4076,5.1401,2.9864,17.6333,10.7221,6.5036,-9.9,-73.43,7.186,-3.1866,,,,,,,-22.8999,5.6849,8.5329,1.0249,0.1401,,,,,1.0856,0.0705,0.0517,0.0162,0.0116,0.006,0.004,0.0022,0.0018,0.0015,0.0013,0.0181,0.0161,0.0167,0.0109,0.5135,0.1213,0.1566,0.1952,0.2596,0.2598,0.1013,0.1831,1.5602,0.0428,0.8215,5,92,7399081.6,8,643398.4,100,8042480,
10/16/2018 13:15,LHTSE,38.29013,-121.66217,1.6201,2.9079,,1.1026,-0.6939,0.912,0.04,0.223,0.059,0.012,2.1871,2.1889,0.778,,5.4399,1.5349,15.8486,2.8475,30.4835,7.6601,21.2885,-10.37,-76.76,6.4379,-5.3976,13.31,,,,,,-20.9321,6.7258,10.5934,1.9111,0.2105,,,,,1.0506,0.0551,0.0398,0.012,0.0085,0.0043,0.0029,0.0016,0.0013,0.0011,0.0009,0.0185,0.0168,0.0176,0.0107,0.4315,0.0828,0.1201,0.1461,0.2152,0.2168,0.0823,0.1531,1.5627,0.0355,0.8357,5,48,3860390.4,16,1286796.8,64,5147187.2,
10/16/2018 13:35,LCT,38.32999,-121.66741,1.8174,0.2974,0.1636,0.4693,0.3775,0.708,0.04,0.044,0.088,0.038,2.7507,,0.9823,,7.0391,1.4421,15.2775,2.8895,30.8405,7.0819,22.3165,-9.51,-70.65,,,,,,,,,-28.0275,10.2079,7.6769,0.738,0.1122,,,,,1.0354,0.0781,0.0567,0.0171,0.0121,0.0059,0.0039,0.0021,0.0017,0.0014,0.0011,0.0183,0.0168,0.0177,0.0117,0.6191,0.0577,0.146,0.2118,0.31,0.3221,0.1236,0.2262,1.5888,0.0544,0.8656,5,254,20427899.2,20,1608496,274,22036395.2,
