CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	NH4 (uM) (DS) SA	Orthophosphate (uM) (DS) SA
A2536	38.21571	-121.66975	Western Delta Tidal Transition Zone	Cache Slough	Oct-2022	6.78	19.90	151.96	7.75	9.06	99.49	2.52	0.86	16.86	2.41	17.57	19.91	141.8	0.08	0.72	1.99	1.52	0.00	4.24	17.01	38.88	35.94	0.10	7.81	1.67	8.66	16.48	1.05	1.16
A3166	38.19492	-121.52903	Mokelumne Tidal Transition Zone	North Mokelumne River	Oct-2022	9.99	20.44	134.84	7.76	9.27	102.85	1.39	1.22	12.08	3.43	12.49	20.46	127.4	0.07	2.75	0.75	1.20	1.51	6.19	44.43	12.33	19.31	24.31	11.02	1.38	6.75	17.78	0.94	0.83
A2954	38.19413	-121.62997	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	9.11	19.92	145.34	7.61	8.89	97.70	2.10	0.60	15.12	1.63	15.91	19.93	135.7	0.07	0.30	1.39	0.71	0.44	2.83	10.72	49.32	24.93	15.60	10.14	1.56	7.97	18.12	1.13	1.19
A968	38.04886	-122.10475	Suisun Bay	Suisun Bay	Oct-2022	17.86	18.46	27205.93	7.69	8.96	105.51	9.29	1.65	25.76	4.11	28.89	18.52	24624.1	17.35	3.71	2.43	3.04	0.15	9.35	39.62	26.00	32.54	1.62	21.20	2.21	12.22	33.43	3.18	1.54
A5279	38.00037	-121.40652	San Joaquin Tidal Transition Zone	Fourteenmile Slough	Oct-2022	48.82	21.83	727.78	7.36	6.71	76.64	2.67	1.95	59.79	4.76	64.81	21.82	705.9	0.37	2.76	2.13	0.83	0.86	6.55	42.17	32.44	12.59	13.07	51.75	4.29	25.83	77.33	2.32	7.77
A3768	37.99537	-121.44005	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	33.61	21.26	618.75	7.32	6.81	76.93	3.55	1.85	58.39	4.84	64.70	21.23	594.6	0.31	1.98	2.22	1.74	0.67	6.67	29.63	33.26	26.13	9.95	36.18	4.20	25.28	61.56	2.19	5.23
A3664	38.06649	-121.53657	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	2.53	20.47	507.50	7.81	9.20	102.39	3.80	3.38	26.81	7.70	28.06	20.51	480.6	0.26	1.12	3.41	8.51	0.00	13.22	12.55	33.49	52.88	0.00	3.56	2.28	12.65	16.28	0.86	1.38
A2868	38.29388	-121.58285	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	12.43	20.00	136.95	7.48	8.81	96.97	1.31	0.49	12.70	1.24	13.20	20.01	128.1	0.07	0.61	1.30	0.33	0.29	2.53	24.41	50.77	12.95	11.67	13.98	1.41	7.00	20.97	1.44	0.83
A442	38.34458	-121.55451	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	12.73	19.83	136.98	7.53	8.80	96.49	0.94	0.33	12.29	1.10	12.86	19.86	129.4	0.07	0.67	2.17	0.53	0.14	3.48	19.17	62.47	15.09	4.02	14.79	1.39	6.84	21.63	1.79	1.06
A656	38.17548	-121.66326	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.81	19.82	160.72	7.60	8.85	97.08	2.81	0.63	14.21	1.78	15.27	19.81	148.0	0.08	0.38	1.89	0.94	0.14	3.36	11.18	56.32	27.69	4.34	11.02	1.51	7.60	18.65	1.36	1.09
A2502	38.25628	-121.68943	Cache Slough Complex	Cache Slough	Oct-2022	5.10	19.84	156.80	8.00	9.53	104.55	2.12	0.82	18.25	2.67	19.05	19.86	145.4	0.08	0.97	1.85	1.64	0.25	4.69	20.57	39.70	35.01	5.38	6.50	1.75	9.22	15.65	1.21	1.58
A4115	38.16956	-121.46216	Mokelumne Tidal Transition Zone	Hog Slough	Oct-2022	0.57	21.33	168.06	8.05	9.51	107.45	2.06	2.18	30.19	5.63	32.16	21.31	161.6	0.09	2.83	2.21	2.97	0.56	8.60	33.32	26.02	33.67	6.76	0.93	2.48	14.00	14.90	0.37	1.14
A4933	38.06198	-121.61952	Central Delta Tidal Transition Zone	False River	Oct-2022	2.61	20.43	707.46	7.94	9.16	101.79	1.86	1.42	22.90	3.87	24.03	20.48	652.4	0.35	1.70	3.68	2.88	0.15	8.56	19.86	43.05	33.67	1.74	3.65	2.04	11.08	14.75	0.94	0.89
A5834	37.88372	-121.50146	South Delta Tidal Transition Zone	Victoria Canal	Oct-2022	3.47	21.24	461.80	7.49	8.31	93.83	2.11	2.23	37.95	5.15	39.42	21.33	444.7	0.23	4.58	3.96	2.29	0.03	10.92	41.91	36.26	21.02	0.28	4.43	2.96	17.10	21.52	0.93	1.50
A3827	37.95605	-121.35178	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	57.82	22.20	699.06	7.46	6.60	75.96	3.25	1.53	40.91	4.02	44.48	22.18	681.4	0.35	2.09	2.31	0.92	1.16	6.52	31.89	35.84	14.07	17.71	60.23	3.14	18.29	78.09	4.64	10.32
A3595	38.01830	-121.78887	Western Delta Tidal Transition Zone	San Joaquin River	Oct-2022	11.53	19.36	6263.68	7.77	9.03	100.09	8.53	1.05	22.85	2.87	25.17	19.46	5665.7	3.47	3.24	3.47	1.76	0.00	8.53	38.09	40.97	20.49	0.04	13.04	2.03	11.06	24.11	1.50	0.42
A3868	37.93486	-121.32978	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	33.15	21.31	442.94	7.76	8.36	94.46	2.16	1.24	29.92	3.17	32.13	21.29	424.6	0.22	2.29	1.84	0.61	0.78	5.54	41.40	33.17	11.00	14.14	36.46	2.46	13.89	50.30	3.56	6.98
A3223	38.13648	-121.56007	Mokelumne Tidal Transition Zone	North Mokelumne River	Oct-2022	10.36	20.67	137.44	7.70	9.02	100.58	1.08	0.91	13.75	2.84	14.23	20.67	130.5	0.07	2.18	0.99	0.70	0.95	4.80	45.31	20.17	15.02	19.75	11.46	1.48	7.42	18.93	1.16	0.91
A4966	38.04334	-121.52723	Central Delta Tidal Transition Zone	Three River Reach	Oct-2022	2.64	20.51	502.12	7.70	9.02	100.32	3.41	2.96	29.80	6.98	31.26	20.56	474.2	0.25	1.16	3.39	5.20	0.00	9.75	11.82	34.82	53.33	0.03	4.02	2.46	13.84	17.84	1.29	1.14
A402	38.38441	-121.51748	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	7.44	19.93	129.90	7.59	8.97	98.52	1.00	0.35	11.54	0.94	12.00	19.95	120.0	0.07	0.58	2.36	0.42	0.00	3.36	17.17	58.50	12.40	0.02	9.27	1.34	6.54	15.83	1.43	1.02
A3831	37.95393	-121.34506	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	52.08	22.03	619.54	7.53	7.05	80.81	3.00	1.30	37.96	3.52	41.24	22.01	602.1	0.31	1.77	2.26	0.80	1.03	5.88	29.99	38.51	13.62	17.44	54.57	2.96	17.10	71.37	4.43	9.62
A744	38.08090	-121.75382	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.98	19.69	988.73	7.61	9.00	98.71	6.03	1.00	17.72	2.94	19.36	19.73	954.6	0.53	0.97	2.48	2.50	0.11	6.12	15.88	40.64	40.81	1.71	10.98	1.72	9.01	20.00	0.99	1.31
A3566	38.02998	-121.77049	Western Delta Tidal Transition Zone	San Joaquin River	Oct-2022	11.47	19.38	5338.36	7.77	8.87	97.98	11.00	1.18	21.97	3.14	24.53	19.46	4800.4	2.91	3.14	3.43	1.75	0.00	8.35	37.59	41.22	20.88	0.00	12.94	1.98	10.71	23.67	1.65	0.53
A3039	38.18064	-121.57814	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	12.56	19.85	138.69	7.46	8.50	93.09	1.18	0.63	12.74	1.60	13.37	19.84	129.6	0.07	0.01	1.35	0.49	0.43	2.30	0.14	59.03	21.21	18.86	13.66	1.42	7.02	20.68	1.21	0.83
A4504	37.98016	-121.58122	South Delta Tidal Transition Zone	Old River	Oct-2022	3.17	20.33	626.57	7.56	8.27	91.74	2.53	1.60	27.78	3.91	29.06	20.41	588.6	0.32	2.50	3.74	2.48	0.00	8.76	28.47	42.68	28.27	0.00	4.43	2.33	13.03	17.53	1.21	0.95
A3409	38.10641	-121.56936	Mokelumne Tidal Transition Zone	Mokelumne River	Oct-2022	9.12	20.17	200.50	7.62	8.70	96.05	2.53	1.76	15.69	4.56	16.66	20.15	190.3	0.10	1.02	1.82	2.72	0.40	6.02	17.40	30.67	43.94	7.05	9.70	1.60	8.20	18.05	0.99	0.96
A3767	37.99617	-121.44158	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	32.97	21.23	613.96	7.31	6.83	77.08	3.67	1.90	58.01	4.93	64.33	21.20	589.3	0.31	1.97	2.21	1.74	0.62	6.61	29.80	33.51	26.31	9.42	35.32	4.18	25.12	60.49	2.18	5.05
A2517	38.23906	-121.68464	Cache Slough Complex	Cache Slough	Oct-2022	6.48	19.89	152.70	7.82	9.16	100.65	2.45	0.77	17.14	2.18	17.91	19.90	142.3	0.08	0.65	1.61	1.17	0.42	3.85	16.86	41.73	29.74	11.78	7.75	1.69	8.78	16.52	1.25	1.26
A4383	38.07275	-121.57151	Central Delta Tidal Transition Zone	Old River	Oct-2022	4.63	20.14	565.33	7.92	9.06	100.11	6.07	3.21	22.60	7.15	24.42	20.18	528.3	0.28	1.08	3.40	6.50	0.00	10.95	9.53	30.83	59.78	0.00	5.42	2.02	10.96	16.48	0.78	0.82
A1171	38.07176	-121.98587	Suisun Bay	Suisun Bay	Oct-2022	16.91	18.52	16278.04	7.76	9.02	101.93	9.42	3.37	26.61	6.93	29.83	18.55	14923.7	10.05	5.49	2.63	4.23	0.60	13.00	40.72	25.13	30.56	3.21	18.62	2.26	12.57	31.17	1.83	0.97
A2979	38.23215	-121.52129	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	11.19	19.97	135.27	7.49	8.73	95.94	1.41	0.47	12.58	1.55	13.18	19.96	126.5	0.07	0.15	1.29	0.68	0.32	2.44	6.10	52.72	27.67	12.95	12.74	1.41	6.95	19.69	1.49	0.84
A4106	38.16634	-121.47695	Mokelumne Tidal Transition Zone	Hog Slough	Oct-2022	1.35	21.07	149.32	7.82	9.50	106.71	2.23	1.89	27.56	4.87	29.65	21.10	145.3	0.08	3.16	1.92	2.39	0.55	8.10	38.93	23.94	29.33	6.79	1.74	2.32	12.94	14.77	0.51	1.02
A3947	38.11362	-121.68297	Western Delta Tidal Transition Zone	Threemile Slough	Oct-2022	9.48	19.47	1129.36	7.67	8.63	94.27	6.62	1.14	19.49	3.23	21.76	19.48	1046.3	0.58	0.34	2.04	2.02	0.32	4.74	7.22	43.77	41.55	7.19	11.05	1.83	9.72	20.82	1.85	1.29
A1154	38.08474	-121.98960	Suisun Bay	Suisun Bay	Oct-2022	17.29	18.60	16961.94	7.78	9.00	102.16	8.42	3.17	26.79	6.50	29.78	18.65	15226.4	10.25	5.43	2.68	3.85	0.65	12.60	43.14	21.33	30.59	5.13	19.04	2.27	12.64	31.67	1.81	1.05
A2983	38.22790	-121.52621	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	11.25	19.96	135.36	7.49	8.63	94.87	1.53	0.52	12.59	1.53	13.19	19.95	126.5	0.07	0.13	1.30	0.65	0.35	2.43	5.40	53.69	26.63	14.63	12.74	1.41	6.96	19.69	1.50	0.81
A3405	38.10890	-121.57587	Mokelumne Tidal Transition Zone	Mokelumne River	Oct-2022	9.00	20.33	216.22	7.66	8.82	97.67	1.67	1.27	15.68	3.49	16.45	20.33	205.0	0.11	1.33	1.43	1.82	0.63	5.25	25.76	27.46	33.92	12.20	9.75	1.60	8.19	18.07	1.05	0.96
A3959	38.10497	-121.69731	Western Delta Tidal Transition Zone	Threemile Slough	Oct-2022	10.52	19.46	975.69	7.66	8.59	93.72	6.22	1.01	18.50	2.90	20.57	19.47	889.7	0.49	0.33	1.87	1.75	0.41	4.34	7.82	43.37	39.72	9.67	11.57	1.77	9.32	21.01	1.42	1.07
A789	38.06530	-121.82673	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	11.55	19.01	5360.50	7.62	9.11	99.94	7.04	1.45	21.94	3.64	24.13	19.06	5018.3	3.08	2.71	2.34	2.58	0.00	7.66	35.05	30.85	33.70	0.04	13.04	1.98	10.70	23.77	1.39	0.81
A4401	38.05113	-121.58135	Central Delta Tidal Transition Zone	Old River	Oct-2022	4.42	20.36	547.80	7.96	9.28	102.95	6.09	2.46	22.89	5.84	24.45	20.42	514.4	0.27	1.47	3.67	4.86	0.00	10.02	14.57	36.58	48.58	0.00	5.40	2.04	11.08	16.62	1.06	0.77
A5098	37.92048	-121.51921	South Delta Tidal Transition Zone	Middle River	Oct-2022	4.08	20.96	478.88	7.38	7.78	87.38	2.31	1.93	38.55	4.84	40.26	21.04	456.7	0.24	3.82	3.77	1.61	0.00	9.23	41.35	40.89	17.46	0.04	5.28	2.99	17.34	22.61	1.17	1.71
A3955	38.10911	-121.69307	Western Delta Tidal Transition Zone	Threemile Slough	Oct-2022	10.35	19.42	1042.16	7.65	8.66	94.42	6.91	1.07	18.69	2.88	20.90	19.42	965.5	0.54	0.23	1.96	1.70	0.34	4.20	5.35	46.95	40.05	8.15	11.69	1.78	9.40	21.20	1.65	1.14
A3939	38.10228	-121.68563	Western Delta Tidal Transition Zone	Threemile Slough	Oct-2022	8.58	19.53	1177.68	7.68	8.76	95.81	6.91	1.41	20.31	3.86	22.64	19.54	1091.2	0.61	0.25	2.21	2.93	0.24	5.69	4.32	39.20	51.17	4.34	9.64	1.88	10.04	19.73	1.32	1.30
A3547	38.02720	-121.73495	Western Delta Tidal Transition Zone	San Joaquin River	Oct-2022	9.69	19.41	3732.43	7.83	9.00	99.02	9.23	1.03	21.55	2.72	23.85	19.48	3418.5	2.03	2.44	3.67	1.40	0.00	7.54	32.38	49.10	18.53	0.00	11.17	1.95	10.54	21.71	1.48	1.57
A221	38.56594	-121.52115	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	3.13	19.44	115.88	7.59	8.92	97.07	1.67	0.34	11.40	1.11	11.83	19.47	105.1	0.06	0.67	2.85	0.40	0.00	3.92	17.05	72.77	10.21	0.01	4.25	1.34	6.48	10.70	1.18	0.71
A5817	37.87232	-121.52836	South Delta Tidal Transition Zone	Victoria Canal	Oct-2022	3.45	21.32	458.78	7.53	8.44	95.43	2.11	2.38	39.07	5.45	40.65	21.42	441.4	0.23	4.43	3.84	2.66	0.18	11.14	39.80	34.48	23.81	1.64	4.30	3.02	17.55	21.87	0.82	1.64
A3620	38.02748	-121.83135	Western Delta Tidal Transition Zone	San Joaquin River	Oct-2022	13.43	19.08	8572.19	7.77	8.84	98.21	8.85	2.04	23.53	4.96	26.03	19.17	7572.6	4.77	4.44	2.78	3.00	0.22	10.47	41.88	27.99	27.99	1.89	14.58	2.08	11.33	25.87	1.42	0.73
A3125	38.23406	-121.49626	Mokelumne Tidal Transition Zone	Dead Horse Cut	Oct-2022	8.20	20.44	129.25	7.86	9.84	109.21	2.12	1.20	14.98	3.16	15.71	20.45	123.4	0.07	2.16	1.71	1.45	0.88	6.27	34.69	27.45	22.89	13.98	8.05	1.55	7.91	15.92	0.86	0.67
A4878	38.07983	-121.64777	Central Delta Tidal Transition Zone	Fishermans Cut	Oct-2022	5.85	20.03	1046.23	7.96	9.06	99.96	7.41	2.12	20.70	5.47	22.50	20.09	976.8	0.54	1.39	3.59	4.40	0.00	9.35	14.84	38.52	47.02	0.00	6.63	1.90	10.20	16.83	0.80	1.20
A3667	38.06167	-121.53220	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	3.30	20.12	509.39	7.73	8.89	98.12	3.81	4.90	28.52	10.27	31.42	20.15	470.9	0.25	0.51	2.54	7.84	0.02	11.05	4.99	23.56	70.07	0.17	4.58	2.38	13.33	18.15	1.05	1.35
A2768	38.27664	-121.60128	North Delta Tidal Transition Zone	Sutter Slough	Oct-2022	10.35	20.16	135.26	7.53	8.90	98.28	0.85	0.50	12.39	1.20	12.83	20.18	127.0	0.07	0.63	1.08	0.18	0.62	2.51	25.05	43.15	7.07	24.58	11.70	1.40	6.88	18.57	1.27	0.81
A4195	38.09671	-121.49572	Mokelumne Tidal Transition Zone	Little Potato Slough	Oct-2022	1.68	20.41	197.74	7.89	9.41	104.39	3.08	7.42	30.47	15.91	32.72	20.41	186.3	0.10	1.54	2.20	17.68	0.00	21.55	8.89	11.94	78.44	0.03	1.95	2.50	14.11	16.13	0.33	0.79
A3055	38.15876	-121.58617	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	11.35	19.80	136.30	7.49	8.50	93.12	1.28	0.54	12.54	1.49	13.12	19.78	126.9	0.07	0.05	1.40	0.41	0.41	2.29	0.97	62.54	17.96	18.00	12.67	1.41	6.94	19.62	1.22	0.87
A2860	38.30387	-121.57664	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	11.58	19.89	134.35	7.49	8.77	96.31	1.70	0.51	12.42	1.25	12.96	19.90	125.3	0.07	0.64	1.53	0.44	0.25	2.86	22.55	46.08	15.47	9.18	13.33	1.40	6.89	20.21	1.39	1.00
A1075	38.13531	-122.01221	Suisun Bay	Grizzly Bay	Oct-2022	16.87	19.08	16433.93	7.79	8.99	102.80	5.17	1.55	26.29	3.58	28.68	19.14	14998.1	9.96	3.75	2.78	1.94	0.06	8.52	44.04	32.66	22.74	0.71	18.21	2.24	12.44	30.65	1.31	0.62
A5258	38.01947	-121.38723	San Joaquin Tidal Transition Zone	Fourteenmile Slough	Oct-2022	24.92	20.81	624.68	7.39	7.12	79.65	2.25	3.45	62.60	7.75	68.17	20.77	577.0	0.31	6.71	2.16	1.58	1.29	11.82	56.70	18.60	13.24	10.83	31.33	4.46	26.96	57.97	1.89	6.39
A2281	38.33376	-121.67562	Cache Slough Complex	Stairstep	Oct-2022	2.21	18.90	218.79	7.27	7.34	79.00	3.88	1.81	41.53	4.20	45.29	18.94	200.9	0.11	1.93	1.85	1.73	0.94	6.40	30.59	30.28	26.37	13.46	3.61	3.17	18.53	21.39	1.62	3.34
A1030	38.09445	-122.05839	Suisun Bay	Suisun Bay	Oct-2022	18.83	18.66	23270.95	7.73	9.25	107.73	13.68	2.88	26.94	6.42	30.85	18.74	20835.4	14.38	5.06	2.29	4.47	0.62	12.48	40.53	18.37	35.77	4.97	21.75	2.28	12.69	34.45	2.97	2.79
A2289	38.32871	-121.68453	Cache Slough Complex	Stairstep	Oct-2022	2.71	19.03	226.29	7.22	7.14	77.11	3.35	1.84	45.59	4.20	49.89	19.07	207.9	0.11	1.76	1.98	1.52	0.66	5.90	29.92	33.83	25.69	10.99	4.58	3.42	20.16	24.74	1.90	4.33
A4565	37.90918	-121.56431	South Delta Tidal Transition Zone	Old River	Oct-2022	4.13	21.09	522.83	7.46	7.95	89.46	3.15	2.15	36.16	5.07	38.04	21.16	508.1	0.27	4.64	4.02	1.91	0.00	10.60	43.69	37.94	18.04	0.00	5.37	2.85	16.38	21.75	1.28	1.17
A5065	37.95244	-121.53141	South Delta Tidal Transition Zone	Middle River	Oct-2022	4.54	21.02	467.41	7.54	8.41	94.46	1.43	2.10	38.36	5.25	39.63	21.10	447.4	0.23	3.45	3.88	2.17	0.02	9.56	36.09	40.61	22.76	0.23	5.77	2.98	17.27	23.11	1.10	1.61
A2288	38.32904	-121.68272	Cache Slough Complex	Stairstep	Oct-2022	2.62	19.01	225.29	7.24	7.16	77.27	3.40	1.84	45.02	4.16	49.23	19.06	206.9	0.11	1.80	1.98	1.65	0.71	6.09	29.57	32.55	26.95	11.63	4.48	3.39	19.93	24.34	1.91	4.22
A427	38.35392	-121.53082	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	15.83	20.06	141.78	7.52	8.84	97.33	0.98	0.28	12.38	0.97	12.97	20.06	131.6	0.07	0.67	2.27	0.44	0.00	3.40	19.62	66.81	12.90	0.06	17.60	1.39	6.87	24.48	1.71	1.26
A470	38.31130	-121.57698	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	11.04	19.80	132.96	7.50	8.76	95.99	1.31	0.46	12.30	1.24	12.81	19.81	123.7	0.07	0.71	1.69	0.46	0.29	3.14	22.50	54.09	14.80	9.13	12.70	1.39	6.84	19.54	1.42	1.10
A490	38.28782	-121.55711	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	13.03	19.81	135.46	7.54	8.76	96.04	0.99	0.35	12.21	1.19	12.80	19.83	126.2	0.07	0.75	2.11	0.53	0.23	3.63	20.64	58.08	14.67	6.28	14.46	1.39	6.81	21.26	1.51	1.13
A3189	38.16637	-121.53051	Mokelumne Tidal Transition Zone	North Mokelumne River	Oct-2022	10.33	20.47	137.75	7.67	9.08	100.81	1.61	1.59	14.62	3.93	15.19	20.48	130.3	0.07	2.90	0.83	1.31	1.37	6.43	45.12	13.01	20.41	21.22	11.31	1.53	7.77	18.98	0.92	0.82
A3435	38.10251	-121.59716	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	5.64	19.85	479.98	7.75	8.95	98.27	4.51	2.85	21.57	6.43	23.68	19.82	450.7	0.24	0.01	2.40	5.91	0.00	8.39	0.15	28.68	70.20	0.08	5.99	1.96	10.55	16.72	0.97	0.84
A3717	38.03397	-121.47245	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	8.42	20.59	463.40	7.38	8.01	89.19	3.05	3.97	38.80	8.84	42.47	20.57	437.6	0.23	1.17	2.42	4.62	0.18	8.27	14.87	29.91	54.31	2.40	10.00	3.01	17.44	27.66	1.12	2.52
A4107	38.16689	-121.47539	Mokelumne Tidal Transition Zone	Hog Slough	Oct-2022	0.95	21.14	152.90	7.85	9.47	106.56	2.23	1.71	28.57	4.46	30.75	21.17	149.1	0.08	2.93	1.98	2.39	0.49	7.87	37.40	25.36	30.03	6.30	1.43	2.38	13.35	14.81	0.50	1.03
A5059	37.95960	-121.53136	South Delta Tidal Transition Zone	Middle River	Oct-2022	4.53	21.03	468.93	7.56	8.47	95.18	1.52	2.24	38.63	5.48	39.94	21.10	449.2	0.24	3.30	3.78	2.32	0.05	9.53	34.64	39.69	24.33	0.46	5.71	3.00	17.37	23.19	0.98	1.64
A3271	38.18436	-121.48718	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	4.99	20.13	126.95	7.59	9.21	101.59	1.99	2.87	18.68	6.64	19.43	20.16	117.6	0.06	3.15	1.67	4.52	0.56	9.88	32.15	17.11	45.13	5.84	5.55	1.78	9.39	15.02	0.76	0.80
A879	38.05680	-121.96944	Suisun Bay	Suisun Bay	Oct-2022	15.16	18.43	12688.35	7.69	9.26	103.07	5.68	3.28	25.74	7.20	28.27	18.45	11787.8	7.80	5.71	1.51	4.73	0.79	12.70	44.79	12.47	37.25	5.98	16.36	2.21	12.22	28.55	1.34	0.66
A843	38.04513	-121.90856	Suisun Bay	Suisun Bay	Oct-2022	14.75	18.84	11466.72	7.69	9.10	101.62	6.18	3.37	25.39	7.45	27.92	18.88	10689.2	6.95	6.85	1.96	5.40	0.50	14.80	46.14	13.52	36.45	3.33	15.93	2.19	12.08	27.98	1.26	1.40
A629	38.16387	-121.61746	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.56	19.78	131.37	7.50	8.62	94.47	1.81	0.47	11.85	1.32	12.54	19.78	122.5	0.07	0.20	1.73	0.62	0.18	2.76	7.06	62.59	22.44	6.77	11.25	1.36	6.66	17.92	1.52	0.84
A4485	38.00021	-121.57961	South Delta Tidal Transition Zone	Old River	Oct-2022	2.97	20.30	660.91	7.73	8.52	94.46	2.91	1.36	25.91	3.72	27.09	20.36	619.4	0.33	2.00	3.60	2.62	0.00	8.28	24.15	43.50	31.67	0.00	4.02	2.22	12.29	16.35	1.08	1.09
A5102	37.91669	-121.51365	South Delta Tidal Transition Zone	Middle River	Oct-2022	4.15	20.95	479.91	7.37	7.79	87.42	2.45	2.04	38.28	4.97	40.03	21.02	458.9	0.24	3.85	3.66	1.65	0.00	9.20	41.89	39.79	17.89	0.00	5.24	2.97	17.23	22.49	1.14	1.74
A1128	38.09594	-122.03629	Suisun Bay	Grizzly Bay	Oct-2022	18.87	18.71	21473.80	7.73	8.95	103.57	14.14	2.43	27.34	5.12	31.39	18.80	19146.5	13.09	5.36	3.01	4.71	0.31	13.50	39.73	22.47	34.75	2.16	20.87	2.31	12.85	33.73	2.08	1.45
A3221	38.13792	-121.55740	Mokelumne Tidal Transition Zone	North Mokelumne River	Oct-2022	10.37	20.67	137.30	7.69	9.06	101.07	1.08	0.97	13.69	2.96	14.17	20.69	130.4	0.07	2.30	0.96	0.77	1.01	5.02	45.63	18.80	15.71	20.03	11.44	1.48	7.40	18.88	1.13	0.90
A5074	37.94036	-121.53285	South Delta Tidal Transition Zone	Middle River	Oct-2022	5.14	21.00	466.90	7.47	8.07	90.64	1.80	1.78	39.54	4.72	41.16	21.07	446.3	0.23	3.01	3.66	1.55	0.01	8.27	36.36	44.25	18.80	0.17	6.42	3.05	17.74	24.19	1.35	1.70
A3558	38.02420	-121.75529	Western Delta Tidal Transition Zone	San Joaquin River	Oct-2022	10.03	19.46	4218.03	7.81	9.00	99.28	7.44	1.03	21.87	2.88	23.99	19.52	3841.6	2.29	2.91	3.60	1.68	0.00	8.21	35.43	44.00	20.45	0.00	11.70	1.97	10.67	22.37	1.67	0.90
A2894	38.26224	-121.59187	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	10.44	20.06	135.11	7.47	8.65	95.27	0.90	0.50	12.31	1.16	12.76	20.06	126.6	0.07	0.49	1.22	0.34	0.43	2.48	19.76	48.56	13.81	17.44	11.73	1.39	6.84	18.57	1.26	0.81
A3014	38.20102	-121.54257	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	12.30	19.90	137.24	7.48	8.54	93.75	1.47	0.65	12.83	1.67	13.45	19.89	127.9	0.07	0.01	1.37	0.57	0.40	2.37	0.42	57.72	24.24	16.84	13.68	1.42	7.05	20.74	1.34	0.84
A1087	38.12648	-121.99898	Suisun Bay	Grizzly Bay	Oct-2022	16.64	19.06	16250.99	7.80	9.08	103.73	5.19	1.59	26.30	3.80	28.73	19.11	14942.5	9.93	4.12	2.75	2.18	0.00	9.08	45.39	30.24	24.05	0.00	18.37	2.24	12.44	30.83	1.71	1.73
A2403	38.30563	-121.69281	Cache Slough Complex	Shag Slough	Oct-2022	3.07	19.46	213.81	7.54	8.29	90.21	2.19	3.08	42.41	6.90	45.72	19.48	195.3	0.11	2.44	2.20	3.49	2.18	10.30	23.37	21.88	33.73	20.84	4.11	3.23	18.88	22.22	1.16	3.88
