CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	NH4 (uM) (DS) SA	Orthophosphate (uM) (DS) SA
A1153	38.08398	-121.99117	Suisun Bay	Suisun Bay	Oct-2022	17.35	18.58	17203.02	7.78	9.02	102.43	8.29	3.12	26.87	6.37	29.84	18.64	15486.0	10.44	5.49	2.73	3.87	0.65	12.73	43.12	21.42	30.42	5.11	19.13	2.28	12.67	31.77	1.84	1.07
A3082	38.14147	-121.59841	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	11.72	19.84	136.82	7.49	8.55	93.74	1.49	0.51	12.81	1.46	13.43	19.82	127.9	0.07	0.00	1.38	0.42	0.43	2.22	0.00	62.02	18.99	19.22	12.87	1.42	7.04	19.88	1.25	0.90
A555	38.24160	-121.55322	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	10.64	19.74	136.34	7.45	8.66	94.76	1.55	0.75	15.88	2.03	16.70	19.74	126.8	0.07	0.86	1.75	0.82	0.25	3.72	22.23	47.91	22.11	6.90	12.11	1.61	8.27	19.93	1.45	0.82
A2622	38.24401	-121.69406	Cache Slough Complex	Lindsey Slough	Oct-2022	4.80	19.83	157.83	8.06	9.83	107.77	2.23	0.98	19.20	2.73	20.16	19.85	146.9	0.08	0.91	2.07	1.76	0.07	4.83	18.66	43.07	36.48	1.36	6.33	1.81	9.60	15.77	1.21	1.56
A3304	38.14757	-121.50553	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	0.77	20.28	165.59	7.60	9.13	101.05	2.44	4.73	32.43	11.27	34.54	20.30	154.1	0.08	2.42	1.96	9.05	0.25	13.90	17.51	14.28	65.07	1.81	1.53	2.62	14.89	16.05	0.30	1.02
A5088	37.93118	-121.52735	South Delta Tidal Transition Zone	Middle River	Oct-2022	4.72	21.02	470.18	7.42	7.89	88.60	2.01	1.96	39.60	4.76	41.30	21.09	448.1	0.23	3.53	3.77	1.60	0.03	9.00	39.27	41.94	17.83	0.36	5.92	3.06	17.76	23.62	1.26	1.72
A266	38.51711	-121.53320	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	2.87	19.48	120.61	7.64	8.95	97.39	1.35	0.26	10.68	0.95	11.17	19.50	111.2	0.06	0.67	2.64	0.34	0.00	3.64	18.34	72.52	9.23	0.02	4.01	1.29	6.19	10.21	1.11	0.49
A3601	38.02114	-121.80188	Western Delta Tidal Transition Zone	San Joaquin River	Oct-2022	12.10	19.17	6789.60	7.76	8.93	98.71	8.62	1.44	23.14	3.63	25.54	19.25	6056.6	3.74	3.85	3.33	2.24	0.00	9.45	40.66	35.52	23.51	0.04	13.53	2.05	11.18	24.68	1.56	0.55
A4922	38.04962	-121.63056	Central Delta Tidal Transition Zone	False River	Oct-2022	4.65	20.32	764.02	7.97	9.21	101.91	5.67	2.28	21.77	5.52	23.23	20.38	716.0	0.39	1.71	3.88	4.97	0.00	10.56	16.22	36.74	47.01	0.00	5.61	1.97	10.63	16.26	1.03	0.83
A217	38.57059	-121.51682	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	2.94	19.39	118.86	7.61	9.05	98.35	1.70	0.34	11.12	1.12	11.53	19.42	110.0	0.06	0.72	2.67	0.37	0.01	3.80	18.99	70.26	9.78	0.19	4.08	1.32	6.37	10.44	1.15	0.64
A870	38.05642	-121.95282	Suisun Bay	Honker Bay	Oct-2022	13.97	18.80	10367.22	7.72	9.34	103.85	5.37	4.74	24.55	9.96	26.92	18.82	9629.3	6.22	9.32	0.83	8.34	0.98	19.58	46.35	6.67	41.08	5.53	15.20	2.14	11.74	26.96	1.17	0.75
A4574	37.90117	-121.56909	South Delta Tidal Transition Zone	Old River	Oct-2022	4.00	21.18	534.64	7.45	7.80	87.95	3.12	1.89	35.35	4.55	37.09	21.28	515.7	0.27	4.22	4.26	1.63	0.00	10.15	41.52	41.94	16.08	0.00	5.36	2.80	16.06	21.44	1.39	1.27
A3784	37.99390	-121.41225	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	46.43	21.76	715.52	7.35	6.67	76.09	2.78	2.04	60.82	4.93	66.63	21.74	693.1	0.36	2.53	2.17	1.13	0.88	6.72	37.62	32.22	16.82	13.12	49.63	4.35	26.25	75.58	2.27	7.33
A434	38.34714	-121.54017	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	17.43	20.08	144.66	7.50	8.83	97.28	0.91	0.37	12.55	0.98	13.16	20.11	135.8	0.07	0.67	2.25	0.50	0.02	3.46	19.28	65.26	14.50	0.55	19.15	1.41	6.94	26.08	1.77	1.18
A2555	38.19214	-121.65758	Western Delta Tidal Transition Zone	Cache Slough	Oct-2022	7.22	19.92	155.24	7.70	8.92	97.96	3.11	0.86	16.64	2.40	17.43	19.94	145.0	0.08	0.69	1.90	1.52	0.07	4.18	16.36	45.41	36.28	2.13	8.64	1.66	8.58	17.16	1.16	1.20
A3481	38.09512	-121.66833	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	7.04	19.83	1213.91	7.83	8.92	98.12	7.23	3.02	20.67	7.25	22.66	19.86	1135.2	0.63	0.91	3.13	6.36	0.00	10.49	8.92	30.52	59.69	0.03	7.92	1.90	10.19	18.13	0.97	1.68
A362	38.43501	-121.52646	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	6.97	19.52	127.41	7.52	8.75	95.33	1.09	0.33	11.67	0.94	12.06	19.56	116.0	0.06	0.61	2.41	0.45	0.00	3.46	17.51	64.41	12.97	0.01	8.49	1.35	6.59	15.06	1.50	1.06
A2509	38.24670	-121.68707	Cache Slough Complex	Cache Slough	Oct-2022	6.14	19.93	153.20	7.85	9.27	101.87	2.27	0.80	17.29	2.36	18.01	19.96	143.0	0.08	0.81	1.64	1.34	0.42	4.24	18.76	39.14	30.76	10.91	7.48	1.69	8.84	16.31	1.25	1.47
A5068	37.94991	-121.52838	South Delta Tidal Transition Zone	Middle River	Oct-2022	4.60	21.01	467.26	7.53	8.38	94.10	1.52	2.06	38.52	5.27	39.86	21.09	447.1	0.23	3.57	3.93	2.19	0.02	9.72	36.65	40.44	22.57	0.23	5.99	2.99	17.33	23.45	1.17	1.65
A2924	38.22446	-121.60250	North Delta Tidal Transition Zone	Steamboat Slough	Oct-2022	11.56	19.93	138.95	7.44	8.53	93.77	1.16	0.48	15.33	1.21	15.77	19.94	129.2	0.07	0.27	1.32	0.40	0.29	2.30	11.68	57.50	17.31	12.77	12.80	1.57	8.05	20.95	1.21	0.92
A320	38.47438	-121.51725	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	3.19	19.77	120.58	7.67	9.12	99.88	1.04	0.26	10.74	0.86	11.12	19.81	112.0	0.06	0.58	2.36	0.26	0.00	3.23	18.08	72.90	8.04	0.01	4.77	1.29	6.21	10.99	1.60	0.67
A5802	37.86207	-121.55232	South Delta Tidal Transition Zone	Victoria Canal	Oct-2022	3.24	21.32	462.62	7.50	8.47	95.72	2.48	2.51	40.62	5.74	42.50	21.39	444.5	0.23	5.00	4.09	2.84	0.10	12.03	41.64	34.14	23.51	0.80	4.36	3.12	18.17	22.39	0.98	1.67
A3297	38.15714	-121.50394	Mokelumne Tidal Transition Zone	South Mokelumne River	Oct-2022	0.50	20.23	155.24	7.62	9.22	101.84	2.40	4.54	30.31	9.86	32.29	20.25	144.5	0.08	2.63	2.01	8.94	0.21	13.91	19.19	14.64	63.67	1.61	0.85	2.49	14.05	14.81	0.33	0.99
A4798	38.04017	-121.44457	Central Delta Tidal Transition Zone	Disappointment Slough	Oct-2022	5.15	20.61	357.52	7.34	7.69	85.74	1.97	2.00	43.47	4.90	46.65	20.61	338.6	0.18	2.17	2.17	1.81	0.70	6.91	31.63	31.52	26.01	10.12	6.58	3.29	19.31	25.93	1.16	2.04
A5579	38.02106	-121.58255	Central Delta Tidal Transition Zone	Holland Cut	Oct-2022	3.71	20.44	539.36	7.86	9.07	100.76	6.11	2.33	25.35	5.34	27.02	20.50	515.4	0.27	1.51	3.79	4.50	0.00	9.83	15.33	38.56	45.75	0.00	4.92	2.19	12.06	17.01	1.28	1.17
A248	38.53334	-121.52428	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	3.08	19.30	120.44	7.61	8.99	97.55	1.65	0.33	11.02	1.03	11.40	19.34	111.1	0.06	0.64	2.72	0.35	0.00	3.73	17.04	73.07	9.31	0.07	4.31	1.31	6.33	10.63	1.27	0.67
A625	38.16355	-121.61014	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	10.97	19.79	134.05	7.50	8.65	94.74	1.72	0.47	12.02	1.35	12.77	19.78	125.0	0.07	0.26	1.81	0.67	0.18	2.90	8.80	62.32	23.11	6.10	12.57	1.37	6.73	19.30	1.51	0.85
A4480	38.00738	-121.57948	South Delta Tidal Transition Zone	Old River	Oct-2022	3.08	20.31	669.76	7.77	8.75	97.07	3.28	1.54	25.67	4.05	26.89	20.38	635.7	0.34	1.92	3.62	2.80	0.00	8.38	22.89	43.25	33.33	0.00	4.22	2.21	12.19	16.45	1.18	1.27
A781	38.06048	-121.81335	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	11.20	19.12	4298.41	7.60	9.00	98.59	7.67	0.98	21.16	2.70	23.48	19.14	4427.5	2.69	1.51	2.47	1.76	0.00	5.73	26.29	43.21	30.63	0.00	12.76	1.93	10.38	23.12	1.56	1.07
A2556	38.19087	-121.65847	Western Delta Tidal Transition Zone	Cache Slough	Oct-2022	7.20	19.91	155.36	7.70	8.92	97.93	3.10	0.86	16.68	2.42	17.45	19.93	145.1	0.08	0.67	1.90	1.57	0.05	4.20	15.73	45.10	37.23	1.48	8.69	1.66	8.59	17.20	1.18	1.21
A5240	38.03829	-121.40472	Central Delta Tidal Transition Zone	Fourteenmile Slough	Oct-2022	5.21	20.49	375.59	7.59	8.27	91.96	1.76	2.12	48.55	5.23	52.16	20.49	349.2	0.18	3.35	2.17	0.97	0.78	7.25	45.99	30.00	13.35	10.80	6.39	3.60	21.34	27.96	0.85	1.73
A3935	38.09645	-121.68584	Western Delta Tidal Transition Zone	Threemile Slough	Oct-2022	7.82	19.57	1211.54	7.68	8.76	95.82	7.33	1.72	20.97	4.47	23.39	19.58	1118.9	0.62	0.23	2.32	3.64	0.17	6.42	3.66	36.25	56.49	2.73	8.78	1.92	10.31	19.08	1.11	1.29
A224	38.56168	-121.52002	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	3.02	19.43	119.72	7.60	8.94	97.22	1.62	0.41	11.20	1.07	11.61	19.47	110.1	0.06	0.63	2.69	0.41	0.00	3.75	16.91	71.80	10.85	0.02	4.23	1.32	6.40	10.64	1.21	0.74
A3385	38.13093	-121.57383	Mokelumne Tidal Transition Zone	Mokelumne River	Oct-2022	10.26	20.65	137.95	7.77	9.28	103.41	1.21	0.90	13.61	2.72	14.11	20.66	131.0	0.07	2.01	1.10	0.75	0.93	4.81	40.37	23.49	16.69	19.15	11.60	1.47	7.37	18.99	1.30	0.96
A761	38.06761	-121.77989	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	10.41	19.54	2191.29	7.65	8.83	96.81	7.98	0.99	19.05	2.62	21.03	19.57	2298.8	1.33	1.30	2.66	2.17	0.00	6.09	21.21	43.68	35.77	0.00	11.84	1.80	9.54	21.38	1.40	1.06
A655	38.17594	-121.66122	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.60	19.84	164.00	7.61	8.82	96.71	2.98	0.67	14.27	1.83	15.23	19.84	152.0	0.08	0.37	1.76	0.90	0.22	3.27	11.15	53.90	27.64	6.73	10.87	1.51	7.63	18.51	1.31	1.13
A524	38.25340	-121.51263	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	17.17	19.95	144.56	7.55	9.03	99.19	1.16	0.43	12.44	1.35	13.12	19.97	134.9	0.07	0.61	2.49	0.82	0.03	4.00	15.37	62.36	20.48	0.73	18.49	1.40	6.90	25.43	1.49	1.05
A255	38.52649	-121.52959	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	3.00	19.31	120.04	7.61	8.90	96.56	1.49	0.33	10.95	1.00	11.30	19.36	110.8	0.06	0.60	2.59	0.32	0.00	3.51	17.07	73.84	9.18	0.02	4.16	1.31	6.30	10.45	1.19	0.59
A394	38.39522	-121.51326	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	6.82	19.90	128.01	7.62	9.03	99.13	0.98	0.24	11.52	0.87	11.99	19.92	119.3	0.07	0.59	2.36	0.35	0.00	3.30	17.89	71.55	10.53	0.00	8.43	1.34	6.53	14.96	1.53	0.91
A1229	38.06526	-121.92565	Suisun Bay	Honker Bay	Oct-2022	17.24	18.65	16555.19	7.72	8.65	98.08	17.05	1.79	25.56	3.84	29.60	18.72	14956.7	10.04	3.94	3.46	2.32	0.05	9.75	39.75	37.54	22.69	0.34	18.53	2.20	12.14	30.67	1.44	0.80
A1082	38.13218	-122.00501	Suisun Bay	Grizzly Bay	Oct-2022	16.94	19.09	16430.78	7.79	8.96	102.49	5.07	1.51	26.28	3.57	28.67	19.13	15099.7	10.03	3.80	2.74	1.96	0.05	8.59	44.28	31.95	22.83	0.65	18.34	2.24	12.43	30.76	1.43	0.94
A2433	38.26279	-121.69156	Cache Slough Complex	Shag Slough	Oct-2022	4.56	19.85	159.04	8.16	9.92	108.88	2.01	0.88	18.97	2.70	19.99	19.86	148.6	0.08	1.15	1.84	1.77	0.36	5.12	22.18	36.08	34.53	7.31	5.90	1.80	9.51	15.33	1.22	1.52
A738	38.08590	-121.74476	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	9.84	19.73	717.28	7.61	8.97	98.29	6.46	1.15	17.40	3.08	19.14	19.76	726.9	0.40	1.09	2.54	2.39	0.14	6.16	17.69	41.27	38.74	2.21	10.86	1.70	8.88	19.73	1.03	1.11
A4904	38.05678	-121.65972	Central Delta Tidal Transition Zone	False River	Oct-2022	5.26	20.78	951.60	7.98	9.10	101.92	3.26	1.47	20.51	3.68	21.51	20.96	910.6	0.49	1.85	3.49	3.46	0.12	8.99	20.74	38.97	38.24	1.25	6.30	1.89	10.13	16.45	1.02	1.09
A3043	38.17521	-121.58054	North Delta Tidal Transition Zone	Georgiana Slough	Oct-2022	11.53	19.80	136.90	7.46	8.53	93.50	1.18	0.56	12.59	1.58	13.16	19.79	127.9	0.07	0.01	1.34	0.49	0.46	2.31	0.10	58.49	21.29	19.96	12.70	1.41	6.95	19.66	1.21	0.84
A237	38.54454	-121.51130	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	3.10	19.42	121.15	7.61	9.04	98.27	1.61	0.36	11.08	1.04	11.48	19.45	112.0	0.06	0.65	2.66	0.40	0.00	3.71	17.57	71.61	8.56	0.00	4.24	1.32	6.35	10.59	1.14	0.74
A1119	38.10455	-122.03008	Suisun Bay	Grizzly Bay	Oct-2022	17.88	18.70	19117.50	7.78	9.07	104.01	8.53	2.15	27.40	4.60	30.55	18.73	17909.5	12.20	4.24	3.11	2.90	0.14	10.44	40.68	30.23	27.39	1.16	19.37	2.31	12.88	32.20	1.57	0.95
A3503	38.06881	-121.67889	Central Delta Tidal Transition Zone	San Joaquin River	Oct-2022	7.67	19.90	1670.22	7.91	8.94	98.57	7.75	1.18	20.27	3.16	21.99	19.96	1550.7	0.87	1.75	3.52	1.96	0.00	7.27	24.11	48.56	26.94	0.02	8.52	1.88	10.03	18.56	0.99	1.96
A948	38.06378	-122.06908	Suisun Bay	Suisun Bay	Oct-2022	17.68	18.39	20568.61	7.70	9.02	103.43	8.28	1.41	26.67	3.71	29.66	18.44	18256.0	12.54	3.52	2.40	2.58	0.16	8.65	40.62	27.79	29.84	1.83	21.11	2.27	12.59	33.67	3.36	1.81
A5822	37.87573	-121.52029	South Delta Tidal Transition Zone	Victoria Canal	Oct-2022	3.45	21.33	458.92	7.53	8.33	94.19	2.02	2.39	38.67	5.50	40.20	21.41	441.9	0.23	4.54	3.84	2.54	0.21	11.15	40.73	34.43	22.74	1.84	4.26	3.00	17.39	21.64	0.80	1.54
A3387	38.12962	-121.57666	Mokelumne Tidal Transition Zone	Mokelumne River	Oct-2022	10.50	20.32	137.15	7.66	8.97	99.37	1.42	0.80	13.34	2.30	13.95	20.30	129.3	0.07	0.98	1.23	0.75	0.67	3.63	22.20	37.26	22.01	18.15	11.74	1.45	7.26	19.06	1.28	0.98
A2401	38.30854	-121.69281	Cache Slough Complex	Shag Slough	Oct-2022	3.27	19.46	221.82	7.45	8.04	87.52	2.36	3.01	45.44	6.75	49.30	19.49	204.2	0.11	2.21	2.31	3.44	1.78	9.74	22.46	24.12	35.21	18.14	4.43	3.41	20.10	24.05	1.21	4.18
A769	38.06127	-121.79213	Western Delta Tidal Transition Zone	Sacramento River	Oct-2022	10.78	19.32	2901.42	7.63	9.06	99.13	7.65	1.42	19.84	3.62	21.91	19.33	2979.4	1.76	2.24	2.46	2.91	0.00	7.59	29.17	32.65	38.47	0.00	12.37	1.85	9.86	22.22	1.60	1.02
A3138	38.22303	-121.50724	Mokelumne Tidal Transition Zone	North Mokelumne River	Oct-2022	10.07	20.16	130.06	7.53	8.70	96.00	1.78	1.08	12.71	3.08	13.21	20.17	122.3	0.07	2.15	1.18	0.99	1.00	5.32	40.20	22.32	18.69	18.99	10.29	1.42	7.00	17.35	0.96	0.78
A3783	37.99470	-121.41379	San Joaquin Tidal Transition Zone	San Joaquin River	Oct-2022	46.43	21.76	715.52	7.35	6.67	76.09	2.78	2.04	60.82	4.93	66.63	21.74	693.1	0.36	2.53	2.17	1.13	0.88	6.72	37.62	32.22	16.82	13.12	49.63	4.35	26.25	75.58	2.27	7.33
A2342	38.27102	-121.66667	Cache Slough Complex	Prospect Slough	Oct-2022	6.09	19.89	153.40	7.80	9.14	100.30	2.22	0.71	17.39	1.90	18.13	19.93	143.4	0.08	0.63	1.35	0.77	0.71	3.48	18.16	38.83	22.29	20.46	7.26	1.70	8.88	16.16	1.19	1.49
A467	38.31554	-121.57796	North Delta Tidal Transition Zone	Sacramento River	Oct-2022	10.54	19.79	132.13	7.50	8.73	95.62	1.09	0.48	12.17	1.25	12.65	19.81	122.8	0.07	0.78	1.69	0.47	0.37	3.28	23.71	51.88	14.19	11.11	12.19	1.38	6.79	18.99	1.43	1.14
A2302	38.32929	-121.66726	Cache Slough Complex	Liberty Cut	Oct-2022	0.74	19.01	183.27	7.61	8.39	90.44	3.39	2.28	27.03	4.93	28.79	19.06	169.8	0.09	2.53	1.21	3.38	3.04	10.16	24.49	13.16	32.44	29.85	2.16	2.29	12.73	14.47	1.44	2.78
