CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A3446	38.10209	-121.61653	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	15.23	0.22	18.55	482.97	8.03	9.12	97.55	12.59	3.02	29.01	3.66	18.55	430.8	0.24	0.44	1.78	1.45	0.00	3.67	11.93	48.34	39.43	0.00	15.75	2.79	15.20	30.95	1.60
A3436	38.10294	-121.59895	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	14.81	0.25	18.54	421.12	8.03	9.07	96.98	12.11	3.06	29.55	3.67	18.54	367.5	0.20	0.49	1.80	1.38	0.00	3.67	13.47	49.06	37.57	0.00	15.07	2.83	15.42	30.49	1.60
A3444	38.10391	-121.61333	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	15.25	0.22	18.56	482.95	8.03	9.11	97.48	12.33	3.01	29.14	3.67	18.56	430.2	0.24	0.47	1.76	1.45	0.00	3.70	12.78	47.58	39.18	0.00	15.70	2.80	15.26	30.98	1.59
A3442	38.10471	-121.60985	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	15.19	0.22	18.56	477.08	8.03	9.10	97.31	12.20	3.06	29.27	3.68	18.56	423.5	0.23	0.53	1.75	1.45	0.00	3.74	14.20	46.83	38.78	0.00	15.57	2.81	15.31	30.91	1.59
A3438	38.10460	-121.60221	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	14.94	0.25	18.55	438.39	8.03	9.07	96.98	12.01	3.05	29.49	3.66	18.55	381.7	0.21	0.51	1.79	1.38	0.00	3.66	13.81	48.79	37.55	0.01	15.19	2.82	15.40	30.59	1.59
A3440	38.10541	-121.60602	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	15.09	0.24	18.56	463.31	8.03	9.08	97.13	12.12	3.09	29.41	3.67	18.56	406.5	0.22	0.53	1.76	1.41	0.00	3.70	14.28	47.59	38.20	0.00	15.39	2.82	15.36	30.76	1.59
A5291	38.05434	-121.65709	Central Delta Tidal Transition Zone	Piper Slough	May-2022	10.97	0.25	19.23	389.81	8.12	9.14	99.08	4.88	2.81	31.35	3.41	19.24	354.3	0.19	1.09	1.26	1.35	0.21	3.95	24.14	33.07	36.30	5.54	11.37	2.96	16.14	27.54	1.62
A4994	38.02065	-121.51898	Central Delta Tidal Transition Zone	Middle River	May-2022	16.04	0.64	20.18	293.55	8.04	8.99	99.33	3.62	2.78	36.48	3.77	20.21	270.9	0.14	1.01	1.50	1.25	0.00	3.76	26.64	40.17	33.35	0.06	16.59	3.34	18.19	34.72	1.86
A4862	38.03067	-121.49306	Central Delta Tidal Transition Zone	Columbia Cut	May-2022	21.60	0.38	20.22	305.68	8.03	8.94	98.83	4.11	3.03	36.59	3.96	20.30	283.4	0.15	0.84	1.49	1.59	0.02	3.94	21.25	37.55	40.52	0.38	22.12	3.35	18.24	40.55	2.17
A4860	38.03040	-121.49707	Central Delta Tidal Transition Zone	Columbia Cut	May-2022	21.24	0.26	20.39	305.64	8.03	8.95	99.24	3.67	2.89	37.46	3.81	20.48	283.8	0.15	0.99	1.41	1.49	0.01	3.91	25.25	36.18	38.07	0.35	21.51	3.41	18.58	40.07	1.98
A4779	38.05250	-121.46007	Central Delta Tidal Transition Zone	Disappointment Slough	May-2022	23.38	0.77	20.67	373.34	7.99	8.54	95.26	2.07	3.08	48.64	3.79	20.68	348.6	0.18	0.35	1.27	1.25	0.01	2.90	12.45	44.82	42.06	0.25	23.09	4.24	23.05	46.20	2.98
A4907	38.05499	-121.65562	Central Delta Tidal Transition Zone	False River	May-2022	10.26	0.25	19.26	383.38	8.13	9.13	99.02	4.84	2.87	31.52	3.52	19.27	350.9	0.19	1.23	1.29	1.35	0.19	4.10	26.48	32.64	34.98	5.01	10.66	2.97	16.21	26.88	1.63
A4909	38.05515	-121.65192	Central Delta Tidal Transition Zone	False River	May-2022	7.75	0.25	19.42	361.60	8.14	9.02	98.18	4.81	3.25	32.17	4.11	19.42	333.5	0.18	2.25	1.47	1.28	0.09	5.13	39.00	30.13	27.72	2.29	8.19	3.02	16.47	24.65	1.64
A4912	38.05581	-121.64650	Central Delta Tidal Transition Zone	False River	May-2022	4.88	0.25	19.62	336.63	8.14	8.92	97.48	4.99	4.02	32.82	5.21	19.62	306.1	0.16	4.00	1.77	1.23	0.01	7.03	54.21	26.42	18.92	0.26	4.67	3.07	16.73	21.43	1.65
A4395	38.05979	-121.58222	Central Delta Tidal Transition Zone	Old River	May-2022	8.18	0.73	20.26	291.06	8.04	8.92	98.54	5.42	3.64	33.24	4.55	20.33	270.3	0.14	2.58	1.56	1.42	0.00	5.58	44.67	28.60	26.36	0.03	8.94	3.10	16.90	25.84	1.48
A4383	38.07275	-121.57151	Central Delta Tidal Transition Zone	Old River	May-2022	10.50	0.72	19.62	293.38	8.08	9.13	99.79	7.26	3.44	30.96	4.26	19.65	267.7	0.14	1.95	1.65	1.42	0.01	5.06	36.97	33.54	28.82	0.16	11.22	2.93	15.98	27.20	1.47
A3494	38.08158	-121.68109	Central Delta Tidal Transition Zone	San Joaquin River	May-2022	13.61	0.22	18.79	417.24	8.02	9.14	98.05	12.01	3.04	28.28	3.53	18.81	374.2	0.21	0.82	1.63	1.44	0.00	3.92	20.92	41.82	36.81	0.01	16.34	2.73	14.91	28.22	1.49
