"Citation: Graham, J.L., Dubrovsky, N.M., Loftin, K.A., Rosen, B.H., and Stelzer, E.A., 2022, Cyanotoxin, chlorophyll-a, and cyanobacterial toxin genetic data for samples collected at twelve large river sites throughout the United States, June through October 2019: U.S. Geological Survey data release, https://doi.org/10.5066/P99I27T4.",,,,,
"Standard curve information for quantitative polymerase chain reaction (qPCR) assays, 2019.",,,,,
"[copies/rxn, copies per reaction volume; R2, coefficient of determination; LoD, limit of detection; LoQ, limit of quantification; mcyE, microcystin synthetase gene; sxtA, saxitoxin synthetase gene; anaC, anatoxin-a synthetase gene; cyrA, cylindrospermopsin synthetase gene]",,,,,
Assay name,"Dynamic range
(copies /rxn)","Range of amplification 
efficiencies (percent)","Range of R2 
values","LoD
(copies/rxn)","LoQ
(copies/rxn)"
Microcystis mcyE,11.1 - 6.20  x 10^7,95 - 99,0.9981 - 0.9992,13,39
Planktothrix mcyE,15.2 - 5.05 x 10^7,81 - 99,0.9965 - 0.9987,51,110
Dolichospermum mcyE,16.3 - 3.19 x 10^7,82 - 101,0.9968 - 0.9980,46,120
sxtA,16.3 - 5.12 x 10^7,89 - 94,0.9958 - 0.9984,14,45
anaC,38.8 - 9.56 x 10^7,88 - 93,0.9974 - 0.9987,32,60
cyrA,14.0 - 4.56 x 10^7,100 - 101,0.9977 - 0.9990,31,83
