CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A5616	37.99336	-121.51271	South Delta Tidal Transition Zone	Latham Slough	May-2024	20.27	18.32	316.15	7.89	10.02	106.63	4.48	2.41	43.31	3.92	48.57	18.33	279.7	0.15	0.71	2.55	1.19	0.77	5.25	13.60	48.78	22.40	15.20
A4097	38.16620	-121.49140	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.67	16.48	102.54	7.49	10.02	102.54	4.89	1.04	20.19	1.75	22.02	16.46	80.4	0.05	0.06	2.41	0.50	0.15	3.14	1.31	79.34	14.31	5.03
A3284	38.17028	-121.49587	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.82	16.19	89.67	7.31	10.15	103.22	5.99	0.93	18.99	1.50	20.74	16.21	74.8	0.05	0.00	2.55	0.11	0.03	2.72	0.09	94.81	3.84	1.22
A3246	38.20970	-121.48960	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.95	15.47	87.89	7.22	9.83	98.52	7.58	0.97	20.66	1.47	22.94	15.51	72.4	0.04	0.00	2.60	0.26	0.00	2.88	0.00	90.70	9.13	0.06
A3129	38.22841	-121.49387	Mokelumne Tidal Transition Zone	Dead Horse Cut	May-2024	7.80	15.93	88.09	7.28	9.54	96.50	10.44	1.29	21.76	2.23	24.63	15.94	73.6	0.04	0.49	2.77	0.33	0.35	3.97	9.03	74.03	6.93	9.53
A3137	38.22431	-121.50612	Mokelumne Tidal Transition Zone	North Mokelumne River	May-2024	9.39	16.16	87.96	7.23	9.43	95.93	12.74	1.16	23.26	1.91	26.63	16.19	73.9	0.04	0.03	3.30	0.37	0.02	3.75	0.50	89.06	9.95	0.47
A3131	38.22752	-121.49666	Mokelumne Tidal Transition Zone	North Mokelumne River	May-2024	7.81	15.90	87.73	7.27	9.36	94.56	9.65	1.16	21.29	1.97	23.95	15.92	73.2	0.04	0.27	2.82	0.39	0.19	3.67	5.13	80.05	10.33	4.75
A3229	38.22725	-121.49226	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.24	15.75	87.34	7.28	9.87	99.42	8.67	1.07	20.61	1.82	23.19	15.75	72.6	0.04	0.23	2.68	0.31	0.20	3.43	4.14	81.27	7.93	6.24
A3130	38.22750	-121.49489	Mokelumne Tidal Transition Zone	North Mokelumne River	May-2024	7.51	15.83	87.56	7.28	9.59	96.73	9.12	1.12	20.94	1.91	23.54	15.84	72.9	0.04	0.26	2.75	0.35	0.20	3.57	4.91	80.37	9.18	5.49
A4118	38.16938	-121.45668	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.89	18.61	311.03	8.41	9.68	103.49	2.36	3.64	39.36	6.20	44.40	18.60	275.5	0.15	3.81	2.47	2.32	1.52	10.01	37.72	24.63	23.04	15.27
A4113	38.16891	-121.46544	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	3.14	18.15	259.53	8.07	10.05	106.39	3.51	3.17	38.08	5.28	42.95	18.14	230.3	0.13	2.58	2.72	2.65	1.18	9.12	27.46	30.23	29.25	13.09
A4115	38.16956	-121.46216	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.86	18.40	285.20	8.24	9.93	105.70	2.86	3.50	38.80	5.87	43.71	18.41	254.5	0.14	3.38	2.71	2.76	1.19	9.97	33.43	27.34	27.59	12.09
A4116	38.16932	-121.46031	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.86	18.40	285.20	8.24	9.93	105.70	2.86	3.50	38.80	5.87	43.71	18.41	254.5	0.14	3.38	2.71	2.76	1.19	9.97	33.43	27.34	27.59	12.09
A4111	38.16861	-121.46900	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	3.67	17.95	240.01	7.93	9.92	104.63	4.19	2.84	37.30	4.71	42.22	17.93	209.3	0.12	1.82	2.64	2.40	1.17	8.00	22.08	33.24	30.12	14.55
A4112	38.16839	-121.46720	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	3.40	18.04	249.15	7.99	10.00	105.71	3.85	2.99	37.70	4.98	42.59	18.02	219.1	0.12	2.16	2.68	2.52	1.19	8.53	24.49	31.75	29.71	14.04
A4117	38.16927	-121.45863	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.84	18.52	299.30	8.34	9.80	104.65	2.57	3.60	39.11	6.08	44.08	18.52	266.1	0.15	3.66	2.60	2.57	1.34	10.08	35.98	25.83	25.39	13.39
A4108	38.16748	-121.47374	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.60	17.70	214.09	7.77	9.68	101.67	5.10	2.62	36.12	4.33	41.20	17.71	187.7	0.11	1.29	2.57	2.46	1.04	7.31	17.57	34.71	33.60	14.05
A4104	38.16517	-121.48040	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.71	17.23	165.21	7.61	9.68	100.61	5.55	2.22	30.43	3.68	35.03	17.27	145.1	0.08	0.96	2.51	2.38	0.75	6.63	13.74	40.22	35.53	10.87
A4114	38.16907	-121.46373	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.95	18.27	271.66	8.16	10.03	106.52	3.16	3.35	38.46	5.60	43.33	18.28	242.4	0.13	3.01	2.76	2.79	1.13	9.66	30.46	28.90	28.97	11.90
A4105	38.16568	-121.47868	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.53	17.36	177.47	7.64	9.65	100.64	5.62	2.42	32.44	3.97	37.55	17.42	159.5	0.09	1.09	2.52	2.62	0.89	7.14	15.10	36.17	36.81	12.22
A4121	38.17102	-121.45188	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.93	18.76	331.59	8.55	9.55	102.41	1.96	3.72	39.91	6.42	45.05	18.75	293.7	0.16	4.09	2.25	1.85	1.85	9.97	40.84	22.52	18.47	18.65
A4101	38.16611	-121.48508	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.08	16.90	136.97	7.56	9.76	100.81	5.16	1.64	25.54	2.76	28.42	16.86	110.0	0.06	0.55	2.46	1.50	0.38	4.93	9.04	55.66	27.84	7.51
A4109	38.16836	-121.47238	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.40	17.75	219.40	7.80	9.71	102.07	4.92	2.61	36.27	4.34	41.27	17.74	190.5	0.11	1.34	2.60	2.36	1.03	7.28	18.11	35.68	32.22	13.90
A4122	38.17154	-121.45014	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.86	18.79	334.71	8.57	9.54	102.39	1.87	3.77	40.01	6.51	45.14	18.79	296.5	0.16	4.21	2.26	1.92	1.83	10.12	41.65	22.16	18.60	18.19
A4106	38.16634	-121.47695	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.21	17.51	192.98	7.68	9.63	100.66	5.56	2.53	34.31	4.16	39.59	17.55	172.2	0.10	1.16	2.55	2.62	0.95	7.28	15.95	35.27	35.90	12.98
A4107	38.16689	-121.47539	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.93	17.61	203.77	7.72	9.63	100.97	5.38	2.58	35.38	4.25	40.61	17.64	180.3	0.10	1.21	2.56	2.55	1.00	7.28	16.64	34.85	34.92	13.56
A4119	38.17023	-121.45524	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.95	18.68	322.13	8.48	9.61	102.90	2.16	3.66	39.67	6.29	44.76	18.67	285.3	0.16	3.93	2.32	1.99	1.74	9.90	39.25	23.53	20.03	17.63
A4102	38.16551	-121.48358	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.90	17.08	151.56	7.60	9.71	100.67	5.35	1.96	28.08	3.27	31.90	17.09	127.9	0.07	0.78	2.48	2.01	0.58	5.88	11.74	46.23	32.95	9.38
A4110	38.16897	-121.47075	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	4.02	17.85	229.78	7.86	9.80	103.23	4.57	2.70	36.85	4.49	41.80	17.83	199.7	0.11	1.53	2.61	2.34	1.11	7.54	19.75	34.71	31.06	14.46
A4099	38.16713	-121.48799	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.30	16.75	123.95	7.54	9.83	101.23	4.91	1.37	23.30	2.33	25.59	16.69	95.6	0.06	0.34	2.43	1.07	0.26	4.13	5.86	64.53	23.31	6.28
A4098	38.16679	-121.48981	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.50	16.61	112.17	7.53	9.92	101.83	4.76	1.17	21.50	1.99	23.42	16.56	86.0	0.05	0.17	2.41	0.75	0.19	3.55	3.24	72.09	19.14	5.50
A4120	38.17042	-121.45360	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	2.97	18.72	327.54	8.52	9.57	102.56	2.06	3.68	39.80	6.34	44.92	18.71	290.1	0.16	3.99	2.25	1.86	1.84	9.87	40.01	22.98	18.79	18.63
A4103	38.16475	-121.48197	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	5.71	17.23	165.21	7.61	9.68	100.61	5.55	2.22	30.43	3.68	35.03	17.27	145.1	0.08	0.96	2.51	2.38	0.75	6.63	13.74	40.22	35.53	10.87
A3288	38.16530	-121.49246	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.72	16.45	98.09	7.51	10.09	103.18	4.94	1.00	19.60	1.68	21.51	16.45	78.8	0.05	0.03	2.33	0.39	0.22	3.00	0.67	79.72	12.27	7.59
A4100	38.16713	-121.48623	Mokelumne Tidal Transition Zone	Hog Slough	May-2024	6.30	16.75	123.95	7.54	9.83	101.23	4.91	1.37	23.30	2.33	25.59	16.69	95.6	0.06	0.34	2.43	1.07	0.26	4.13	5.86	64.53	23.31	6.28
A3289	38.16409	-121.49298	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.72	16.45	98.09	7.51	10.09	103.18	4.94	1.00	19.60	1.68	21.51	16.45	78.8	0.05	0.03	2.33	0.39	0.22	3.00	0.67	79.72	12.27	7.59
A3264	38.19278	-121.48089	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.23	15.94	90.29	7.24	10.02	101.43	7.29	0.98	21.10	1.53	23.39	15.95	75.5	0.05	0.00	2.61	0.17	0.02	2.81	0.05	93.31	5.84	0.77
A3263	38.19373	-121.47937	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.17	15.94	89.81	7.24	10.01	101.33	7.45	0.98	21.09	1.55	23.47	15.95	75.4	0.05	0.00	2.63	0.22	0.01	2.87	0.05	91.91	7.59	0.43
A3269	38.18701	-121.48578	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.16	16.00	92.10	7.24	9.79	99.20	6.62	1.00	21.04	1.53	23.12	16.02	76.7	0.05	0.03	2.59	0.10	0.03	2.77	0.43	96.44	2.39	0.71
A3265	38.19144	-121.48154	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.24	15.96	90.87	7.24	10.00	101.21	7.15	0.98	21.14	1.53	23.39	15.97	75.9	0.05	0.01	2.61	0.15	0.02	2.80	0.15	94.05	5.05	0.72
A3272	38.18319	-121.48829	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.03	16.04	92.56	7.26	9.90	100.41	6.31	0.99	20.67	1.54	22.80	16.06	77.0	0.05	0.04	2.57	0.09	0.05	2.78	0.63	96.45	1.58	1.33
A3271	38.18436	-121.48718	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.09	16.03	92.60	7.25	9.81	99.51	6.37	0.99	20.86	1.54	22.99	16.04	77.1	0.05	0.04	2.58	0.09	0.04	2.77	0.58	96.92	1.64	0.85
A3275	38.18077	-121.49228	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.97	16.02	89.79	7.25	10.01	101.50	6.52	0.98	20.16	1.49	22.21	16.03	74.7	0.05	0.01	2.57	0.04	0.05	2.70	0.21	97.05	0.93	1.81
A3280	38.17583	-121.49747	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.97	16.05	88.21	7.26	10.09	102.39	6.43	0.91	19.46	1.46	21.30	16.08	73.4	0.04	0.00	2.58	0.05	0.03	2.69	0.05	96.86	1.85	1.25
A3270	38.18561	-121.48627	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.09	16.03	92.60	7.25	9.81	99.51	6.37	0.99	20.86	1.54	22.99	16.04	77.1	0.05	0.04	2.58	0.09	0.04	2.77	0.58	96.92	1.64	0.85
A3273	38.18193	-121.48927	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.03	16.04	92.56	7.26	9.90	100.41	6.31	0.99	20.67	1.54	22.80	16.06	77.0	0.05	0.04	2.57	0.09	0.05	2.78	0.63	96.45	1.58	1.33
A3286	38.16760	-121.49423	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.82	16.32	92.40	7.41	10.13	103.28	5.55	0.93	19.07	1.56	20.92	16.33	76.5	0.05	0.00	2.44	0.20	0.12	2.78	0.08	88.84	6.91	4.34
A3279	38.17727	-121.49755	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.97	16.05	88.21	7.26	10.09	102.39	6.43	0.91	19.46	1.46	21.30	16.08	73.4	0.04	0.00	2.58	0.05	0.03	2.69	0.05	96.86	1.85	1.25
A3281	38.17444	-121.49702	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.95	16.09	87.96	7.27	10.13	102.81	6.27	0.91	19.16	1.46	20.93	16.12	73.3	0.04	0.00	2.57	0.06	0.03	2.69	0.04	96.69	2.17	1.10
A3274	38.18101	-121.49042	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.96	16.06	91.98	7.26	9.98	101.26	6.35	0.99	20.42	1.53	22.50	16.06	76.3	0.05	0.03	2.56	0.09	0.06	2.78	0.57	95.74	1.85	1.83
A3267	38.18927	-121.48380	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.21	15.98	91.42	7.24	9.89	100.18	6.89	0.99	21.14	1.52	23.25	15.99	76.2	0.05	0.02	2.59	0.12	0.03	2.78	0.26	95.35	3.55	0.79
A3276	38.17990	-121.49393	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.97	16.02	89.79	7.25	10.01	101.50	6.52	0.98	20.16	1.49	22.21	16.03	74.7	0.05	0.01	2.57	0.04	0.05	2.70	0.21	97.05	0.93	1.81
A3282	38.17302	-121.49693	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.90	16.12	87.80	7.28	10.15	103.15	6.20	0.90	18.93	1.46	20.70	16.16	73.6	0.04	0.00	2.57	0.06	0.03	2.68	0.03	96.64	2.33	0.99
A3266	38.19017	-121.48240	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.24	15.95	90.47	7.24	9.94	100.60	7.05	0.99	21.08	1.51	23.22	15.97	75.4	0.05	0.01	2.60	0.12	0.02	2.77	0.08	94.79	4.28	0.81
A3268	38.18846	-121.48524	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	7.20	15.97	90.49	7.24	9.83	99.52	6.78	0.99	20.98	1.49	23.01	15.98	75.3	0.05	0.01	2.59	0.08	0.02	2.72	0.13	96.44	2.64	0.73
A3283	38.17158	-121.49648	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.87	16.16	87.92	7.29	10.17	103.38	6.19	0.91	18.82	1.47	20.62	16.18	74.1	0.04	0.00	2.57	0.06	0.02	2.67	0.00	97.03	2.11	0.87
A3278	38.17816	-121.49624	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.99	16.02	88.36	7.26	10.06	102.00	6.58	0.93	19.74	1.46	21.67	16.04	73.5	0.04	0.00	2.58	0.03	0.04	2.68	0.03	97.43	1.18	1.35
A3277	38.17890	-121.49500	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.94	16.03	89.14	7.26	10.05	101.95	6.53	0.95	19.85	1.48	21.80	16.05	74.1	0.05	0.01	2.58	0.05	0.04	2.70	0.13	96.82	1.44	1.60
A3285	38.16891	-121.49522	Mokelumne Tidal Transition Zone	South Mokelumne River	May-2024	6.83	16.25	90.66	7.35	10.14	103.26	5.78	0.93	18.98	1.52	20.77	16.27	75.5	0.05	0.00	2.52	0.15	0.05	2.74	0.04	92.82	5.26	1.92
A1191	38.07245	-121.94861	Suisun Bay	Honker Bay	May-2024	13.80	16.42	300.27	7.95	10.53	107.67	20.56	2.46	20.94	3.78	24.48	16.42	249.5	0.14	1.29	4.41	3.23	0.03	8.97	19.26	47.28	33.05	0.34
A828	38.04929	-121.88109	Western Delta Tidal Transition Zone	Sacramento River	May-2024	13.73	16.77	183.37	7.79	10.32	106.22	15.66	2.10	21.27	3.30	24.65	16.77	156.5	0.09	0.54	3.92	2.16	0.00	6.64	8.21	59.23	32.49	0.00
A4522	37.95734	-121.57061	South Delta Tidal Transition Zone	Old River	May-2024	28.52	18.89	363.17	7.89	9.61	103.49	4.92	2.43	43.23	3.98	48.20	18.90	323.1	0.18	1.28	2.33	1.26	0.75	5.60	22.65	41.58	22.40	13.39
A4663	37.82030	-121.54940	South Delta Tidal Transition Zone	Grant Line Canal	May-2024	43.89	16.68	234.83	7.39	10.05	103.45	16.48	1.94	25.20	3.29	28.68	16.71	199.0	0.11	1.18	3.38	1.08	0.00	5.62	21.21	59.68	19.29	0.00
A4661	37.82242	-121.55185	South Delta Tidal Transition Zone	Old River	May-2024	43.94	16.69	235.38	7.39	10.07	103.54	16.36	1.93	25.21	3.27	28.70	16.72	199.4	0.11	1.17	3.38	1.07	0.00	5.61	20.97	59.90	19.27	0.00
A4659	37.82511	-121.55175	South Delta Tidal Transition Zone	Old River	May-2024	44.09	16.70	236.34	7.40	10.09	103.69	16.11	1.92	25.31	3.24	28.80	16.74	200.8	0.12	1.16	3.40	1.05	0.00	5.60	20.77	60.25	18.90	0.09
A4657	37.82784	-121.55213	South Delta Tidal Transition Zone	Old River	May-2024	44.84	16.74	239.65	7.41	10.13	104.15	15.59	1.92	25.55	3.18	29.13	16.76	203.7	0.12	1.16	3.39	1.04	0.02	5.61	20.59	60.21	18.66	0.43
A5886	37.83202	-121.55386	South Delta Tidal Transition Zone	West Canal	May-2024	45.68	16.74	242.66	7.43	10.05	103.48	15.66	1.94	25.69	3.17	29.35	16.74	205.4	0.12	1.14	3.39	1.06	0.02	5.63	20.24	60.30	18.86	0.45
A5884	37.83477	-121.55500	South Delta Tidal Transition Zone	West Canal	May-2024	45.91	16.72	243.06	7.43	9.94	102.31	15.80	1.94	25.69	3.16	29.33	16.72	205.6	0.12	1.12	3.41	1.06	0.01	5.61	19.85	60.95	18.81	0.19
A5882	37.83753	-121.55610	South Delta Tidal Transition Zone	West Canal	May-2024	45.83	16.72	243.47	7.44	9.87	101.65	15.69	1.93	25.74	3.14	29.35	16.72	205.9	0.12	1.11	3.38	1.02	0.01	5.53	20.00	61.17	18.41	0.39
A5880	37.84031	-121.55718	South Delta Tidal Transition Zone	West Canal	May-2024	45.99	16.71	243.76	7.44	9.83	101.16	15.62	1.92	25.82	3.08	29.39	16.72	206.5	0.12	1.04	3.35	1.01	0.02	5.44	19.13	61.75	18.50	0.46
A5878	37.84308	-121.55829	South Delta Tidal Transition Zone	West Canal	May-2024	46.51	16.70	243.40	7.44	9.86	101.45	15.87	1.92	25.78	3.07	29.38	16.71	206.2	0.12	0.97	3.35	1.02	0.00	5.38	18.11	62.50	19.04	0.13
A5876	37.84583	-121.55940	South Delta Tidal Transition Zone	West Canal	May-2024	46.30	16.73	244.76	7.46	9.92	102.16	15.67	1.89	25.92	3.01	29.57	16.74	206.8	0.12	0.88	3.28	1.02	0.04	5.24	16.78	62.73	19.45	0.92
A5874	37.84860	-121.56046	South Delta Tidal Transition Zone	West Canal	May-2024	47.22	16.73	245.34	7.45	9.93	102.27	15.67	1.87	25.87	2.99	29.53	16.73	206.4	0.12	0.83	3.31	1.05	0.01	5.21	15.89	63.64	20.28	0.13
A5872	37.85139	-121.56155	South Delta Tidal Transition Zone	West Canal	May-2024	46.86	16.75	247.52	7.47	9.92	102.23	15.25	1.84	26.03	2.95	29.68	16.75	207.9	0.12	0.79	3.24	1.04	0.03	5.13	15.50	63.34	20.42	0.61
A4617	37.85396	-121.56139	South Delta Tidal Transition Zone	Old River	May-2024	43.40	16.87	256.33	7.57	9.91	102.31	13.35	1.73	26.76	2.80	30.28	16.84	216.0	0.12	0.70	2.94	0.91	0.22	4.79	14.58	61.15	19.18	4.92
A4614	37.85506	-121.56386	South Delta Tidal Transition Zone	Old River	May-2024	45.49	16.80	252.79	7.51	9.94	102.55	14.37	1.76	26.30	2.86	29.85	16.79	212.9	0.12	0.69	3.13	0.98	0.10	4.93	14.06	63.49	19.98	2.28
A4619	37.85676	-121.56256	South Delta Tidal Transition Zone	Old River	May-2024	43.00	16.88	257.70	7.57	9.96	102.91	13.23	1.68	26.66	2.76	30.10	16.85	217.9	0.12	0.63	2.95	0.88	0.24	4.71	13.34	62.39	18.58	5.52
A4623	37.85819	-121.55661	South Delta Tidal Transition Zone	Old River	May-2024	33.33	17.20	266.03	7.85	10.15	105.54	9.30	1.61	28.46	2.60	31.86	17.10	227.8	0.13	0.59	2.34	0.60	0.65	4.19	13.93	55.81	13.97	16.26
A4611	37.85738	-121.56771	South Delta Tidal Transition Zone	Old River	May-2024	46.81	16.78	250.75	7.46	10.19	105.06	14.91	1.77	26.05	2.90	29.75	16.79	212.9	0.12	0.69	3.34	1.01	0.02	5.08	13.56	65.94	19.99	0.41
A4621	37.85888	-121.55992	South Delta Tidal Transition Zone	Old River	May-2024	35.62	17.11	266.28	7.78	10.05	104.34	10.01	1.59	28.08	2.59	31.35	17.04	226.8	0.13	0.57	2.42	0.63	0.59	4.22	13.45	57.31	14.70	14.52
A4625	37.85977	-121.55384	South Delta Tidal Transition Zone	Old River	May-2024	26.35	17.37	264.85	7.97	10.24	106.91	6.62	1.46	28.60	2.42	31.95	17.29	228.6	0.13	0.39	2.03	0.33	0.86	3.64	9.55	56.78	7.95	25.69
A4609	37.85991	-121.57377	South Delta Tidal Transition Zone	Old River	May-2024	46.92	16.78	253.07	7.45	10.16	104.73	14.92	1.81	26.18	2.89	29.83	16.80	215.4	0.12	0.71	3.41	1.00	0.00	5.10	13.82	66.85	19.71	0.00
A5802	37.86207	-121.55232	South Delta Tidal Transition Zone	Victoria Canal	May-2024	24.16	17.40	264.88	7.99	10.21	106.63	5.68	1.37	28.45	2.29	31.51	17.37	228.1	0.13	0.23	1.89	0.17	0.95	3.27	6.11	59.00	4.26	30.59
A4607	37.86324	-121.57137	South Delta Tidal Transition Zone	Old River	May-2024	45.89	16.81	255.45	7.47	10.10	104.13	14.38	1.77	26.33	2.87	29.97	16.83	218.0	0.12	0.70	3.26	0.96	0.07	5.00	14.04	65.09	19.21	1.66
A5804	37.86340	-121.54931	South Delta Tidal Transition Zone	Victoria Canal	May-2024	23.16	17.39	264.00	7.95	10.15	105.98	5.29	1.32	28.37	2.24	31.41	17.38	227.4	0.13	0.17	1.85	0.11	0.97	3.12	4.43	60.22	2.56	32.75
A5806	37.86478	-121.54609	South Delta Tidal Transition Zone	Victoria Canal	May-2024	22.20	17.38	264.58	7.90	10.05	104.92	4.82	1.29	28.37	2.17	31.18	17.39	227.1	0.13	0.08	1.78	0.04	0.97	2.89	2.20	62.32	0.75	34.73
A4605	37.86535	-121.57328	South Delta Tidal Transition Zone	Old River	May-2024	45.41	16.82	256.78	7.47	10.04	103.60	14.21	1.77	26.39	2.87	30.00	16.86	220.3	0.13	0.74	3.17	0.97	0.08	4.95	14.81	64.03	19.49	1.71
A5808	37.86609	-121.54283	South Delta Tidal Transition Zone	Victoria Canal	May-2024	21.70	17.39	265.58	7.87	10.01	104.44	4.56	1.27	28.46	2.14	31.18	17.39	227.5	0.13	0.05	1.75	0.01	0.97	2.81	1.58	62.92	0.21	35.30
A4603	37.86741	-121.57520	South Delta Tidal Transition Zone	Old River	May-2024	43.28	16.87	259.41	7.51	10.03	103.61	13.35	1.73	26.57	2.81	30.13	16.94	223.8	0.13	0.68	3.07	0.96	0.10	4.79	14.07	63.93	19.93	2.12
A5810	37.86752	-121.53964	South Delta Tidal Transition Zone	Victoria Canal	May-2024	21.65	17.40	266.83	7.84	9.97	104.07	4.60	1.27	28.68	2.16	31.44	17.39	228.3	0.13	0.08	1.75	0.02	0.99	2.86	2.43	61.82	0.35	35.41
A5812	37.86889	-121.53641	South Delta Tidal Transition Zone	Victoria Canal	May-2024	21.27	17.42	268.21	7.83	9.94	103.87	4.49	1.26	28.86	2.16	31.63	17.40	229.3	0.13	0.08	1.73	0.01	1.01	2.84	2.57	61.35	0.14	35.96
A4601	37.86922	-121.57810	South Delta Tidal Transition Zone	Old River	May-2024	40.46	16.95	262.65	7.57	10.03	103.79	12.18	1.67	26.77	2.72	30.26	17.01	226.7	0.13	0.56	3.01	0.96	0.10	4.60	11.84	65.23	20.76	2.22
A5814	37.87029	-121.53320	South Delta Tidal Transition Zone	Victoria Canal	May-2024	21.01	17.46	270.40	7.81	9.94	103.85	4.54	1.30	29.21	2.18	32.01	17.44	230.9	0.13	0.10	1.71	0.00	1.03	2.85	3.28	60.16	0.08	36.49
A4599	37.87138	-121.57959	South Delta Tidal Transition Zone	Old River	May-2024	38.64	17.00	265.28	7.63	10.01	103.65	11.36	1.64	26.87	2.65	30.30	17.03	227.9	0.13	0.42	3.04	0.98	0.07	4.48	9.27	67.41	21.86	1.49
A5816	37.87164	-121.52998	South Delta Tidal Transition Zone	Victoria Canal	May-2024	20.97	17.51	272.71	7.80	9.95	104.08	4.68	1.32	29.59	2.21	32.39	17.48	232.5	0.13	0.15	1.72	0.01	1.05	2.93	4.94	58.76	0.13	36.22
A5818	37.87301	-121.52675	South Delta Tidal Transition Zone	Victoria Canal	May-2024	20.76	17.56	275.33	7.79	9.95	104.21	4.63	1.31	29.98	2.23	32.81	17.53	234.3	0.13	0.20	1.71	0.00	1.06	2.98	6.55	57.73	0.04	35.74
A4597	37.87417	-121.57883	South Delta Tidal Transition Zone	Old River	May-2024	38.72	16.96	266.85	7.61	9.88	102.25	11.54	1.66	26.83	2.68	30.33	16.97	228.0	0.13	0.37	3.02	0.98	0.03	4.41	8.35	68.57	22.35	0.70
A5820	37.87440	-121.52353	South Delta Tidal Transition Zone	Victoria Canal	May-2024	20.43	17.64	279.40	7.79	9.96	104.48	4.57	1.32	30.66	2.27	33.58	17.61	237.9	0.13	0.24	1.71	0.00	1.09	3.06	7.79	56.34	0.01	35.83
A5822	37.87573	-121.52029	South Delta Tidal Transition Zone	Victoria Canal	May-2024	20.22	17.69	282.23	7.79	9.94	104.39	4.56	1.34	31.13	2.31	34.10	17.66	240.6	0.14	0.23	1.71	0.00	1.12	3.09	7.42	55.84	0.10	36.61
A4595	37.87687	-121.57751	South Delta Tidal Transition Zone	Old River	May-2024	38.44	16.94	267.04	7.59	9.83	101.68	11.79	1.68	26.87	2.67	30.41	16.96	228.3	0.13	0.37	2.97	0.98	0.04	4.38	8.36	68.35	22.40	0.88
