CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA raw	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA
A3938	38.10084	-121.68588	Western Delta Tidal Transition Zone	Threemile Slough	May-2024	14.22	17.44	186.08	7.69	9.92	103.67	8.70	1.95	26.15	3.20	29.02	17.45	161.4	0.09	0.93	2.76	1.08	0.74	5.54	16.14	50.40	19.56	13.80
A3424	38.09826	-121.57794	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.28	17.16	184.94	7.71	10.69	111.03	10.30	1.72	25.25	2.89	28.41	17.11	157.3	0.09	0.25	3.39	1.30	0.17	5.17	4.46	66.91	24.61	3.89
A3452	38.09978	-121.62753	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.23	17.34	191.22	7.70	10.27	107.11	9.41	1.91	26.30	3.08	29.86	17.33	164.2	0.09	0.60	3.44	1.49	0.16	5.68	10.75	60.79	25.80	2.56
A1029	38.09344	-122.05964	Suisun Bay	Suisun Bay	May-2024	20.60	16.69	1317.72	7.80	9.90	102.20	71.70	5.52	38.66	7.86	55.11	16.72	1076.4	0.64	4.80	8.11	5.67	0.00	18.59	25.65	43.77	30.60	0.00
A3426	38.09902	-121.58143	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.73	17.25	191.59	7.69	10.32	107.39	10.12	1.80	26.16	2.95	29.64	17.23	164.7	0.09	0.45	3.47	1.34	0.06	5.37	8.51	65.41	24.54	1.44
A724	38.09867	-121.72487	Western Delta Tidal Transition Zone	Sacramento River	May-2024	14.60	16.49	148.48	7.65	9.37	95.99	10.83	1.05	16.87	1.70	18.96	16.48	125.1	0.04	0.02	2.85	0.62	0.31	3.84	0.38	75.52	15.70	8.26
A3414	38.10146	-121.56352	Mokelumne Tidal Transition Zone	Mokelumne River	May-2024	13.84	16.79	147.10	7.64	10.58	108.99	7.24	1.07	19.08	1.85	20.83	16.75	116.8	0.07	0.16	2.72	0.50	0.54	3.93	4.35	68.71	11.41	14.67
A3428	38.09852	-121.58538	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.88	17.31	195.74	7.67	10.01	104.25	8.25	1.80	26.88	2.92	30.44	17.30	168.8	0.10	0.55	3.33	1.23	0.09	5.22	10.77	64.21	23.26	1.67
A3430	38.09849	-121.58921	Central Delta Tidal Transition Zone	San Joaquin River	May-2024	16.75	17.31	195.21	7.67	9.99	104.06	7.56	1.78	26.86	2.91	30.36	17.30	168.0	0.10	0.57	3.19	1.20	0.16	5.10	11.21	62.68	23.25	2.81
A4190	38.10271	-121.49143	Mokelumne Tidal Transition Zone	Little Potato Slough	May-2024	11.45	17.16	115.34	7.55	10.22	106.09	7.82	1.01	20.53	1.77	22.52	17.16	98.8	0.06	0.01	1.89	0.04	0.85	2.84	0.17	67.69	1.29	30.82
